Country,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
afghanistan,4235,1882,1782,980,1025,383,1387,687,495,269,3172
albania,4168,1276,1103,1603,364,279,1968,511,690,695,3191
algeria,5599,3876,2716,1379,541,199,1731,1423,1232,745,2561
argentina,6185,3985,3836,3251,1205,655,5214,2286,1948,1471,4780
australia,4598,3469,9219,1490,2260,7893,1713,1969,6664,3510,8623
austria,9639,3881,5530,4589,1260,460,1050,1539,1094,1643,2393
bahrain,6481,3472,3841,2300,1299,1017,3365,2728,1522,1282,4102
bangladesh,5497,3287,3570,6622,4307,3695,3308,3899,3605,1495,5478
belgium,10879,3742,3274,4630,1917,1919,1632,1451,2802,3080,4044
belize,2306,1393,1469,1465,856,539,857,917,837,919,2065
bhutan,3447,1323,1555,1549,408,374,1098,183,680,279,2128
botswana,2706,2056,4287,1378,497,355,2178,706,1828,682,3223
brazil,4171,3906,3375,4082,2334,1936,1581,2484,6768,3254,6414
brunei,3532,2178,3123,2002,1066,189,2008,465,1077,1455,2838
bulgaria,6465,3176,3400,3374,742,488,2084,2035,982,367,3360
cambodia,2614,1615,2551,1441,1091,358,1935,973,1258,618,2309
cameroon,2798,2285,1088,1684,902,186,834,662,918,100,1656
canada,4041,3193,12456,8561,5706,6474,1439,1755,5803,3947,5289
chile,7732,3857,2474,2807,830,650,2824,3310,1623,1090,3332
china,4202,1613,1803,1665,402,289,1941,1370,800,699,2735
colombia,7732,3525,2872,6203,1353,1021,4422,4100,2121,1407,4680
cyprus,6160,3435,4293,2320,820,369,2098,1488,796,896,2768
czech republic,8671,3461,3066,5528,836,1043,955,1661,1091,1582,3107
denmark,11928,4825,4160,3430,1560,1311,3712,2239,2641,1559,6031
dominican republic,4118,2781,1046,2638,1138,384,1463,2418,847,637,2653
ecuador,4958,3333,1808,1733,957,550,2082,2747,3877,604,2420
egypt,5226,4107,3567,4892,1974,1076,3361,2652,1644,2107,4132
estonia,4651,1858,2194,2382,847,269,1560,717,697,100,2751
ethiopia,4070,3691,2300,1766,961,980,1113,655,1416,634,2845
fiji,2445,1833,2091,998,294,291,1586,100,456,770,2682
finland,6400,3386,3936,4271,1434,1404,3808,1050,1328,1482,4495
france,5457,3678,7987,6763,675,1937,2058,2522,5171,3978,5100
georgia,4371,1945,2971,3284,756,100,2301,916,736,252,1346
germany,7687,4320,8039,5217,3442,2930,827,2945,5259,3822,3808
ghana,4051,3552,3756,4393,2708,955,2557,1354,1482,1736,5207
greece,8913,3182,5974,5287,2712,1285,1013,1847,2722,1582,4677
guatemala,3529,2618,1370,2078,349,100,869,2256,767,265,1946
guernsey,1250,1495,2192,1219,272,100,2315,282,198,366,2592
hong kong,4340,2866,7063,5957,3698,2170,6208,2467,3676,4908,5525
hungary,5774,2951,3149,4321,2199,533,2778,2008,1377,1133,4313
india,6778,3617,10990,13408,9470,9633,3062,5285,3613,7724,5582
indonesia,5118,3089,3522,11244,3366,4152,2343,3517,2692,2856,8841
iran,4421,3908,2423,4074,1882,1399,2901,3432,1204,1033,4534
iraq,5078,3987,1864,3062,1218,509,1679,1203,1036,600,2560
ireland,4648,3725,4910,6641,2311,3024,3205,3779,3272,4423,5928
isle of man,2537,1081,1223,1573,382,456,3148,304,1146,806,2393
israel,6442,3624,3467,4029,752,640,2470,1156,1660,812,4285
italy,7028,4929,6263,6262,1997,1617,2243,3003,3946,3604,4007
jamaica,3794,1888,4320,3179,2614,755,2598,1342,1689,1353,4768
japan,5848,3931,6360,4695,2718,1091,2524,3918,4143,2584,7438
jersey,2610,2185,2554,1527,277,338,2263,348,1038,643,1736
jordan,4264,2962,2375,3270,1119,199,3059,2751,1248,815,4404
kazakhstan,3367,1527,1376,1756,526,193,1355,1364,441,594,2812
kenya,4481,3599,5910,3576,2661,1710,1249,1403,2066,2903,4407
