date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,9,0,0,29,0,0,0,0,0,0,0
2020-04-02,60,12,0,0,0,0,0,75,0,0,0
2020-04-03,61,24,0,0,0,0,0,0,0,0,0
2020-04-04,47,0,0,0,0,0,0,0,0,0,0
2020-04-05,70,28,0,0,0,0,49,0,0,0,0
2020-04-06,21,25,0,32,0,0,44,0,0,0,0
2020-04-07,42,100,0,32,0,0,0,0,0,0,0
2020-04-08,34,0,0,0,0,0,0,0,0,0,0
2020-04-09,72,24,0,0,0,0,0,0,0,80,0
2020-04-10,22,52,28,33,0,0,0,0,0,0,0
2020-04-11,49,58,0,0,0,0,51,0,0,0,63
2020-04-12,12,15,32,0,0,0,0,0,0,0,0
2020-04-13,24,0,0,0,0,0,0,0,0,0,30
2020-04-14,30,12,0,0,0,0,0,0,0,0,26
2020-04-15,41,12,0,0,0,0,0,0,0,0,0
2020-04-16,11,0,0,0,0,0,0,80,0,83,55
2020-04-17,34,27,0,0,0,0,0,0,0,0,0
2020-04-18,38,0,0,0,0,0,0,0,0,0,32
2020-04-19,100,15,0,38,0,0,0,0,0,97,0
2020-04-20,34,13,0,0,0,0,0,0,0,0,0
2020-04-21,49,12,0,0,0,0,41,0,0,0,25
2020-04-22,20,0,0,60,0,0,0,0,0,0,0
2020-04-23,10,0,0,0,0,0,0,0,0,0,0
2020-04-24,60,28,0,0,0,0,0,0,0,0,0
2020-04-25,40,0,0,0,0,0,0,100,0,0,0
2020-04-26,65,0,0,0,0,0,54,0,0,0,67
2020-04-27,23,0,0,0,0,0,0,0,0,88,0
2020-04-28,11,0,0,0,0,0,0,0,0,0,29
2020-04-29,11,0,29,34,0,0,47,0,0,0,0
2020-04-30,33,39,0,0,0,0,0,0,0,0,0
2020-05-01,26,15,0,0,100,0,0,0,0,0,0
2020-05-02,12,0,0,0,0,0,50,0,0,0,0
2020-05-03,26,0,0,0,0,0,0,0,0,0,0
2020-05-04,46,14,0,0,0,0,0,0,0,0,0
2020-05-05,21,0,0,0,0,0,0,0,0,82,0
2020-05-06,11,0,0,34,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,48,0,0,0,0
2020-05-08,24,0,0,0,0,0,0,0,0,0,0
2020-05-09,27,0,0,0,0,0,0,0,0,0,35
2020-05-10,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,35,14,0,35,0,0,0,0,0,0,0
2020-05-12,24,0,0,36,0,0,0,0,0,0,30
2020-05-13,12,0,0,0,96,0,0,0,0,0,0
2020-05-14,36,28,0,0,0,0,0,0,0,0,31
2020-05-15,24,14,31,0,0,0,0,0,0,0,0
2020-05-16,42,17,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,100,0,0,0,31
2020-05-19,12,0,0,0,0,0,0,0,0,0,0
2020-05-20,23,14,0,0,0,0,0,0,0,0,30
2020-05-21,33,0,0,0,0,0,0,0,81,0,0
2020-05-22,13,0,0,0,0,0,0,0,0,100,33
2020-05-23,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,28,0,36,0,0,0,0,0,0,0,0
2020-05-25,0,0,35,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,12,0,30,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,88,0,0
2020-05-29,36,14,0,0,0,0,0,0,0,0,0
2020-05-30,13,16,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,33
2020-06-01,0,0,0,0,0,0,0,0,0,0,33
2020-06-02,13,16,0,0,0,0,0,0,0,0,0
2020-06-03,0,29,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,49,0,0,0,0
2020-06-06,24,0,0,37,0,0,0,0,0,0,0
2020-06-07,14,0,0,0,0,0,0,0,0,0,0
2020-06-08,33,13,0,0,0,0,45,0,0,0,28
2020-06-09,11,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,30,0,0,0,0,0,0,0,0
2020-06-11,34,0,0,35,0,0,0,0,0,0,0
2020-06-12,36,28,0,0,0,0,0,0,0,0,31
2020-06-13,0,0,33,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,36
2020-06-15,23,0,30,0,0,0,0,0,0,0,0
2020-06-16,22,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,35,0,0,0,0,0,0,0,85,0,30
2020-06-19,37,15,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0,35
2020-06-21,13,0,0,0,0,0,0,0,0,0,0
2020-06-22,35,0,0,35,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,35,14,0,0,0,0,0,0,0,0,0
