date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,74,0,0,0,0,0,37,0,0,0
2020-04-02,99,100,0,0,0,0,0,0,0,0,24
2020-04-03,73,70,72,0,0,0,0,0,0,0,0
2020-04-04,81,75,77,0,0,0,0,0,77,0,25
2020-04-05,76,65,0,0,0,0,0,0,0,0,24
2020-04-06,87,72,0,0,0,0,36,0,73,0,0
2020-04-07,69,63,76,41,0,0,0,37,0,0,0
2020-04-08,93,68,0,0,0,0,74,0,0,0,0
2020-04-09,66,40,76,0,0,0,37,0,0,0,0
2020-04-10,48,69,77,0,0,0,0,38,0,0,0
2020-04-11,71,78,0,0,0,0,0,0,0,0,26
2020-04-12,49,46,0,41,0,0,0,0,76,0,25
2020-04-13,55,24,79,0,0,0,0,0,0,0,0
2020-04-14,58,24,79,0,0,0,0,39,0,0,0
2020-04-15,41,54,0,0,0,0,0,0,0,0,0
2020-04-16,46,72,0,0,0,0,0,39,0,0,0
2020-04-17,59,48,0,0,0,0,0,0,0,0,26
2020-04-18,57,42,0,43,0,0,0,0,0,0,26
2020-04-19,40,41,0,0,0,0,38,0,0,0,0
2020-04-20,39,23,0,41,0,0,37,0,0,0,0
2020-04-21,29,31,83,0,0,0,0,0,0,0,0
2020-04-22,41,45,0,0,0,0,0,41,0,0,0
2020-04-23,42,45,0,0,0,0,0,42,0,0,0
2020-04-24,32,46,0,0,100,0,0,0,0,0,100
2020-04-25,49,30,0,0,0,0,0,0,0,0,0
2020-04-26,30,39,0,0,0,0,100,0,0,0,33
2020-04-27,28,31,0,0,0,0,50,0,0,0,0
2020-04-28,35,30,0,0,0,0,48,0,0,0,0
2020-04-29,36,0,98,0,0,0,0,0,0,0,0
2020-04-30,41,14,0,51,0,0,0,0,0,0,0
2020-05-01,40,31,0,0,0,0,0,0,0,0,0
2020-05-02,33,38,100,0,0,0,0,0,0,0,32
2020-05-03,27,44,0,0,0,0,0,0,0,0,0
2020-05-04,46,36,0,0,0,0,0,0,0,0,0
2020-05-05,28,20,90,49,0,0,0,0,0,0,0
2020-05-06,33,21,0,51,0,0,0,0,95,0,31
