date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,34,15,0,0,18,20,0,0,59
2020-04-02,96,97,36,16,31,0,0,22,0,0,0
2020-04-03,87,82,19,34,0,0,41,54,90,0,39
2020-04-04,95,81,90,0,0,0,0,50,54,0,0
2020-04-05,91,70,90,20,0,0,48,34,54,0,47
2020-04-06,61,58,33,73,0,0,0,58,0,0,0
2020-04-07,63,63,72,32,32,0,19,100,0,33,0
2020-04-08,64,69,0,16,33,0,20,40,0,34,13
2020-04-09,75,64,40,0,35,0,21,35,48,37,27
2020-04-10,69,67,42,0,0,0,68,47,0,0,15
2020-04-11,62,56,100,35,0,0,43,30,0,0,28
2020-04-12,69,64,22,77,0,0,47,31,0,0,15
2020-04-13,60,59,17,76,0,0,37,93,0,0,12
2020-04-14,50,46,0,48,0,0,58,70,0,0,25
2020-04-15,50,44,37,17,0,71,20,54,45,0,13
2020-04-16,53,47,56,49,0,0,20,54,0,0,0
2020-04-17,58,44,19,51,0,0,0,25,92,0,0
2020-04-18,61,61,0,0,0,0,24,26,0,0,15
2020-04-19,52,44,0,20,0,0,47,48,0,0,15
2020-04-20,43,50,35,31,0,0,57,28,0,33,36
2020-04-21,49,48,55,32,32,0,0,32,87,0,13
2020-04-22,43,40,0,49,0,0,40,20,0,0,25
2020-04-23,43,42,0,0,0,0,39,15,0,34,0
2020-04-24,43,36,0,67,0,72,41,28,0,0,26
2020-04-25,50,33,21,0,0,0,46,20,0,0,15
2020-04-26,38,45,22,19,0,0,23,20,0,0,30
2020-04-27,44,34,36,0,0,0,39,18,0,0,0
2020-04-28,39,29,0,16,0,0,0,29,0,0,51
2020-04-29,38,37,19,33,0,0,81,11,0,0,13
2020-04-30,41,29,19,0,0,0,61,14,45,0,13
2020-05-01,35,27,0,60,0,0,24,7,0,84,16
2020-05-02,35,27,0,0,0,0,95,15,0,0,15
2020-05-03,39,38,0,20,0,0,49,11,0,0,0
2020-05-04,40,24,18,16,0,0,57,12,0,0,12
2020-05-05,30,22,0,15,0,0,54,8,40,0,12
2020-05-06,29,22,19,0,0,0,60,14,0,0,13
2020-05-07,26,18,0,0,0,73,20,17,0,0,13
2020-05-08,32,20,20,18,0,0,0,16,0,0,27
2020-05-09,30,19,23,21,0,0,50,12,56,0,0
2020-05-10,29,26,71,0,0,0,51,4,0,44,0
2020-05-11,29,22,18,16,0,0,39,11,0,0,0
2020-05-12,22,22,19,50,0,0,81,13,0,0,26
2020-05-13,31,17,0,34,0,0,41,3,0,0,0
2020-05-14,25,28,19,17,0,0,62,3,46,0,40
2020-05-15,32,25,0,17,0,0,63,2,0,0,14
2020-05-16,31,20,0,21,0,0,76,10,0,0,32
2020-05-17,48,30,0,21,0,92,0,12,0,0,0
2020-05-18,31,28,0,0,0,0,20,3,0,0,0
2020-05-19,33,25,19,49,0,0,0,8,0,0,13
2020-05-20,32,21,0,0,0,0,77,10,0,0,12
2020-05-21,33,22,0,0,33,0,100,3,0,0,39
2020-05-22,27,22,0,17,0,0,42,10,0,0,0
2020-05-23,34,31,46,20,0,0,74,8,0,0,0
2020-05-24,33,20,0,21,42,0,0,8,58,0,17
2020-05-25,29,26,22,20,0,0,0,5,0,0,0
2020-05-26,25,20,19,0,0,0,20,11,0,0,52
2020-05-27,25,16,39,0,34,0,62,6,0,0,13
2020-05-28,21,18,19,0,0,0,41,3,0,0,26
2020-05-29,25,12,0,0,0,0,0,3,0,0,13
2020-05-30,26,14,22,0,0,0,24,9,0,0,15
2020-05-31,29,23,23,0,0,0,0,12,0,43,0
2020-06-01,26,13,18,49,0,70,20,6,0,0,13
2020-06-02,20,11,0,17,0,0,0,9,0,0,26
2020-06-03,27,17,36,32,31,0,38,1,0,100,12
2020-06-04,21,12,0,0,0,0,0,3,0,0,13
2020-06-05,26,22,0,33,0,0,40,3,0,0,0
2020-06-06,27,12,0,20,0,0,0,0,55,0,48
2020-06-07,30,13,0,0,0,0,51,2,57,0,16
2020-06-08,24,14,0,0,0,0,73,3,0,0,24
2020-06-09,20,14,18,0,0,0,19,4,0,34,12
2020-06-10,25,15,0,0,0,0,21,3,0,0,0
2020-06-11,27,24,20,0,0,0,21,13,0,0,0
2020-06-12,26,17,20,0,0,0,0,10,47,0,0
2020-06-13,32,21,24,0,0,0,25,4,0,0,0
2020-06-14,31,19,25,0,0,0,27,4,0,0,35
2020-06-15,22,12,44,0,0,0,0,13,0,0,30
2020-06-16,19,16,0,32,0,0,0,7,0,0,12
2020-06-17,27,21,38,17,0,0,20,2,45,0,13
2020-06-18,33,15,0,0,0,0,20,9,0,0,26
2020-06-19,26,15,40,18,0,0,0,10,0,0,27
2020-06-20,21,16,24,21,0,0,25,6,0,44,16
2020-06-21,32,20,0,23,0,0,28,2,0,0,18
2020-06-22,26,12,0,0,34,0,21,11,0,0,40
2020-06-23,18,15,18,32,0,0,20,6,0,0,13
2020-06-24,20,19,19,0,0,0,0,5,0,0,0
2020-06-25,21,18,20,0,0,0,0,3,0,0,14
2020-06-26,20,16,0,0,0,0,44,5,0,0,0
2020-06-27,27,13,0,21,0,0,0,6,0,0,17
2020-06-28,20,17,25,0,0,0,26,2,59,0,51
2020-06-29,21,19,19,17,0,0,0,14,0,36,13
2020-06-30,20,9,19,0,0,0,0,5,44,0,26
2020-07-01,23,11,0,0,0,0,20,3,0,0,13
2020-07-02,20,10,0,0,0,0,0,8,0,0,0
2020-07-03,19,11,0,18,36,0,66,5,0,0,28
2020-07-04,20,10,24,21,0,0,0,6,0,0,0
2020-07-05,27,16,25,0,44,0,0,2,0,0,0
2020-07-06,21,12,58,0,0,0,41,5,0,36,40
2020-07-07,22,12,40,35,0,0,42,7,0,0,14
2020-07-08,24,11,0,0,0,0,0,5,0,0,0
2020-07-09,20,17,0,0,0,0,52,4,0,0,0
2020-07-10,27,15,24,0,0,0,0,8,0,44,16
2020-07-11,21,10,0,45,0,0,0,4,0,0,0
2020-07-12,17,13,26,46,0,0,56,2,0,0,36
2020-07-13,16,12,21,0,36,0,0,3,0,0,28
2020-07-14,22,8,0,0,0,0,0,11,0,40,44
2020-07-15,17,13,44,0,0,0,23,2,52,0,30
2020-07-16,17,13,0,0,0,0,23,5,0,0,30
2020-07-17,24,13,0,20,0,0,24,6,0,0,15
2020-07-18,22,14,0,0,0,0,0,4,0,0,35
2020-07-19,23,12,27,0,0,0,0,7,0,0,0
2020-07-20,19,12,23,60,0,0,0,13,0,84,78
2020-07-21,20,12,0,0,0,0,0,5,0,0,45
2020-07-22,15,8,0,0,0,0,46,18,0,0,0
2020-07-23,19,15,0,19,0,0,23,5,0,0,15
2020-07-24,23,14,23,0,0,0,74,4,0,0,16
2020-07-25,23,15,54,0,0,0,0,4,0,50,56
2020-07-26,17,15,0,25,0,0,30,9,0,0,39
2020-07-27,13,7,0,18,0,0,0,8,0,37,41
2020-07-28,17,10,21,19,0,0,23,3,0,0,15
2020-07-29,19,8,22,0,0,0,0,2,0,0,0
2020-07-30,15,6,22,39,0,0,0,11,0,0,0
2020-07-31,26,10,0,0,0,0,0,4,54,0,16
2020-08-01,16,10,0,0,44,0,0,4,0,0,35
2020-08-02,23,14,0,0,0,0,29,9,0,0,37
2020-08-03,16,4,60,18,35,0,85,2,48,0,41
2020-08-04,16,7,0,0,0,0,0,5,0,0,27
2020-08-05,19,12,0,18,0,0,21,5,0,0,0
2020-08-06,15,7,0,17,0,0,0,8,0,0,13
2020-08-07,19,8,20,18,0,0,43,10,48,38,28
2020-08-08,21,14,0,21,0,0,78,2,0,0,17
2020-08-09,21,14,0,0,0,0,0,2,0,0,0
2020-08-10,25,10,0,0,0,0,0,7,47,0,27
2020-08-11,20,11,0,0,0,0,44,7,0,0,14
2020-08-12,20,12,41,0,36,0,0,10,50,0,100
2020-08-13,16,6,21,0,0,0,0,7,0,0,87
2020-08-14,15,10,0,19,0,0,23,3,0,0,44
2020-08-15,22,10,26,0,0,0,28,6,0,0,18
2020-08-16,21,11,0,0,50,0,0,0,68,0,20
2020-08-17,14,6,25,0,0,0,27,0,0,0,17
2020-08-18,12,7,21,0,0,0,88,7,0,38,14
2020-08-19,18,7,0,0,0,0,21,5,0,0,28
2020-08-20,18,12,21,0,0,0,0,3,50,0,0
2020-08-21,14,7,22,19,0,0,23,7,0,40,0
2020-08-22,20,8,0,23,46,0,0,4,62,0,18
2020-08-23,19,6,0,23,0,0,0,2,0,0,0
2020-08-24,18,10,0,0,0,0,22,5,0,0,43
2020-08-25,12,6,0,0,0,0,0,3,0,0,26
2020-08-26,18,8,20,17,0,0,21,6,0,0,14
2020-08-27,20,10,21,0,0,0,0,7,0,0,14
2020-08-28,20,14,0,19,0,0,0,5,0,0,15
2020-08-29,21,10,71,0,0,0,0,8,0,0,49
2020-08-30,21,11,27,48,47,0,0,4,0,0,19
2020-08-31,16,10,20,53,0,0,22,8,0,0,28
2020-09-01,14,8,20,0,0,0,43,5,0,37,0
2020-09-02,13,7,40,18,0,0,0,8,0,0,14
2020-09-03,15,8,42,0,0,0,45,3,0,0,14
2020-09-04,18,10,22,19,0,0,23,4,52,0,15
2020-09-05,18,8,52,23,0,0,0,9,0,0,36
2020-09-06,20,20,27,0,48,0,0,0,0,0,19
2020-09-07,19,11,21,37,36,0,0,9,0,0,14
2020-09-08,12,10,21,18,0,0,0,5,0,39,29
2020-09-09,15,10,0,0,0,0,22,2,0,0,43
2020-09-10,15,5,0,37,37,0,45,2,0,39,14
2020-09-11,17,7,22,0,0,0,23,5,0,0,45
2020-09-12,29,8,0,0,0,0,0,4,0,48,0
2020-09-13,21,6,27,0,0,0,59,2,0,51,19
2020-09-14,15,5,0,38,0,0,0,7,0,0,0
2020-09-15,20,5,0,0,0,0,0,3,0,0,43
2020-09-16,17,7,0,0,0,0,0,3,100,0,14
2020-09-17,14,6,41,0,0,0,44,10,0,0,0
2020-09-18,20,7,0,0,37,0,46,4,0,0,0
2020-09-19,24,13,0,0,0,0,0,7,0,0,18
2020-09-20,16,11,0,0,100,0,0,7,0,0,20
2020-09-21,16,5,0,0,0,0,0,5,0,41,15
2020-09-22,13,7,21,19,0,0,23,7,0,39,0
2020-09-23,22,6,0,0,0,0,0,10,0,0,44
2020-09-24,13,3,0,37,0,0,23,3,0,0,14
2020-09-25,15,5,0,19,0,0,0,5,0,0,29
2020-09-26,24,11,0,0,0,0,0,0,0,0,0
2020-09-27,16,2,0,0,0,0,0,11,0,0,18
2020-09-28,14,8,0,0,0,0,0,4,0,0,0
2020-09-29,10,5,0,0,0,0,0,4,0,0,0
2020-09-30,11,5,42,0,0,0,0,3,0,0,14
2020-10-01,16,5,42,37,0,0,22,5,0,0,0
2020-10-02,20,5,22,19,0,0,0,4,0,0,15
2020-10-03,20,8,25,0,0,0,0,4,0,0,17
