date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,28,8,81,99,18,38,76,87,85
2020-04-02,94,97,33,7,100,92,18,37,100,100,75
2020-04-03,89,82,25,11,87,92,14,55,77,81,62
2020-04-04,92,82,27,14,91,86,10,33,55,71,55
2020-04-05,90,84,27,10,84,64,10,46,69,80,56
2020-04-06,81,79,30,7,48,47,10,22,67,68,60
2020-04-07,67,66,23,4,59,100,10,21,56,78,61
2020-04-08,69,59,22,4,49,36,10,18,39,67,69
2020-04-09,63,62,23,4,47,57,9,12,68,64,55
2020-04-10,62,58,28,4,42,52,11,17,16,68,58
2020-04-11,64,50,23,5,36,56,9,18,50,53,60
2020-04-12,61,57,24,4,25,57,10,9,43,58,43
2020-04-13,61,51,27,4,31,27,10,16,20,52,52
2020-04-14,51,48,22,4,20,36,8,13,36,51,70
2020-04-15,43,43,24,5,33,67,7,15,47,42,49
2020-04-16,47,42,25,4,35,73,8,11,40,32,59
2020-04-17,40,40,23,3,29,63,7,12,26,43,43
2020-04-18,46,41,23,4,17,69,7,14,41,35,43
2020-04-19,45,41,21,3,25,47,7,7,24,29,47
2020-04-20,39,36,20,2,18,23,8,5,70,25,45
2020-04-21,40,32,21,3,17,48,7,3,46,37,40
2020-04-22,35,29,18,3,12,42,6,7,36,43,48
2020-04-23,32,25,16,3,17,34,5,8,51,34,49
2020-04-24,37,33,16,3,13,67,5,7,33,42,39
2020-04-25,34,27,19,4,16,68,7,3,12,31,25
2020-04-26,39,35,17,3,12,39,6,3,47,38,32
2020-04-27,33,30,14,2,17,35,5,8,35,36,42
2020-04-28,33,29,16,2,10,52,6,9,34,43,43
2020-04-29,27,26,17,2,16,34,6,7,50,31,51
2020-04-30,26,21,14,2,12,27,6,7,38,36,51
2020-05-01,26,22,17,2,19,30,6,11,47,40,38
2020-05-02,31,26,14,2,6,28,5,5,17,23,24
2020-05-03,34,26,17,2,7,27,5,3,45,17,38
2020-05-04,28,20,14,2,10,34,4,1,41,28,34
2020-05-05,22,18,17,2,5,17,4,6,40,16,39
2020-05-06,23,20,14,2,11,74,4,9,41,30,52
2020-05-07,25,17,16,3,12,41,5,8,42,30,43
2020-05-08,24,22,13,2,10,37,5,4,18,33,38
2020-05-09,25,18,16,2,10,42,5,3,17,16,33
2020-05-10,25,22,13,3,6,21,6,6,16,37,39
2020-05-11,24,20,13,3,9,41,6,4,43,24,43
2020-05-12,25,20,13,2,13,23,5,4,39,18,38
2020-05-13,19,16,14,2,15,18,4,10,35,27,40
2020-05-14,19,17,13,2,13,23,4,10,31,30,42
2020-05-15,19,16,15,3,12,31,5,3,34,18,36
2020-05-16,22,18,18,3,9,30,4,5,13,34,32
2020-05-17,21,18,16,2,6,41,3,4,45,19,31
2020-05-18,19,16,13,2,12,47,3,0,42,30,48
2020-05-19,18,18,14,2,13,29,2,6,31,22,56
2020-05-20,16,14,12,2,11,41,2,1,35,15,43
2020-05-21,17,14,12,2,22,41,2,5,28,21,27
2020-05-22,14,12,13,2,13,44,3,4,19,19,32
2020-05-23,16,13,13,2,10,43,3,5,21,16,14
2020-05-24,17,12,15,3,10,55,3,5,25,12,20
2020-05-25,19,12,15,1,19,24,3,5,36,31,32
2020-05-26,17,14,16,1,14,36,3,7,36,22,30
2020-05-27,16,12,11,2,6,31,3,3,18,27,28
2020-05-28,14,10,16,1,13,6,2,3,22,19,20
2020-05-29,13,11,11,2,15,39,2,3,28,20,24
2020-05-30,14,9,11,2,11,22,4,7,9,15,30
