date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,76,100,0,98,0,0,1,16,0,50,20
2020-04-02,66,50,27,50,0,0,0,50,26,51,0
2020-04-03,66,94,28,68,0,0,0,85,0,0,7
2020-04-04,68,90,32,100,0,0,0,0,0,0,16
2020-04-05,69,65,0,40,0,0,1,100,0,62,24
2020-04-06,69,60,55,17,0,0,1,0,26,26,34
2020-04-07,59,57,29,91,0,0,0,36,0,28,7
2020-04-08,57,64,0,37,0,0,1,55,0,28,7
2020-04-09,58,62,0,0,87,0,1,0,0,0,0
2020-04-10,53,44,64,0,0,0,1,0,0,0,16
2020-04-11,53,51,0,22,0,0,0,22,100,100,9
2020-04-12,48,47,34,0,0,0,1,0,33,33,0
2020-04-13,49,52,0,54,0,0,0,0,0,0,7
2020-04-14,48,41,0,47,74,0,1,16,0,0,13
2020-04-15,51,39,0,17,0,0,1,17,0,0,13
2020-04-16,46,45,0,35,0,0,0,0,27,27,7
2020-04-17,51,38,58,36,84,0,1,18,0,28,0
2020-04-18,47,23,0,41,0,0,1,20,0,94,16
2020-04-19,45,36,29,54,0,0,0,0,0,0,0
2020-04-20,43,43,26,32,0,0,1,0,49,24,13
2020-04-21,48,37,0,17,0,0,2,0,26,51,0
2020-04-22,43,24,0,17,81,0,0,17,26,26,7
2020-04-23,41,21,0,0,0,0,1,0,0,26,27
2020-04-24,48,25,29,36,0,0,0,0,28,0,22
2020-04-25,44,39,0,83,0,0,1,21,0,32,8
2020-04-26,44,32,0,0,0,0,2,40,0,0,16
2020-04-27,40,22,0,16,77,0,1,0,0,0,7
2020-04-28,46,32,27,0,0,0,1,17,0,26,0
2020-04-29,39,25,25,31,0,0,0,16,0,0,0
2020-04-30,39,17,27,17,0,0,1,0,0,26,14
2020-05-01,41,37,32,40,0,0,1,0,0,0,0
2020-05-02,34,12,32,0,0,0,1,20,0,0,8
2020-05-03,38,17,31,39,91,43,1,19,0,30,8
2020-05-04,39,29,26,33,0,0,1,0,0,0,26
2020-05-05,32,19,25,15,0,0,1,0,0,0,0
2020-05-06,31,38,0,34,0,0,1,17,0,0,7
2020-05-07,33,27,0,18,0,0,1,0,0,28,7
2020-05-08,33,24,31,39,0,0,1,0,0,30,0
2020-05-09,34,19,71,0,0,0,1,0,0,0,0
2020-05-10,34,8,0,0,0,0,1,21,0,0,8
2020-05-11,33,16,0,32,0,0,2,0,25,49,0
2020-05-12,33,17,0,33,0,0,1,0,0,26,7
2020-05-13,33,15,27,34,0,0,1,0,0,26,0
2020-05-14,33,27,27,0,0,0,0,17,0,26,14
2020-05-15,32,13,0,35,0,0,1,0,0,27,7
2020-05-16,30,8,34,64,100,0,1,0,0,0,9
2020-05-17,30,18,34,0,0,0,1,21,0,0,0
2020-05-18,34,26,57,0,0,0,1,0,27,0,0
2020-05-19,29,32,0,17,0,0,2,0,0,0,21
2020-05-20,28,7,0,0,0,0,1,0,0,0,7
2020-05-21,29,15,0,41,0,0,0,0,0,32,17
2020-05-22,28,15,32,0,0,0,0,0,0,30,8
2020-05-23,26,15,0,0,0,0,0,0,31,0,8
2020-05-24,25,22,31,0,0,0,1,0,0,30,0
2020-05-25,25,16,0,16,0,0,1,16,0,25,0
2020-05-26,28,18,0,0,0,0,1,0,0,0,7
2020-05-27,27,11,29,0,0,0,0,0,0,0,0
2020-05-28,25,15,0,17,0,0,1,17,0,0,0
2020-05-29,28,14,29,18,0,41,1,0,0,0,0
2020-05-30,22,26,34,21,0,0,1,0,0,0,17
2020-05-31,23,14,0,19,0,0,1,0,0,0,8
2020-06-01,23,15,32,0,0,0,0,0,31,0,8
2020-06-02,22,17,27,17,0,0,0,0,0,0,7
2020-06-03,24,4,26,33,0,0,2,0,25,0,7
2020-06-04,23,10,0,17,0,0,1,0,0,0,7
2020-06-05,22,10,0,17,79,0,0,0,26,0,0
2020-06-06,21,16,0,0,0,0,1,0,0,0,0
2020-06-07,23,12,31,19,0,0,1,0,0,0,8
2020-06-08,21,21,0,0,73,0,1,0,24,24,6
2020-06-09,23,13,0,15,0,0,0,0,24,0,6
2020-06-10,20,6,27,0,78,0,1,0,0,0,20
2020-06-11,21,25,0,0,0,0,0,0,31,0,0
2020-06-12,22,10,33,41,0,0,1,0,0,0,16
2020-06-13,20,14,0,23,0,0,0,0,0,0,0
2020-06-14,22,21,30,37,0,0,0,0,0,0,7
2020-06-15,25,10,0,0,0,0,0,0,0,0,0
2020-06-16,25,10,0,0,0,0,0,16,0,0,13
2020-06-17,26,17,0,17,0,0,1,0,26,0,7
2020-06-18,22,15,27,17,0,0,0,0,0,0,7
2020-06-19,23,11,0,0,0,0,0,0,28,0,0
2020-06-20,25,17,64,0,0,0,0,0,0,0,0
2020-06-21,26,14,30,0,0,0,1,0,0,0,0
2020-06-22,24,6,0,17,0,0,2,0,0,0,0
2020-06-23,25,22,57,18,0,0,1,0,27,27,7
2020-06-24,27,9,0,18,0,0,0,0,0,0,14
2020-06-25,23,17,0,17,0,0,0,0,0,0,7
2020-06-26,27,5,61,19,0,0,2,0,0,0,8
2020-06-27,28,6,0,0,0,0,1,0,0,0,0
2020-06-28,27,18,32,20,0,0,1,0,62,0,8
2020-06-29,30,10,25,0,0,35,0,0,0,0,6
2020-06-30,31,19,0,17,0,0,1,17,0,0,0
2020-07-01,37,17,28,0,0,0,1,0,0,0,14
2020-07-02,34,13,0,17,0,0,1,0,0,0,0
2020-07-03,34,11,0,0,0,0,1,0,0,0,0
2020-07-04,39,11,37,23,0,0,1,0,0,0,9
2020-07-05,39,8,71,22,0,0,1,0,0,0,18
2020-07-06,33,8,0,0,0,0,1,0,0,0,0
2020-07-07,37,18,28,18,0,0,1,18,27,0,0
2020-07-08,36,23,89,18,0,0,1,0,28,28,7
2020-07-09,35,9,0,0,0,41,0,0,0,0,0
2020-07-10,34,23,32,0,0,0,1,0,0,0,8
2020-07-11,29,20,0,20,0,0,0,20,0,0,0
2020-07-12,33,8,36,0,0,0,0,0,0,0,18
2020-07-13,32,14,30,55,0,0,0,0,0,0,7
2020-07-14,31,12,30,0,0,0,1,0,29,0,7
2020-07-15,30,13,0,0,85,0,0,0,0,0,22
2020-07-16,30,20,28,0,0,0,1,0,0,0,14
2020-07-17,30,9,0,37,0,0,0,0,29,0,22
2020-07-18,34,8,0,42,0,0,1,0,0,0,0
2020-07-19,35,11,0,0,0,0,1,0,0,0,34
2020-07-20,31,11,58,36,0,0,0,0,0,0,22
2020-07-21,35,16,29,36,0,0,0,0,0,0,7
2020-07-22,32,4,29,0,0,0,0,0,28,0,0
2020-07-23,34,9,30,55,0,0,1,18,0,0,22
