date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,72,46,62,0,0,0,21,0,0,0,0
2020-04-02,62,37,84,0,0,0,21,0,0,0,15
2020-04-03,68,72,23,0,0,0,23,88,55,0,16
2020-04-04,94,72,0,0,100,0,69,89,55,0,50
2020-04-05,79,56,21,22,45,0,84,0,0,0,15
2020-04-06,59,27,60,42,0,0,40,0,0,0,14
2020-04-07,76,100,0,0,40,0,37,0,0,0,13
2020-04-08,67,51,0,100,41,0,57,73,0,0,0
2020-04-09,85,42,38,20,41,0,19,73,0,0,0
2020-04-10,74,31,23,96,0,0,0,0,0,0,33
2020-04-11,87,29,65,45,0,0,0,0,0,0,15
2020-04-12,100,97,20,42,43,0,40,76,0,0,0
2020-04-13,86,53,60,0,43,0,20,0,0,0,0
2020-04-14,77,70,20,0,0,0,20,0,0,0,14
2020-04-15,69,44,59,21,0,0,0,75,0,0,14
2020-04-16,68,9,39,41,0,0,0,0,0,0,42
2020-04-17,82,52,47,0,0,0,24,0,56,0,17
2020-04-18,70,60,0,24,49,0,23,0,0,97,0
2020-04-19,56,26,100,21,0,0,20,0,0,0,14
2020-04-20,42,54,0,0,0,0,0,0,0,0,0
2020-04-21,55,44,59,0,43,0,0,0,47,84,14
2020-04-22,56,54,20,0,43,0,60,0,0,0,0
2020-04-23,62,9,0,0,0,0,41,0,0,0,0
2020-04-24,84,21,47,0,0,0,23,0,55,0,17
2020-04-25,39,61,0,0,0,0,69,0,55,0,0
2020-04-26,62,28,42,0,0,0,0,0,0,90,0
2020-04-27,57,48,22,0,46,0,0,0,0,0,0
2020-04-28,53,38,0,0,0,0,42,0,0,0,15
2020-04-29,49,45,21,0,44,0,20,0,0,0,0
2020-04-30,46,36,0,21,44,0,20,0,97,0,0
2020-05-01,66,44,50,0,0,0,0,0,0,0,0
2020-05-02,64,30,69,24,0,0,46,0,0,0,0
2020-05-03,47,11,48,0,0,0,48,0,0,0,34
2020-05-04,44,20,45,23,0,0,45,0,0,0,32
2020-05-05,28,27,0,21,44,0,41,0,0,87,0
2020-05-06,61,9,0,0,0,0,0,0,0,0,30
2020-05-07,34,20,0,0,48,0,67,0,53,0,16
2020-05-08,52,11,0,0,0,0,100,96,0,0,0
2020-05-09,64,41,23,0,0,0,0,0,0,0,16
2020-05-10,36,28,21,45,0,0,0,82,51,0,0
2020-05-11,58,56,21,22,0,0,42,0,0,0,45
2020-05-12,42,10,65,23,0,0,0,0,0,0,0
2020-05-13,60,38,22,0,0,0,86,0,51,0,15
2020-05-14,27,28,0,22,0,0,42,0,0,0,30
2020-05-15,52,11,99,0,0,94,49,0,0,0,35
2020-05-16,61,48,66,0,0,0,22,0,0,0,16
2020-05-17,33,48,0,23,0,0,65,0,0,0,31
2020-05-18,42,57,22,23,0,0,0,0,0,0,46
2020-05-19,53,29,44,23,0,0,0,0,0,0,0
2020-05-20,36,19,0,0,0,0,65,0,0,0,0
2020-05-21,27,39,0,0,0,0,0,84,0,0,0
2020-05-22,45,44,25,0,0,0,0,0,0,0,35
2020-05-23,28,10,23,0,0,0,45,87,0,0,49
2020-05-24,14,34,0,0,0,0,0,0,0,0,18
2020-05-25,31,11,49,26,0,0,0,94,0,0,18
2020-05-26,60,21,0,0,52,0,24,0,0,0,17
2020-05-27,38,19,21,0,0,0,0,80,0,0,15
2020-05-28,29,27,0,0,0,0,21,0,0,0,30
2020-05-29,59,22,0,26,0,0,25,94,0,0,18
2020-05-30,29,21,23,0,50,0,46,0,0,0,17
2020-05-31,50,9,0,0,0,0,21,0,0,0,15
2020-06-01,63,27,21,43,0,0,21,0,0,0,15
2020-06-02,42,19,22,0,0,82,0,0,0,0,15
2020-06-03,26,36,0,0,0,79,41,0,0,0,0
2020-06-04,40,36,21,21,0,0,0,0,0,0,15
2020-06-05,42,0,0,0,0,0,47,0,0,0,0
2020-06-06,35,51,23,24,0,0,23,88,0,0,0
2020-06-07,54,27,0,43,0,0,21,78,0,0,44
2020-06-08,38,9,0,22,0,0,0,79,49,0,15
2020-06-09,37,18,62,0,0,0,0,0,0,0,15
2020-06-10,32,0,0,22,0,0,0,81,100,0,0
2020-06-11,30,9,0,0,46,0,0,0,51,0,0
2020-06-12,49,56,50,0,0,0,0,0,0,0,36
2020-06-13,45,10,46,24,0,0,0,0,0,0,49
2020-06-14,39,19,0,0,0,0,0,0,51,0,0
2020-06-15,50,0,0,0,0,0,22,0,53,0,32
2020-06-16,39,53,20,21,0,0,0,0,0,85,29
2020-06-17,34,27,21,0,0,0,0,0,0,0,0
2020-06-18,28,20,23,24,0,0,0,0,0,0,32
2020-06-19,34,0,49,25,0,0,24,0,0,0,17
2020-06-20,66,21,0,0,51,0,0,0,0,0,34
2020-06-21,23,27,21,22,0,0,0,79,49,0,15
2020-06-22,30,10,0,46,0,0,0,83,0,93,31
2020-06-23,24,9,43,22,0,0,0,0,0,0,15
2020-06-24,25,10,45,0,0,0,0,86,0,0,16
2020-06-25,24,28,21,0,0,0,21,81,0,0,46
2020-06-26,40,32,0,0,0,0,24,0,0,0,0
2020-06-27,33,0,24,25,0,0,24,90,0,0,0
2020-06-28,22,0,0,21,0,0,20,0,0,84,0
2020-06-29,40,0,0,23,0,0,22,0,0,0,16
2020-06-30,3,10,22,0,0,0,0,0,0,0,0
2020-07-01,49,10,24,25,0,0,24,0,0,0,51
2020-07-02,29,10,0,0,0,0,0,0,55,0,16
2020-07-03,21,11,0,0,0,0,0,0,0,0,37
2020-07-04,34,11,24,25,0,0,0,0,0,0,0
2020-07-05,36,10,0,68,0,0,22,0,0,0,15
2020-07-06,9,0,22,0,47,83,0,0,0,0,31
2020-07-07,36,0,47,0,0,0,23,0,55,0,17
2020-07-08,16,20,23,0,0,0,0,0,0,0,0
2020-07-09,25,0,0,23,0,0,0,86,0,0,0
2020-07-10,18,11,51,0,0,0,0,0,0,0,18
2020-07-11,17,0,0,0,0,0,24,0,58,0,18
2020-07-12,16,10,0,0,0,0,23,0,54,96,32
2020-07-13,19,10,22,0,0,0,0,0,0,0,0
2020-07-14,22,10,0,0,0,0,23,0,0,0,0
