date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,56,52,31,0,24,0,27,36,50,0,79
2020-04-02,60,53,16,33,25,29,25,65,71,0,100
2020-04-03,65,76,17,18,0,0,7,19,32,57,61
2020-04-04,76,58,0,34,51,30,23,48,63,56,52
2020-04-05,82,63,31,49,12,28,22,100,80,0,34
2020-04-06,100,65,47,49,85,28,31,45,100,53,38
2020-04-07,92,64,64,67,50,29,57,28,82,0,35
2020-04-08,84,100,47,0,49,0,37,27,90,0,19
2020-04-09,97,70,100,0,26,0,33,19,32,0,32
2020-04-10,86,48,0,0,0,30,42,48,53,56,24
2020-04-11,80,64,35,0,55,32,24,41,45,0,17
2020-04-12,71,58,81,34,25,29,22,0,94,55,20
2020-04-13,78,60,92,16,36,28,21,62,39,0,22
2020-04-14,70,39,48,33,37,29,32,9,21,0,12
2020-04-15,82,49,85,18,0,30,20,39,22,57,20
2020-04-16,73,61,81,17,50,0,25,65,72,0,19
2020-04-17,96,59,33,17,0,30,23,48,53,0,36
2020-04-18,75,42,16,17,13,30,23,38,11,0,12
2020-04-19,68,58,49,0,13,29,26,85,63,0,8
2020-04-20,71,54,49,17,0,0,48,76,42,0,43
2020-04-21,66,31,98,51,38,0,35,57,73,55,28
2020-04-22,59,32,48,84,25,58,25,56,72,0,35
2020-04-23,61,38,16,17,74,29,25,65,82,0,69
2020-04-24,59,39,67,17,13,0,13,29,21,0,69
2020-04-25,57,46,40,42,15,0,39,23,25,0,43
2020-04-26,59,39,0,0,31,0,20,35,26,0,63
2020-04-27,61,40,39,20,0,0,38,33,49,66,23
2020-04-28,50,28,37,19,58,67,26,32,0,63,22
2020-04-29,58,28,35,55,14,0,14,41,45,0,42
2020-04-30,52,28,17,18,26,90,33,39,32,0,40
2020-05-01,50,27,0,19,14,0,33,32,35,0,53
2020-05-02,45,22,0,55,27,63,55,71,11,0,30
2020-05-03,50,40,71,37,28,32,28,21,0,0,17
2020-05-04,50,25,35,18,14,0,31,20,56,0,38
2020-05-05,40,32,35,18,40,31,31,20,11,59,17
2020-05-06,44,32,35,36,14,31,17,61,67,0,34
2020-05-07,47,19,0,19,0,66,14,32,12,62,22
2020-05-08,45,24,92,0,0,33,29,32,24,0,31
2020-05-09,41,27,35,37,14,63,21,20,23,0,13
2020-05-10,42,27,0,55,14,0,21,0,45,0,30
2020-05-11,38,29,0,36,40,0,20,89,11,0,17
2020-05-12,35,30,34,0,26,30,17,39,11,0,12
2020-05-13,45,21,52,37,41,0,28,40,11,0,13
2020-05-14,45,23,17,35,0,61,33,20,43,0,12
2020-05-15,36,17,53,0,41,32,28,51,34,0,34
2020-05-16,36,31,35,0,54,0,27,20,33,0,29
2020-05-17,35,22,17,72,40,0,54,69,11,0,25
2020-05-18,39,22,17,53,0,0,20,19,43,0,40
2020-05-19,38,12,48,17,37,29,9,37,21,0,31
2020-05-20,32,25,17,36,0,0,17,60,33,0,13
2020-05-21,36,19,20,21,15,0,35,34,38,0,19
2020-05-22,43,19,0,57,14,0,32,11,12,0,44
2020-05-23,33,10,18,96,43,0,18,0,12,0,18
2020-05-24,31,20,17,18,0,0,17,30,11,0,25
2020-05-25,31,15,37,0,14,0,29,11,23,0,22
2020-05-26,36,18,0,69,13,0,23,29,0,0,36
2020-05-27,29,18,34,18,0,0,40,39,32,57,24
2020-05-28,36,21,31,32,48,0,36,44,20,0,26
2020-05-29,33,20,16,17,12,0,25,9,41,54,27
2020-05-30,33,20,0,81,72,28,46,27,10,0,26
2020-05-31,30,16,0,26,59,23,32,15,40,0,18
2020-06-01,43,21,15,15,45,52,23,76,56,49,14
2020-06-02,39,26,29,15,45,0,20,17,28,0,42
2020-06-03,37,11,28,58,43,50,22,8,0,47,13
2020-06-04,40,18,14,44,43,0,8,32,18,47,20
2020-06-05,55,23,15,78,35,27,6,17,38,51,4
2020-06-06,41,21,15,61,23,26,58,9,19,100,18
2020-06-07,47,17,28,0,66,25,100,33,9,0,20
2020-06-08,38,9,41,57,42,74,59,24,26,0,33
2020-06-09,33,19,14,100,32,0,38,63,26,0,16
2020-06-10,35,18,14,45,100,26,25,41,18,0,21
2020-06-11,25,17,58,90,45,26,20,33,37,0,21
2020-06-12,26,9,0,32,12,0,27,62,0,0,11
2020-06-13,28,13,15,30,34,26,23,42,0,0,21
2020-06-14,29,11,28,44,66,0,81,33,18,0,31
2020-06-15,38,18,15,76,68,26,74,17,19,0,25
2020-06-16,27,17,42,73,32,50,14,65,9,0,20
2020-06-17,32,15,14,29,32,25,32,16,9,0,23
2020-06-18,32,25,14,73,22,25,25,0,0,0,10
2020-06-19,27,11,0,47,23,0,9,0,10,0,11
2020-06-20,22,16,0,61,68,0,17,42,9,0,25
2020-06-21,24,14,42,15,0,50,19,49,9,0,24
2020-06-22,20,8,29,45,34,0,20,8,46,0,28
2020-06-23,20,14,14,44,11,51,30,24,0,0,17
2020-06-24,21,13,15,30,34,0,6,34,19,0,28
2020-06-25,18,11,15,15,45,0,11,42,19,0,32
2020-06-26,18,14,16,16,0,56,6,36,20,0,19
2020-06-27,21,11,15,15,34,27,20,9,19,0,21
2020-06-28,18,7,0,0,0,0,19,0,0,0,34
2020-06-29,18,14,14,30,22,26,8,8,18,0,28
2020-06-30,16,10,42,44,0,50,19,8,36,0,30
2020-07-01,20,6,29,15,22,26,14,33,37,0,48
2020-07-02,15,13,14,15,33,51,8,0,27,0,24
2020-07-03,22,7,0,32,24,28,9,27,10,0,71
2020-07-04,18,7,14,0,55,26,20,8,27,0,45
2020-07-05,17,2,0,45,44,0,6,25,9,0,48
2020-07-06,18,8,28,29,44,25,14,16,0,0,44
2020-07-07,16,7,0,29,22,25,3,16,0,0,37
2020-07-08,17,9,0,0,75,74,8,32,0,0,17
2020-07-09,12,9,0,29,43,25,3,16,0,0,10
2020-07-10,11,12,0,47,12,0,12,0,10,0,33
2020-07-11,13,6,0,30,66,26,0,8,18,0,24
2020-07-12,14,10,0,15,11,0,0,8,0,0,13
2020-07-13,13,6,0,15,54,50,11,16,18,0,27
2020-07-14,15,13,0,30,11,0,8,8,0,0,45
2020-07-15,10,1,0,45,0,0,14,8,0,0,24
2020-07-16,10,8,14,44,22,0,11,0,9,0,27
2020-07-17,13,9,15,16,23,27,0,26,0,0,15
2020-07-18,16,5,0,30,22,0,6,17,18,0,31
2020-07-19,13,6,0,14,0,0,11,16,0,0,17
2020-07-20,13,4,0,29,0,0,5,8,18,0,30
2020-07-21,11,5,0,29,21,25,13,16,26,0,23
2020-07-22,12,8,28,29,32,100,3,16,9,0,24
2020-07-23,10,7,14,29,11,0,6,0,0,0,24
2020-07-24,14,5,0,32,0,0,6,9,0,0,29
2020-07-25,10,4,0,31,12,0,9,35,0,0,18
2020-07-26,10,6,0,0,34,0,6,8,0,0,10
2020-07-27,13,7,0,61,0,0,3,17,0,0,21
2020-07-28,11,2,0,47,0,0,3,0,0,0,11
2020-07-29,9,5,0,62,0,0,6,9,19,0,11
2020-07-30,10,5,0,17,0,29,3,9,10,0,23
2020-07-31,11,7,0,37,0,0,3,10,0,0,21
2020-08-01,13,7,0,0,32,37,8,0,0,0,10
2020-08-02,14,4,0,53,13,0,3,10,0,0,25
2020-08-03,12,6,0,34,0,0,0,0,0,0,19
2020-08-04,10,5,15,16,12,0,6,0,10,0,15
2020-08-05,11,2,0,30,11,52,9,0,9,0,7
2020-08-06,12,6,14,15,0,0,6,8,0,48,21
2020-08-07,8,5,0,16,0,54,6,0,10,0,29
2020-08-08,10,0,0,14,11,0,0,0,9,0,26
2020-08-09,8,7,0,13,0,0,5,0,16,44,16
2020-08-10,10,5,13,14,20,0,5,0,8,0,41
2020-08-11,11,8,0,14,31,24,5,0,0,0,68
2020-08-12,9,4,13,27,10,0,8,0,16,0,64
2020-08-13,8,2,13,14,0,24,8,0,0,0,38
2020-08-14,9,5,0,30,0,52,3,8,9,0,21
2020-08-15,7,2,0,44,0,0,0,8,27,0,40
2020-08-16,7,4,13,55,21,0,8,0,0,0,19
2020-08-17,8,5,0,0,0,0,0,0,0,0,19
2020-08-18,9,3,0,40,0,46,0,0,0,0,28
2020-08-19,8,2,0,13,0,46,8,0,0,0,19
2020-08-20,11,5,13,55,40,23,10,0,17,44,16
2020-08-21,7,7,0,0,34,26,9,8,0,0,10
2020-08-22,7,3,0,54,0,0,10,0,17,0,12
2020-08-23,9,2,0,39,0,0,0,0,0,0,18
2020-08-24,9,3,0,0,0,24,8,0,0,0,32
2020-08-25,6,4,25,0,10,0,5,0,8,0,21
2020-08-26,10,5,13,0,21,24,3,15,0,0,10
2020-08-27,7,3,0,0,21,0,5,0,0,0,13
2020-08-28,9,1,15,46,0,0,6,8,0,0,14
2020-08-29,9,4,14,15,11,0,3,0,0,47,20
2020-08-30,6,2,41,29,11,0,3,0,0,47,7
2020-08-31,9,3,0,0,10,24,10,0,0,0,16
2020-09-01,10,5,0,40,20,0,5,0,0,0,12
2020-09-02,8,2,13,40,0,0,8,0,8,0,6
2020-09-03,9,2,13,0,0,0,0,0,9,0,35
2020-09-04,6,2,15,31,11,26,9,8,0,0,14
2020-09-05,8,7,0,29,11,0,8,8,9,0,17
2020-09-06,7,3,13,14,10,0,10,0,34,0,16
2020-09-07,11,7,13,41,10,0,8,8,8,0,13
2020-09-08,7,5,13,27,30,0,5,0,17,0,9
2020-09-09,8,1,26,55,10,0,0,0,0,0,13
2020-09-10,6,2,0,14,10,24,0,15,9,0,26
2020-09-11,7,5,0,0,0,0,0,8,0,0,14
2020-09-12,8,2,0,29,0,0,5,0,0,0,16
2020-09-13,5,5,13,0,0,23,0,0,17,44,16
2020-09-14,7,1,13,13,10,0,8,0,0,0,12
2020-09-15,8,1,0,41,20,0,8,0,8,44,19
2020-09-16,8,4,0,0,31,24,0,15,8,0,16
2020-09-17,8,8,0,43,0,0,0,8,9,0,10
2020-09-18,8,7,0,15,11,27,0,0,0,0,14
2020-09-19,7,4,0,14,10,0,3,0,0,0,10
2020-09-20,7,2,0,0,20,0,0,7,0,0,0
2020-09-21,5,0,0,39,0,0,5,0,0,42,15
2020-09-22,5,2,12,38,0,0,5,0,0,0,12
2020-09-23,6,1,0,13,19,0,5,7,0,0,27
2020-09-24,6,4,0,27,0,0,3,7,0,0,12
2020-09-25,6,3,0,30,0,0,0,0,0,0,21
2020-09-26,6,3,27,0,0,0,8,0,0,0,13
2020-09-27,8,2,0,0,10,0,2,7,0,0,15
2020-09-28,5,8,0,68,20,0,3,0,0,0,6
2020-09-29,6,2,0,0,0,0,3,0,9,0,13
2020-09-30,6,2,13,0,0,24,0,8,0,0,9
2020-10-01,7,1,13,27,0,24,0,0,0,0,6
2020-10-02,7,4,0,30,11,0,0,8,9,0,7
2020-10-03,4,5,0,43,11,0,3,0,0,0,10
2020-10-04,6,0,0,13,10,0,2,0,0,0,15
2020-10-05,4,2,0,13,40,0,3,7,0,0,12
2020-10-06,5,0,13,13,20,0,5,0,8,0,0
2020-10-07,6,6,13,27,20,0,0,0,8,0,3
2020-10-08,4,3,0,0,10,24,8,0,0,0,10
2020-10-09,7,5,29,30,0,26,0,25,0,0,0
2020-10-10,5,1,0,29,11,0,3,0,0,0,3
2020-10-11,5,0,0,14,10,23,3,7,0,0,19
2020-10-12,6,2,0,28,0,24,5,0,8,0,19
2020-10-13,4,5,0,13,10,0,8,7,8,0,12
2020-10-14,6,4,0,41,10,23,3,7,0,0,3
2020-10-15,5,1,13,14,10,24,5,8,0,0,6
2020-10-16,7,1,14,0,11,26,0,0,0,0,38
2020-10-17,6,0,0,28,10,24,3,0,0,0,19
2020-10-18,5,2,13,0,10,0,5,8,17,0,25
2020-10-19,6,1,0,0,10,0,13,0,8,0,22
2020-10-20,5,2,0,0,0,0,5,0,0,0,25
2020-10-21,5,4,0,27,0,23,0,0,0,0,16
2020-10-22,6,2,26,28,10,0,8,0,0,0,13
2020-10-23,6,1,14,44,0,0,3,0,0,0,3
2020-10-24,6,2,0,27,0,23,3,0,0,0,19
2020-10-25,8,2,13,0,10,47,3,0,0,0,13
2020-10-26,7,3,0,0,11,0,5,0,0,0,7
2020-10-27,7,1,0,27,0,0,0,0,0,0,9
2020-10-28,6,2,0,0,0,0,8,0,0,0,15
2020-10-29,5,1,0,0,0,0,13,15,0,0,13
2020-10-30,4,3,0,0,0,26,0,8,18,48,17
2020-10-31,5,4,0,28,0,48,5,0,0,0,10
2020-11-01,6,7,0,0,0,22,10,7,0,0,12
2020-11-02,6,3,0,26,0,0,7,7,0,0,9
2020-11-03,6,1,0,13,0,22,5,0,0,0,15
2020-11-04,6,3,11,12,0,0,9,0,7,0,3
2020-11-05,6,1,0,12,0,21,2,0,0,0,36
2020-11-06,5,2,0,42,0,0,3,0,0,0,16
2020-11-07,5,1,0,40,10,23,3,0,0,0,9
2020-11-08,6,1,0,13,10,0,5,0,0,0,3
2020-11-09,6,4,13,53,0,0,15,0,8,0,12
2020-11-10,5,3,0,26,0,0,2,0,8,0,24
2020-11-11,5,1,13,26,0,23,2,0,0,43,18
2020-11-12,4,2,0,27,0,0,0,0,8,0,28
2020-11-13,6,9,0,44,0,0,11,0,0,0,21
2020-11-14,6,5,0,28,10,24,3,8,17,0,13
2020-11-15,4,4,0,13,0,0,0,0,16,0,19
2020-11-16,8,3,0,13,0,23,10,0,0,0,25
2020-11-17,8,1,0,13,0,0,5,0,8,0,25
2020-11-18,8,1,13,41,30,23,5,0,0,0,13
2020-11-19,8,3,13,55,21,24,3,0,0,0,19
2020-11-20,6,2,15,0,11,0,6,0,0,0,18
2020-11-21,6,1,0,72,0,0,5,0,0,0,26
2020-11-22,6,4,27,28,0,0,8,16,9,0,20
2020-11-23,5,4,13,42,10,0,3,0,0,0,29
2020-11-24,7,6,37,0,10,22,0,7,0,0,9
2020-11-25,7,1,13,41,20,0,0,0,0,0,19
2020-11-26,5,3,0,41,10,0,8,0,0,0,16
2020-11-27,5,3,0,14,0,25,5,8,17,0,17
2020-11-28,5,4,13,14,0,0,8,0,0,0,10
2020-11-29,4,3,0,0,10,22,5,0,8,0,27
2020-11-30,4,0,0,66,0,0,2,0,0,0,15
