date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,99,100,11,35,0,0,10,16,0,17,14
2020-04-02,97,69,22,17,0,0,12,15,0,100,13
2020-04-03,96,81,11,26,32,0,14,0,0,68,27
2020-04-04,91,59,27,10,0,51,13,0,0,0,16
2020-04-05,100,68,14,54,81,0,16,0,0,21,25
2020-04-06,86,76,11,0,0,0,10,16,31,51,20
2020-04-07,76,58,23,9,100,0,12,32,33,18,7
2020-04-08,73,57,24,18,34,0,15,33,0,0,14
2020-04-09,70,40,12,18,34,0,15,100,0,91,14
2020-04-10,74,60,0,9,0,0,12,17,68,18,29
2020-04-11,67,52,27,21,0,0,11,38,38,0,24
2020-04-12,66,44,26,0,37,0,15,0,0,100,8
2020-04-13,80,68,12,18,34,0,28,33,0,0,35
2020-04-14,76,45,11,34,0,0,17,31,63,0,13
2020-04-15,92,62,0,35,0,0,18,47,0,69,0
2020-04-16,77,43,23,18,0,0,12,33,66,90,21
2020-04-17,62,39,12,27,0,0,9,16,33,36,7
2020-04-18,56,34,12,18,0,0,8,0,33,18,0
2020-04-19,60,46,0,19,0,0,10,0,35,0,0
2020-04-20,51,46,21,16,0,0,12,0,30,49,19
2020-04-21,59,28,11,43,0,41,13,15,31,34,20
2020-04-22,61,35,11,17,0,0,11,16,0,69,20
2020-04-23,57,40,11,26,32,0,8,0,0,0,20
2020-04-24,91,29,11,26,0,0,14,0,0,34,0
2020-04-25,75,25,0,100,37,0,10,36,36,59,16
2020-04-26,62,34,13,72,0,0,7,55,0,40,48
2020-04-27,57,28,11,51,0,0,6,0,31,34,13
2020-04-28,56,30,0,56,30,39,4,29,59,64,6
2020-04-29,62,48,11,82,0,0,5,0,30,49,19
2020-04-30,52,31,0,40,0,0,7,43,58,31,19
2020-05-01,51,22,11,69,0,42,9,0,32,51,20
2020-05-02,52,23,12,46,0,0,5,0,0,54,7
2020-05-03,55,24,0,19,0,47,10,0,35,38,30
2020-05-04,55,30,0,72,30,0,5,14,29,47,19
2020-05-05,53,20,10,40,59,0,10,0,0,31,6
2020-05-06,59,25,11,34,0,0,8,31,31,34,34
2020-05-07,52,26,0,17,33,0,9,16,32,35,27
2020-05-08,48,26,11,45,33,0,10,16,33,0,14
2020-05-09,51,19,13,21,0,0,7,0,0,21,49
2020-05-10,43,37,0,19,0,0,5,34,34,37,14
2020-05-11,50,18,0,24,0,0,6,14,58,47,12
2020-05-12,46,16,0,25,31,0,8,15,0,16,13
2020-05-13,53,21,11,25,0,0,7,15,31,33,20
2020-05-14,49,20,0,43,0,0,6,15,0,0,0
2020-05-15,45,18,0,44,0,0,4,0,0,35,21
2020-05-16,38,25,0,10,0,49,6,18,0,20,23
2020-05-17,39,22,13,10,0,0,4,0,0,41,0
2020-05-18,41,14,0,34,64,0,5,0,0,34,7
2020-05-19,43,18,0,9,0,0,3,0,32,34,20
2020-05-20,43,13,12,18,34,0,2,0,33,0,42
2020-05-21,35,26,26,21,0,0,2,19,0,20,8
2020-05-22,37,20,11,26,0,42,2,0,0,17,14
2020-05-23,34,18,12,47,0,0,2,0,34,37,15
2020-05-24,37,8,12,9,0,46,5,0,0,19,7
2020-05-25,34,14,0,0,31,0,10,15,30,0,6
2020-05-26,36,25,0,17,0,0,4,0,0,34,13
2020-05-27,35,14,0,34,32,0,6,0,31,0,7
2020-05-28,35,18,0,9,0,0,4,15,0,0,7
2020-05-29,35,13,0,0,0,0,5,0,0,35,7
2020-05-30,36,11,13,10,0,0,5,0,0,0,0
2020-05-31,33,17,0,0,38,0,5,0,0,0,0
2020-06-01,30,12,0,0,0,0,5,0,0,19,0
2020-06-02,34,10,0,8,31,0,3,0,0,17,7
2020-06-03,51,11,20,23,0,0,3,0,0,61,12
2020-06-04,33,15,0,22,0,0,5,0,27,15,17
2020-06-05,35,14,10,15,28,0,7,0,0,15,12
2020-06-06,29,13,12,27,0,0,3,0,0,0,14
2020-06-07,36,13,0,9,34,45,2,17,0,36,0
2020-06-08,34,6,0,22,0,0,3,0,0,0,0
2020-06-09,32,21,10,15,86,0,4,0,0,15,12
2020-06-10,32,19,11,0,0,0,3,0,30,16,6
2020-06-11,30,9,0,0,0,41,4,0,30,17,6
2020-06-12,25,13,0,0,0,0,3,0,0,34,7
2020-06-13,29,15,13,10,0,0,3,0,37,20,8
2020-06-14,32,16,0,10,0,0,1,0,36,0,15
2020-06-15,30,3,0,32,0,39,3,0,0,0,31
2020-06-16,31,12,0,8,0,38,1,14,58,16,12
2020-06-17,23,18,10,23,0,0,4,0,0,15,0
2020-06-18,28,12,0,8,61,0,1,30,0,33,6
2020-06-19,30,2,34,18,0,43,2,16,65,0,0
2020-06-20,23,9,0,21,0,0,3,0,0,0,8
2020-06-21,37,16,0,0,0,0,4,18,0,0,8
2020-06-22,34,14,0,9,32,0,2,0,31,0,7
2020-06-23,30,4,12,0,0,0,3,0,0,18,21
2020-06-24,34,15,24,27,0,0,2,0,0,18,7
2020-06-25,32,2,24,0,34,44,1,0,0,0,36
2020-06-26,30,7,35,27,0,0,8,0,0,18,7
2020-06-27,24,12,0,20,0,0,2,0,0,20,15
2020-06-28,28,10,12,9,0,0,2,0,0,0,0
2020-06-29,27,5,44,8,0,0,3,0,31,0,13
2020-06-30,27,11,11,0,0,0,4,0,0,0,0
2020-07-01,29,5,22,17,0,0,1,0,0,0,0
2020-07-02,28,11,23,9,33,0,3,0,33,0,7
2020-07-03,25,12,12,0,70,92,1,0,0,0,15
2020-07-04,23,11,0,10,0,0,8,37,0,0,0
2020-07-05,30,10,0,29,0,0,9,0,0,0,0
2020-07-06,37,11,46,9,33,0,9,0,0,0,7
2020-07-07,28,12,24,0,0,0,4,17,0,0,7
2020-07-08,44,18,11,9,0,43,5,16,32,0,7
2020-07-09,44,14,0,28,0,0,5,0,0,18,22
2020-07-10,33,4,0,68,0,0,3,18,0,19,0
2020-07-11,27,10,15,35,0,0,3,0,0,0,0
2020-07-12,41,14,0,45,0,0,3,0,0,22,18
2020-07-13,47,6,62,10,0,47,2,17,35,19,22
2020-07-14,41,13,35,18,0,0,3,16,0,0,21
2020-07-15,36,14,24,9,0,0,3,0,34,0,37
2020-07-16,35,4,0,19,35,0,4,17,34,0,14
2020-07-17,50,11,0,21,0,0,6,19,0,0,16
2020-07-18,41,18,16,12,45,0,8,0,0,0,0
2020-07-19,49,17,30,23,0,0,2,0,42,0,9
2020-07-20,39,11,0,21,0,50,1,19,38,21,48
2020-07-21,42,2,0,34,0,0,7,0,0,0,9
2020-07-22,55,13,27,31,0,0,3,19,38,0,8
2020-07-23,64,11,26,10,0,0,3,0,37,0,8
2020-07-24,70,8,13,30,0,0,3,36,36,0,16
2020-07-25,75,11,14,22,0,0,6,0,0,0,8
2020-07-26,67,23,14,65,0,0,12,0,0,21,25
2020-07-27,100,16,0,19,0,0,11,17,0,0,43
2020-07-28,85,18,13,49,0,0,12,35,0,0,15
2020-07-29,77,19,39,40,0,49,6,0,0,0,8
2020-07-30,69,17,0,31,0,0,7,0,0,0,40
2020-07-31,66,26,13,51,0,0,3,0,0,20,32
2020-08-01,63,7,0,43,40,0,1,0,0,21,25
2020-08-02,62,15,0,41,0,0,1,0,0,0,16
2020-08-03,58,19,23,18,0,87,2,0,0,0,28
2020-08-04,49,12,24,47,0,0,1,0,0,18,14
2020-08-05,51,12,37,48,0,0,2,0,0,19,7
2020-08-06,43,12,12,29,0,0,1,0,0,0,22
2020-08-07,42,6,13,20,73,0,1,0,36,0,8
2020-08-08,36,2,0,11,0,0,1,0,0,21,8
2020-08-09,38,4,13,0,0,50,1,0,38,0,16
2020-08-10,36,8,0,9,0,0,5,0,33,0,0
2020-08-11,36,6,0,9,0,43,2,0,0,18,69
2020-08-12,39,7,0,18,0,0,2,0,0,18,21
2020-08-13,34,7,0,9,0,0,1,0,0,0,14
2020-08-14,39,4,47,18,0,0,1,0,33,0,21
2020-08-15,39,6,0,10,0,0,2,17,0,19,15
2020-08-16,32,10,25,19,0,0,2,0,0,0,30
2020-08-17,34,9,0,9,0,0,2,0,32,0,27
2020-08-18,37,8,35,36,0,44,1,0,66,18,14
2020-08-19,39,10,12,0,0,0,2,17,0,0,14
2020-08-20,34,8,12,0,0,0,1,0,0,19,22
2020-08-21,40,4,12,19,0,0,1,0,0,0,44
2020-08-22,41,9,0,0,38,0,0,0,0,0,32
2020-08-23,37,18,37,29,0,0,2,0,0,19,0
2020-08-24,37,4,0,53,0,0,2,0,0,0,14
2020-08-25,36,4,11,35,0,0,1,0,32,18,7
2020-08-26,38,4,0,18,0,0,3,0,0,0,28
2020-08-27,40,12,0,0,0,0,4,0,0,0,0
2020-08-28,32,12,36,37,0,0,2,17,0,0,14
2020-08-29,30,4,13,21,38,0,1,0,0,0,8
2020-08-30,32,4,12,29,0,0,4,0,0,0,7
2020-08-31,30,6,0,9,33,0,3,0,0,0,7
2020-09-01,34,2,0,28,0,0,2,0,0,18,0
2020-09-02,38,6,24,28,0,0,0,0,0,19,22
2020-09-03,34,8,12,0,0,0,1,0,34,0,7
2020-09-04,38,4,12,0,0,46,1,0,0,0,30
2020-09-05,31,11,0,10,39,0,0,19,0,21,32
2020-09-06,31,2,0,0,0,0,1,0,0,0,0
2020-09-07,34,4,0,18,0,44,1,0,100,36,36
2020-09-08,32,11,12,27,0,0,1,0,0,0,0
2020-09-09,34,8,0,0,0,0,2,0,33,0,29
2020-09-10,35,6,24,19,0,0,4,0,34,18,22
2020-09-11,32,2,13,20,0,0,1,0,0,0,23
2020-09-12,29,2,28,22,0,0,2,0,0,0,8
2020-09-13,30,5,14,22,0,0,2,0,0,0,8
2020-09-14,45,6,12,0,34,0,2,0,0,0,28
2020-09-15,41,2,36,46,0,0,4,0,34,0,0
2020-09-16,39,0,0,28,0,0,2,0,0,0,7
2020-09-17,37,2,24,18,0,0,2,0,0,0,7
2020-09-18,38,4,12,28,0,46,3,0,0,0,0
2020-09-19,39,7,14,11,0,52,4,0,0,0,17
2020-09-20,34,4,13,21,0,51,4,19,0,21,0
2020-09-21,40,7,0,9,0,0,3,16,0,0,27
2020-09-22,32,13,11,9,0,0,3,0,0,0,14
2020-09-23,41,11,0,0,33,0,3,0,0,0,21
2020-09-24,31,9,0,18,0,0,3,0,0,0,14
2020-09-25,32,8,12,19,0,0,1,0,0,19,7
2020-09-26,24,2,13,31,0,0,0,0,0,0,8
2020-09-27,26,4,26,0,0,50,2,18,0,0,8
2020-09-28,31,2,34,9,0,0,1,0,32,18,7
2020-09-29,31,0,12,9,0,0,1,0,0,0,21
