date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,69,0,27,0,0,0,0,88,0,0,0
2020-04-02,34,42,0,0,52,0,41,0,0,0,0
2020-04-03,51,0,0,0,0,0,0,87,0,0,0
2020-04-04,43,81,0,0,66,0,0,0,0,0,0
2020-04-05,100,100,31,0,0,0,0,0,0,0,0
2020-04-06,19,0,30,0,0,0,0,0,0,0,50
2020-04-07,57,47,0,0,0,95,0,97,87,0,0
2020-04-08,39,0,0,0,0,0,0,100,90,0,0
2020-04-09,41,25,0,32,62,0,0,0,0,0,0
2020-04-10,42,0,33,0,0,0,0,0,0,0,56
2020-04-11,40,51,0,32,0,0,100,0,0,0,0
2020-04-12,44,0,0,0,0,0,0,0,100,0,0
2020-04-13,85,26,100,0,0,0,0,0,0,0,56
2020-04-14,19,24,0,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,21,27,67,0,0,0,0,0,0,0,0
2020-04-18,44,55,35,0,0,0,0,0,0,0,0
2020-04-19,43,54,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,19,23,0,0,0,93,46,0,0,0,0
2020-04-22,0,25,0,0,0,0,0,0,91,0,0
2020-04-23,19,0,0,0,0,0,0,0,89,0,0
2020-04-24,0,0,0,0,0,0,0,0,0,0,50
2020-04-25,0,0,0,0,0,0,48,0,89,0,0
2020-04-26,40,0,0,0,0,0,0,0,0,0,0
2020-04-27,19,24,0,30,0,0,0,0,0,0,0
2020-04-28,18,0,0,0,0,0,0,0,0,0,0
2020-04-29,18,23,0,0,0,0,0,0,0,0,48
2020-04-30,19,24,0,0,0,0,0,0,0,86,50
2020-05-01,20,0,0,63,0,0,0,0,0,0,0
2020-05-02,0,0,0,100,0,0,52,0,0,0,56
2020-05-03,44,28,0,35,0,0,0,0,0,0,58
2020-05-04,0,0,0,30,0,0,0,0,0,0,0
2020-05-05,17,0,0,27,0,0,0,0,0,0,0
2020-05-06,17,0,0,53,0,0,0,0,0,0,0
2020-05-07,16,0,0,26,0,0,0,0,0,0,0
2020-05-08,18,0,0,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,31,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,90,0
2020-05-11,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,20,0,31,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,58,0,0,0,0,0,0,0
2020-05-14,35,0,0,0,0,0,0,0,0,0,46
2020-05-15,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,23,0,0,36,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,29,0,0,0,0,0,0,0,48
2020-05-20,0,0,0,28,0,0,0,0,0,0,0
2020-05-21,0,0,31,0,0,0,0,100,0,0,0
2020-05-22,20,0,0,0,0,0,0,0,0,0,0
2020-05-23,22,0,35,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,57,0,0,0,0,0,0,0
2020-05-27,0,23,29,29,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,29,29,0,0,0,0,0,0,0
2020-05-31,0,25,0,0,0,0,0,0,0,0,0
2020-06-01,18,22,0,0,0,0,0,0,0,0,0
2020-06-02,16,41,0,26,0,0,0,0,0,0,43
2020-06-03,0,0,0,0,54,0,0,0,0,0,0
2020-06-04,0,0,26,26,0,0,0,0,0,0,0
2020-06-05,17,0,0,0,0,0,0,0,0,0,0
2020-06-06,20,25,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,34,0,0,0,0,0,42,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,27,52,0,0,0,78,0,0
2020-06-11,0,21,26,0,0,0,0,0,0,0,0
2020-06-12,18,0,0,0,0,0,0,0,0,0,96
2020-06-13,0,27,0,0,0,0,0,0,0,0,0
2020-06-14,21,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,20,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,28,0,55,0,0,0,0,0,47
2020-06-19,36,23,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,36,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,22,28,0,0,0,0,0,0,0,100,0
2020-06-28,0,0,0,0,0,0,61,0,0,0,0
2020-06-29,20,0,32,32,0,0,0,0,0,0,0
2020-06-30,0,0,0,29,0,0,0,0,0,0,49
2020-07-01,0,0,0,30,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,37,0,0,0,0,0,0,0,0
2020-07-06,21,0,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,31,0,0,0,0,0,0,0,0
2020-07-08,0,0,29,0,0,0,0,0,0,0,0
2020-07-09,20,25,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,0,0,0,34,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,40,25,0,0,0,0,0,0,0,0,52
2020-07-16,0,0,0,0,0,0,0,0,0,89,52
2020-07-17,21,0,0,34,0,0,0,0,0,0,0
2020-07-18,24,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0,0,0,0,0,100
2020-07-22,0,0,0,0,0,0,0,0,0,0,0
2020-07-23,19,0,0,0,0,0,0,0,0,85,0
2020-07-24,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,24,0,0,37,0,0,0,0,0,0,0
2020-07-26,23,0,0,0,70,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,93,0,0,0,0
2020-07-28,0,0,32,0,0,0,0,0,0,0,54
2020-07-29,0,0,0,0,56,92,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,23,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,62,0,0,0,0,100,0,89,0
2020-08-04,0,0,0,0,0,0,0,0,0,79,0
2020-08-05,0,0,0,31,0,0,0,0,0,0,0
