date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,16,0,23,0,0,0,0,0,69,0,20
2020-04-02,38,100,27,0,0,0,0,0,0,0,0
2020-04-03,62,88,0,0,0,0,12,0,0,0,0
2020-04-04,46,0,100,0,0,0,13,0,100,0,0
2020-04-05,86,46,0,0,0,0,12,0,93,0,0
2020-04-06,67,53,24,0,0,0,0,0,0,0,0
2020-04-07,36,19,26,0,0,0,10,0,0,0,0
2020-04-08,38,0,0,0,0,0,22,0,0,0,0
2020-04-09,58,21,0,0,0,0,0,0,0,0,24
2020-04-10,0,0,75,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,95,0,0
2020-04-12,21,23,0,0,0,0,0,0,0,0,0
2020-04-13,59,0,0,0,0,0,11,0,0,0,25
2020-04-14,18,0,0,0,0,90,0,0,0,0,0
2020-04-15,20,0,0,0,0,0,0,0,0,0,0
2020-04-16,20,21,0,0,0,0,12,0,0,0,25
2020-04-17,37,20,0,0,0,0,0,0,0,0,0
2020-04-18,23,0,0,58,0,0,0,0,0,0,0
2020-04-19,0,46,63,0,0,0,0,0,0,0,0
2020-04-20,0,21,0,0,0,0,11,0,0,0,0
2020-04-21,31,17,0,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0,0,90,0
2020-04-23,83,67,30,0,0,0,0,0,0,0,26
2020-04-24,40,0,0,0,0,0,0,0,0,0,75
2020-04-25,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0,23,0,0,100,0,0,0,0,0,0
2020-04-27,18,0,0,0,0,0,0,0,0,0,0
2020-04-28,19,0,0,0,0,0,11,0,0,0,23
2020-04-29,0,18,25,0,0,0,0,0,0,0,0
2020-04-30,0,0,48,0,0,0,10,0,0,0,0
2020-05-01,18,0,0,0,0,0,21,0,0,0,0
2020-05-02,40,0,0,0,0,0,0,0,0,0,0
2020-05-03,49,0,0,0,0,0,28,0,0,0,0
2020-05-04,41,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,19,0,0,0,0,20,0,0,0,22
2020-05-06,19,20,0,0,0,0,0,0,0,0,23
2020-05-07,37,20,27,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,100,0,0,0,0,0,0,0,86,0,0
2020-05-10,43,0,0,0,0,0,12,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,11,0,0,0,0
2020-05-13,19,0,27,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,38,0,0,0,0,0,0,0,0,0,23
2020-05-16,45,0,32,0,0,0,0,0,0,0,28
2020-05-17,0,23,0,0,0,0,13,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,22
2020-05-19,0,20,0,0,0,0,0,0,0,0,0
2020-05-20,64,23,0,55,0,0,0,0,0,0,0
2020-05-21,0,21,0,0,0,0,0,0,0,0,0
2020-05-22,18,19,0,0,0,0,11,0,0,0,0
2020-05-23,21,22,0,0,0,0,12,0,0,0,0
2020-05-24,44,0,0,0,0,0,0,0,0,0,0
2020-05-25,21,22,0,0,0,0,0,0,0,0,26
2020-05-26,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,10,0,0,0,22
2020-05-28,20,21,0,0,0,0,0,0,87,0,0
2020-05-29,0,38,0,0,0,0,21,0,0,0,0
2020-05-30,0,0,0,0,0,0,12,0,0,0,0
2020-05-31,21,0,0,0,0,0,12,0,0,0,0
2020-06-01,54,0,26,0,0,0,21,0,0,0,0
2020-06-02,0,0,0,0,0,0,24,0,0,0,0
2020-06-03,18,19,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,61,22,0,0,0,0,0,0,0,0,25
2020-06-06,20,0,58,52,0,0,12,0,0,0,0
2020-06-07,0,0,32,58,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,36,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,38,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,100,0,0,0,0,0,89,0
2020-06-13,22,0,0,0,0,0,0,0,0,0,0
2020-06-14,41,0,0,0,0,0,0,0,0,0,0
2020-06-15,35,19,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,24,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,49
2020-06-19,0,0,0,0,0,0,0,0,0,0,24
2020-06-20,21,0,0,0,0,0,0,0,0,0,26
2020-06-21,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,37,20,0,0,0,0,0,0,0,0,0
2020-06-23,18,0,0,0,0,0,0,0,0,0,0
2020-06-24,20,0,0,0,0,0,0,0,0,0,24
2020-06-25,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,21,23,0,0,0,0,0,0,0,0,26
2020-06-27,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,32,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0,31
2020-07-01,0,0,0,51,0,0,0,0,0,0,0
2020-07-02,19,0,27,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,43,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,30,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,19,0,0,0,0,93,0,0,0,0,0
2020-07-08,19,0,0,0,0,0,0,0,0,0,23
2020-07-09,0,0,0,0,0,0,10,0,0,0,0
2020-07-10,19,0,0,0,0,0,0,0,0,0,0
2020-07-11,21,22,30,0,0,0,0,0,0,0,0
2020-07-12,23,0,34,60,0,0,0,0,0,0,0
2020-07-13,18,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,0,0,29,0,0,0,0,0,0,0,0
2020-07-16,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,0,0,0,91,0,0,0,0,0,0,0
2020-07-18,0,0,27,0,0,0,0,0,0,0,0
2020-07-19,22,0,0,0,0,0,0,0,0,0,0
2020-07-20,18,0,26,0,0,0,0,0,0,0,0
2020-07-21,35,0,0,0,0,0,0,0,0,0,22
2020-07-22,0,0,0,0,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0,20
2020-07-24,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,18,0,26,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,18,0,0,0,0,0,10,0,0,0,0
2020-07-31,17,0,24,43,0,0,0,0,0,0,21
2020-08-01,37,0,0,0,0,0,0,0,0,0,23
2020-08-02,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,0,0,0,21
2020-08-04,17,0,0,43,0,0,10,0,0,0,0
2020-08-05,15,0,0,0,0,0,0,0,0,0,0
2020-08-06,17,0,0,43,0,0,0,0,0,0,0
2020-08-07,16,0,0,0,0,0,0,0,0,0,0
2020-08-08,38,0,27,0,0,0,0,0,0,0,24
2020-08-09,37,0,0,0,0,0,0,0,0,0,0
2020-08-10,30,0,0,0,0,0,9,0,0,0,18
2020-08-11,0,0,0,0,0,0,100,0,0,0,0
2020-08-12,33,35,24,0,0,0,38,0,0,0,20
2020-08-13,17,0,0,0,0,0,29,0,0,0,0
2020-08-14,32,0,0,0,0,0,9,0,0,0,100
2020-08-15,15,0,0,0,0,0,35,0,0,0,19
2020-08-16,0,0,23,0,0,0,28,0,0,0,40
2020-08-17,32,17,0,0,0,0,19,0,0,0,20
2020-08-18,15,16,0,38,0,0,17,0,0,0,18
2020-08-19,0,0,0,0,0,0,15,0,0,0,0
2020-08-20,29,0,0,38,69,0,9,0,0,0,0
2020-08-21,28,0,0,0,0,0,8,0,0,0,17
2020-08-22,0,17,0,0,0,0,19,100,0,0,20
2020-08-23,43,0,21,0,0,0,17,0,0,0,18
2020-08-24,28,15,0,0,0,0,8,0,0,0,18
2020-08-25,0,0,68,0,0,0,27,0,0,0,0
2020-08-26,62,16,0,0,0,0,27,0,0,0,0
2020-08-27,0,0,22,0,72,0,0,0,0,0,38
2020-08-28,17,0,25,0,0,0,20,0,0,0,21
2020-08-29,0,0,0,0,0,0,19,0,69,0,0
2020-08-30,18,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,21,0,0,0,17,0,0,0,0
2020-09-01,17,0,24,43,0,0,20,0,0,0,0
2020-09-02,16,0,0,0,0,0,9,0,0,0,0
2020-09-03,17,0,0,0,0,0,10,0,0,0,42
2020-09-04,0,17,0,0,0,0,0,0,0,0,0
2020-09-05,49,0,0,0,0,0,0,0,0,0,0
2020-09-06,16,0,47,0,0,0,9,0,0,0,60
2020-09-07,0,17,22,80,0,0,0,0,0,0,0
2020-09-08,31,0,45,0,0,0,9,0,0,0,38
2020-09-09,15,0,0,0,0,0,0,0,0,0,19
2020-09-10,14,0,0,36,0,0,0,0,0,0,18
2020-09-11,0,0,0,0,0,0,0,83,0,0,16
2020-09-12,0,17,0,0,0,0,0,0,0,0,20
2020-09-13,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,28,15,20,36,0,0,8,0,0,0,0
2020-09-15,0,0,20,0,0,0,0,0,0,0,0
