date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,69,66,0,40,0,11,100,0,0,0
2020-04-02,55,54,77,38,0,0,40,0,0,0,64
2020-04-03,85,100,0,0,0,0,37,0,94,0,59
2020-04-04,81,25,0,35,44,0,100,0,0,0,60
2020-04-05,56,54,39,0,0,0,27,0,0,0,32
2020-04-06,61,53,0,0,0,0,92,0,0,0,95
2020-04-07,44,60,0,0,0,0,48,0,0,0,29
2020-04-08,74,100,0,0,0,0,25,0,0,0,60
2020-04-09,45,42,0,39,0,0,69,0,0,76,67
2020-04-10,65,39,74,0,0,0,38,0,0,0,31
2020-04-11,55,40,0,0,47,0,0,0,0,0,0
2020-04-12,42,39,0,0,0,0,13,0,0,0,31
2020-04-13,41,51,0,36,0,0,13,0,0,0,0
2020-04-14,17,0,36,0,0,0,12,0,0,0,30
2020-04-15,53,0,33,0,0,0,11,0,87,0,28
2020-04-16,11,24,67,66,0,0,23,0,89,0,0
2020-04-17,15,33,62,0,38,0,22,0,0,0,0
2020-04-18,22,12,0,0,0,0,82,0,0,0,57
2020-04-19,27,0,34,0,41,0,12,0,0,0,0
2020-04-20,39,21,91,0,0,0,11,0,0,0,25
2020-04-21,20,22,0,30,0,0,21,47,0,0,0
2020-04-22,16,12,33,0,0,0,12,51,0,0,28
2020-04-23,38,21,30,59,0,0,31,0,0,0,25
2020-04-24,11,24,0,0,0,0,24,0,0,0,0
2020-04-25,6,0,69,0,42,0,0,52,0,0,0
2020-04-26,27,0,34,0,0,0,35,0,89,0,0
2020-04-27,25,0,0,62,0,0,55,0,0,0,0
2020-04-28,21,45,64,0,0,94,11,0,0,0,0
2020-04-29,10,11,0,0,0,0,0,47,0,0,26
2020-04-30,14,30,0,56,0,0,0,0,0,0,24
2020-05-01,11,0,0,0,0,0,23,0,0,0,0
2020-05-02,11,0,34,100,0,0,12,0,0,0,0
2020-05-03,11,0,0,0,0,0,37,0,0,0,30
2020-05-04,30,22,0,31,0,0,0,48,0,0,26
2020-05-05,23,20,28,28,0,0,20,0,0,0,0
2020-05-06,25,0,0,30,0,0,21,0,0,58,0
2020-05-07,32,0,34,0,0,0,35,51,0,0,28
2020-05-08,14,10,0,0,0,87,51,0,0,0,25
2020-05-09,23,12,0,0,0,0,37,0,0,0,30
2020-05-10,36,0,0,32,0,0,11,0,0,0,0
2020-05-11,44,11,30,0,37,0,0,0,0,0,25
2020-05-12,15,0,31,31,0,0,11,0,0,0,26
2020-05-13,10,21,61,0,0,0,11,0,0,0,0
2020-05-14,14,0,60,29,0,0,0,0,0,0,0
2020-05-15,15,11,32,0,0,0,22,0,0,0,26
2020-05-16,17,12,0,34,0,0,24,0,92,0,0
2020-05-17,6,0,0,71,0,0,0,0,0,0,0
2020-05-18,9,10,82,0,0,0,19,0,0,0,0
2020-05-19,14,21,88,0,0,0,31,0,0,56,0
2020-05-20,13,9,54,0,0,0,19,0,0,0,22
2020-05-21,5,0,34,67,0,100,36,0,0,0,29
2020-05-22,15,11,63,0,0,0,22,48,0,60,53
2020-05-23,13,0,0,0,0,0,14,0,0,0,0
2020-05-24,39,14,0,0,100,0,0,63,0,0,0
2020-05-25,20,11,0,31,0,0,11,0,0,0,0
2020-05-26,39,22,31,0,0,0,0,0,0,0,52
2020-05-27,10,0,30,0,0,0,0,0,0,0,0
2020-05-28,14,10,0,0,36,0,10,0,78,0,0
2020-05-29,20,11,0,0,0,0,22,0,0,0,26
2020-05-30,25,13,38,0,0,0,0,0,0,0,0
2020-05-31,20,14,41,0,0,0,0,0,0,0,34
2020-06-01,0,0,32,0,0,0,34,0,0,0,27
2020-06-02,0,10,0,0,0,0,10,0,77,0,0
2020-06-03,14,10,0,0,0,0,0,0,0,0,24
2020-06-04,4,0,0,0,0,0,9,0,0,0,0
2020-06-05,4,19,27,0,0,0,0,0,0,0,0
2020-06-06,6,14,80,39,0,0,14,0,0,0,0
2020-06-07,0,27,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,9,38,0,48,0
2020-06-09,4,0,0,26,0,0,0,0,0,0,0
2020-06-10,8,0,0,0,0,0,0,0,69,0,0
2020-06-11,4,9,100,0,0,0,0,0,66,0,0
2020-06-12,0,0,27,0,0,0,19,0,0,0,23
2020-06-13,6,0,39,38,0,0,27,0,0,0,33
2020-06-14,0,0,0,0,39,0,11,0,85,0,0
2020-06-15,13,19,0,0,0,0,46,0,0,0,0
2020-06-16,0,9,0,0,0,0,9,0,0,0,23
2020-06-17,0,9,0,0,0,0,0,0,0,0,22
2020-06-18,13,20,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,23
2020-06-20,19,27,0,0,0,0,0,0,0,0,0
2020-06-21,6,27,0,0,0,0,0,0,100,0,0
2020-06-22,9,0,27,0,33,0,9,0,0,0,0
2020-06-23,0,0,0,54,0,0,0,0,0,0,0
2020-06-24,19,0,0,0,0,0,0,0,0,55,0
2020-06-25,18,10,27,0,0,0,0,0,0,0,23
2020-06-26,5,10,0,29,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,26,0,0,0,32
2020-06-28,23,0,71,0,0,0,0,0,0,0,0
2020-06-29,0,0,83,0,0,0,0,0,0,0,23
2020-06-30,9,10,27,0,0,0,9,0,0,0,0
2020-07-01,10,0,32,0,0,0,11,0,0,61,0
2020-07-02,12,18,76,0,0,74,0,0,0,0,21
2020-07-03,0,0,29,0,0,0,0,0,0,0,24
2020-07-04,17,0,0,0,0,0,12,0,0,0,30
2020-07-05,12,25,0,0,0,0,25,0,0,0,0
2020-07-06,18,20,85,0,0,0,0,0,0,0,0
2020-07-07,4,0,27,0,0,0,0,42,73,0,0
2020-07-08,4,9,0,0,0,0,0,0,0,0,0
2020-07-09,13,0,0,0,0,0,10,0,0,0,23
2020-07-10,5,0,0,0,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,6,13,0,0,0,0,0,0,0,0,32
2020-07-13,8,9,53,0,0,0,0,0,0,50,44
2020-07-14,35,22,0,0,0,0,0,0,0,0,0
2020-07-15,9,10,0,0,0,0,0,0,0,0,45
2020-07-16,9,0,29,29,0,0,20,0,0,0,24
2020-07-17,13,29,27,0,0,0,0,0,0,0,23
2020-07-18,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,6,0,36,0,0,0,0,0,0,0,0
2020-07-20,12,0,78,0,0,0,0,0,0,0,0
2020-07-21,6,13,0,0,0,0,0,0,0,0,31
2020-07-22,0,0,0,0,0,0,0,0,0,0,25
2020-07-23,14,0,0,0,0,0,0,0,0,0,0
2020-07-24,5,0,0,0,0,0,11,0,0,0,0
2020-07-25,0,0,0,0,0,0,41,0,0,0,0
2020-07-26,6,0,37,0,0,0,13,0,0,0,0
2020-07-27,5,0,0,0,0,0,0,0,0,0,0
2020-07-28,9,0,0,0,0,0,10,0,0,0,23
2020-07-29,9,0,56,0,0,0,20,0,0,0,24
2020-07-30,14,0,59,0,0,0,31,0,0,0,25
2020-07-31,23,10,28,0,0,0,0,0,0,54,24
2020-08-01,5,0,0,0,0,0,0,0,0,0,24
2020-08-02,5,0,31,0,0,0,11,0,0,0,0
2020-08-03,8,27,26,0,0,0,18,0,68,0,22
2020-08-04,12,18,75,0,0,0,17,0,0,0,21
2020-08-05,16,0,49,0,0,0,17,0,0,0,0
2020-08-06,12,26,25,0,0,0,0,0,0,0,0
2020-08-07,8,0,51,0,0,0,9,0,0,0,0
2020-08-08,0,0,30,0,0,0,0,0,0,0,100
2020-08-09,14,21,30,0,0,0,0,0,0,0,25
2020-08-10,17,9,54,0,0,0,0,0,72,0,0
2020-08-11,8,9,25,0,0,0,18,0,0,0,42
2020-08-12,4,0,0,0,0,0,9,0,0,0,62
2020-08-13,9,9,27,0,0,0,9,0,71,0,23
