date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,91,90,17,0,0,0,1,57,25,33,45
2020-04-02,100,100,26,19,0,0,1,100,26,34,48
2020-04-03,91,94,27,10,26,53,1,76,67,36,60
2020-04-04,86,80,11,12,0,0,1,51,16,86,26
2020-04-05,84,82,100,24,0,65,1,46,49,87,54
2020-04-06,82,77,40,9,0,47,1,42,48,0,34
2020-04-07,71,64,8,25,44,0,1,47,69,31,42
2020-04-08,63,61,17,27,24,0,1,31,12,66,20
2020-04-09,59,60,35,28,0,0,1,30,26,0,37
2020-04-10,59,60,21,0,0,0,1,22,15,41,6
2020-04-11,59,55,52,11,0,0,2,20,16,41,44
2020-04-12,55,57,33,12,0,0,4,15,33,0,13
2020-04-13,58,57,17,9,0,0,2,27,25,0,82
2020-04-14,53,55,25,79,23,0,2,33,49,33,25
2020-04-15,51,56,17,0,48,0,2,31,25,67,46
2020-04-16,50,50,52,9,0,0,1,29,77,34,37
2020-04-17,51,46,26,65,0,0,2,25,0,0,16
2020-04-18,45,41,41,65,0,0,1,29,0,0,25
2020-04-19,44,43,11,23,0,63,1,22,32,42,19
2020-04-20,43,44,34,45,24,0,1,22,38,0,31
2020-04-21,41,39,38,10,54,0,1,23,0,0,11
2020-04-22,43,42,17,35,0,0,1,29,37,33,45
2020-04-23,43,42,17,27,0,0,1,30,25,33,30
2020-04-24,37,36,17,18,0,0,2,23,13,34,26
2020-04-25,38,36,41,11,0,0,1,20,31,41,13
2020-04-26,36,35,21,44,0,0,2,11,0,0,31
2020-04-27,36,37,8,9,0,0,4,20,37,0,20
2020-04-28,38,41,8,17,0,95,3,27,36,96,20
2020-04-29,45,41,8,0,0,0,6,23,25,33,46
2020-04-30,43,42,8,18,48,0,19,24,50,33,26
2020-05-01,44,38,0,33,0,0,37,22,15,0,19
2020-05-02,41,38,10,33,29,0,21,23,15,0,31
2020-05-03,39,33,43,23,0,0,25,25,0,42,13
2020-05-04,36,37,25,27,24,0,24,29,38,33,31
2020-05-05,39,36,22,32,0,0,42,27,33,29,27
2020-05-06,36,37,0,0,23,0,83,25,24,64,20
2020-05-07,37,34,8,9,0,49,100,21,37,33,20
2020-05-08,34,31,9,19,0,52,67,20,0,0,27
2020-05-09,36,32,32,34,30,0,43,18,0,42,26
2020-05-10,33,30,22,36,0,0,24,17,17,0,27
2020-05-11,34,33,34,9,24,0,46,16,12,0,31
2020-05-12,33,29,17,18,0,0,28,20,37,33,35
2020-05-13,31,28,25,18,0,0,23,19,37,0,50
2020-05-14,33,32,17,9,23,48,28,18,12,0,45
2020-05-15,35,38,9,28,49,51,30,17,0,0,26
2020-05-16,33,31,21,11,0,0,25,11,0,81,19
2020-05-17,41,40,21,0,0,62,22,12,0,0,32
2020-05-18,34,36,25,9,23,48,29,15,37,0,75
2020-05-19,32,34,25,44,0,0,20,15,0,0,35
2020-05-20,34,35,16,9,0,0,17,13,12,32,20
2020-05-21,30,33,8,36,24,0,36,13,25,0,25
2020-05-22,28,31,34,18,0,0,24,13,38,0,10
2020-05-23,28,32,40,21,0,0,14,11,15,39,48
2020-05-24,28,28,31,33,0,0,14,9,31,0,25
2020-05-25,28,33,9,0,0,0,21,11,13,0,42
2020-05-26,24,27,0,18,0,0,11,12,25,33,45
2020-05-27,24,26,9,9,0,0,10,14,76,33,21
2020-05-28,23,25,17,9,24,0,8,11,38,100,21
2020-05-29,22,25,9,9,0,0,8,10,13,0,27
2020-05-30,21,23,11,34,0,0,7,11,32,42,39
2020-05-31,23,23,0,12,0,0,7,7,16,0,33
2020-06-01,23,26,42,9,0,48,5,14,62,33,35
2020-06-02,21,22,0,17,0,0,6,13,12,0,25
2020-06-03,21,23,23,8,22,0,5,11,0,0,23
2020-06-04,21,22,31,16,0,0,6,11,23,61,5
2020-06-05,21,21,8,35,0,0,7,16,12,0,15
2020-06-06,23,24,10,11,0,0,5,14,47,0,19
2020-06-07,24,23,33,0,0,0,6,6,0,43,13
2020-06-08,20,23,0,40,0,0,6,13,56,0,9
2020-06-09,21,24,23,24,0,0,6,8,34,0,5
2020-06-10,20,20,0,17,0,0,5,13,61,0,15
2020-06-11,19,21,29,20,0,0,5,8,28,0,29
2020-06-12,19,20,28,39,26,0,4,7,0,0,50
2020-06-13,20,22,0,0,0,63,3,8,16,0,33
2020-06-14,20,21,22,11,0,0,4,10,0,0,26
2020-06-15,19,23,25,27,24,0,4,14,25,33,25
2020-06-16,20,23,24,0,0,0,4,6,12,0,10
2020-06-17,21,22,8,45,24,0,7,12,38,33,10
2020-06-18,18,21,8,36,0,0,7,13,25,33,0
2020-06-19,19,21,27,19,0,0,11,10,26,35,43
2020-06-20,20,23,11,12,0,0,7,9,32,0,20
2020-06-21,19,16,45,36,0,0,5,9,0,0,20
2020-06-22,18,14,26,18,0,0,7,12,38,34,36
2020-06-23,16,15,17,9,0,100,13,7,51,0,5
2020-06-24,16,14,9,28,0,0,14,11,26,34,27
2020-06-25,14,12,25,18,0,0,14,10,25,33,20
2020-06-26,15,14,18,0,0,0,15,9,26,0,16
2020-06-27,13,12,32,34,0,0,7,4,16,0,32
2020-06-28,16,11,21,23,30,0,6,5,16,0,19
2020-06-29,14,13,0,9,0,0,41,6,26,0,31
2020-06-30,12,11,0,18,0,0,36,6,13,0,21
2020-07-01,12,9,0,28,0,0,11,6,52,0,21
2020-07-02,11,9,9,28,0,0,9,10,52,0,37
2020-07-03,11,10,18,0,0,0,10,7,55,0,17
2020-07-04,13,10,11,0,32,0,7,7,0,44,20
2020-07-05,12,8,23,12,32,0,5,8,33,89,14
2020-07-06,12,11,0,36,0,0,5,10,38,0,31
2020-07-07,14,11,0,9,0,0,3,7,13,33,15
2020-07-08,12,8,0,9,25,0,4,9,13,69,11
2020-07-09,10,8,45,9,25,0,4,9,13,0,5
2020-07-10,11,8,58,10,27,56,4,8,14,0,29
2020-07-11,11,7,0,12,0,0,3,4,0,0,21
2020-07-12,12,10,0,12,0,0,4,6,17,0,14
2020-07-13,10,9,9,19,0,0,5,7,40,35,59
2020-07-14,10,8,0,0,0,0,5,8,39,34,47
2020-07-15,10,7,0,9,0,0,6,9,39,0,16
2020-07-16,10,8,9,0,26,0,3,8,54,0,33
2020-07-17,11,7,0,41,27,0,7,7,0,38,23
2020-07-18,11,8,12,12,0,0,8,6,17,0,64
2020-07-19,11,9,0,13,0,72,5,6,18,0,37
2020-07-20,10,8,27,0,0,0,5,9,68,0,100
2020-07-21,10,7,18,0,0,0,5,6,27,0,27
2020-07-22,10,8,9,9,0,0,3,7,0,0,27
2020-07-23,9,6,9,38,25,0,4,9,13,0,16
2020-07-24,10,6,19,41,0,0,3,7,43,0,35
2020-07-25,11,6,0,0,0,0,3,6,0,0,7
2020-07-26,9,6,0,25,0,0,2,4,34,46,7
2020-07-27,9,8,0,10,0,0,2,4,40,0,44
2020-07-28,9,8,0,0,0,0,2,9,40,35,27
2020-07-29,7,6,0,19,0,0,2,6,39,0,21
2020-07-30,8,5,9,9,0,0,2,7,52,34,5
2020-07-31,8,7,9,0,0,0,2,6,56,0,11
2020-08-01,10,7,23,25,0,0,2,4,52,0,21
2020-08-02,9,6,0,0,0,0,1,5,18,46,14
2020-08-03,8,6,9,10,0,53,2,5,13,0,38
2020-08-04,8,5,0,29,25,52,2,5,27,0,16
2020-08-05,7,5,27,9,0,52,3,6,0,0,43
2020-08-06,7,6,0,28,25,0,3,4,13,35,11
2020-08-07,8,5,29,31,0,0,4,6,72,38,18
2020-08-08,8,4,0,12,0,0,2,4,0,0,14
2020-08-09,8,5,0,0,0,0,3,5,18,48,15
2020-08-10,6,5,18,10,0,53,2,4,13,0,16
2020-08-11,7,5,0,9,25,51,2,10,52,0,74
2020-08-12,7,5,0,18,48,0,1,10,13,33,56
2020-08-13,8,6,9,18,48,0,2,14,0,0,31
2020-08-14,7,4,18,0,76,0,2,7,13,0,16
2020-08-15,6,4,0,11,30,0,1,3,16,0,32
2020-08-16,7,6,11,0,31,0,1,5,16,43,26
