date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,43,79,31,0,0,0,29,0,0,0,0
2020-04-02,100,27,31,0,0,0,0,0,0,71,0
2020-04-03,32,29,34,0,0,0,33,0,0,0,0
2020-04-04,67,94,0,0,96,0,0,0,0,0,0
2020-04-05,18,34,40,0,53,0,38,0,57,0,0
2020-04-06,64,30,0,44,46,0,0,0,0,0,0
2020-04-07,0,55,0,40,0,0,30,0,0,0,83
2020-04-08,0,0,65,42,43,0,0,0,0,0,29
2020-04-09,63,0,34,87,0,0,0,0,0,0,0
2020-04-10,88,65,38,48,100,0,36,0,0,0,0
2020-04-11,47,58,34,0,45,0,0,0,0,0,30
2020-04-12,73,34,39,0,0,0,0,0,0,0,0
2020-04-13,75,0,0,0,0,0,0,0,0,0,0
2020-04-14,31,29,0,0,88,0,32,84,0,0,29
2020-04-15,47,58,0,0,0,0,32,0,0,0,0
2020-04-16,48,30,0,0,0,0,0,0,50,0,0
2020-04-17,52,32,37,0,0,0,36,0,0,0,33
2020-04-18,50,63,0,0,48,0,0,0,0,0,0
2020-04-19,19,0,0,0,0,0,39,0,0,0,35
2020-04-20,16,0,0,44,0,0,100,0,0,0,30
2020-04-21,78,0,34,43,0,0,0,0,0,78,0
2020-04-22,32,30,0,0,46,0,34,0,50,0,31
2020-04-23,32,0,34,0,0,0,33,0,0,79,0
2020-04-24,0,0,0,0,0,0,0,0,0,0,33
2020-04-25,19,0,0,0,0,0,40,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,95,36
2020-04-27,17,0,0,0,0,0,0,0,0,0,98
2020-04-28,47,58,0,0,0,0,33,0,0,0,0
2020-04-29,16,58,67,0,0,0,32,0,0,0,0
2020-04-30,48,30,0,44,0,0,33,0,50,0,30
2020-05-01,67,0,0,0,0,0,0,91,0,0,0
2020-05-02,69,0,0,0,0,0,36,0,0,0,0
2020-05-03,19,0,83,0,0,0,40,0,0,0,0
2020-05-04,0,0,67,0,0,0,32,0,0,0,0
2020-05-05,0,30,0,0,0,0,33,0,0,79,0
2020-05-06,0,30,34,0,0,0,0,0,0,0,30
2020-05-07,16,0,0,0,0,0,0,0,0,0,0
2020-05-08,54,100,0,49,0,0,0,0,0,0,0
2020-05-09,18,33,0,0,0,0,0,0,0,0,0
2020-05-10,19,71,0,0,0,0,79,0,0,0,36
2020-05-11,19,0,0,52,0,0,39,0,0,0,36
2020-05-12,0,0,0,0,0,0,33,0,0,0,0
2020-05-13,16,61,35,0,0,0,0,0,0,0,93
2020-05-14,0,32,0,0,0,0,36,0,0,0,0
2020-05-15,0,0,38,0,50,0,0,0,0,0,33
2020-05-16,0,0,0,0,51,0,37,0,0,0,0
2020-05-17,0,0,41,52,0,0,0,0,0,94,36
2020-05-18,34,0,0,48,0,0,36,0,0,0,0
2020-05-19,34,0,0,0,0,0,0,0,0,0,32
2020-05-20,65,0,35,0,0,0,34,0,0,0,62
2020-05-21,19,0,40,52,0,0,0,0,0,0,0
2020-05-22,19,0,0,0,0,0,0,0,0,0,0
2020-05-23,20,0,0,0,0,0,83,0,0,0,0
2020-05-24,0,0,100,0,0,0,0,0,0,0,0
2020-05-25,20,0,43,0,0,0,0,0,0,0,0
2020-05-26,20,37,0,0,0,0,0,0,0,0,0
2020-05-27,19,0,0,0,0,0,0,0,0,0,0
2020-05-28,35,0,0,0,0,0,0,0,0,87,0
2020-05-29,18,0,39,0,0,0,37,0,0,0,0
2020-05-30,33,0,0,46,0,0,35,0,0,0,0
2020-05-31,39,36,0,0,0,0,40,0,0,0,0
2020-06-01,17,0,0,0,0,0,71,0,0,0,0
2020-06-02,16,0,0,0,0,0,0,0,50,80,0
2020-06-03,0,0,0,0,0,0,0,0,0,0,29
2020-06-04,32,60,35,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,17,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,37,0,0,0,0,0,0,0,0
