date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,58,38,0,0,0,0,0,56,42,0,27
2020-04-02,77,58,18,40,0,0,10,57,0,0,28
2020-04-03,92,72,39,86,0,0,11,61,0,0,59
2020-04-04,79,34,21,47,0,0,0,33,50,54,32
2020-04-05,73,67,21,46,0,0,0,66,0,0,32
2020-04-06,100,58,18,40,0,0,0,29,0,0,0
2020-04-07,52,51,38,42,0,0,11,30,0,0,15
2020-04-08,49,73,39,0,0,0,11,0,0,0,30
2020-04-09,80,64,0,44,0,73,0,31,0,0,15
2020-04-10,57,100,42,0,0,0,12,33,0,0,16
2020-04-11,72,52,48,0,0,88,14,38,0,0,55
2020-04-12,98,74,0,0,0,0,0,73,0,0,0
2020-04-13,82,66,61,0,0,0,23,32,0,0,0
2020-04-14,59,21,20,0,73,0,11,0,0,0,30
2020-04-15,54,52,0,43,0,0,33,0,46,100,0
2020-04-16,64,57,21,48,0,0,0,34,0,0,16
2020-04-17,58,37,70,0,0,0,0,0,0,0,18
2020-04-18,89,54,51,0,0,0,15,0,0,0,0
2020-04-19,65,63,0,0,0,0,13,0,0,0,0
2020-04-20,57,77,21,46,0,0,0,32,0,0,0
2020-04-21,31,0,36,40,0,0,0,28,42,0,0
2020-04-22,19,0,0,43,0,0,22,30,0,0,29
2020-04-23,53,41,0,85,0,0,22,0,0,0,15
2020-04-24,51,11,20,0,0,0,0,32,48,0,0
2020-04-25,63,54,0,0,0,0,0,39,0,0,38
2020-04-26,34,24,23,0,0,0,26,0,0,0,0
2020-04-27,39,52,20,87,0,0,0,0,0,0,30
2020-04-28,45,21,0,0,0,0,0,0,0,0,0
2020-04-29,49,0,0,44,0,0,11,0,0,0,0
2020-04-30,60,10,37,41,0,0,11,0,0,0,28
2020-05-01,29,12,0,0,0,0,0,0,0,0,0
2020-05-02,34,12,23,0,0,0,0,0,0,0,17
2020-05-03,5,23,0,0,0,0,37,0,0,0,0
2020-05-04,26,47,18,0,0,0,0,28,0,45,54
2020-05-05,14,10,0,0,0,0,11,0,0,0,0
2020-05-06,26,11,21,0,0,0,24,0,0,0,0
2020-05-07,24,10,19,43,72,0,0,31,0,0,0
2020-05-08,42,34,0,47,0,0,24,33,0,0,0
2020-05-09,46,43,0,59,0,0,0,0,62,0,20
2020-05-10,19,14,0,58,0,0,0,0,61,0,20
2020-05-11,40,11,79,44,0,0,11,0,0,51,15
2020-05-12,25,0,40,0,0,0,11,31,93,0,0
2020-05-13,30,43,40,45,0,0,11,0,0,0,31
2020-05-14,20,0,40,0,0,0,12,0,0,0,46
2020-05-15,41,11,41,0,0,0,12,0,0,0,16
2020-05-16,20,28,26,0,0,0,0,0,0,0,20
2020-05-17,38,0,0,0,0,0,29,0,0,0,19
2020-05-18,34,11,20,0,72,0,0,0,0,0,15
2020-05-19,25,11,0,0,0,0,0,0,0,0,0
2020-05-20,24,21,19,0,0,0,0,0,0,0,15
2020-05-21,18,20,0,0,0,0,21,0,44,0,28
2020-05-22,36,0,0,0,0,0,12,0,0,0,0
