date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,92,68,0,0,91,0,0,0,0,0,0
2020-04-02,74,100,0,62,0,0,0,0,0,0,100
2020-04-03,100,57,0,60,0,0,0,0,0,0,48
2020-04-04,66,61,54,63,100,0,0,0,0,0,0
2020-04-05,42,78,57,0,0,0,0,0,0,0,0
2020-04-06,63,77,0,60,95,0,0,0,0,0,48
2020-04-07,74,50,0,59,0,0,0,0,0,0,0
2020-04-08,54,60,0,0,0,0,0,0,0,0,0
2020-04-09,47,59,0,0,0,0,27,86,0,0,49
2020-04-10,48,34,0,0,0,0,0,0,0,0,0
2020-04-11,42,65,0,0,0,0,0,0,0,0,0
2020-04-12,34,44,0,0,0,0,0,0,0,0,0
2020-04-13,42,58,0,0,95,0,27,0,0,0,0
2020-04-14,29,38,0,59,0,0,0,83,0,0,0
2020-04-15,54,19,0,0,0,0,0,0,0,0,0
2020-04-16,25,32,0,0,96,0,0,0,0,0,0
2020-04-17,38,6,0,61,0,0,27,85,0,0,0
2020-04-18,38,44,0,0,0,0,31,0,0,0,0
2020-04-19,49,15,0,0,0,0,0,0,0,0,0
2020-04-20,34,39,0,0,0,0,27,0,0,0,0
2020-04-21,42,32,51,0,95,0,0,0,0,100,96
2020-04-22,41,25,50,0,0,0,0,0,0,0,0
2020-04-23,43,18,0,57,0,0,0,0,0,0,91
2020-04-24,56,33,0,0,0,0,28,0,0,0,0
2020-04-25,52,51,58,0,0,0,0,0,0,0,0
2020-04-26,40,15,0,0,0,0,0,100,0,0,0
2020-04-27,16,0,100,0,0,0,0,0,0,0,47
2020-04-28,37,38,0,0,0,0,0,83,0,0,0
2020-04-29,37,44,0,59,0,0,26,0,0,0,47
2020-04-30,22,13,0,62,0,0,0,0,0,0,0
2020-05-01,19,30,0,0,0,0,0,0,0,0,0
2020-05-02,24,15,0,69,0,0,0,0,0,0,0
2020-05-03,5,15,0,0,0,0,31,0,0,0,0
2020-05-04,8,25,0,0,94,0,0,0,0,0,0
2020-05-05,33,17,0,53,0,0,0,0,0,0,0
2020-05-06,8,0,0,0,0,0,0,0,0,0,0
2020-05-07,27,0,0,0,0,0,25,0,0,0,0
2020-05-08,26,33,0,0,0,0,0,0,0,0,0
2020-05-09,23,7,0,65,0,0,0,0,0,0,0
2020-05-10,9,7,0,65,0,0,0,0,0,0,0
2020-05-11,21,13,0,0,0,0,0,0,0,0,96
2020-05-12,8,13,0,0,0,0,0,0,0,0,0
2020-05-13,12,6,0,0,0,0,26,0,0,0,0
2020-05-14,8,6,0,0,0,0,0,83,0,0,0
2020-05-15,22,20,0,0,0,0,0,0,0,0,0
2020-05-16,8,6,0,60,0,0,0,0,0,0,0
2020-05-17,18,21,0,0,0,0,57,0,0,0,0
2020-05-18,4,12,47,0,0,0,0,0,0,0,0
2020-05-19,19,12,47,0,0,0,0,0,0,0,0
