date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,78,48,84,100,13,38,55,85,19
2020-04-02,96,96,75,53,73,54,11,44,52,84,19
2020-04-03,90,87,67,67,78,21,11,100,100,69,24
2020-04-04,99,99,71,100,63,36,10,93,97,88,23
2020-04-05,95,93,72,82,71,0,10,62,74,100,27
2020-04-06,74,76,66,74,66,84,10,56,81,69,20
2020-04-07,77,69,60,86,56,32,9,48,70,63,25
2020-04-08,71,69,61,63,62,32,10,30,67,55,16
2020-04-09,67,52,53,57,62,32,9,23,55,67,29
2020-04-10,65,62,55,65,60,23,9,21,38,65,31
2020-04-11,59,58,55,49,54,24,7,18,40,64,22
2020-04-12,63,63,56,48,41,12,9,13,34,59,25
2020-04-13,56,50,52,47,50,11,12,19,46,75,21
2020-04-14,49,44,46,37,44,11,9,17,43,60,27
2020-04-15,48,42,47,41,56,21,6,17,34,40,21
2020-04-16,44,38,47,44,54,43,7,18,44,48,22
2020-04-17,45,45,51,47,59,33,5,15,40,48,19
2020-04-18,49,38,50,50,51,61,6,17,34,53,19
2020-04-19,47,40,48,56,52,36,9,15,39,48,21
2020-04-20,40,37,43,40,35,0,7,11,45,34,17
2020-04-21,36,35,42,37,46,43,9,14,65,43,16
2020-04-22,34,30,40,39,33,32,5,16,48,37,18
2020-04-23,32,25,46,41,46,22,10,15,30,38,19
2020-04-24,35,32,37,43,34,56,9,16,37,32,20
2020-04-25,36,30,45,54,33,13,6,9,42,29,24
2020-04-26,38,32,38,45,46,49,8,8,38,32,22
2020-04-27,33,29,48,34,35,22,9,9,43,43,19
2020-04-28,30,29,40,37,45,44,6,8,45,29,24
2020-04-29,31,28,37,51,36,33,6,12,47,29,23
2020-04-30,27,24,35,50,30,21,6,12,31,26,20
2020-05-01,29,22,38,52,40,11,8,15,39,31,19
2020-05-02,28,21,35,46,33,62,6,10,39,40,15
2020-05-03,29,28,39,37,23,26,7,9,28,30,19
2020-05-04,27,25,41,43,38,54,7,13,36,34,17
2020-05-05,27,23,36,39,40,31,6,13,47,22,16
2020-05-06,25,18,35,40,35,33,5,10,34,31,20
2020-05-07,24,20,32,47,34,33,5,11,42,29,18
2020-05-08,22,21,35,37,28,11,5,13,29,30,18
2020-05-09,24,18,32,48,28,49,7,9,29,20,15
2020-05-10,23,23,33,41,37,0,4,7,39,26,15
2020-05-11,25,20,39,46,33,11,7,11,24,31,16
2020-05-12,23,17,35,40,31,22,5,11,38,27,19
2020-05-13,23,20,31,45,35,0,5,9,35,36,17
2020-05-14,23,14,31,55,31,11,6,9,46,28,21
2020-05-15,22,18,33,50,36,33,4,9,39,33,21
2020-05-16,21,15,31,55,31,0,9,8,25,33,26
2020-05-17,23,16,38,46,29,13,5,6,19,38,26
2020-05-18,20,17,32,42,21,0,5,6,22,28,31
2020-05-19,19,17,36,31,26,33,7,10,14,22,22
2020-05-20,19,17,33,55,41,55,6,10,29,29,18
2020-05-21,20,16,34,82,45,45,4,10,29,24,19
2020-05-22,20,15,41,51,47,23,4,8,61,33,19
2020-05-23,21,15,42,49,30,26,3,7,17,41,18
2020-05-24,20,18,40,43,30,13,3,5,7,30,14
2020-05-25,19,16,39,44,31,66,3,7,20,32,16
2020-05-26,16,12,36,36,39,22,2,6,43,31,17
2020-05-27,16,10,39,38,32,45,3,7,40,26,14
2020-05-28,15,14,39,37,25,45,4,7,44,25,14
2020-05-29,15,10,33,27,28,45,4,3,23,22,11
2020-05-30,16,10,34,43,19,39,6,7,5,21,13
2020-05-31,19,11,36,31,18,25,5,6,19,25,11
2020-06-01,15,14,34,26,21,22,6,4,31,20,13
2020-06-02,14,11,36,29,20,55,3,4,42,17,14
2020-06-03,14,12,32,25,21,10,3,7,31,20,17
2020-06-04,13,11,33,32,23,44,2,8,33,20,16
2020-06-05,14,7,28,25,18,10,1,5,31,18,11
2020-06-06,16,12,29,29,20,0,3,4,27,13,13
2020-06-07,16,14,38,31,100,40,3,6,24,17,11
2020-06-08,15,15,42,24,83,11,4,2,34,30,11
2020-06-09,15,9,38,28,31,22,3,6,32,20,14
2020-06-10,12,12,40,33,33,22,1,5,45,16,11
2020-06-11,12,9,30,22,43,44,1,5,31,16,12
2020-06-12,16,9,37,27,22,0,2,6,17,21,14
2020-06-13,12,8,39,25,22,40,3,4,17,20,11
2020-06-14,13,6,36,26,23,14,3,2,13,22,16
2020-06-15,14,11,37,27,17,34,3,4,23,15,14
2020-06-16,15,11,34,26,30,11,2,2,27,26,17
2020-06-17,13,10,37,22,20,47,2,5,20,9,15
2020-06-18,12,10,33,29,19,47,3,5,35,18,15
2020-06-19,13,7,33,27,12,12,2,4,25,17,14
2020-06-20,15,10,41,23,14,28,1,4,15,11,22
2020-06-21,13,8,38,34,16,42,2,2,13,10,13
2020-06-22,12,12,45,19,16,12,2,4,29,16,13
2020-06-23,12,12,39,27,27,47,2,2,17,12,18
2020-06-24,13,11,40,25,28,12,2,3,13,10,17
2020-06-25,12,9,42,22,24,12,2,1,29,9,16
2020-06-26,14,11,51,23,19,13,2,5,14,13,11
2020-06-27,15,12,54,27,15,70,3,3,13,14,15
2020-06-28,13,11,54,30,26,27,2,3,20,15,17
2020-06-29,14,10,50,32,17,12,2,3,27,17,16
2020-06-30,13,7,49,32,24,25,3,3,21,18,16
2020-07-01,11,6,51,39,13,13,2,6,17,9,13
2020-07-02,15,9,55,31,16,37,2,3,11,8,14
2020-07-03,12,8,46,29,21,12,1,4,25,13,16
2020-07-04,13,7,52,35,11,43,2,4,13,11,16
2020-07-05,16,9,51,32,11,28,2,1,8,18,14
2020-07-06,14,10,51,41,15,24,1,5,33,5,15
2020-07-07,12,8,46,42,25,60,4,5,27,9,19
2020-07-08,12,9,45,56,23,24,3,4,22,8,15
2020-07-09,11,7,44,47,17,25,3,7,21,15,15
2020-07-10,11,9,47,44,14,38,2,7,38,15,14
2020-07-11,13,5,45,52,18,66,2,4,22,6,13
2020-07-12,12,7,44,45,10,13,3,5,12,6,13
2020-07-13,12,4,53,50,17,36,3,6,13,8,18
2020-07-14,13,6,60,51,21,37,3,7,25,6,19
2020-07-15,11,9,48,41,26,25,2,7,35,13,27
2020-07-16,12,9,46,48,15,12,2,7,45,10,22
2020-07-17,11,6,53,50,11,26,2,7,10,5,20
2020-07-18,11,7,57,56,22,45,2,5,11,12,14
2020-07-19,13,9,53,44,16,14,1,7,16,15,16
2020-07-20,11,8,53,40,17,25,2,8,26,7,28
2020-07-21,15,8,68,42,17,51,2,6,33,8,26
2020-07-22,13,9,63,54,25,50,1,6,7,10,16
2020-07-23,12,7,60,55,16,25,2,5,24,10,24
2020-07-24,12,8,52,48,27,27,1,4,7,6,20
2020-07-25,14,7,52,44,22,15,1,4,6,8,18
2020-07-26,10,6,51,46,13,0,2,7,11,4,20
2020-07-27,11,9,53,48,23,13,2,5,14,11,21
2020-07-28,11,7,58,48,25,26,1,6,29,4,20
2020-07-29,10,6,51,40,20,26,1,3,17,5,22
2020-07-30,10,7,51,58,21,51,2,5,17,7,18
2020-07-31,9,7,49,52,21,27,2,4,25,6,16
2020-08-01,10,8,44,58,18,0,1,4,6,8,19
2020-08-02,10,6,48,45,17,14,3,2,8,1,19
2020-08-03,11,5,49,44,14,13,2,4,10,2,19
2020-08-04,9,7,54,46,15,12,2,4,13,4,15
2020-08-05,8,5,42,40,33,12,3,4,11,12,25
2020-08-06,9,3,43,49,90,25,1,3,28,8,18
2020-08-07,9,5,43,48,39,39,2,3,19,6,14
2020-08-08,7,4,44,44,33,43,1,3,13,7,15
2020-08-09,9,3,41,49,20,44,1,5,11,5,21
2020-08-10,10,6,49,40,27,0,2,5,16,7,18
2020-08-11,12,7,46,47,14,37,2,6,7,11,47
2020-08-12,9,5,42,38,18,25,2,6,26,5,32
2020-08-13,8,6,43,39,25,25,1,4,12,8,25
2020-08-14,10,6,44,52,21,13,1,3,26,2,19
2020-08-15,9,7,42,35,23,44,1,2,16,3,19
2020-08-16,8,5,43,42,8,43,2,3,5,0,16
2020-08-17,9,6,43,40,13,12,1,4,18,10,20
2020-08-18,7,4,50,40,20,37,2,4,14,8,17
2020-08-19,8,3,43,49,13,38,1,3,16,1,17
2020-08-20,7,3,35,35,20,25,3,4,16,9,16
2020-08-21,6,4,37,43,22,38,2,5,21,7,19
2020-08-22,9,6,38,43,12,0,1,5,5,5,14
2020-08-23,8,3,40,45,14,58,1,3,11,8,17
2020-08-24,8,4,42,45,21,37,1,4,9,6,18
2020-08-25,8,5,44,42,16,38,1,4,23,5,15
2020-08-26,7,4,38,45,15,25,1,7,21,7,16
2020-08-27,6,2,33,32,20,25,2,3,16,10,19
2020-08-28,7,2,35,33,20,26,2,5,22,7,14
2020-08-29,7,4,38,46,17,14,2,3,13,9,15
2020-08-30,5,4,33,43,13,28,1,2,8,4,12
2020-08-31,8,6,39,32,15,13,2,1,14,14,23
2020-09-01,7,4,42,37,17,0,1,4,18,12,19
2020-09-02,6,5,38,35,18,0,2,5,34,8,21
2020-09-03,6,6,34,35,22,12,1,4,30,11,19
2020-09-04,7,6,35,32,18,51,2,3,21,9,16
2020-09-05,8,3,35,33,15,73,1,4,13,4,21
2020-09-06,7,3,35,25,20,58,1,4,11,8,16
2020-09-07,6,4,47,27,12,53,1,3,10,6,17
2020-09-08,8,4,51,34,18,60,1,4,27,11,22
2020-09-09,7,4,55,35,11,12,2,3,18,8,26
2020-09-10,8,4,44,30,21,24,1,6,20,3,18
2020-09-11,7,5,45,32,17,13,2,2,19,13,19
2020-09-12,7,5,42,36,13,43,1,5,10,6,17
2020-09-13,7,3,38,35,15,14,2,3,15,6,19
2020-09-14,8,6,60,37,23,36,3,4,22,11,22
2020-09-15,9,5,64,35,13,24,3,5,36,14,20
2020-09-16,10,6,57,25,19,61,2,3,29,12,20
2020-09-17,7,6,62,27,17,12,3,4,31,10,21
