date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,84,22,0,0,0,49,42,0,0,0
2020-04-02,100,84,23,0,0,0,0,34,32,0,49
2020-04-03,76,85,0,20,0,0,27,62,34,51,17
2020-04-04,92,100,0,46,0,0,0,78,0,0,39
2020-04-05,81,91,0,68,0,0,0,100,0,0,19
2020-04-06,73,70,0,0,0,0,0,80,0,48,16
2020-04-07,81,79,24,39,0,0,52,90,34,50,17
2020-04-08,71,62,0,100,0,0,0,62,0,51,0
2020-04-09,72,61,25,42,0,0,28,54,0,0,18
2020-04-10,76,80,0,0,95,0,0,40,0,62,21
2020-04-11,69,84,0,24,0,0,32,36,0,0,21
2020-04-12,82,82,30,50,0,0,33,32,42,0,42
2020-04-13,75,62,25,0,0,0,82,57,0,0,0
2020-04-14,60,57,0,0,0,0,27,36,0,51,0
2020-04-15,56,68,49,0,0,0,27,52,34,0,17
2020-04-16,49,38,0,40,0,0,0,26,35,0,0
2020-04-17,65,56,24,39,0,0,78,35,0,0,0
2020-04-18,61,48,0,24,0,0,64,47,41,0,0
2020-04-19,60,47,30,25,97,0,0,20,0,0,0
2020-04-20,65,30,0,0,0,0,0,49,0,0,34
2020-04-21,44,40,0,0,0,0,0,23,34,0,0
2020-04-22,52,37,0,41,0,0,27,43,35,0,18
2020-04-23,48,33,0,0,0,0,27,16,0,0,17
2020-04-24,46,36,0,21,0,0,0,21,0,0,18
2020-04-25,52,35,0,72,0,0,0,23,0,0,0
2020-04-26,41,22,0,24,0,0,0,20,0,0,0
2020-04-27,38,25,24,0,0,0,0,23,0,0,0
2020-04-28,52,29,0,0,0,0,53,26,34,0,34
2020-04-29,52,29,0,40,0,0,0,20,0,0,0
2020-04-30,37,24,0,19,0,0,0,22,0,49,0
2020-05-01,52,31,0,0,93,0,32,31,0,0,0
2020-05-02,38,27,0,0,0,0,0,19,0,0,0
2020-05-03,45,44,59,49,0,0,32,8,0,62,0
2020-05-04,40,29,0,38,0,0,25,19,0,0,0
