date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,97,67,34,33,0,0,0,34,0,0,0
2020-04-02,16,0,0,0,0,0,0,100,0,0,0
2020-04-03,100,46,0,35,0,0,33,71,0,0,0
2020-04-04,46,32,49,0,0,0,0,0,0,0,0
2020-04-05,96,100,0,50,0,0,0,51,0,0,0
2020-04-06,87,0,46,45,0,0,0,0,0,0,36
2020-04-07,77,64,0,0,0,0,30,0,0,0,26
2020-04-08,31,22,0,0,60,0,0,0,0,0,0
2020-04-09,16,0,0,34,0,0,65,0,0,0,0
2020-04-10,17,0,0,71,0,0,0,0,0,0,29
2020-04-11,25,71,0,0,0,0,100,0,78,0,0
2020-04-12,51,70,0,0,0,0,0,0,0,0,0
2020-04-13,65,0,0,34,0,100,0,0,0,0,27
2020-04-14,63,0,0,0,0,0,0,0,0,0,0
2020-04-15,31,0,33,32,61,97,0,0,0,0,52
2020-04-16,45,42,0,0,0,0,30,0,0,0,0
2020-04-17,33,0,0,0,0,0,33,36,0,71,0
2020-04-18,46,0,0,0,0,0,0,0,0,0,0
2020-04-19,49,34,52,0,0,0,0,52,75,0,0
2020-04-20,48,0,0,0,0,0,94,68,0,0,0
2020-04-21,45,42,32,0,58,92,59,32,0,0,25
2020-04-22,78,22,0,32,0,0,0,66,0,0,26
2020-04-23,14,20,30,0,0,0,0,61,0,0,0
2020-04-24,47,22,0,0,0,0,0,0,0,0,0
2020-04-25,47,0,0,0,0,0,0,0,0,0,0
2020-04-26,35,0,0,0,0,0,0,0,0,0,29
2020-04-27,47,65,0,64,0,0,0,33,0,66,0
2020-04-28,30,0,0,31,0,0,0,0,0,64,0
2020-04-29,32,0,0,33,0,0,0,0,49,0,0
2020-04-30,31,0,0,32,0,0,31,33,48,66,0
2020-05-01,78,36,0,0,100,0,0,55,0,0,0
2020-05-02,55,0,0,57,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,50,55,0,0,43
2020-05-04,93,32,0,0,0,0,0,0,0,0,0
2020-05-05,22,0,0,0,84,0,0,0,0,0,0
2020-05-06,48,0,0,0,0,0,0,34,0,0,27
2020-05-07,32,22,0,0,0,0,31,0,0,0,0
2020-05-08,16,22,0,33,0,0,0,0,0,0,0
2020-05-09,34,0,0,0,0,0,33,36,0,0,0
2020-05-10,0,36,0,0,0,0,50,0,0,0,0
2020-05-11,15,21,0,0,0,0,30,0,0,0,26
2020-05-12,15,0,0,0,0,0,0,64,0,0,0
2020-05-13,31,22,33,0,0,0,0,0,0,0,26
2020-05-14,30,21,0,31,0,0,0,0,0,0,25
2020-05-15,32,0,35,0,0,0,0,0,100,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,42
2020-05-18,48,22,0,0,0,0,32,0,0,0,0
2020-05-19,16,0,0,33,0,0,0,0,0,0,52
2020-05-20,15,22,0,0,0,0,0,0,0,0,51
2020-05-21,0,0,33,0,0,0,31,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0,55
2020-05-23,51,0,54,0,0,0,50,0,0,0,0
2020-05-24,26,0,0,0,0,0,0,0,0,0,43
2020-05-25,0,0,33,32,0,0,31,0,0,0,0
2020-05-26,0,0,0,29,0,0,0,30,0,0,23
2020-05-27,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,27,19,29,0,0,0,0,29,0,0,0
2020-05-29,0,0,0,31,0,0,0,0,0,0,0
2020-05-30,43,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,47,0,0,0,0
2020-06-01,15,0,0,0,0,0,0,0,0,0,0
2020-06-02,28,0,0,0,0,0,0,30,0,0,0
2020-06-03,0,0,30,0,0,0,0,0,0,0,0
2020-06-04,14,19,0,0,0,0,0,0,0,0,0
2020-06-05,15,0,0,0,0,0,0,0,0,0,25
2020-06-06,24,0,0,0,0,0,47,0,0,0,40
2020-06-07,0,0,0,0,0,0,46,0,0,0,39
2020-06-08,15,0,0,0,0,0,29,32,0,0,0
2020-06-09,14,19,0,0,0,0,27,0,0,0,23
2020-06-10,0,0,0,0,0,0,30,0,0,0,0
2020-06-11,58,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,28,0,0,0,0
2020-06-13,0,0,100,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,32,0,0,0,0,0,0,0,0
2020-06-16,14,0,0,0,0,0,0,0,0,0,0
2020-06-17,14,0,0,0,0,0,0,30,43,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,16,0,0,0,0,0,0,0,0,0,52
2020-06-20,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,24,0,0,0,0,0,0,0,0,0,41
2020-06-22,15,0,0,0,0,0,30,33,0,0,0
2020-06-23,0,0,0,61,0,0,0,32,0,0,0
2020-06-24,33,23,0,0,0,0,0,0,0,0,0
2020-06-25,27,0,0,0,0,0,0,0,0,0,44
2020-06-26,24,0,0,100,0,0,47,0,0,0,40
2020-06-27,75,35,0,0,0,0,0,0,0,0,0
2020-06-28,17,23,35,0,0,0,0,0,0,0,28
2020-06-29,31,0,0,32,0,0,30,0,0,0,26
2020-06-30,32,0,0,33,0,0,0,0,0,0,26
2020-07-01,49,23,0,0,0,0,0,0,0,0,27
2020-07-02,59,21,31,31,0,0,0,0,0,0,0
2020-07-03,13,0,28,0,0,0,26,0,0,0,0
2020-07-04,19,0,0,0,0,0,0,0,0,0,0
2020-07-05,19,0,0,0,0,0,0,0,0,0,0
2020-07-06,23,0,0,0,0,0,23,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,23,25,0,0,0
2020-07-09,0,17,0,25,0,0,0,0,0,0,20
2020-07-10,37,0,53,0,0,0,24,0,0,0,0
2020-07-11,59,0,0,0,0,0,0,0,0,0,0
2020-07-12,40,0,0,0,0,0,39,0,0,0,0
2020-07-13,12,0,0,0,0,0,23,0,0,0,0
2020-07-14,0,0,0,48,0,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,0,22,0,0,0,0
2020-07-16,11,0,24,0,0,0,0,0,0,0,0
2020-07-17,12,0,0,0,0,0,0,0,0,0,20
2020-07-18,19,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,23,0,0,0,19
2020-07-21,11,0,0,47,0,0,0,0,35,0,38
2020-07-22,0,0,25,0,0,0,0,0,0,0,59
