date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,78,90,31,25,0,71,54,31,0,0,0
2020-04-02,64,90,31,50,0,0,83,34,0,37,31
2020-04-03,64,85,100,0,0,0,29,70,0,0,17
2020-04-04,76,100,40,0,0,0,70,69,0,0,0
2020-04-05,84,98,21,34,0,0,0,80,0,51,64
2020-04-06,67,86,69,0,0,0,31,100,0,0,17
2020-04-07,65,72,17,81,63,0,60,57,0,0,17
2020-04-08,54,57,34,0,0,0,30,38,79,80,34
2020-04-09,53,73,38,30,0,0,34,48,0,0,19
2020-04-10,66,69,0,32,0,0,36,37,0,0,20
2020-04-11,70,86,20,62,0,0,0,35,0,0,0
2020-04-12,77,94,20,65,0,0,0,37,0,0,82
2020-04-13,45,61,32,77,0,0,0,66,38,0,32
2020-04-14,53,44,32,25,0,74,0,54,0,0,16
2020-04-15,47,37,0,0,0,0,56,53,0,37,0
2020-04-16,52,44,0,77,0,0,85,46,0,0,32
2020-04-17,49,43,0,0,59,0,29,56,38,0,49
2020-04-18,47,51,18,29,68,0,65,64,43,0,0
2020-04-19,40,48,0,0,0,0,35,47,0,47,39
2020-04-20,47,57,0,23,0,0,0,53,34,0,0
2020-04-21,40,40,0,22,0,0,25,59,0,33,42
2020-04-22,37,28,0,23,0,0,50,42,0,34,0
2020-04-23,45,34,14,22,0,0,25,37,0,33,14
2020-04-24,46,32,0,45,0,0,50,53,100,34,14
2020-04-25,49,29,17,27,0,0,60,41,0,0,51
2020-04-26,44,37,18,0,66,0,32,50,0,0,36
2020-04-27,40,29,0,0,0,0,49,30,33,33,0
2020-04-28,37,35,0,0,100,63,0,49,0,0,27
2020-04-29,50,32,41,43,0,0,0,39,0,0,41
2020-04-30,41,42,14,86,0,0,24,36,0,0,14
2020-05-01,59,42,0,0,0,0,0,35,0,0,35
2020-05-02,50,30,0,82,0,0,91,29,40,0,0
2020-05-03,35,38,19,30,0,0,33,29,0,0,19
2020-05-04,36,27,14,23,0,0,25,30,0,0,0
2020-05-05,39,23,0,40,0,0,22,36,0,0,25
2020-05-06,35,24,14,87,0,0,24,26,32,0,14
2020-05-07,42,28,0,44,0,0,0,37,0,0,0
2020-05-08,44,30,14,23,0,0,25,38,67,34,0
2020-05-09,42,16,52,55,0,0,0,52,0,41,17
2020-05-10,35,28,19,30,0,0,0,11,0,45,0
2020-05-11,39,24,15,23,0,0,78,42,0,0,59
2020-05-12,29,20,14,22,0,0,74,43,0,0,28
2020-05-13,28,33,14,0,0,0,0,54,0,0,42
2020-05-14,30,29,14,66,0,0,25,32,65,33,14
2020-05-15,34,23,0,23,0,0,51,26,0,0,15
2020-05-16,39,26,0,84,0,0,0,32,0,42,18
2020-05-17,45,14,19,91,0,0,34,14,0,0,38
2020-05-18,43,21,28,23,0,0,0,27,0,0,57
2020-05-19,31,24,0,22,0,0,25,37,0,66,0
2020-05-20,36,14,0,66,51,0,49,31,32,0,28
2020-05-21,32,20,14,22,0,0,50,25,0,0,0
2020-05-22,27,23,14,68,52,66,25,19,0,0,0
2020-05-23,30,18,0,57,0,82,32,19,42,42,36
2020-05-24,36,27,39,31,0,0,69,26,0,0,0
2020-05-25,42,17,18,29,0,0,32,31,43,44,18
2020-05-26,35,18,42,22,0,0,99,18,0,33,42
2020-05-27,27,16,0,22,0,0,25,18,0,100,0
2020-05-28,24,15,0,22,0,0,49,15,33,0,28
2020-05-29,36,16,0,69,0,0,51,35,0,0,0
2020-05-30,22,15,0,57,0,0,31,34,0,0,0
2020-05-31,28,17,0,0,0,0,34,19,0,0,0
2020-06-01,42,23,14,0,0,0,0,22,33,0,0
2020-06-02,26,8,0,0,0,0,25,31,33,68,0
2020-06-03,27,11,27,0,0,0,0,11,31,0,0
2020-06-04,35,15,0,0,0,0,24,13,0,0,0
2020-06-05,28,13,0,0,0,0,0,34,0,0,14
2020-06-06,42,7,0,30,0,0,0,27,0,44,0
2020-06-07,40,16,0,0,0,0,0,17,48,0,0
2020-06-08,41,16,0,22,0,0,24,26,0,0,41
2020-06-09,34,12,14,44,0,0,24,12,0,0,14
2020-06-10,24,15,0,23,0,0,26,19,0,0,44
2020-06-11,33,9,0,24,0,0,0,13,0,0,0
2020-06-12,25,13,0,0,55,0,27,16,0,0,0
2020-06-13,37,15,37,30,0,0,0,7,0,0,37
2020-06-14,25,12,20,96,0,0,0,10,47,0,20
2020-06-15,41,10,20,62,72,0,35,9,46,0,0
2020-06-16,30,9,15,23,0,0,26,7,0,0,15
2020-06-17,26,8,0,47,0,0,0,14,35,0,15
2020-06-18,31,14,0,0,54,0,52,9,0,0,15
2020-06-19,40,16,29,23,53,0,0,9,0,0,14
2020-06-20,39,6,19,60,0,87,100,11,44,0,38
2020-06-21,46,10,21,0,0,0,0,10,0,0,0
2020-06-22,36,13,21,68,0,98,38,8,0,0,21
2020-06-23,28,19,47,25,0,0,0,13,0,0,16
2020-06-24,40,9,16,100,0,72,0,15,0,0,31
2020-06-25,32,11,0,49,0,0,27,24,36,0,62
2020-06-26,35,15,32,26,0,0,0,10,0,0,16
2020-06-27,33,13,39,31,0,0,0,12,0,0,0
2020-06-28,35,10,21,0,0,0,36,15,48,0,41
2020-06-29,36,13,0,0,0,0,0,10,0,0,0
2020-06-30,31,5,0,25,0,0,28,8,0,0,32
2020-07-01,19,8,31,50,0,0,0,19,0,0,0
2020-07-02,27,7,0,0,0,0,0,11,0,0,31
2020-07-03,35,14,15,23,0,0,0,7,0,0,44
2020-07-04,34,9,0,0,0,0,0,9,0,0,0
2020-07-05,36,7,0,0,0,0,0,10,0,0,21
2020-07-06,30,7,16,0,59,0,0,14,0,0,0
2020-07-07,26,6,0,25,0,0,28,11,0,38,0
2020-07-08,29,5,16,0,0,0,28,10,0,38,48
2020-07-09,25,14,16,0,59,0,57,14,0,0,16
2020-07-10,28,7,16,0,0,0,0,14,0,0,66
2020-07-11,35,7,0,64,0,0,0,14,0,0,0
2020-07-12,31,12,0,71,0,0,0,11,0,0,22
2020-07-13,27,24,16,52,0,0,87,14,0,39,0
2020-07-14,31,6,0,51,0,0,28,10,0,0,0
2020-07-15,17,6,0,75,0,0,0,13,37,37,63
2020-07-16,28,3,0,25,0,0,28,19,0,0,16
2020-07-17,28,9,17,0,0,0,59,18,39,0,0
2020-07-18,32,15,0,0,0,0,0,20,0,49,0
2020-07-19,26,7,44,71,0,0,0,13,0,0,0
2020-07-20,29,8,42,67,0,0,37,10,49,0,63
2020-07-21,26,13,16,0,0,0,0,23,0,0,97
2020-07-22,28,6,16,51,0,0,28,9,37,0,64
2020-07-23,26,4,0,0,0,0,28,11,37,0,32
2020-07-24,34,12,0,78,60,0,29,8,0,0,66
2020-07-25,33,12,0,64,0,0,0,12,47,0,20
2020-07-26,28,11,0,0,0,0,0,8,0,0,22
2020-07-27,28,10,32,0,0,0,57,12,0,0,16
2020-07-28,26,10,16,0,0,0,0,8,0,0,32
2020-07-29,35,13,0,25,0,0,28,21,0,0,0
2020-07-30,30,6,0,25,0,0,0,23,37,0,0
