date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,82,50,18,26,0,0,16,45,0,0,0
2020-04-02,88,38,38,0,0,0,5,91,0,0,0
2020-04-03,85,39,0,53,0,0,11,92,0,0,0
2020-04-04,71,73,22,61,57,0,0,0,0,0,32
2020-04-05,76,68,0,0,0,0,18,0,0,0,15
2020-04-06,100,48,0,0,0,0,5,86,0,0,26
2020-04-07,87,100,56,0,0,0,16,45,0,0,0
2020-04-08,69,50,0,26,48,0,27,0,0,0,0
2020-04-09,68,12,0,0,0,0,5,44,0,0,0
2020-04-10,67,39,0,27,0,0,11,0,0,0,14
2020-04-11,75,43,0,0,0,0,12,0,0,0,16
2020-04-12,57,59,0,0,0,0,19,0,0,0,0
2020-04-13,56,27,40,0,0,0,11,0,0,0,0
2020-04-14,45,52,38,27,0,0,17,0,0,83,0
2020-04-15,14,13,0,0,0,0,0,0,0,0,29
2020-04-16,70,13,0,0,0,0,6,48,0,0,0
2020-04-17,72,30,22,0,0,0,19,0,0,0,0
2020-04-18,97,62,46,0,0,0,7,0,0,0,0
2020-04-19,55,16,23,0,0,0,7,0,53,0,17
2020-04-20,35,29,0,0,0,0,6,0,0,0,0
2020-04-21,57,27,20,0,0,0,6,0,0,0,0
2020-04-22,33,14,0,28,0,0,0,0,46,0,15
2020-04-23,41,52,39,0,0,0,17,0,44,0,0
2020-04-24,49,39,0,54,0,0,11,0,44,0,14
2020-04-25,35,29,0,30,0,0,25,51,0,0,31
2020-04-26,31,29,0,0,0,0,13,0,0,0,0
2020-04-27,59,53,19,0,51,0,6,0,44,0,0
2020-04-28,23,81,20,56,0,0,17,0,0,0,15
2020-04-29,64,40,39,0,0,0,40,0,0,85,29
2020-04-30,22,13,0,27,100,0,28,46,0,0,0
2020-05-01,35,29,0,61,0,0,0,0,0,0,16
2020-05-02,30,29,0,0,0,0,6,51,0,92,31
2020-05-03,62,30,0,31,0,0,19,53,0,0,0
2020-05-04,48,51,37,0,0,0,5,0,0,0,14
2020-05-05,30,25,0,26,0,0,16,44,0,0,13
2020-05-06,54,26,0,27,0,0,11,0,0,0,14
2020-05-07,52,41,0,0,0,0,6,0,0,0,15
2020-05-08,46,40,0,27,0,0,6,0,0,85,14
2020-05-09,39,16,0,0,0,0,14,57,0,0,17
2020-05-10,47,15,0,0,0,0,20,0,0,0,0
2020-05-11,47,41,0,0,0,0,18,0,0,0,0
2020-05-12,51,13,40,0,53,0,0,0,0,0,0
