date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,87,19,13,60,66,0,3,100,0,0,0
2020-04-02,94,48,0,82,0,74,2,61,66,67,0
2020-04-03,100,48,0,62,68,0,1,0,100,68,14
2020-04-04,95,57,0,98,0,0,2,24,0,0,0
2020-04-05,88,23,0,24,0,0,1,73,0,0,17
2020-04-06,82,58,0,41,0,0,2,20,0,0,0
2020-04-07,81,71,14,22,0,0,0,0,0,0,0
2020-04-08,86,71,0,22,0,0,1,22,35,0,0
2020-04-09,49,64,0,0,0,0,0,23,0,74,0
2020-04-10,55,24,0,0,0,0,0,0,0,0,0
2020-04-11,81,100,17,27,0,0,1,0,0,0,18
2020-04-12,38,49,0,79,0,0,1,26,0,0,18
2020-04-13,78,40,0,43,0,0,2,22,35,0,30
2020-04-14,41,71,12,38,0,0,1,19,0,0,0
2020-04-15,46,19,0,0,0,0,0,0,0,0,0
2020-04-16,59,50,0,21,0,0,1,21,0,0,15
2020-04-17,58,10,0,44,0,80,1,0,36,0,0
2020-04-18,67,12,17,0,0,0,3,0,0,0,0
2020-04-19,32,10,0,45,0,0,0,0,0,0,15
2020-04-20,50,37,13,0,0,0,0,40,0,0,0
2020-04-21,40,19,0,41,0,0,0,0,0,68,0
2020-04-22,39,10,0,43,0,0,1,21,0,0,15
2020-04-23,49,40,27,43,0,0,3,0,0,0,15
2020-04-24,41,43,0,91,0,0,0,0,0,0,16
2020-04-25,45,47,0,100,82,0,0,0,0,82,0
2020-04-26,53,11,16,49,0,0,1,24,0,0,0
2020-04-27,53,19,27,21,0,0,4,0,0,0,14
2020-04-28,28,20,0,21,0,0,1,0,34,0,0
2020-04-29,50,0,0,40,0,0,0,0,32,0,0
2020-04-30,38,20,41,42,0,0,1,0,0,0,15
2020-05-01,30,12,0,25,0,0,0,0,0,0,17
2020-05-02,37,11,15,24,0,86,1,0,0,0,16
2020-05-03,47,43,15,23,0,0,0,23,0,0,0
2020-05-04,46,28,0,0,0,0,1,0,0,0,0
2020-05-05,34,18,12,0,62,0,4,0,0,0,39
2020-05-06,34,19,13,40,0,0,1,0,0,0,0
2020-05-07,41,11,0,46,0,0,0,23,0,0,0
2020-05-08,40,26,18,28,0,100,0,0,0,0,19
2020-05-09,27,40,0,57,0,0,1,0,0,0,19
2020-05-10,26,11,0,72,78,0,1,0,0,0,16
2020-05-11,37,36,12,0,0,69,1,0,0,0,0
2020-05-12,39,19,0,0,0,0,1,20,0,0,0
2020-05-13,27,0,13,20,0,0,1,0,0,0,14
2020-05-14,27,29,13,21,68,0,0,0,0,0,0
2020-05-15,29,0,14,0,0,0,1,0,0,0,0
2020-05-16,24,13,0,28,0,0,0,28,0,0,20
2020-05-17,25,25,0,0,0,0,1,0,0,0,0
2020-05-18,45,51,14,0,0,0,1,0,0,0,0
2020-05-19,31,71,14,22,0,0,1,0,0,0,0
2020-05-20,30,10,0,0,0,0,1,0,0,0,29
2020-05-21,51,10,14,0,0,0,1,22,0,0,0
2020-05-22,31,11,15,70,0,0,0,0,0,0,0
2020-05-23,14,0,15,71,0,0,1,0,0,0,16
2020-05-24,25,11,0,0,0,0,0,0,0,0,0
2020-05-25,26,0,0,0,0,0,1,20,0,0,14
2020-05-26,25,19,0,21,0,0,1,21,0,0,0
2020-05-27,24,0,0,0,0,0,3,0,0,71,0
2020-05-28,22,19,0,41,0,0,1,0,0,0,14
2020-05-29,25,0,0,23,0,0,0,0,0,74,0
2020-05-30,35,0,0,0,0,0,0,0,0,0,18
2020-05-31,21,10,14,0,0,0,0,0,72,0,0
2020-06-01,25,10,0,42,69,0,1,0,0,0,14
2020-06-02,17,10,13,41,0,0,1,0,0,0,14
2020-06-03,20,29,40,41,0,0,1,0,0,0,0
2020-06-04,17,47,13,0,0,72,1,0,0,0,0
2020-06-05,22,9,13,20,0,0,0,20,0,0,0
2020-06-06,12,12,17,0,84,0,1,0,0,0,0
2020-06-07,14,0,0,0,0,0,0,0,0,0,0
2020-06-08,16,9,12,0,0,0,0,0,0,61,0
2020-06-09,12,18,12,0,0,70,0,0,0,0,0
2020-06-10,14,0,0,0,0,0,0,0,0,0,0
2020-06-11,31,0,0,0,0,0,0,21,35,0,0
2020-06-12,34,11,0,71,0,0,1,0,0,77,0
2020-06-13,33,26,18,28,0,0,1,0,0,0,0
2020-06-14,20,11,15,0,0,0,0,0,0,0,0
2020-06-15,22,0,0,0,0,0,0,0,0,0,0
2020-06-16,25,10,0,0,0,0,1,0,0,0,42
2020-06-17,23,0,0,0,70,0,0,0,0,0,0
2020-06-18,25,10,13,0,0,0,1,0,0,0,0
2020-06-19,24,0,28,0,0,0,0,0,0,0,0
2020-06-20,40,0,15,0,0,85,0,24,0,0,0
2020-06-21,23,22,0,0,0,0,1,0,0,0,48
2020-06-22,26,20,28,22,0,0,1,0,0,0,0
2020-06-23,30,11,30,0,0,0,0,23,0,0,16
2020-06-24,18,0,14,0,0,0,2,0,0,0,0
2020-06-25,34,22,0,0,0,0,1,0,0,0,16
2020-06-26,29,11,0,47,0,0,0,0,0,0,16
2020-06-27,22,14,0,30,0,0,0,0,0,0,0
2020-06-28,22,12,0,26,0,0,1,0,0,0,0
2020-06-29,38,58,27,0,0,0,0,0,0,0,14
2020-06-30,19,0,0,0,0,0,0,0,0,0,0
2020-07-01,14,0,15,23,0,0,0,0,0,0,0
2020-07-02,24,0,14,0,0,0,0,22,0,0,15
2020-07-03,32,11,31,24,0,0,0,0,0,0,0
2020-07-04,37,0,0,0,0,0,0,0,0,0,0
2020-07-05,49,27,0,29,0,0,0,0,0,0,0
2020-07-06,43,12,0,0,0,0,0,26,42,0,0
2020-07-07,8,0,15,0,0,0,5,23,0,0,0
2020-07-08,19,0,15,0,0,0,1,0,36,0,16
2020-07-09,23,22,31,24,0,0,0,0,0,0,33
2020-07-10,53,24,17,26,0,0,0,0,0,0,18
2020-07-11,19,0,0,26,0,0,0,26,0,0,0
2020-07-12,26,13,18,27,0,0,0,0,0,0,38
2020-07-13,28,11,0,24,0,0,0,0,0,0,0
2020-07-14,23,0,0,24,0,0,1,0,0,0,0
2020-07-15,34,0,15,24,0,86,2,0,0,0,16
2020-07-16,22,0,45,0,0,0,0,0,0,0,0
2020-07-17,27,0,32,50,0,0,1,0,0,0,17
2020-07-18,20,0,18,56,0,0,0,0,0,0,19
2020-07-19,20,0,0,54,0,0,0,0,44,89,19
2020-07-20,14,0,30,0,0,0,1,0,0,0,0
2020-07-21,45,11,45,0,0,0,0,0,0,0,16
2020-07-22,24,12,0,0,0,0,0,0,40,0,17
2020-07-23,45,12,0,25,0,0,0,0,40,0,0
2020-07-24,43,36,33,0,0,0,1,0,0,0,18
2020-07-25,48,14,0,0,0,0,0,0,0,0,0
2020-07-26,19,0,35,27,0,0,0,0,0,0,18
2020-07-27,29,22,15,0,0,0,0,0,0,0,0
2020-07-28,36,23,0,25,0,0,3,0,0,0,17
2020-07-29,24,24,16,0,0,0,0,0,0,0,0
2020-07-30,22,12,17,51,0,0,0,0,0,0,18
2020-07-31,38,25,17,27,0,0,0,0,0,0,0
2020-08-01,38,0,0,31,0,0,0,0,0,0,0
2020-08-02,48,12,0,53,0,0,0,0,43,0,0
2020-08-03,36,10,14,21,0,0,0,0,0,0,15
2020-08-04,42,20,14,0,0,0,0,0,0,0,15
2020-08-05,35,11,15,24,0,0,0,0,0,0,16
2020-08-06,24,0,16,0,0,0,0,0,0,0,17
2020-08-07,32,0,0,0,0,0,1,0,0,0,0
2020-08-08,33,0,0,0,100,0,0,0,0,100,0
2020-08-09,55,27,0,0,0,0,1,0,0,0,0
2020-08-10,27,11,15,46,0,0,1,0,0,0,0
2020-08-11,50,11,0,0,0,0,1,0,0,0,16
2020-08-12,64,0,16,0,0,0,0,24,0,0,50
2020-08-13,32,0,16,0,0,0,4,0,39,0,0
2020-08-14,31,0,0,0,0,0,1,0,0,0,0
2020-08-15,30,13,18,0,0,0,0,0,0,0,0
2020-08-16,26,0,0,55,0,0,0,0,0,0,19
2020-08-17,41,21,0,0,0,0,3,0,0,0,31
2020-08-18,38,0,0,22,0,0,0,0,0,73,0
2020-08-19,20,11,15,94,0,0,0,47,0,0,0
2020-08-20,30,0,16,50,0,0,0,0,0,0,17
2020-08-21,28,0,0,0,0,0,3,0,0,0,0
2020-08-22,34,13,73,0,0,0,0,0,0,92,39
2020-08-23,26,25,0,0,0,0,0,0,0,0,18
2020-08-24,19,0,15,68,0,0,2,0,0,0,31
2020-08-25,40,0,15,24,0,0,1,0,0,0,16
2020-08-26,63,11,0,47,0,0,0,0,0,0,0
2020-08-27,26,11,15,24,0,0,0,24,0,0,16
2020-08-28,24,12,0,25,0,0,0,0,0,0,17
2020-08-29,19,25,0,0,0,0,0,0,43,0,37
2020-08-30,24,11,16,24,0,0,1,0,0,0,34
2020-08-31,31,0,14,0,0,79,0,0,0,0,30
2020-09-01,23,0,0,0,0,0,0,0,0,0,15
2020-09-02,28,0,15,70,0,0,2,0,0,0,16
2020-09-03,23,34,16,24,0,0,0,24,0,0,0
