date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,79,81,0,0,0,0,40,0,0,0,36
2020-04-02,91,87,48,0,55,47,31,32,0,0,17
2020-04-03,82,68,24,26,28,0,10,100,48,0,25
2020-04-04,83,81,0,19,0,0,25,79,0,57,15
2020-04-05,91,78,30,7,36,0,91,83,0,0,15
2020-04-06,96,100,26,0,0,0,100,35,0,0,26
2020-04-07,90,81,27,6,0,0,23,0,54,0,22
2020-04-08,94,59,27,0,0,0,82,37,0,0,14
2020-04-09,90,49,0,6,34,0,25,0,57,0,23
2020-04-10,78,80,0,0,0,0,12,0,0,0,29
2020-04-11,77,48,0,6,0,0,12,0,56,0,20
2020-04-12,70,96,0,0,0,0,13,81,0,58,30
2020-04-13,74,82,0,18,32,0,82,0,0,0,41
2020-04-14,79,36,0,10,57,0,42,0,0,0,34
2020-04-15,68,68,0,5,0,0,0,67,48,48,47
2020-04-16,65,53,0,11,0,0,11,0,0,48,20
2020-04-17,71,60,26,22,0,0,22,0,0,0,23
2020-04-18,60,51,0,13,0,0,38,81,0,0,12
2020-04-19,62,58,0,6,0,59,39,0,0,0,15
2020-04-20,64,48,25,0,0,0,21,0,0,0,58
2020-04-21,72,49,25,11,0,50,0,0,50,50,23
2020-04-22,69,71,51,0,30,0,66,0,0,50,33
2020-04-23,64,65,0,11,0,0,22,0,0,100,51
2020-04-24,56,28,26,6,0,0,11,0,0,51,29
2020-04-25,61,39,0,0,0,0,0,0,60,0,28
2020-04-26,59,37,0,12,0,57,49,39,0,57,29
2020-04-27,58,41,0,5,0,0,0,0,0,0,34
2020-04-28,60,37,0,21,0,0,0,34,98,0,38
2020-04-29,53,41,0,5,0,0,20,0,0,0,14
2020-04-30,51,28,0,0,0,43,19,0,0,0,18
2020-05-01,55,37,0,5,29,0,11,0,0,49,33
2020-05-02,47,35,0,6,0,0,12,0,0,0,22
2020-05-03,50,6,0,0,0,0,25,0,0,0,20
2020-05-04,51,25,23,10,0,0,20,0,46,0,12
2020-05-05,45,39,0,5,0,0,39,31,45,0,21
2020-05-06,52,31,24,5,28,0,20,0,0,0,22
2020-05-07,65,27,0,11,0,0,22,0,0,0,23
2020-05-08,50,49,0,12,0,0,25,0,57,0,26
2020-05-09,43,13,0,7,0,0,26,0,0,0,12
2020-05-10,47,18,0,0,0,0,0,0,0,56,17
2020-05-11,49,46,0,10,0,0,20,33,0,47,14
2020-05-12,49,31,24,0,28,0,0,0,47,0,14
2020-05-13,49,37,0,0,29,0,21,0,0,0,20
2020-05-14,55,16,0,11,0,0,32,0,0,0,10
2020-05-15,44,27,0,5,0,0,22,0,0,0,15
2020-05-16,40,12,0,12,32,0,24,0,0,0,14
2020-05-17,40,24,28,0,0,0,24,0,0,54,8
2020-05-18,57,31,0,0,0,0,10,0,0,47,7
2020-05-19,46,59,0,0,0,0,11,0,50,0,23
2020-05-20,48,22,0,0,0,0,11,36,0,0,16
2020-05-21,43,20,0,7,0,0,13,0,0,0,9
2020-05-22,34,41,0,12,0,0,35,0,0,0,16
2020-05-23,37,13,0,6,34,0,0,0,0,0,18
2020-05-24,34,29,0,12,0,0,23,37,0,0,16
2020-05-25,41,16,0,0,0,0,21,0,49,97,7
2020-05-26,38,22,25,5,0,0,11,0,100,0,13
2020-05-27,41,21,0,0,0,0,11,0,0,49,13
2020-05-28,38,6,0,0,0,51,22,0,0,0,10
2020-05-29,46,6,0,0,31,0,35,0,53,0,16
2020-05-30,39,7,0,0,0,64,14,0,0,0,13
2020-05-31,34,26,0,7,36,0,26,0,0,0,9
2020-06-01,39,0,0,0,0,0,25,0,0,0,9
2020-06-02,38,32,0,5,0,0,21,0,49,0,8
2020-06-03,33,10,0,10,0,0,21,0,0,0,7
2020-06-04,33,5,0,0,0,0,20,63,0,0,12
2020-06-05,32,16,0,5,0,0,11,0,99,99,5
2020-06-06,35,17,0,0,0,0,35,0,0,0,5
2020-06-07,40,36,0,6,33,0,12,0,0,0,14
2020-06-08,49,10,0,5,0,44,10,0,0,0,14
2020-06-09,46,26,0,5,56,0,20,0,47,47,17
2020-06-10,45,5,0,0,0,0,0,0,0,0,25
2020-06-11,40,22,25,5,29,0,0,0,0,0,18
2020-06-12,34,22,0,5,0,0,22,35,0,0,5
2020-06-13,30,26,0,6,35,0,0,0,0,0,6
2020-06-14,32,27,0,7,0,0,0,0,0,0,13
2020-06-15,38,22,26,5,30,100,11,0,0,0,10
2020-06-16,39,11,25,0,0,0,11,0,0,0,18
2020-06-17,36,0,0,0,0,0,0,0,0,0,16
2020-06-18,51,6,53,11,0,0,34,0,52,0,27
2020-06-19,37,22,0,11,0,0,33,0,0,0,8
2020-06-20,44,13,0,25,0,0,25,0,0,0,6
2020-06-21,39,25,0,13,0,0,0,0,0,0,15
2020-06-22,44,11,26,11,0,0,22,0,0,0,8
2020-06-23,38,0,28,6,0,0,48,0,0,55,20
2020-06-24,39,12,0,6,100,0,12,0,0,0,20
