date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,53,39,87,0,0,30,84,0,32
2020-04-02,68,79,0,0,0,0,0,20,0,0,32
2020-04-03,43,38,53,0,0,0,49,41,0,0,0
2020-04-04,95,78,0,0,0,0,0,33,0,0,0
2020-04-05,66,69,0,0,0,0,0,22,0,0,0
2020-04-06,78,59,53,0,0,0,48,30,0,0,0
2020-04-07,78,81,0,41,0,0,100,31,0,0,0
2020-04-08,60,49,0,41,0,0,0,21,0,0,0
2020-04-09,48,35,0,44,0,0,0,11,95,0,0
2020-04-10,51,45,0,0,0,0,0,12,0,0,0
2020-04-11,46,50,0,0,0,0,0,50,0,0,0
2020-04-12,77,62,0,0,0,0,0,38,0,0,78
2020-04-13,55,48,0,43,0,0,0,100,93,0,0
2020-04-14,62,62,0,0,0,0,0,42,0,0,0
2020-04-15,41,64,0,0,0,0,0,41,0,0,0
2020-04-16,52,71,0,41,0,0,0,63,0,0,0
2020-04-17,80,61,0,0,0,0,0,52,0,0,0
2020-04-18,38,48,0,47,0,0,0,60,0,97,0
2020-04-19,40,30,0,0,0,0,0,25,0,100,0
2020-04-20,31,39,0,41,0,0,0,52,0,0,0
2020-04-21,43,29,0,40,0,0,0,41,0,0,0
2020-04-22,46,35,0,0,0,0,0,31,0,0,0
2020-04-23,44,45,0,40,89,0,0,52,0,0,0
2020-04-24,33,32,0,41,0,100,100,21,0,0,0
2020-04-25,32,25,0,91,0,0,0,35,0,0,37
2020-04-26,45,33,0,0,0,0,0,24,100,0,0
2020-04-27,32,40,0,0,0,0,0,11,0,0,0
2020-04-28,20,25,0,80,0,0,0,51,0,0,0
2020-04-29,35,16,53,0,0,0,0,0,0,83,32
2020-04-30,46,28,0,0,0,0,0,20,0,0,0
2020-05-01,32,24,0,0,0,0,0,11,0,0,0
2020-05-02,54,36,0,0,0,0,0,12,0,0,36
2020-05-03,21,26,63,47,0,0,0,24,0,0,0
2020-05-04,26,39,0,0,0,0,0,12,0,0,0
2020-05-05,19,26,0,0,0,0,0,28,0,0,0
2020-05-06,29,19,0,0,0,0,0,21,0,0,0
2020-05-07,30,16,0,40,0,0,0,0,0,0,32
2020-05-08,31,20,0,0,0,0,0,32,0,0,0
2020-05-09,29,47,0,0,100,0,0,58,0,0,72
2020-05-10,27,15,0,0,0,0,0,12,0,99,0
2020-05-11,31,19,0,0,0,0,0,31,0,0,0
2020-05-12,10,0,0,40,0,0,0,0,0,0,0
2020-05-13,38,22,0,0,0,0,0,10,0,0,0
2020-05-14,15,6,0,40,88,0,49,20,0,0,0
2020-05-15,21,13,0,0,91,0,50,21,0,0,33
2020-05-16,17,18,0,0,0,0,56,24,0,0,0
2020-05-17,15,7,0,47,0,0,0,24,0,0,0
2020-05-18,10,26,0,40,0,0,0,21,0,0,0
2020-05-19,22,16,0,0,0,0,0,10,0,0,0
2020-05-20,27,15,52,39,0,0,0,50,83,0,62
2020-05-21,23,16,0,0,0,0,0,41,0,0,0
2020-05-22,11,17,0,0,0,0,51,43,0,0,33
2020-05-23,32,11,0,0,0,0,0,24,0,0,74
2020-05-24,27,7,0,47,0,0,0,24,0,0,0
2020-05-25,18,10,0,41,0,0,51,11,88,0,33
2020-05-26,15,13,0,0,0,0,0,21,0,0,0
2020-05-27,13,6,0,0,0,0,0,31,0,0,32
2020-05-28,13,6,0,0,0,0,0,0,0,0,0
2020-05-29,5,3,0,43,0,0,53,0,0,90,0
2020-05-30,15,4,0,47,0,0,0,0,0,0,0
2020-05-31,16,8,67,100,0,0,0,0,0,0,0
2020-06-01,19,10,0,0,0,0,0,0,91,0,0
2020-06-02,18,13,0,0,90,0,0,10,0,0,0
2020-06-03,9,6,0,0,0,0,0,0,0,0,0
2020-06-04,22,14,0,0,0,0,0,9,0,0,0
2020-06-05,21,6,0,72,0,0,0,9,0,0,0
2020-06-06,11,10,0,0,0,0,0,0,0,0,0
2020-06-07,14,14,0,0,0,0,0,0,0,89,0
2020-06-08,23,9,48,0,80,0,0,9,0,0,0
2020-06-09,22,8,0,0,0,0,0,9,0,0,0
2020-06-10,14,12,0,0,0,0,0,9,0,0,0
2020-06-11,13,10,0,0,0,0,0,10,0,0,0
2020-06-12,10,21,0,0,0,0,0,20,0,0,0
2020-06-13,18,7,0,42,0,0,0,0,0,0,0
2020-06-14,5,3,0,0,0,0,0,22,0,0,0
2020-06-15,5,3,0,0,0,0,0,0,0,0,0
2020-06-16,14,14,0,0,0,0,0,9,0,0,0
2020-06-17,14,9,0,0,0,0,0,10,0,0,0
2020-06-18,14,18,0,75,0,0,0,0,0,0,0
2020-06-19,17,9,0,0,0,0,0,20,0,0,0
2020-06-20,3,3,0,0,0,0,0,0,0,0,0
2020-06-21,16,17,0,0,0,0,0,0,0,0,0
2020-06-22,5,3,0,0,0,0,0,10,0,0,0
2020-06-23,12,6,0,0,0,0,0,30,0,0,0
2020-06-24,15,3,0,0,0,0,0,0,0,0,0
2020-06-25,5,3,0,0,0,0,0,20,0,0,31
2020-06-26,23,6,0,0,0,0,0,10,0,0,0
2020-06-27,24,3,0,0,0,0,0,11,0,0,0
2020-06-28,11,7,0,42,0,0,0,0,0,0,0
2020-06-29,8,3,0,42,0,0,0,0,0,0,0
2020-06-30,15,3,54,0,0,0,0,0,0,0,0
2020-07-01,15,0,54,0,89,0,0,0,0,0,0
2020-07-02,10,6,54,0,0,0,0,31,0,0,0
2020-07-03,13,10,0,0,0,0,0,10,0,0,0
2020-07-04,11,3,0,0,0,0,0,11,0,0,0
2020-07-05,6,4,0,99,0,0,0,13,0,0,39
2020-07-06,10,6,0,40,0,0,0,10,0,0,0
2020-07-07,15,3,0,0,0,0,0,0,0,0,0
2020-07-08,23,6,0,0,0,0,0,10,0,0,0
2020-07-09,30,9,0,39,0,0,0,20,0,0,0
2020-07-10,18,9,0,0,0,0,0,0,0,0,0
2020-07-11,11,7,0,0,0,0,0,0,0,0,0
2020-07-12,8,7,0,0,0,0,0,0,0,0,35
2020-07-13,16,3,0,0,0,0,0,11,0,0,100
2020-07-14,29,12,0,0,0,0,0,20,0,0,0
2020-07-15,26,6,0,37,0,0,0,19,80,0,30
2020-07-16,7,3,0,0,0,0,0,0,0,0,0
2020-07-17,20,15,0,39,86,0,48,20,0,0,31
2020-07-18,11,13,0,0,0,0,0,0,0,0,0
2020-07-19,21,10,0,0,0,0,0,0,0,0,0
2020-07-20,28,16,0,0,0,0,0,31,0,0,33
2020-07-21,12,12,0,0,0,0,0,10,0,0,62
2020-07-22,2,15,0,0,0,0,0,0,0,0,30
2020-07-23,5,3,0,0,0,0,0,0,0,0,0
2020-07-24,22,6,0,0,0,0,0,20,0,0,31
2020-07-25,5,6,0,0,0,0,0,10,0,0,0
2020-07-26,5,10,0,0,0,0,0,0,0,0,0
2020-07-27,8,3,0,0,0,0,0,10,0,0,0
2020-07-28,14,6,0,0,0,0,0,0,0,0,60
2020-07-29,22,9,0,0,0,0,0,0,0,0,30
2020-07-30,14,9,0,36,0,0,44,0,0,0,29
2020-07-31,8,3,0,0,0,0,50,31,0,0,33
2020-08-01,8,0,0,0,0,0,0,0,0,0,0
2020-08-02,8,6,0,0,0,0,0,10,0,0,0
2020-08-03,13,3,0,0,0,0,0,10,0,0,63
2020-08-04,21,15,0,37,0,0,0,9,0,0,0
2020-08-05,16,6,0,0,0,0,0,9,0,0,29
2020-08-06,12,9,0,0,0,0,0,0,0,0,0
2020-08-07,10,0,0,0,0,0,92,10,0,0,0
2020-08-08,11,0,0,0,95,0,0,0,0,0,0
2020-08-09,8,3,0,0,0,100,0,0,0,0,33
2020-08-10,5,6,0,0,0,0,49,0,0,0,0
2020-08-11,9,6,0,37,0,0,0,10,0,0,59
2020-08-12,7,0,100,37,0,0,0,10,0,0,0
2020-08-13,5,3,0,37,0,0,0,19,0,0,0
2020-08-14,7,0,0,0,0,0,0,0,0,0,0
2020-08-15,0,3,0,0,0,0,0,0,0,0,0
2020-08-16,22,3,0,0,0,0,0,10,0,0,31
2020-08-17,5,9,0,0,84,0,0,0,0,0,0
2020-08-18,25,14,0,36,0,0,0,0,0,0,29
2020-08-19,11,0,48,0,0,0,0,9,0,0,0
2020-08-20,11,6,0,0,0,0,0,0,0,0,0
2020-08-21,9,0,0,36,0,0,0,27,0,0,0
2020-08-22,14,6,0,0,0,0,0,0,0,0,0
2020-08-23,8,0,0,83,0,0,0,21,0,0,33
2020-08-24,10,0,0,40,0,0,0,0,0,0,32
2020-08-25,7,0,0,38,0,0,0,0,0,0,0
2020-08-26,7,3,0,38,0,0,0,0,0,79,0
2020-08-27,14,6,0,0,0,0,0,0,0,0,0
2020-08-28,22,6,0,0,0,95,0,0,0,0,62
2020-08-29,8,0,0,0,0,0,0,0,0,0,33
2020-08-30,5,0,0,0,0,0,0,0,0,0,0
2020-08-31,10,0,0,0,0,0,0,0,0,0,0
2020-09-01,11,0,0,0,80,0,44,0,0,0,29
2020-09-02,16,0,0,37,0,0,0,9,0,0,29
2020-09-03,9,6,0,37,0,0,0,0,0,0,0
2020-09-04,14,3,0,0,0,0,0,0,0,0,57
2020-09-05,8,3,0,40,0,0,0,0,0,0,32
2020-09-06,13,3,0,82,0,0,0,0,0,0,0
2020-09-07,7,6,0,0,0,0,0,0,0,0,0
2020-09-08,9,3,0,0,0,0,45,9,0,0,29
2020-09-09,9,6,0,36,0,0,0,0,0,0,58
2020-09-10,5,3,0,37,0,0,0,0,0,0,0
2020-09-11,7,6,0,0,0,0,0,0,0,0,0
2020-09-12,3,3,0,0,0,0,0,0,0,0,0
2020-09-13,5,0,0,41,0,0,0,0,0,0,0
2020-09-14,12,0,0,0,0,0,0,0,0,0,0
2020-09-15,7,0,0,0,0,0,0,0,0,0,29
2020-09-16,2,0,0,0,0,0,0,9,0,0,0
2020-09-17,7,6,0,0,0,0,0,0,0,0,0
2020-09-18,9,3,0,0,0,0,0,0,0,0,30
2020-09-19,10,6,0,0,0,0,0,0,0,0,33
2020-09-20,3,3,0,0,0,0,0,0,0,0,65
2020-09-21,12,3,0,0,0,0,0,0,0,0,0
2020-09-22,9,3,0,0,0,0,0,0,0,0,56
2020-09-23,0,0,47,0,0,0,0,0,0,0,0
2020-09-24,8,0,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,5,0,54,0,0,0,0,10,0,0,0
2020-09-27,5,0,0,0,0,0,0,0,0,0,0
2020-09-28,7,0,0,0,0,0,0,0,0,0,0
2020-09-29,2,0,0,0,0,0,0,0,0,0,0
2020-09-30,4,3,0,0,0,0,0,0,0,0,28
2020-10-01,2,0,0,0,0,0,0,0,0,0,0
2020-10-02,7,8,0,0,0,0,0,0,0,0,0
2020-10-03,8,3,0,0,0,0,0,0,0,0,0
2020-10-04,5,0,0,0,0,0,0,10,0,0,0
2020-10-05,9,0,0,0,0,0,0,0,0,0,0
2020-10-06,7,0,47,0,0,0,0,0,0,0,28
2020-10-07,2,5,0,0,0,0,0,0,0,0,0
2020-10-08,2,0,0,0,0,0,42,0,0,0,0
2020-10-09,11,0,0,0,0,0,0,0,0,0,0
2020-10-10,5,3,0,0,0,0,0,0,0,0,0
2020-10-11,8,3,0,0,0,0,0,0,0,0,0
2020-10-12,2,3,0,0,0,0,0,0,0,0,0
2020-10-13,2,0,0,0,0,0,0,0,0,0,0
2020-10-14,7,3,0,0,0,0,0,0,0,0,0
2020-10-15,7,3,0,0,0,0,0,0,0,0,0
2020-10-16,5,3,0,0,0,0,44,0,0,0,0
2020-10-17,3,0,0,0,0,0,0,0,0,0,0
2020-10-18,13,0,0,0,0,0,0,0,0,0,0
2020-10-19,9,0,0,0,0,0,0,0,0,0,0
2020-10-20,5,3,0,36,0,0,0,0,0,0,29
2020-10-21,7,3,0,0,79,0,0,9,0,0,0
2020-10-22,2,0,0,36,0,0,0,0,0,0,57
2020-10-23,7,0,50,0,0,0,0,0,0,0,0
2020-10-24,13,0,0,0,0,0,0,0,0,0,33
2020-10-25,5,0,0,0,0,0,0,0,0,0,0
2020-10-26,9,6,0,0,0,0,0,0,0,0,30
2020-10-27,4,0,0,35,0,0,0,0,0,0,28
2020-10-28,7,3,0,0,0,0,0,0,0,0,0
2020-10-29,2,0,0,0,0,0,87,0,0,0,28
2020-10-30,2,3,0,0,0,89,0,0,0,0,0
2020-10-31,5,0,0,0,0,0,0,10,0,0,0
2020-11-01,8,0,0,0,0,0,51,0,0,0,0
2020-11-02,5,0,0,0,0,0,0,0,0,0,29
2020-11-03,2,0,0,0,0,0,0,0,0,0,0
2020-11-04,6,0,0,0,0,0,0,0,0,0,0
2020-11-05,10,0,0,0,0,0,0,0,0,0,0
2020-11-06,9,3,0,0,0,0,0,0,0,0,0
2020-11-07,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,5,0,0,0,0,0,0,0,0,0,0
2020-11-09,13,3,0,0,0,0,51,0,0,0,0
2020-11-10,2,0,0,0,0,0,0,0,0,0,0
2020-11-11,6,5,0,0,0,0,0,0,0,0,0
2020-11-12,12,0,0,0,0,0,38,8,0,0,0
2020-11-13,8,0,0,0,0,0,41,0,0,0,0
2020-11-14,10,3,54,0,0,0,0,0,0,0,32
2020-11-15,10,0,0,0,0,0,0,0,0,0,0
2020-11-16,9,5,0,0,0,0,0,0,0,0,81
2020-11-17,13,7,0,0,0,0,0,0,0,0,24
2020-11-18,4,2,0,0,0,0,0,0,65,0,49
2020-11-19,12,7,0,0,0,0,0,0,0,0,25
2020-11-20,4,5,0,0,0,0,0,0,0,0,0
2020-11-21,5,0,0,0,0,0,49,0,0,0,32
2020-11-22,17,3,0,0,0,0,0,0,0,0,0
2020-11-23,7,11,0,0,0,0,42,0,0,0,27
2020-11-24,12,10,42,0,0,0,39,0,68,0,0
2020-11-25,12,2,0,0,0,0,0,0,0,0,50
2020-11-26,10,2,0,0,0,0,0,0,0,0,0
2020-11-27,13,0,0,0,0,0,0,0,0,0,0
2020-11-28,10,3,0,39,0,0,0,0,0,0,0
2020-11-29,3,3,0,0,0,0,0,0,0,0,0
2020-11-30,11,3,0,0,0,0,0,0,0,0,0
