date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,82,0,0,0,0,0,37,18,0,0
2020-04-02,85,100,41,0,0,0,0,44,0,0,0
2020-04-03,64,66,43,0,0,0,0,46,0,45,0
2020-04-04,74,63,52,0,0,0,56,37,0,0,0
2020-04-05,90,78,0,0,0,0,0,87,0,55,0
2020-04-06,63,73,43,0,0,0,0,100,0,0,30
2020-04-07,64,61,43,0,0,0,0,65,20,0,30
2020-04-08,52,48,0,25,84,0,0,56,0,0,0
2020-04-09,61,53,0,0,0,0,0,40,0,0,30
2020-04-10,58,52,0,0,0,0,0,57,23,0,0
2020-04-11,57,47,0,0,0,0,54,36,0,52,36
2020-04-12,78,63,0,0,0,0,0,11,0,0,36
2020-04-13,64,54,0,0,0,0,0,33,0,0,0
2020-04-14,39,76,0,0,0,0,44,32,0,0,0
2020-04-15,41,43,41,24,0,0,0,26,19,0,0
2020-04-16,36,28,0,24,0,0,44,44,0,0,0
2020-04-17,46,39,42,100,0,0,0,48,0,0,0
2020-04-18,54,46,0,0,0,0,0,32,0,0,0
2020-04-19,33,53,0,0,0,0,55,22,23,0,0
2020-04-20,41,58,0,0,0,0,0,35,0,0,0
2020-04-21,34,42,0,24,0,0,0,26,0,0,0
2020-04-22,46,25,0,0,0,0,44,43,18,0,28
2020-04-23,33,47,81,0,0,0,43,31,18,0,0
2020-04-24,47,38,0,74,0,0,0,35,0,0,0
2020-04-25,28,42,0,0,99,0,0,63,22,0,0
2020-04-26,24,40,0,0,0,0,0,28,0,0,35
2020-04-27,30,18,41,0,0,0,45,44,0,0,0
2020-04-28,37,23,0,0,0,0,0,56,0,0,0
2020-04-29,38,20,0,0,0,0,0,26,0,0,0
2020-04-30,31,21,0,22,0,0,40,24,0,0,53
2020-05-01,30,21,44,26,0,0,0,25,20,0,0
2020-05-02,32,29,0,28,0,0,50,37,21,0,0
2020-05-03,32,27,0,29,0,0,0,35,0,0,0
2020-05-04,30,34,0,44,0,0,0,18,0,0,0
2020-05-05,31,38,34,0,0,0,73,39,47,0,0
2020-05-06,46,19,38,22,0,0,81,40,0,0,0
2020-05-07,32,24,0,23,0,100,41,22,0,0,0
2020-05-08,29,36,0,23,0,0,0,14,0,0,0
2020-05-09,22,17,0,0,0,0,0,37,21,0,0
2020-05-10,19,30,0,29,0,0,0,34,0,0,0
2020-05-11,31,24,0,24,0,0,0,11,0,0,56
2020-05-12,13,19,76,0,0,0,0,24,17,0,27
2020-05-13,25,26,0,0,0,0,0,22,0,0,0
2020-05-14,27,16,0,22,0,0,0,29,0,0,0
2020-05-15,18,21,0,45,0,0,0,38,0,0,53
2020-05-16,40,27,0,52,0,0,48,28,20,0,0
2020-05-17,22,20,0,0,0,0,100,20,0,0,33
2020-05-18,27,29,0,0,0,0,39,16,33,0,26
2020-05-19,15,9,35,21,0,0,0,25,0,0,0
2020-05-20,20,13,0,21,0,0,0,26,16,0,0
2020-05-21,24,18,0,0,0,0,40,21,34,0,26
2020-05-22,20,12,0,0,0,0,83,14,35,0,27
2020-05-23,14,29,0,28,0,0,51,24,0,0,0
2020-05-24,29,12,48,0,0,0,0,10,44,0,0
2020-05-25,13,15,0,0,0,0,0,27,0,0,0
2020-05-26,18,23,0,0,0,0,0,21,34,0,0
2020-05-27,16,7,0,0,74,0,39,16,0,38,0
2020-05-28,23,15,0,0,0,0,0,10,0,0,25
2020-05-29,14,11,0,0,0,0,0,18,0,0,0
2020-05-30,27,11,0,0,0,0,0,22,0,0,31
2020-05-31,16,14,0,0,0,0,0,16,0,0,0
2020-06-01,23,21,0,0,0,0,0,10,31,0,0
2020-06-02,31,28,0,0,0,0,0,21,0,0,0
2020-06-03,31,18,0,0,0,0,0,4,0,0,0
2020-06-04,22,22,0,0,0,0,32,9,0,0,0
2020-06-05,34,29,0,0,0,81,0,9,0,0,22
2020-06-06,27,22,0,0,0,0,0,3,20,0,0
2020-06-07,27,30,44,26,0,0,0,19,0,0,0
2020-06-08,13,13,0,0,0,0,0,8,0,0,0
2020-06-09,15,18,0,0,0,0,0,12,0,0,0
2020-06-10,17,15,0,0,0,0,33,18,14,0,0
2020-06-11,19,15,0,19,0,0,34,4,0,0,22
2020-06-12,24,12,0,20,0,0,0,12,0,0,0
2020-06-13,13,18,0,0,0,0,0,12,0,0,0
2020-06-14,9,3,0,0,0,0,0,6,20,0,0
2020-06-15,24,24,0,0,0,0,0,12,0,0,0
2020-06-16,37,22,0,0,0,0,32,11,0,0,0
2020-06-17,24,19,0,18,0,0,0,9,0,0,0
2020-06-18,21,14,0,0,0,0,0,5,14,0,0
2020-06-19,19,16,0,0,0,0,0,7,0,0,0
