date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,79,71,0,25,0,0,30,10,19,0,6
2020-04-02,93,61,23,0,0,0,31,15,0,46,0
2020-04-03,87,72,23,25,0,42,16,5,40,0,19
2020-04-04,100,100,0,13,0,0,63,31,0,48,32
2020-04-05,81,76,23,37,0,41,15,20,0,0,19
2020-04-06,98,85,0,0,0,0,30,20,0,0,12
2020-04-07,71,57,0,13,0,0,16,5,0,0,19
2020-04-08,74,77,23,37,0,0,31,20,0,0,25
2020-04-09,67,60,45,0,0,0,15,25,38,45,25
2020-04-10,65,67,0,0,0,0,46,15,0,0,19
2020-04-11,60,46,23,25,0,0,0,10,58,0,6
2020-04-12,55,57,0,0,0,0,31,20,0,0,38
2020-04-13,42,35,45,12,0,0,0,30,19,0,6
2020-04-14,62,35,22,36,41,0,15,10,19,0,18
2020-04-15,55,80,22,36,0,0,45,0,19,0,19
2020-04-16,43,26,0,38,0,0,0,26,0,0,0
2020-04-17,53,54,0,13,0,0,16,11,0,48,13
2020-04-18,44,27,0,26,45,0,32,5,21,0,13
2020-04-19,58,11,0,14,0,0,51,11,0,0,14
2020-04-20,36,55,0,0,0,0,50,33,21,0,27
2020-04-21,33,28,25,27,0,45,33,5,0,100,7
2020-04-22,30,63,0,28,47,0,17,6,0,52,21
2020-04-23,36,23,26,28,48,0,18,0,0,53,29
2020-04-24,36,12,27,29,49,0,18,0,0,0,22
2020-04-25,29,29,26,14,0,0,88,6,22,0,14
2020-04-26,26,40,0,14,47,0,34,11,0,0,14
2020-04-27,31,23,0,14,0,0,17,6,0,0,21
2020-04-28,34,17,26,0,0,0,69,11,0,0,7
2020-04-29,34,22,0,13,0,0,17,11,0,50,20
2020-04-30,27,17,49,80,0,0,17,5,0,50,20
2020-05-01,35,18,0,30,51,0,0,12,0,0,15
2020-05-02,32,22,0,40,0,0,0,17,0,0,14
2020-05-03,35,34,0,14,0,0,17,11,0,51,0
2020-05-04,33,23,25,14,0,0,0,11,0,0,14
2020-05-05,30,47,0,13,43,42,16,5,20,0,13
2020-05-06,30,16,0,26,0,0,16,32,21,49,20
2020-05-07,25,33,0,53,0,44,33,38,0,0,7
2020-05-08,29,22,0,14,46,0,17,22,21,51,21
2020-05-09,40,54,0,39,45,0,32,32,0,0,20
2020-05-10,37,61,50,13,0,0,17,44,0,0,0
2020-05-11,41,17,25,40,0,44,0,44,21,0,7
2020-05-12,29,33,74,13,0,0,66,38,0,0,14
2020-05-13,37,61,25,67,0,0,50,16,0,0,20
2020-05-14,40,22,25,27,0,45,34,11,21,50,14
2020-05-15,38,0,26,70,0,0,0,40,22,0,43
2020-05-16,32,28,25,0,0,0,100,33,0,0,0
2020-05-17,31,44,24,66,45,0,49,59,0,49,47
2020-05-18,33,17,25,27,0,45,0,33,0,51,42
2020-05-19,33,58,0,42,0,0,35,12,0,0,7
2020-05-20,27,46,25,28,0,0,34,34,0,0,7
2020-05-21,38,12,27,43,99,0,36,29,0,0,37
2020-05-22,34,25,0,0,0,100,0,18,0,56,0
2020-05-23,34,38,0,46,0,0,0,25,0,0,31
2020-05-24,32,17,50,13,0,0,0,22,0,0,7
2020-05-25,34,11,24,40,0,0,0,5,42,0,34
2020-05-26,28,26,47,38,43,0,63,47,40,0,13
2020-05-27,38,32,0,13,44,0,48,37,20,0,0
2020-05-28,39,5,69,50,0,0,0,41,20,0,19
2020-05-29,47,37,23,64,87,0,32,63,20,0,26
2020-05-30,42,48,0,77,0,0,16,100,20,0,39
2020-05-31,40,42,23,64,0,0,0,94,20,47,39
2020-06-01,29,46,0,12,0,0,31,81,0,46,32
2020-06-02,38,41,23,38,43,42,0,62,20,47,26
2020-06-03,42,55,22,12,0,0,15,30,0,45,31
2020-06-04,27,41,0,25,0,0,0,55,19,0,13
2020-06-05,37,48,47,13,0,0,32,16,20,48,7
2020-06-06,36,42,23,76,0,0,16,36,20,0,13
2020-06-07,35,54,48,52,45,0,0,43,0,0,40
2020-06-08,32,10,23,100,0,0,31,41,0,0,57
2020-06-09,31,31,47,38,0,0,0,31,100,0,13
2020-06-10,18,22,0,13,45,0,0,32,0,49,40
2020-06-11,24,11,0,54,0,0,0,28,0,0,7
2020-06-12,26,23,0,28,0,0,0,23,0,0,0
2020-06-13,26,11,100,81,0,0,0,33,21,51,28
2020-06-14,24,27,0,13,0,0,16,27,21,0,27
2020-06-15,19,11,0,69,47,0,0,39,0,51,35
2020-06-16,24,27,0,53,0,0,16,38,0,49,0
2020-06-17,29,11,25,40,46,44,33,22,0,50,7
2020-06-18,23,11,0,42,0,0,17,23,0,52,0
2020-06-19,25,23,0,56,0,0,0,23,22,0,0
2020-06-20,17,23,0,0,0,0,0,6,0,0,14
2020-06-21,14,17,49,27,0,0,0,11,0,0,14
2020-06-22,22,11,26,14,0,0,0,11,22,0,21
2020-06-23,18,28,0,69,0,0,17,6,0,0,21
2020-06-24,13,22,0,27,0,0,0,5,0,0,7
2020-06-25,21,6,25,0,0,45,0,17,22,51,21
2020-06-26,18,6,52,57,0,0,35,17,0,0,22
2020-06-27,25,0,27,0,0,0,0,0,23,0,15
2020-06-28,23,23,25,14,0,0,0,11,0,0,14
2020-06-29,23,24,54,29,0,0,0,18,0,54,22
2020-06-30,19,12,52,28,0,0,18,6,0,0,7
2020-07-01,14,6,0,29,50,0,0,12,0,0,7
2020-07-02,10,12,27,43,0,0,0,6,23,54,15
2020-07-03,24,12,0,30,0,0,0,6,0,0,15
2020-07-04,20,37,0,0,51,0,0,12,0,0,8
2020-07-05,27,12,27,29,0,0,0,0,23,54,22
2020-07-06,15,18,0,59,0,0,0,6,23,0,30
2020-07-07,4,18,0,15,0,0,0,18,0,0,0
2020-07-08,14,6,0,44,50,0,0,12,23,0,0
2020-07-09,14,0,0,15,0,0,19,12,0,0,15
2020-07-10,21,19,28,0,0,0,37,0,0,0,8
2020-07-11,9,12,0,44,0,0,0,6,0,0,7
2020-07-12,9,12,27,30,0,0,0,0,0,55,8
2020-07-13,16,12,0,29,0,0,0,0,23,0,0
2020-07-14,11,0,0,0,0,0,0,0,0,0,15
2020-07-15,16,12,0,0,0,0,0,6,0,0,22
2020-07-16,21,6,0,30,0,0,18,0,0,0,8
2020-07-17,11,6,28,46,0,0,0,6,0,0,8
2020-07-18,19,0,0,45,0,0,0,6,24,0,46
2020-07-19,22,12,0,0,0,0,18,0,0,0,30
2020-07-20,5,6,0,31,0,0,0,0,0,58,16
2020-07-21,13,13,0,0,0,0,0,0,24,0,24
2020-07-22,15,6,28,45,0,0,19,6,0,0,15
2020-07-23,9,13,30,16,0,0,0,0,51,0,16
2020-07-24,18,0,0,0,0,0,0,0,0,0,25
2020-07-25,4,7,0,0,0,0,0,0,0,0,16
2020-07-26,16,0,0,15,0,0,0,0,0,0,0
2020-07-27,9,0,0,16,0,0,0,0,0,0,0
2020-07-28,13,0,30,33,0,0,20,0,0,0,33
2020-07-29,11,7,32,0,0,0,21,0,0,0,26
2020-07-30,15,0,0,0,0,0,0,0,0,0,18
2020-07-31,16,7,94,0,0,0,0,7,0,0,0
2020-08-01,17,34,0,16,0,0,20,7,0,0,8
2020-08-02,15,6,29,16,0,0,0,0,0,0,16
2020-08-03,14,19,55,15,0,0,0,0,0,0,15
2020-08-04,9,10,23,0,0,0,0,0,0,0,44
2020-08-05,7,12,0,0,48,0,0,12,22,0,14
2020-08-06,11,6,0,14,0,47,0,0,0,0,21
2020-08-07,10,18,0,0,0,0,35,0,0,0,29
2020-08-08,6,0,0,0,0,0,0,12,0,0,29
