date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,69,40,0,0,0,0,0,0,0,0,37
2020-04-02,87,39,0,48,0,0,48,0,0,0,35
2020-04-03,79,79,38,0,0,0,0,0,0,0,0
2020-04-04,100,0,0,0,0,0,0,0,0,0,0
2020-04-05,55,24,0,0,0,0,0,0,0,0,0
2020-04-06,57,100,0,0,0,0,0,0,0,0,0
2020-04-07,38,0,0,25,0,0,0,70,79,0,0
2020-04-08,73,41,0,25,0,0,0,70,0,0,0
2020-04-09,39,0,40,25,0,0,0,71,0,0,0
2020-04-10,56,74,0,31,0,0,0,0,0,0,0
2020-04-11,38,51,49,32,0,0,0,88,0,0,0
2020-04-12,16,44,0,0,0,0,0,0,0,0,0
2020-04-13,52,0,0,0,0,0,0,0,0,0,0
2020-04-14,44,39,0,24,0,0,48,0,0,0,0
2020-04-15,33,59,0,24,0,0,48,0,0,0,35
2020-04-16,44,19,37,24,67,0,0,0,0,0,0
2020-04-17,39,42,0,26,0,0,0,0,0,100,0
2020-04-18,34,51,0,32,0,0,0,0,0,0,0
2020-04-19,37,49,0,30,0,0,0,0,0,0,0
2020-04-20,21,22,0,56,0,0,0,0,0,0,0
2020-04-21,21,0,0,0,0,0,0,0,0,0,0
2020-04-22,22,0,0,0,0,0,0,0,0,0,0
2020-04-23,33,44,0,27,0,0,0,0,0,0,0
2020-04-24,35,23,45,0,0,0,0,0,0,0,42
2020-04-25,29,0,0,32,0,0,0,0,0,0,0
2020-04-26,24,50,0,31,0,0,0,87,0,0,0
2020-04-27,27,0,0,0,70,0,50,0,0,0,0
2020-04-28,23,20,0,0,0,0,0,0,0,0,0
2020-04-29,30,20,0,100,70,0,49,0,0,0,0
2020-04-30,31,0,0,0,0,0,100,0,0,0,0
2020-05-01,20,26,0,0,0,0,0,0,0,0,0
2020-05-02,32,0,0,0,0,0,0,0,0,0,0
2020-05-03,38,25,0,0,0,0,0,0,0,0,0
2020-05-04,8,20,0,0,0,0,50,0,0,0,74
2020-05-05,11,0,0,25,68,0,0,0,0,0,0
2020-05-06,16,0,0,0,0,0,52,0,0,0,38
2020-05-07,24,64,0,27,0,0,0,0,0,0,0
2020-05-08,17,0,0,0,0,0,0,0,0,0,0
2020-05-09,16,28,0,0,0,0,0,0,0,0,51
2020-05-10,36,27,0,34,0,0,0,0,0,0,0
2020-05-11,14,0,0,0,0,0,0,0,0,0,0
2020-05-12,19,41,0,0,0,0,0,0,79,0,0
2020-05-13,20,0,40,0,0,0,0,0,0,0,0
2020-05-14,23,0,0,0,0,0,51,0,0,0,0
2020-05-15,25,22,0,0,0,0,0,0,0,0,0
2020-05-16,14,0,0,0,0,100,0,0,0,0,0
2020-05-17,14,0,0,0,0,0,0,0,0,0,0
2020-05-18,8,21,0,0,0,0,0,0,0,0,0
2020-05-19,8,21,0,0,0,0,0,0,0,0,0
2020-05-20,24,0,0,26,0,0,0,0,0,0,38
2020-05-21,20,0,0,0,75,0,0,0,0,0,0
2020-05-22,22,0,0,57,0,0,0,0,0,0,0
2020-05-23,6,0,0,0,0,0,0,0,0,0,0
2020-05-24,29,26,0,0,0,0,0,0,0,0,0
2020-05-25,8,0,0,27,0,0,0,0,0,0,39
2020-05-26,4,22,0,0,0,0,0,0,0,0,0
2020-05-27,17,0,0,0,0,0,0,0,0,0,0
2020-05-28,8,0,0,27,0,0,0,0,0,0,0
2020-05-29,5,0,0,0,0,0,0,0,0,0,0
2020-05-30,5,0,0,0,0,0,0,0,0,0,0
2020-05-31,31,27,0,0,0,0,0,0,0,0,49
2020-06-01,8,0,0,0,0,0,0,0,0,0,0
2020-06-02,4,44,43,55,0,0,0,0,0,0,0
2020-06-03,16,0,0,0,0,84,0,0,0,0,0
2020-06-04,15,0,0,0,0,0,0,0,0,0,0
2020-06-05,25,0,0,0,0,0,0,0,0,0,0
2020-06-06,10,0,0,0,0,0,0,0,0,0,47
2020-06-07,5,0,0,0,0,0,0,0,0,0,0
2020-06-08,18,0,0,0,0,0,0,0,0,0,0
2020-06-09,11,0,0,0,0,0,0,0,0,0,0
2020-06-10,21,0,0,0,0,0,0,0,0,0,0
2020-06-11,8,0,0,0,0,0,0,0,0,0,0
2020-06-12,5,0,0,0,0,0,0,0,0,0,0
2020-06-13,17,0,0,0,0,0,73,0,0,0,54
2020-06-14,11,29,0,0,100,0,0,0,0,0,0
2020-06-15,4,0,0,54,0,0,0,0,0,0,0
2020-06-16,8,41,0,0,0,0,0,0,0,0,0
2020-06-17,13,23,0,0,0,0,0,0,0,0,0
2020-06-18,4,22,0,0,0,0,0,78,87,0,0
2020-06-19,9,0,0,0,0,0,0,0,0,0,0
2020-06-20,5,0,54,0,0,0,0,0,0,0,0
2020-06-21,5,0,0,0,0,0,0,0,0,0,0
2020-06-22,5,0,0,32,0,0,64,0,100,0,0
2020-06-23,13,0,0,0,0,0,0,0,0,0,0
2020-06-24,6,0,0,0,0,0,0,0,0,0,0
2020-06-25,9,0,0,0,0,0,0,0,0,0,0
2020-06-26,14,0,0,0,0,0,0,0,0,0,0
2020-06-27,21,0,0,0,0,0,0,0,0,0,51
2020-06-28,15,0,0,0,0,0,0,0,0,0,0
2020-06-29,8,0,0,0,0,0,51,0,0,0,0
2020-06-30,12,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,26,0,0,0,0,0,0,0
2020-07-02,8,0,0,27,0,0,0,0,0,0,0
2020-07-03,5,25,48,0,0,0,0,0,0,0,0
2020-07-04,14,0,0,31,0,0,0,0,0,0,0
2020-07-05,24,0,48,0,0,0,0,0,0,0,0
2020-07-06,4,0,0,0,0,0,0,0,0,0,0
2020-07-07,8,0,0,0,0,0,0,0,0,0,0
2020-07-08,17,0,86,0,0,0,0,0,0,0,40
2020-07-09,17,0,0,29,0,0,57,0,89,0,0
2020-07-10,17,0,0,29,0,0,0,0,0,0,0
2020-07-11,10,0,51,33,0,0,0,0,0,0,0
2020-07-12,21,27,0,0,0,0,0,0,0,0,0
2020-07-13,17,0,0,0,0,0,0,0,0,0,41
2020-07-14,13,0,0,0,0,0,0,0,0,0,0
2020-07-15,32,0,0,0,0,0,0,0,0,0,0
2020-07-16,13,24,0,0,0,0,0,0,0,0,0
2020-07-17,14,0,0,0,0,0,0,0,0,0,0
2020-07-18,12,0,59,0,0,0,0,0,0,0,0
2020-07-19,21,0,0,0,0,0,0,0,0,0,0
2020-07-20,34,0,44,0,0,0,0,0,0,0,0
2020-07-21,21,0,0,0,0,0,0,0,0,0,0
2020-07-22,13,0,0,0,0,0,0,0,0,0,0
2020-07-23,17,0,45,0,0,0,0,0,0,0,42
2020-07-24,18,0,0,30,0,0,0,0,0,0,0
2020-07-25,21,0,0,0,0,0,0,0,0,0,0
2020-07-26,17,0,0,0,0,0,0,0,0,0,0
2020-07-27,4,0,0,0,0,0,57,0,0,0,85
2020-07-28,25,0,43,0,0,0,0,0,0,0,0
2020-07-29,17,0,0,28,0,0,0,0,0,0,0
2020-07-30,29,0,0,28,0,0,0,0,0,0,0
2020-07-31,14,0,0,30,0,0,0,0,0,0,0
2020-08-01,11,0,0,0,0,0,0,100,0,0,53
2020-08-02,21,0,0,34,0,0,0,0,0,0,100
2020-08-03,33,0,0,27,0,0,0,0,0,0,0
2020-08-04,28,0,42,0,0,0,0,0,0,0,0
2020-08-05,26,0,0,0,0,0,0,0,0,0,83
2020-08-06,13,0,0,0,0,0,0,0,0,0,42
2020-08-07,32,0,0,30,0,0,0,0,0,0,0
2020-08-08,16,0,0,0,0,0,0,0,0,0,0
2020-08-09,27,0,55,35,0,0,0,0,0,0,0
2020-08-10,13,0,44,0,0,0,0,0,0,0,0
2020-08-11,42,0,0,0,0,0,0,0,0,0,0
2020-08-12,17,0,0,29,0,0,0,0,0,0,0
2020-08-13,8,0,0,0,0,0,0,0,0,0,40
2020-08-14,18,0,0,0,0,0,0,0,0,0,0
2020-08-15,16,0,0,0,0,0,0,0,0,0,51
