date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,81,94,17,13,0,0,0,17,0,0,26
2020-04-02,82,100,16,0,44,93,0,0,0,0,17
2020-04-03,91,97,16,37,87,0,26,0,100,0,0
2020-04-04,100,97,18,41,0,0,29,18,0,0,64
2020-04-05,87,91,0,0,0,0,0,0,0,0,26
2020-04-06,94,93,0,35,0,88,0,15,0,0,24
2020-04-07,70,90,15,12,42,0,25,15,48,0,32
2020-04-08,80,88,16,0,0,0,53,0,0,0,41
2020-04-09,75,80,16,12,0,0,0,31,49,0,0
2020-04-10,72,64,50,25,45,0,0,33,52,0,9
2020-04-11,80,77,0,0,44,0,27,16,0,0,17
2020-04-12,81,63,18,27,0,0,59,0,0,0,0
2020-04-13,65,77,18,27,49,0,30,0,0,100,65
2020-04-14,80,69,50,0,45,0,27,17,0,0,51
2020-04-15,62,51,32,37,0,0,26,16,0,0,33
2020-04-16,65,61,32,12,0,0,0,0,0,0,16
2020-04-17,68,69,18,0,0,0,0,18,0,0,9
2020-04-18,54,45,56,0,0,0,0,0,0,0,19
2020-04-19,57,62,38,15,0,0,0,0,0,0,10
2020-04-20,45,39,0,13,0,0,0,17,0,0,17
2020-04-21,48,53,33,0,0,0,27,0,0,0,0
2020-04-22,51,35,32,24,43,0,0,0,49,0,49
2020-04-23,42,52,16,0,0,0,27,16,0,0,25
2020-04-24,34,27,18,13,0,0,0,0,55,0,9
2020-04-25,48,30,0,0,0,0,0,0,0,0,26
2020-04-26,37,44,18,0,100,0,0,0,0,0,10
2020-04-27,44,48,0,0,0,0,54,33,0,0,0
2020-04-28,37,38,0,26,0,0,0,0,0,0,26
2020-04-29,40,34,16,12,0,0,27,0,0,0,17
2020-04-30,33,27,0,12,0,0,0,0,0,0,24
2020-05-01,32,31,0,0,0,0,0,0,0,0,9
2020-05-02,31,25,17,0,0,0,57,0,0,0,0
2020-05-03,27,33,0,0,0,0,0,0,0,0,10
2020-05-04,32,28,0,12,0,0,26,0,0,0,16
2020-05-05,29,28,16,0,0,0,0,0,0,0,25
2020-05-06,37,33,0,12,0,0,0,0,0,0,16
2020-05-07,42,24,32,12,0,0,0,0,0,88,25
2020-05-08,39,42,16,0,0,0,26,16,0,0,8
2020-05-09,33,34,17,13,0,0,0,0,0,0,18
2020-05-10,35,28,17,27,0,0,0,0,0,0,18
2020-05-11,42,28,75,11,0,0,0,0,0,0,15
2020-05-12,36,35,16,36,43,0,0,0,0,0,16
2020-05-13,34,25,16,24,0,0,0,31,0,0,0
2020-05-14,32,22,15,23,0,0,0,0,0,0,8
2020-05-15,24,17,0,24,0,0,26,16,0,0,16
2020-05-16,27,26,17,13,0,0,27,0,0,0,9
2020-05-17,24,27,0,0,0,0,0,17,0,95,27
2020-05-18,31,26,0,0,0,0,26,0,0,0,0
2020-05-19,27,20,0,12,0,0,0,0,0,0,16
2020-05-20,25,27,0,0,0,0,0,0,0,0,0
2020-05-21,25,23,47,0,0,89,0,0,0,0,8
2020-05-22,24,25,0,12,0,0,0,16,0,0,8
2020-05-23,29,25,31,12,0,0,25,0,48,0,16
2020-05-24,32,28,32,12,0,0,0,32,50,0,33
2020-05-25,37,25,0,11,0,0,0,0,46,0,15
2020-05-26,37,25,14,11,0,0,0,0,0,0,7
2020-05-27,28,18,29,33,0,0,0,14,0,0,7
2020-05-28,28,23,0,34,0,84,24,0,46,0,8
2020-05-29,31,24,29,11,0,0,0,0,0,0,22
2020-05-30,38,31,31,35,0,0,0,15,0,86,8
2020-05-31,30,38,16,12,0,0,0,0,0,0,8
2020-06-01,25,32,44,11,39,0,0,0,0,0,30
2020-06-02,30,19,29,33,0,83,0,0,46,0,30
2020-06-03,37,18,14,11,38,0,0,14,0,0,14
2020-06-04,20,15,29,11,0,0,47,0,0,0,22
2020-06-05,20,18,30,23,40,0,0,30,46,83,38
2020-06-06,23,16,15,23,0,0,0,15,48,0,0
2020-06-07,30,21,16,0,0,0,0,0,50,0,16
2020-06-08,20,18,30,0,0,0,0,0,0,0,8
2020-06-09,21,25,14,43,0,0,0,0,44,0,7
2020-06-10,19,21,15,0,0,0,0,0,0,0,8
2020-06-11,24,23,15,12,0,0,0,30,0,0,0
2020-06-12,20,16,15,0,0,0,0,0,0,0,8
2020-06-13,25,14,16,37,0,0,0,0,0,0,8
2020-06-14,29,19,16,24,42,0,0,0,0,0,24
2020-06-15,29,21,30,11,41,0,25,0,0,0,8
2020-06-16,17,24,0,0,0,0,0,0,0,0,22
2020-06-17,23,14,29,0,0,0,0,0,0,0,15
2020-06-18,15,10,30,11,0,0,25,0,0,0,0
2020-06-19,16,16,29,0,0,0,0,0,0,0,7
2020-06-20,20,13,30,0,0,0,0,0,0,0,0
2020-06-21,17,16,29,0,0,0,0,0,0,0,0
2020-06-22,15,12,30,11,40,0,0,0,46,0,0
2020-06-23,9,18,30,11,0,0,0,0,47,0,15
2020-06-24,16,11,0,11,0,0,0,0,0,0,8
2020-06-25,15,14,14,11,0,0,24,0,0,0,0
2020-06-26,13,13,42,0,0,0,23,0,0,0,22
2020-06-27,11,12,0,0,0,0,0,0,46,0,8
2020-06-28,15,8,0,11,0,0,0,0,0,0,8
2020-06-29,12,13,0,22,0,0,0,0,0,0,15
2020-06-30,8,9,0,100,0,0,0,0,0,0,68
2020-07-01,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,79,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,46,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,19,0,0,0,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,17,37,0,0,0,0,0,0,0,0,0
2020-07-14,9,19,0,0,0,0,0,0,0,0,0
2020-07-15,6,4,0,0,0,0,0,0,0,0,0
2020-07-16,2,4,0,0,0,0,100,0,0,0,31
2020-07-17,6,0,0,47,0,0,0,0,0,0,0
2020-07-18,7,10,73,0,0,0,0,0,0,0,0
2020-07-19,13,6,0,0,0,0,0,0,0,0,0
2020-07-20,2,0,0,0,0,0,0,0,0,0,89
2020-07-21,7,0,0,0,0,0,0,0,0,0,0
2020-07-22,3,3,100,0,0,0,0,100,0,0,26
2020-07-23,11,3,0,0,0,0,0,0,0,0,8
2020-07-24,6,6,0,11,0,0,0,0,44,0,0
2020-07-25,12,8,0,0,0,0,0,0,0,0,8
2020-07-26,11,6,17,0,0,0,0,0,0,0,9
2020-07-27,6,5,0,0,44,0,0,0,0,0,0
2020-07-28,4,3,0,0,0,0,0,0,0,0,16
2020-07-29,6,6,16,0,0,0,0,0,0,0,0
2020-07-30,5,5,0,0,0,0,0,0,50,0,25
2020-07-31,8,4,0,13,0,0,0,0,0,0,0
2020-08-01,8,8,0,0,0,0,0,0,0,0,26
2020-08-02,10,8,0,14,0,0,0,0,0,0,9
2020-08-03,6,7,32,0,0,0,26,0,0,0,16
2020-08-04,4,4,15,12,0,0,0,0,0,0,16
2020-08-05,7,2,16,0,0,0,0,0,0,0,8
2020-08-06,11,10,16,12,0,91,0,0,0,0,17
2020-08-07,5,4,33,0,0,0,0,0,0,0,8
2020-08-08,9,8,0,13,0,0,0,0,0,0,18
2020-08-09,6,2,17,13,0,0,0,0,0,0,0
2020-08-10,7,7,16,0,0,0,0,0,0,0,17
2020-08-11,13,7,0,0,0,0,0,0,0,0,100
2020-08-12,5,8,0,0,0,0,0,0,53,0,26
2020-08-13,8,4,0,12,0,0,0,0,0,0,8
2020-08-14,3,1,0,13,45,0,0,0,0,0,17
2020-08-15,9,3,17,0,46,0,0,0,0,0,18
2020-08-16,7,7,0,0,0,0,0,0,0,0,35
2020-08-17,7,5,0,0,0,0,0,0,0,0,9
2020-08-18,6,6,0,0,0,0,0,0,0,0,9
2020-08-19,6,3,0,25,0,0,28,0,0,0,0
2020-08-20,6,2,0,0,0,0,0,0,56,0,46
2020-08-21,5,5,17,13,0,0,0,0,0,0,9
2020-08-22,6,4,17,13,0,0,0,0,55,0,0
2020-08-23,2,6,17,0,0,0,0,0,0,0,18
2020-08-24,5,6,16,12,0,0,0,0,0,0,34
2020-08-25,7,4,0,0,0,0,0,0,0,0,41
2020-08-26,5,3,0,0,0,0,0,0,0,0,8
2020-08-27,4,6,0,0,0,0,0,0,0,0,8
2020-08-28,2,4,0,9,0,0,0,0,39,0,6
2020-08-29,2,2,12,9,0,0,0,0,0,0,13
2020-08-30,3,3,15,0,0,0,0,0,0,0,0
2020-08-31,2,2,0,12,0,0,0,0,0,0,8
2020-09-01,3,0,0,0,0,0,0,0,0,0,0
2020-09-02,5,9,0,12,0,0,0,0,0,0,16
2020-09-03,4,4,16,12,44,0,27,0,0,0,8
2020-09-04,3,2,0,24,0,89,0,0,0,0,0
2020-09-05,5,7,0,27,0,0,0,0,0,0,9
2020-09-06,2,4,0,0,0,0,0,0,0,0,18
2020-09-07,4,1,0,0,0,0,0,0,0,0,9
2020-09-08,4,2,17,13,0,0,0,17,0,0,9
2020-09-09,5,2,17,0,0,0,0,0,0,0,9
2020-09-10,2,5,0,0,0,0,0,0,0,0,0
2020-09-11,2,0,0,0,0,0,0,0,0,0,10
2020-09-12,2,2,0,0,0,0,0,0,0,0,18
2020-09-13,2,1,0,0,0,100,29,0,0,0,18
2020-09-14,5,2,0,0,0,0,0,0,0,0,23
2020-09-15,5,1,0,0,0,0,0,0,0,0,0
2020-09-16,2,0,0,0,0,0,0,0,0,0,16
2020-09-17,7,0,16,0,0,0,0,0,0,0,0
2020-09-18,2,3,0,0,0,88,0,15,0,0,8
2020-09-19,2,3,0,12,0,90,0,0,0,0,0
2020-09-20,0,2,0,12,0,0,0,0,0,0,17
2020-09-21,2,1,0,12,0,0,0,0,0,0,16
2020-09-22,3,1,0,0,0,0,0,0,0,0,15
2020-09-23,1,2,0,0,0,0,0,0,0,0,16
2020-09-24,1,0,0,0,0,0,0,0,0,0,8
2020-09-25,2,3,0,0,0,0,0,0,0,0,8
2020-09-26,2,5,0,0,0,0,0,0,0,0,0
2020-09-27,1,2,18,0,0,0,0,0,0,0,9
2020-09-28,1,2,0,0,0,0,0,0,0,0,15
2020-09-29,2,0,15,0,0,0,0,0,0,0,0
2020-09-30,0,2,0,11,0,0,0,0,0,0,16
2020-10-01,4,2,0,0,0,0,0,0,0,0,0
2020-10-02,3,3,15,11,0,0,0,0,0,0,8
2020-10-03,0,3,0,0,0,0,0,0,0,0,8
2020-10-04,2,3,0,0,0,0,0,0,47,0,0
2020-10-05,2,2,0,11,0,0,0,0,0,0,8
2020-10-06,1,2,0,0,0,0,0,0,48,0,8
2020-10-07,1,1,0,0,0,85,0,0,0,0,8
2020-10-08,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,0,0,15,0,0,0,0,0,0,0,8
2020-10-10,3,3,0,13,0,0,0,0,53,0,26
2020-10-11,1,2,0,0,0,0,0,0,0,96,0
2020-10-12,3,1,0,0,0,0,0,0,0,0,0
2020-10-13,2,2,0,0,0,0,0,0,0,0,8
2020-10-14,2,0,0,0,0,0,0,0,0,86,0
2020-10-15,2,1,0,0,0,0,0,0,0,0,8
2020-10-16,2,3,0,0,0,0,0,0,0,0,0
2020-10-17,1,1,0,0,0,0,0,0,0,0,0
2020-10-18,2,2,0,0,0,0,0,0,0,0,0
2020-10-19,1,1,0,12,0,0,0,0,0,0,16
2020-10-20,1,2,0,0,0,0,0,0,0,0,0
2020-10-21,3,2,0,0,0,0,0,15,0,0,0
2020-10-22,2,3,0,12,0,0,0,0,0,0,0
2020-10-23,1,0,0,14,0,0,0,0,0,0,0
2020-10-24,2,2,0,0,0,0,0,0,0,0,0
2020-10-25,1,0,0,12,0,0,0,0,0,0,8
2020-10-26,2,0,0,0,0,0,0,0,0,0,16
2020-10-27,2,0,0,12,0,0,0,0,0,0,8
2020-10-28,2,0,0,0,0,0,0,0,0,0,0
2020-10-29,1,0,16,12,0,0,0,0,0,0,0
2020-10-30,2,0,0,0,0,0,0,0,0,0,8
2020-10-31,0,0,15,0,0,0,0,0,0,0,8
2020-11-01,2,1,0,0,0,0,0,0,0,0,0
2020-11-02,2,1,32,0,0,0,0,0,0,0,0
2020-11-03,2,1,0,0,0,0,0,0,0,0,0
2020-11-04,0,1,0,0,0,0,0,0,0,0,6
2020-11-05,1,3,13,10,0,0,0,0,0,0,0
2020-11-06,1,0,0,0,0,0,0,0,0,0,21
2020-11-07,1,0,0,0,0,0,0,0,0,0,0
2020-11-08,1,2,0,0,0,0,0,0,0,0,0
2020-11-09,1,0,0,0,0,0,0,0,0,0,0
2020-11-10,2,1,0,0,0,0,0,0,0,0,8
2020-11-11,2,0,0,0,0,0,0,0,0,0,8
2020-11-12,1,0,0,0,0,0,0,0,0,0,16
2020-11-13,1,0,0,0,0,0,0,0,0,0,0
2020-11-14,2,1,0,0,0,0,0,0,0,0,18
2020-11-15,1,1,0,0,0,0,29,0,0,0,0
2020-11-16,1,0,0,13,0,0,0,0,0,0,0
2020-11-17,3,0,0,0,0,0,0,0,0,0,0
2020-11-18,1,1,0,0,0,0,0,0,0,0,33
2020-11-19,1,0,0,0,0,0,0,0,0,0,0
2020-11-20,2,0,0,0,0,0,0,0,0,0,8
2020-11-21,2,1,0,0,0,0,0,0,0,0,17
2020-11-22,1,1,0,0,0,0,0,0,0,0,9
2020-11-23,0,1,0,0,0,0,0,0,0,0,0
2020-11-24,2,1,0,0,0,0,29,0,55,0,0
2020-11-25,0,1,0,0,0,0,0,0,0,0,17
2020-11-26,1,0,0,12,0,0,0,0,0,0,0
2020-11-27,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,1,0,0,0,0,0,27,0,0,0,0
2020-11-29,1,0,0,0,0,0,0,0,0,0,8
2020-11-30,2,0,0,12,0,0,0,0,0,0,8
