date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,90,63,44,8,0,0,0,42,0,0,20
2020-04-02,98,99,22,41,48,0,36,0,0,43,62
2020-04-03,85,77,0,8,48,0,35,28,0,42,31
2020-04-04,97,100,0,29,57,0,21,100,0,0,61
2020-04-05,100,33,0,29,0,0,62,16,0,0,24
2020-04-06,86,83,22,0,0,0,52,14,0,0,10
2020-04-07,78,64,45,33,0,0,36,14,100,0,21
2020-04-08,76,58,46,34,0,0,36,14,0,0,21
2020-04-09,65,64,45,58,0,0,36,0,67,0,0
2020-04-10,79,42,0,29,0,0,0,0,0,50,37
2020-04-11,71,51,54,10,0,0,22,0,40,52,37
2020-04-12,64,46,25,27,53,0,0,0,36,0,23
2020-04-13,53,40,25,19,0,0,20,0,0,48,0
2020-04-14,54,34,0,24,47,0,86,27,0,0,20
2020-04-15,65,35,0,16,0,0,0,14,0,0,41
2020-04-16,72,21,0,25,0,0,18,14,0,42,0
2020-04-17,61,65,0,25,0,0,18,0,0,0,10
2020-04-18,43,8,0,19,0,0,21,16,39,50,0
2020-04-19,51,33,53,20,0,0,42,0,39,0,12
2020-04-20,58,34,0,32,0,0,87,28,32,0,10
2020-04-21,45,44,0,35,0,0,19,0,0,0,11
2020-04-22,48,29,0,9,0,0,0,0,0,0,11
2020-04-23,43,50,0,25,0,0,0,0,0,0,0
2020-04-24,53,14,23,0,0,0,36,14,34,0,10
2020-04-25,48,25,0,20,0,86,0,17,39,0,37
2020-04-26,57,16,0,0,56,0,21,16,0,0,24
2020-04-27,37,42,0,8,0,0,18,0,0,0,21
2020-04-28,42,14,22,0,48,0,36,14,0,0,0
2020-04-29,35,7,0,25,48,0,18,0,0,0,0
2020-04-30,30,15,23,9,50,0,0,0,0,0,21
2020-05-01,35,9,0,0,0,0,0,0,0,0,0
2020-05-02,35,16,0,19,0,0,62,0,0,49,12
2020-05-03,36,41,0,29,0,0,42,0,0,0,24
2020-05-04,29,34,0,8,0,0,34,0,32,0,10
2020-05-05,32,34,22,16,47,0,17,0,32,0,20
2020-05-06,24,7,0,8,0,0,18,0,34,43,21
2020-05-07,40,15,0,0,100,0,37,15,0,0,0
2020-05-08,24,37,0,9,0,0,19,15,0,0,11
2020-05-09,34,67,0,10,0,0,21,0,39,0,25
2020-05-10,39,17,26,10,0,0,21,0,0,0,12
2020-05-11,33,41,43,8,47,0,34,0,0,0,10
2020-05-12,29,7,0,0,0,0,18,0,33,0,51
2020-05-13,27,29,0,17,0,0,36,14,34,0,0
2020-05-14,41,37,24,26,0,0,57,0,35,45,22
2020-05-15,34,37,0,9,0,0,19,0,0,44,32
2020-05-16,35,16,0,19,0,0,20,0,0,0,35
2020-05-17,33,16,0,0,0,0,20,0,0,0,0
2020-05-18,32,0,0,9,0,0,37,0,0,0,21
2020-05-19,26,36,0,8,0,0,18,0,0,0,32
2020-05-20,24,7,0,0,0,0,0,0,0,0,11
2020-05-21,28,17,0,10,0,0,22,0,0,0,25
2020-05-22,24,16,26,10,0,0,21,0,0,0,12
2020-05-23,26,37,0,0,0,0,0,0,0,0,0
2020-05-24,28,17,0,10,0,0,22,0,0,0,13
2020-05-25,34,0,0,9,0,0,57,0,35,45,0
2020-05-26,25,16,0,9,54,0,0,0,0,0,11
2020-05-27,18,23,0,0,0,0,0,0,0,0,22
2020-05-28,22,8,24,18,0,0,0,0,36,0,22
2020-05-29,23,0,0,0,0,0,0,0,0,0,12
2020-05-30,23,9,30,0,0,0,24,0,0,0,28
2020-05-31,30,9,0,21,0,0,0,0,0,0,13
2020-06-01,26,8,0,0,0,0,0,16,0,0,11
2020-06-02,20,16,25,0,0,0,0,0,0,48,0
2020-06-03,20,30,24,9,0,0,19,0,0,0,0
2020-06-04,21,15,23,9,0,0,0,0,0,0,0
2020-06-05,21,8,48,9,0,0,19,0,0,0,0
2020-06-06,24,8,27,20,0,0,0,0,0,0,12
2020-06-07,24,9,0,30,0,0,66,0,0,0,25
2020-06-08,16,36,23,8,0,0,0,14,0,0,0
2020-06-09,13,15,23,9,0,0,0,0,0,0,0
2020-06-10,20,24,26,9,0,0,0,0,0,0,0
2020-06-11,21,16,0,9,0,0,0,0,0,0,24
2020-06-12,14,0,0,0,0,0,0,0,0,0,0
2020-06-13,21,30,32,12,0,0,25,0,0,0,0
2020-06-14,25,37,0,0,0,0,0,0,0,0,14
2020-06-15,23,8,25,0,0,0,0,0,0,0,23
2020-06-16,27,7,0,9,0,0,19,0,0,0,11
2020-06-17,17,0,0,9,0,0,0,0,0,0,0
2020-06-18,16,16,0,9,56,83,20,0,0,0,0
2020-06-19,15,0,0,0,0,0,26,0,0,0,0
2020-06-20,19,0,0,0,0,0,26,0,0,0,30
2020-06-21,20,0,30,0,0,0,24,0,0,0,0
2020-06-22,27,24,0,0,0,0,0,0,0,0,0
2020-06-23,24,16,26,0,0,0,0,16,0,0,12
2020-06-24,24,33,0,19,0,0,41,0,0,0,0
2020-06-25,27,0,0,10,0,0,41,0,0,0,12
2020-06-26,27,17,26,10,0,0,0,0,0,0,12
2020-06-27,24,0,30,0,0,0,0,19,0,0,14
2020-06-28,17,9,0,0,0,0,0,0,40,0,13
2020-06-29,14,8,0,0,0,0,19,0,0,0,11
2020-06-30,18,7,46,0,0,0,0,0,0,0,21
2020-07-01,13,15,24,9,0,0,0,0,0,0,0
2020-07-02,23,8,98,9,0,0,20,0,0,0,11
2020-07-03,18,0,0,10,0,0,0,0,0,0,12
2020-07-04,20,0,0,39,0,0,0,34,0,0,0
2020-07-05,20,0,27,10,0,0,0,17,0,0,13
2020-07-06,24,7,24,9,0,0,0,0,0,0,33
2020-07-07,14,0,0,0,0,0,19,0,0,0,23
2020-07-08,17,0,0,18,0,80,0,0,0,0,12
2020-07-09,15,16,25,0,0,0,0,0,0,0,12
2020-07-10,18,8,0,10,0,0,21,0,0,100,12
2020-07-11,19,0,0,21,0,0,0,0,0,0,0
2020-07-12,16,18,0,11,62,0,23,36,0,0,0
2020-07-13,25,16,0,9,0,0,0,0,0,0,11
2020-07-14,22,25,26,10,0,83,21,33,0,0,0
2020-07-15,24,9,55,30,0,0,0,0,0,0,13
2020-07-16,18,0,0,10,0,0,0,0,0,0,13
2020-07-17,17,0,86,21,0,0,46,0,0,0,13
2020-07-18,28,20,0,0,0,0,50,0,0,0,0
2020-07-19,16,10,0,11,0,0,24,0,0,0,14
