date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,98,91,52,0,0,0,14,33,55,52,41
2020-04-02,95,100,43,57,6,40,12,65,55,0,32
2020-04-03,88,76,27,17,13,41,19,100,42,53,19
2020-04-04,100,90,72,39,8,0,7,62,16,31,5
2020-04-05,91,86,31,29,8,0,12,62,0,31,38
2020-04-06,78,79,66,16,0,0,11,50,13,0,26
2020-04-07,80,72,8,40,0,0,16,51,27,76,31
2020-04-08,80,70,26,74,0,41,14,53,83,52,14
2020-04-09,72,57,27,42,0,0,15,40,42,53,19
2020-04-10,63,59,36,26,7,84,11,34,29,27,14
2020-04-11,72,56,49,19,7,0,9,44,0,0,26
2020-04-12,66,64,70,47,0,0,17,8,16,30,26
2020-04-13,66,65,65,26,7,0,30,35,44,28,19
2020-04-14,63,53,35,25,0,0,22,26,69,26,5
2020-04-15,55,50,9,34,0,0,12,20,28,53,14
2020-04-16,52,51,36,34,0,0,15,27,28,27,28
2020-04-17,58,55,35,42,0,0,11,40,0,26,14
2020-04-18,54,44,29,46,7,0,11,36,0,29,5
2020-04-19,51,46,19,36,7,0,6,43,30,28,15
2020-04-20,49,41,34,40,0,0,13,32,54,25,27
2020-04-21,45,39,0,57,0,0,13,26,54,26,13
2020-04-22,46,44,18,42,0,0,15,20,100,0,71
2020-04-23,43,42,17,33,0,40,21,20,42,52,32
2020-04-24,40,29,54,60,0,42,7,20,29,0,24
2020-04-25,44,31,20,28,7,0,17,15,16,0,26
2020-04-26,37,26,30,56,7,0,15,0,31,59,10
2020-04-27,38,28,25,8,0,0,24,32,40,100,22
2020-04-28,43,30,8,92,6,0,13,24,39,0,8
2020-04-29,41,37,17,63,0,0,11,31,13,25,26
2020-04-30,40,32,24,60,0,37,10,12,38,47,12
2020-05-01,33,31,35,25,0,0,13,33,42,0,0
2020-05-02,38,31,0,68,0,0,21,0,43,0,9
2020-05-03,40,30,19,36,0,0,8,14,0,0,15
2020-05-04,35,27,16,39,0,0,14,12,39,49,21
2020-05-05,35,28,23,57,6,0,15,28,36,45,24
2020-05-06,32,23,8,16,6,0,11,31,13,25,17
2020-05-07,33,24,42,40,0,0,13,13,54,51,18
2020-05-08,34,22,0,87,14,0,21,7,15,55,24
2020-05-09,35,33,37,88,0,0,13,14,15,83,15
2020-05-10,34,32,36,67,7,41,15,7,43,27,14
2020-05-11,33,24,33,31,12,0,23,12,13,24,13
2020-05-12,33,26,44,41,6,0,22,7,56,52,9
2020-05-13,33,25,26,49,6,41,15,0,0,26,14
2020-05-14,32,22,44,17,0,0,9,13,14,0,23
2020-05-15,32,22,19,26,0,0,4,0,15,28,29
2020-05-16,36,26,22,51,0,100,9,0,17,64,17
2020-05-17,34,29,11,61,0,0,10,0,17,32,34
2020-05-18,30,24,27,60,100,0,12,0,0,0,19
2020-05-19,27,16,9,43,33,0,8,0,14,54,19
2020-05-20,22,18,28,61,0,0,10,14,29,27,5
2020-05-21,25,17,11,20,16,49,4,16,33,63,28
2020-05-22,24,12,28,18,7,0,13,0,15,0,20
2020-05-23,23,19,0,38,0,0,8,8,0,89,5
2020-05-24,25,17,11,10,0,0,9,8,0,0,17
2020-05-25,25,21,18,25,0,0,6,13,42,0,9
2020-05-26,18,15,27,17,0,0,11,7,0,27,14
2020-05-27,15,11,9,26,7,42,4,0,14,0,24
2020-05-28,22,12,35,17,7,0,3,7,14,53,9
2020-05-29,21,13,28,9,20,43,11,7,29,0,10
2020-05-30,18,7,11,0,0,0,10,0,0,32,17
2020-05-31,19,17,21,0,0,0,2,0,34,0,17
2020-06-01,18,10,0,9,0,0,4,0,30,56,10
2020-06-02,14,8,0,0,6,0,9,13,27,50,0
2020-06-03,17,8,16,23,6,37,5,0,25,0,8
2020-06-04,15,11,16,23,0,0,4,0,13,0,13
2020-06-05,15,10,8,24,0,0,6,19,27,76,4
2020-06-06,15,11,20,29,0,0,4,15,0,0,5
2020-06-07,12,10,51,39,0,48,8,0,0,0,11
2020-06-08,13,8,16,38,0,0,7,18,26,24,9
2020-06-09,12,8,25,24,0,0,9,6,13,25,4
2020-06-10,12,5,18,0,0,0,4,13,14,26,5
2020-06-11,13,6,18,8,0,0,7,7,0,0,19
2020-06-12,12,10,18,8,0,0,5,7,28,0,9
2020-06-13,14,9,0,29,0,0,5,0,0,0,5
2020-06-14,13,5,63,30,0,0,5,0,17,31,22
2020-06-15,13,7,17,0,6,0,9,7,14,26,5
2020-06-16,14,11,0,25,0,0,5,7,41,26,18
2020-06-17,13,13,36,17,7,0,4,7,14,0,19
2020-06-18,13,8,18,9,7,42,4,0,43,0,19
2020-06-19,13,8,9,45,7,0,3,14,15,0,10
2020-06-20,14,8,11,32,0,52,3,0,18,0,18
2020-06-21,17,17,0,21,0,0,3,0,0,33,6
2020-06-22,13,11,38,27,0,0,2,0,60,28,40
2020-06-23,17,12,10,27,7,0,3,0,0,0,15
2020-06-24,13,9,19,27,0,0,5,7,15,0,25
2020-06-25,13,7,48,27,7,0,5,0,31,0,10
2020-06-26,12,10,29,9,7,0,4,0,31,29,5
2020-06-27,14,9,43,10,0,0,2,8,17,0,11
2020-06-28,14,10,19,9,7,0,4,0,30,28,10
2020-06-29,13,11,36,8,0,0,7,0,0,27,9
2020-06-30,10,10,28,0,0,0,8,7,29,27,29
2020-07-01,11,8,9,26,0,0,4,7,59,0,10
2020-07-02,12,8,9,0,0,0,3,0,44,0,5
2020-07-03,10,5,58,18,0,0,9,15,15,0,10
2020-07-04,14,11,11,31,8,0,5,0,0,33,12
2020-07-05,15,10,0,10,0,0,7,16,34,0,11
2020-07-06,14,13,27,17,20,0,3,7,14,0,5
2020-07-07,14,7,28,9,0,0,3,0,30,0,15
2020-07-08,17,9,10,9,0,0,6,15,61,29,10
2020-07-09,23,9,10,38,7,0,2,0,0,30,26
2020-07-10,21,12,40,19,0,0,6,0,0,30,5
2020-07-11,18,7,47,34,9,0,4,0,0,70,19
2020-07-12,18,9,36,23,0,0,2,0,38,36,13
2020-07-13,18,9,42,10,0,48,6,8,0,0,22
2020-07-14,18,7,11,51,0,0,3,8,51,0,34
2020-07-15,14,8,38,44,7,0,2,14,45,28,39
2020-07-16,16,8,10,27,0,0,4,15,15,0,25
2020-07-17,19,10,61,19,8,0,4,8,0,61,0
2020-07-18,18,8,24,46,0,0,10,9,19,0,44
2020-07-19,21,12,0,45,0,0,3,9,0,35,6
2020-07-20,21,19,30,56,7,91,4,15,0,0,26
2020-07-21,19,13,10,47,0,0,4,8,16,0,47
2020-07-22,21,8,61,86,0,0,5,8,16,0,21
2020-07-23,16,11,10,48,0,0,3,15,32,30,16
2020-07-24,21,10,41,39,8,0,4,8,16,0,27
2020-07-25,25,10,58,22,0,0,2,0,0,34,12
2020-07-26,19,8,35,100,0,0,5,0,0,0,12
2020-07-27,23,12,49,28,0,0,5,0,31,0,21
2020-07-28,18,6,59,37,0,0,6,0,0,0,16
2020-07-29,19,9,20,19,0,0,7,0,0,0,5
2020-07-30,19,9,21,39,0,0,4,0,33,0,16
2020-07-31,19,7,11,10,0,0,14,16,17,63,17
2020-08-01,17,6,35,11,0,54,6,0,0,69,24
2020-08-02,18,8,46,43,0,0,3,0,0,34,18
2020-08-03,16,10,59,47,7,0,8,7,47,0,10
2020-08-04,17,7,41,29,0,47,4,0,16,30,16
2020-08-05,17,12,52,39,8,48,6,0,17,31,5
2020-08-06,15,6,42,20,0,49,3,0,33,31,11
2020-08-07,18,8,43,40,0,0,5,16,34,0,11
2020-08-08,17,5,70,0,9,0,5,9,0,0,0
2020-08-09,18,10,47,11,0,0,1,9,0,0,37
2020-08-10,12,5,60,28,0,0,5,60,0,0,21
2020-08-11,18,10,61,19,7,0,5,76,32,0,64
2020-08-12,13,6,10,55,0,0,5,22,15,0,15
2020-08-13,16,7,70,28,0,47,5,8,0,0,32
2020-08-14,23,10,42,20,0,0,5,0,0,31,22
2020-08-15,18,9,78,42,0,0,3,17,0,0,17
2020-08-16,19,7,34,11,8,0,2,0,18,34,18
2020-08-17,18,5,30,10,0,0,4,15,16,30,27
2020-08-18,17,10,20,47,0,0,2,7,0,0,16
2020-08-19,15,7,50,28,0,0,5,15,32,30,16
2020-08-20,19,5,21,59,0,48,4,0,17,0,38
2020-08-21,21,8,21,40,0,0,3,16,0,0,22
2020-08-22,16,9,34,22,0,0,2,9,0,0,18
2020-08-23,16,4,11,10,0,0,1,8,0,0,12
