date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,54,40,42,0,0,0,76,0,0,13
2020-04-02,56,21,39,0,0,0,0,0,0,0,0
2020-04-03,71,58,0,44,79,0,45,40,0,0,0
2020-04-04,81,23,0,45,0,0,0,0,0,0,0
2020-04-05,91,100,93,96,0,0,0,44,0,0,15
2020-04-06,61,11,0,0,0,0,0,0,0,0,0
2020-04-07,58,33,40,0,0,0,42,0,0,0,0
2020-04-08,69,22,0,86,0,0,0,39,0,0,0
2020-04-09,55,36,0,46,0,0,0,0,0,0,0
2020-04-10,59,36,0,0,0,0,46,0,0,0,0
2020-04-11,65,36,45,46,0,0,0,0,0,0,15
2020-04-12,41,60,0,46,0,0,0,0,0,0,15
2020-04-13,65,48,0,0,0,0,46,0,0,0,0
2020-04-14,68,59,0,45,0,0,0,0,0,0,14
2020-04-15,47,49,0,0,0,0,47,0,93,0,0
2020-04-16,86,11,0,86,0,0,0,0,0,0,14
2020-04-17,73,26,47,0,0,0,0,0,0,51,0
2020-04-18,94,14,50,0,0,0,0,0,0,0,0
2020-04-19,98,57,53,0,0,0,55,50,0,0,0
2020-04-20,52,12,0,0,0,0,0,0,0,0,30
2020-04-21,49,43,0,0,0,0,82,0,0,0,0
2020-04-22,47,31,0,40,71,0,0,0,0,0,13
2020-04-23,36,0,0,0,0,0,80,0,0,0,0
2020-04-24,21,22,0,0,0,0,42,39,0,0,13
2020-04-25,52,0,0,44,0,0,0,0,0,0,0
2020-04-26,38,0,46,48,0,0,0,0,0,100,0
2020-04-27,47,12,45,0,0,0,0,43,0,0,0
2020-04-28,18,12,0,0,0,0,0,0,0,0,0
2020-04-29,39,0,42,0,0,0,0,0,0,0,0
2020-04-30,30,11,0,0,0,0,0,39,0,0,0
2020-05-01,37,12,0,0,0,0,0,0,0,0,0
2020-05-02,32,12,44,0,0,0,0,41,0,0,0
2020-05-03,29,25,0,0,0,0,98,0,0,0,0
2020-05-04,39,11,42,43,0,0,44,0,0,0,0
2020-05-05,32,10,0,0,0,0,40,0,0,0,0
2020-05-06,36,31,0,40,0,0,0,0,80,0,13
2020-05-07,8,0,40,0,0,0,42,0,0,0,0
2020-05-08,26,22,42,0,0,0,0,0,0,0,0
2020-05-09,21,11,0,0,0,0,0,0,0,0,0
