date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,61,100,66,46,24,28,0,44,56,84,20
2020-04-02,59,87,30,37,0,0,1,85,28,69,13
2020-04-03,54,86,52,56,73,0,1,67,28,77,22
2020-04-04,56,85,45,29,58,0,1,85,51,65,18
2020-04-05,56,84,88,33,29,33,1,57,100,100,20
2020-04-06,52,75,69,25,25,0,1,46,29,40,19
2020-04-07,50,71,100,22,100,0,1,38,73,40,14
2020-04-08,47,63,71,20,26,0,1,63,90,57,20
2020-04-09,44,58,32,40,26,0,1,40,46,67,15
2020-04-10,45,56,44,36,57,0,1,30,49,63,22
2020-04-11,44,59,57,43,62,0,1,100,54,49,22
2020-04-12,44,47,28,15,0,35,1,18,35,76,6
2020-04-13,47,55,49,40,0,31,1,8,46,59,17
2020-04-14,45,52,36,36,70,27,2,29,27,30,11
2020-04-15,76,71,36,39,0,0,2,51,27,60,26
2020-04-16,54,46,31,35,74,0,1,42,58,47,14
2020-04-17,47,50,8,56,0,0,1,52,45,33,11
2020-04-18,41,50,44,62,57,100,1,39,17,36,12
2020-04-19,43,40,25,45,27,32,2,21,48,26,17
2020-04-20,41,41,28,76,46,27,2,43,94,29,10
2020-04-21,40,40,22,66,0,82,1,58,68,52,13
2020-04-22,41,41,45,53,24,0,2,56,28,23,14
2020-04-23,40,40,30,93,0,0,2,45,57,54,14
2020-04-24,38,43,8,55,0,30,2,35,74,49,20
2020-04-25,36,40,9,100,87,0,2,27,34,28,24
2020-04-26,38,35,43,50,56,33,1,13,33,71,18
2020-04-27,36,33,37,92,96,0,2,37,0,38,15
2020-04-28,39,40,7,53,0,0,1,14,41,44,19
2020-04-29,38,33,21,50,46,0,2,29,54,74,18
2020-04-30,39,30,21,41,0,27,2,18,53,15,8
2020-05-01,35,31,24,42,76,60,2,12,74,24,23
2020-05-02,34,29,24,26,0,0,2,12,0,25,13
2020-05-03,37,33,16,34,0,0,2,12,46,34,7
2020-05-04,38,27,21,26,23,27,2,14,0,43,25
2020-05-05,39,25,7,31,44,0,1,0,52,42,17
2020-05-06,55,35,51,33,47,28,2,0,28,8,25
2020-05-07,44,26,30,25,25,29,2,19,72,39,12
2020-05-08,37,26,8,29,77,0,3,12,0,33,18
2020-05-09,35,28,18,18,29,34,2,9,51,9,2
2020-05-10,37,27,17,21,54,31,2,17,31,43,6
2020-05-11,37,24,21,31,0,26,2,17,26,28,14
2020-05-12,34,23,7,30,23,0,1,18,41,15,18
2020-05-13,33,29,29,27,47,0,1,15,69,8,15
2020-05-14,30,22,38,22,73,0,1,8,71,23,10
2020-05-15,31,22,8,19,25,59,1,0,44,32,25
2020-05-16,28,18,45,30,0,0,1,13,17,28,14
2020-05-17,31,24,9,18,0,0,2,9,0,9,18
2020-05-18,30,23,15,12,48,28,1,7,28,23,24
2020-05-19,28,19,15,29,25,0,1,4,58,48,16
2020-05-20,28,24,8,13,26,30,1,12,60,8,13
2020-05-21,27,20,9,27,61,71,1,14,35,19,11
2020-05-22,25,22,16,13,26,0,1,4,0,17,17
2020-05-23,27,19,8,14,0,0,1,4,16,17,13
2020-05-24,27,18,8,10,26,30,1,16,30,8,11
2020-05-25,30,16,7,27,23,28,1,18,14,15,15
2020-05-26,29,15,30,28,24,0,1,7,14,0,12
2020-05-27,27,19,23,6,75,59,1,4,44,24,5
2020-05-28,26,15,15,3,25,0,1,8,29,24,3
2020-05-29,25,16,17,27,54,31,1,8,16,17,17
2020-05-30,24,16,0,12,60,35,1,0,0,0,0
2020-05-31,24,18,27,11,0,0,1,4,0,18,6
2020-06-01,25,16,9,11,0,0,1,13,0,27,8
2020-06-02,25,11,0,12,0,28,1,18,14,8,7
2020-06-03,25,11,21,14,23,27,1,0,0,14,5
2020-06-04,26,11,34,25,0,26,1,7,39,14,12
2020-06-05,23,10,21,3,23,27,1,0,0,15,8
2020-06-06,20,11,41,17,0,0,1,8,0,26,9
2020-06-07,21,16,16,0,0,0,1,8,15,25,9
2020-06-08,23,11,21,20,45,0,1,7,0,29,14
2020-06-09,23,12,7,23,0,0,1,7,13,7,10
2020-06-10,22,11,7,34,0,0,1,7,57,8,5
