date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,95,96,12,39,0,0,26,49,0,0,77
2020-04-02,70,90,19,38,100,0,22,0,100,47,65
2020-04-03,88,74,22,36,31,0,20,0,0,0,72
2020-04-04,90,83,23,19,33,0,32,48,0,47,87
2020-04-05,75,63,32,19,68,0,36,49,41,0,88
2020-04-06,77,79,34,19,33,0,21,47,78,0,53
2020-04-07,90,80,23,57,33,53,25,48,60,0,76
2020-04-08,81,73,22,18,0,0,34,0,19,0,62
2020-04-09,69,82,19,0,33,0,28,48,59,0,43
2020-04-10,66,40,24,0,0,0,37,49,20,0,100
2020-04-11,96,72,40,20,0,0,30,100,0,0,56
2020-04-12,100,100,78,20,0,0,61,0,0,0,46
2020-04-13,94,95,100,20,0,0,30,0,62,0,89
2020-04-14,93,82,81,38,99,0,35,0,39,0,32
2020-04-15,53,54,28,19,67,0,36,0,20,0,77
2020-04-16,49,47,36,19,0,0,26,98,0,48,44
2020-04-17,60,67,39,0,67,0,44,0,20,0,33
2020-04-18,71,73,64,20,0,0,63,0,0,0,55
2020-04-19,52,38,40,59,69,0,100,0,21,0,33
2020-04-20,62,58,28,19,0,0,84,0,0,0,22
2020-04-21,50,35,32,19,34,0,40,0,20,48,0
2020-04-22,50,58,35,96,34,54,33,98,0,0,55
2020-04-23,35,27,35,57,99,0,32,0,20,47,0
2020-04-24,41,34,51,19,0,0,25,0,20,47,32
2020-04-25,30,36,24,60,0,56,38,0,21,49,0
2020-04-26,36,42,46,62,0,0,43,0,22,51,58
2020-04-27,37,25,21,61,71,0,27,0,43,0,23
2020-04-28,49,52,24,98,68,0,18,0,0,0,45
2020-04-29,36,29,19,94,66,0,35,0,0,0,43
2020-04-30,36,40,59,36,0,51,21,0,0,0,21
2020-05-01,34,34,25,40,35,0,11,0,21,0,11
2020-05-02,39,42,27,0,0,0,18,49,0,0,65
2020-05-03,34,44,21,20,0,0,23,0,0,50,35
2020-05-04,46,44,23,38,0,0,14,0,0,0,22
2020-05-05,40,32,51,72,31,0,27,45,0,44,41
2020-05-06,26,24,33,54,63,0,17,0,0,44,31
2020-05-07,33,27,54,38,33,0,18,0,0,0,54
2020-05-08,37,37,39,19,0,0,18,0,20,48,44
2020-05-09,32,22,37,40,0,0,0,0,0,0,46
2020-05-10,25,22,25,21,0,0,16,0,0,0,24
2020-05-11,27,17,12,100,0,0,15,0,0,49,23
2020-05-12,27,18,53,37,32,0,21,0,0,46,21
2020-05-13,25,13,25,18,31,0,17,0,37,0,30
2020-05-14,31,25,26,37,32,0,3,0,0,0,53
2020-05-15,24,29,41,18,32,0,14,0,19,45,52
2020-05-16,32,35,67,38,34,0,11,0,0,0,33
2020-05-17,28,24,44,0,0,0,7,0,0,0,45
2020-05-18,30,24,55,18,32,0,7,0,0,0,21
2020-05-19,33,33,33,36,31,0,10,0,0,0,20
2020-05-20,16,17,37,18,0,0,17,0,0,44,20
2020-05-21,23,30,29,53,31,0,10,0,0,0,20
