date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,63,62,23,24,0,0,1,54,70,59,24
2020-04-02,66,61,0,13,0,0,1,43,0,0,17
2020-04-03,73,57,36,0,69,0,0,29,0,0,17
2020-04-04,71,100,13,14,74,0,1,46,0,0,36
2020-04-05,59,61,26,0,0,0,2,15,0,100,28
2020-04-06,52,43,23,37,0,0,0,14,0,59,0
2020-04-07,41,68,12,13,68,0,1,14,0,31,0
2020-04-08,52,58,12,0,0,0,1,15,0,32,18
2020-04-09,59,42,25,27,0,0,1,0,0,32,18
2020-04-10,40,57,13,0,74,0,0,0,0,0,18
2020-04-11,57,34,44,15,0,0,1,0,0,0,10
2020-04-12,37,29,43,15,0,0,0,17,0,0,51
2020-04-13,31,22,0,55,0,0,1,46,0,0,0
2020-04-14,45,47,0,0,0,0,2,0,0,33,18
2020-04-15,51,38,0,13,71,0,1,15,0,0,18
2020-04-16,48,23,0,0,0,0,1,0,0,0,19
2020-04-17,79,39,0,30,82,0,1,17,0,0,20
2020-04-18,44,46,0,0,0,0,1,0,0,0,11
2020-04-19,41,52,17,18,0,0,2,20,0,0,0
2020-04-20,48,24,14,15,0,0,1,0,0,73,10
2020-04-21,39,60,0,27,0,72,0,15,77,32,9
2020-04-22,45,34,13,0,0,0,1,15,0,0,44
2020-04-23,27,26,13,54,0,0,1,0,78,33,27
2020-04-24,44,37,14,72,0,0,0,16,0,0,10
2020-04-25,39,56,15,32,0,0,1,53,0,0,0
2020-04-26,38,40,0,93,0,0,2,0,90,38,31
2020-04-27,34,27,26,28,76,0,1,16,81,0,9
2020-04-28,28,40,40,56,76,0,2,31,81,34,9
2020-04-29,46,9,13,41,0,0,1,46,0,0,37
2020-04-30,27,9,0,67,0,0,1,0,0,0,18
2020-05-01,27,20,30,63,0,0,1,18,0,0,53
2020-05-02,41,24,0,45,81,81,1,100,0,36,20
2020-05-03,39,24,28,15,81,0,1,33,0,0,10
2020-05-04,33,30,0,95,73,0,1,45,0,0,27
2020-05-05,22,4,25,66,0,0,0,59,0,0,0
2020-05-06,32,9,0,14,75,0,1,46,0,0,18
2020-05-07,24,18,13,71,0,0,0,16,0,0,0
2020-05-08,34,19,0,15,0,0,1,0,0,0,0
2020-05-09,34,49,32,85,0,0,1,0,98,0,0
2020-05-10,13,60,0,34,0,0,1,0,0,42,0
2020-05-11,22,9,0,42,0,0,0,0,81,0,9
2020-05-12,20,14,0,0,0,0,0,0,0,35,0
2020-05-13,11,14,27,0,0,0,1,0,83,0,39
2020-05-14,16,23,0,0,0,0,1,0,84,0,49
2020-05-15,12,0,29,0,0,0,1,0,87,37,30
2020-05-16,24,6,0,0,0,0,1,0,0,0,12
2020-05-17,8,6,0,17,0,0,0,0,100,0,12
2020-05-18,34,5,28,44,0,0,1,0,0,0,29
2020-05-19,15,14,27,14,0,77,0,0,0,0,19
2020-05-20,24,14,13,14,0,0,0,0,0,34,0
2020-05-21,27,19,14,44,0,0,1,0,0,0,29
2020-05-22,25,24,28,15,0,0,0,0,0,0,0
2020-05-23,11,0,50,18,0,0,0,0,0,0,12
2020-05-24,24,17,33,0,0,0,0,0,0,0,23
2020-05-25,9,9,14,0,0,0,0,0,0,0,29
2020-05-26,21,13,26,14,0,0,0,0,0,33,9
2020-05-27,15,9,0,0,0,0,0,0,0,34,0
2020-05-28,23,13,0,14,0,0,0,16,0,0,9
2020-05-29,13,5,0,15,0,0,0,0,0,0,0
2020-05-30,16,27,0,17,0,0,1,0,0,0,12
2020-05-31,13,5,0,0,0,0,0,0,0,0,0
2020-06-01,19,4,0,28,0,0,0,15,0,34,9
2020-06-02,24,9,0,0,0,0,0,0,0,0,19
2020-06-03,19,22,26,14,0,0,0,15,0,0,0
2020-06-04,17,4,0,14,0,0,0,0,0,0,18
2020-06-05,7,0,27,28,0,0,0,0,0,0,0
2020-06-06,13,0,16,50,0,0,1,0,0,40,22
2020-06-07,18,11,0,17,0,0,0,19,0,0,11
2020-06-08,7,5,14,0,0,0,1,0,0,37,20
2020-06-09,12,17,25,0,0,0,2,0,0,33,0
2020-06-10,9,9,0,14,0,0,1,0,0,0,9
2020-06-11,18,9,14,0,0,0,1,0,0,0,0
2020-06-12,7,5,28,44,0,0,0,0,0,0,0
2020-06-13,21,11,0,0,92,0,1,0,0,0,11
2020-06-14,29,22,16,0,0,0,1,0,0,0,12
2020-06-15,11,4,0,0,0,0,1,0,0,0,9
2020-06-16,4,9,0,14,74,74,0,0,0,0,0
2020-06-17,20,5,13,0,0,0,1,0,0,0,29
2020-06-18,20,14,14,0,0,0,0,0,0,0,0
2020-06-19,9,0,28,0,0,0,1,17,0,0,20
2020-06-20,13,16,16,17,0,0,0,0,0,0,11
2020-06-21,20,16,0,0,0,0,0,0,0,0,11
2020-06-22,15,9,0,0,74,0,1,0,0,0,0
2020-06-23,8,4,0,0,0,0,1,0,80,0,9
2020-06-24,11,13,13,0,0,0,1,0,0,34,9
2020-06-25,18,23,14,0,0,0,1,16,84,35,0
2020-06-26,12,10,0,0,0,0,0,0,0,0,21
2020-06-27,16,6,17,0,0,0,0,0,0,0,36
2020-06-28,13,16,0,17,0,0,0,0,0,0,0
2020-06-29,25,5,14,0,0,0,0,0,0,0,0
2020-06-30,14,5,14,15,0,0,1,0,0,0,20
2020-07-01,9,14,14,15,0,0,0,0,0,36,20
2020-07-02,16,14,28,15,0,0,1,32,84,0,0
2020-07-03,23,5,0,0,0,0,0,0,0,0,0
2020-07-04,32,17,33,0,0,0,1,0,0,0,12
2020-07-05,48,16,0,0,0,0,0,0,0,0,0
2020-07-06,11,9,13,28,0,0,0,16,0,0,10
2020-07-07,24,0,13,0,77,0,0,16,0,0,0
2020-07-08,16,0,14,15,0,0,0,16,0,0,10
2020-07-09,30,5,14,30,82,0,1,0,0,0,10
2020-07-10,25,10,43,15,0,0,1,0,87,0,0
2020-07-11,16,0,17,0,97,0,0,0,0,0,0
2020-07-12,19,0,51,0,0,96,0,0,0,0,12
2020-07-13,36,5,28,15,0,0,1,0,0,0,10
2020-07-14,32,14,42,15,0,0,1,17,0,0,20
2020-07-15,36,9,14,15,0,0,0,0,0,0,20
2020-07-16,16,10,14,15,0,82,2,0,0,37,20
2020-07-17,29,20,30,47,0,0,2,0,0,0,11
2020-07-18,36,0,0,18,0,0,0,20,0,0,24
2020-07-19,33,17,34,0,0,0,0,0,0,43,24
2020-07-20,32,10,43,30,0,0,1,0,87,0,51
2020-07-21,27,5,0,0,0,0,1,0,0,0,20
2020-07-22,34,5,0,0,0,0,1,0,0,0,20
2020-07-23,32,10,29,15,0,0,1,0,87,0,10
2020-07-24,38,0,0,15,0,0,0,17,0,0,10
2020-07-25,62,6,0,18,0,0,1,0,0,45,25
2020-07-26,31,6,69,18,0,99,1,0,0,0,37
2020-07-27,46,0,72,0,0,0,1,0,0,0,41
2020-07-28,55,14,29,60,0,0,0,0,0,0,20
2020-07-29,68,10,29,31,0,83,1,17,0,0,0
2020-07-30,37,0,29,15,0,0,1,0,0,0,0
2020-07-31,35,10,0,15,0,0,1,17,88,0,10
2020-08-01,74,22,16,34,0,0,1,0,0,0,35
2020-08-02,51,22,33,35,0,0,1,0,0,0,35
2020-08-03,39,14,71,30,0,0,0,0,0,0,51
2020-08-04,55,5,14,0,81,0,1,0,0,36,20
2020-08-05,58,5,69,44,0,0,0,0,0,0,39
2020-08-06,42,0,41,14,0,0,4,0,0,0,10
2020-08-07,50,19,56,44,0,0,6,0,0,0,40
2020-08-08,57,5,62,16,0,0,4,18,0,0,11
2020-08-09,59,5,32,100,0,0,5,0,0,0,22
2020-08-10,64,5,42,15,0,0,3,0,0,0,30
2020-08-11,61,0,58,62,0,0,1,35,0,37,62
2020-08-12,67,25,15,16,0,0,1,35,0,0,21
2020-08-13,55,25,44,0,0,0,2,53,0,0,10
2020-08-14,77,5,61,32,0,0,2,18,0,0,32
2020-08-15,82,12,88,19,100,100,1,0,0,0,0
2020-08-16,76,11,50,0,0,0,1,20,0,43,24
2020-08-17,67,0,88,31,0,0,2,0,90,0,21
2020-08-18,54,10,72,0,0,0,1,0,0,37,81
2020-08-19,72,0,71,45,0,0,6,17,0,0,20
2020-08-20,47,5,58,61,0,0,2,0,0,0,10
2020-08-21,37,24,29,46,0,0,2,0,0,37,41
2020-08-22,42,11,49,35,93,0,1,0,0,0,0
2020-08-23,70,5,80,67,0,0,1,0,97,0,11
2020-08-24,40,18,54,14,0,0,1,16,0,35,29
2020-08-25,81,4,13,28,0,0,1,0,0,0,0
2020-08-26,50,9,13,29,77,0,1,0,0,0,10
2020-08-27,60,9,41,58,0,0,0,16,0,0,0
2020-08-28,43,9,54,42,0,0,1,16,81,0,38
2020-08-29,55,10,16,49,0,0,1,18,0,0,0
2020-08-30,47,5,64,51,92,0,0,0,0,0,11
2020-08-31,63,4,26,69,0,0,1,0,0,0,0
2020-09-01,40,4,26,56,0,0,0,0,0,0,9
2020-09-02,61,9,67,29,0,0,1,0,0,35,19
2020-09-03,36,13,13,28,0,0,0,0,0,0,19
2020-09-04,35,5,27,14,0,0,1,0,0,35,19
2020-09-05,34,10,0,32,0,0,0,0,0,0,11
2020-09-06,50,0,78,33,0,0,0,18,0,0,33
2020-09-07,56,4,80,42,0,0,2,0,0,0,9
2020-09-08,58,4,13,56,0,0,4,16,0,0,19
2020-09-09,47,13,39,14,0,0,2,0,0,0,65
2020-09-10,39,9,27,72,78,0,2,0,0,0,10
2020-09-11,41,4,13,14,0,0,1,0,81,0,9
2020-09-12,50,5,46,81,0,0,1,0,0,0,11
2020-09-13,50,5,16,49,0,0,0,0,0,0,11
2020-09-14,47,0,83,15,0,0,2,16,0,0,39
2020-09-15,46,5,27,43,0,0,0,0,0,0,48
2020-09-16,56,0,53,56,76,76,4,0,0,0,28
2020-09-17,46,4,26,27,0,0,7,15,0,0,28
2020-09-18,41,8,38,13,0,0,8,0,0,0,0
2020-09-19,51,5,29,30,82,0,3,0,0,37,0
2020-09-20,37,5,15,0,0,0,6,18,0,0,21
2020-09-21,30,9,27,14,77,0,7,0,0,0,19
2020-09-22,44,9,39,0,0,0,10,0,0,0,9
2020-09-23,50,0,26,68,0,0,14,0,78,0,0
2020-09-24,53,18,53,14,0,0,12,0,0,0,37
2020-09-25,32,5,0,15,0,0,5,17,0,0,10
2020-09-26,50,15,0,31,84,0,3,0,0,0,21
2020-09-27,55,0,31,32,0,0,2,0,0,0,54
2020-09-28,30,9,27,14,0,0,3,0,0,0,47
2020-09-29,43,4,0,14,0,0,1,0,0,0,9
2020-09-30,39,9,13,14,0,0,3,0,0,0,29
2020-10-01,35,5,27,0,0,0,2,16,0,0,10
2020-10-02,53,5,29,30,0,0,1,0,0,0,40
2020-10-03,52,11,32,17,0,92,1,0,0,0,34
2020-10-04,42,0,15,0,87,87,1,0,0,0,11
2020-10-05,41,5,13,57,0,0,1,16,82,0,0
2020-10-06,24,0,41,14,78,0,3,0,83,0,0
2020-10-07,38,9,13,14,0,0,1,0,0,0,9
2020-10-08,61,5,14,29,0,0,2,0,0,0,38
2020-10-09,45,5,0,15,0,0,2,0,89,0,0
2020-10-10,74,17,0,18,0,0,2,20,0,0,24
2020-10-11,61,6,82,0,0,0,1,0,0,0,12
2020-10-12,41,0,56,15,0,0,1,0,0,0,30
2020-10-13,39,0,56,15,0,0,2,17,0,0,10
2020-10-14,69,10,14,15,0,0,2,0,0,0,10
2020-10-15,100,5,29,0,0,0,5,0,0,0,20
2020-10-16,50,0,44,0,0,0,5,0,0,0,0
2020-10-17,80,11,32,0,91,91,3,0,0,0,22
2020-10-18,73,5,16,0,0,92,3,0,0,0,0
2020-10-19,39,10,100,0,0,0,6,17,87,0,10
2020-10-20,40,0,29,0,0,0,6,0,0,0,10
2020-10-21,61,0,97,0,0,0,8,0,0,0,20
2020-10-22,49,10,43,61,0,0,5,51,88,0,31
2020-10-23,75,16,15,16,0,0,3,18,0,0,11
2020-10-24,73,0,0,35,0,0,2,0,0,0,12
2020-10-25,72,0,0,34,0,0,3,0,0,0,34
2020-10-26,49,0,15,49,0,0,3,0,0,0,32
