date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,13,43,52,53,0,0,0,11,0,0,0
2020-04-02,43,67,0,55,0,0,0,59,0,0,0
2020-04-03,27,67,0,0,0,0,48,53,0,0,0
2020-04-04,44,100,0,61,0,0,0,46,0,0,71
2020-04-05,31,40,0,0,0,0,0,21,0,0,0
2020-04-06,22,61,0,0,0,0,0,64,0,0,0
2020-04-07,29,25,60,0,0,0,0,39,0,0,0
2020-04-08,38,13,62,0,0,0,0,75,0,0,0
2020-04-09,20,14,0,67,0,0,0,100,0,0,0
2020-04-10,35,13,0,0,0,0,0,49,0,0,0
2020-04-11,36,27,66,0,0,0,0,36,0,0,0
2020-04-12,24,54,0,0,0,0,0,57,0,0,0
2020-04-13,24,24,0,0,0,0,0,37,0,0,0
2020-04-14,7,22,54,0,0,0,0,41,0,0,32
2020-04-15,13,22,0,0,0,0,0,51,0,0,0
2020-04-16,13,32,52,0,0,0,0,40,0,0,31
2020-04-17,26,76,0,0,0,0,0,57,0,0,0
2020-04-18,10,47,0,0,0,0,0,25,0,0,0
2020-04-19,27,39,0,0,0,0,0,14,0,0,36
2020-04-20,16,11,53,0,0,0,46,6,0,0,0
2020-04-21,13,32,52,53,0,0,0,46,0,0,0
2020-04-22,25,43,0,0,0,0,0,22,0,0,0
2020-04-23,13,11,0,0,0,0,0,28,81,0,0
2020-04-24,6,11,0,53,0,0,46,17,0,0,0
2020-04-25,24,82,0,0,0,0,50,37,88,0,33
2020-04-26,4,25,0,62,0,0,0,20,0,0,0
2020-04-27,23,22,54,0,52,0,47,29,0,0,0
2020-04-28,25,43,0,0,0,0,0,28,0,0,31
2020-04-29,31,32,0,0,0,0,0,28,0,0,30
2020-04-30,21,10,50,50,0,0,0,22,0,0,0
2020-05-01,14,24,0,58,0,0,0,0,0,0,0
2020-05-02,28,59,0,0,0,0,0,12,0,0,0
2020-05-03,8,13,0,0,0,0,0,7,0,0,0
2020-05-04,19,11,0,0,0,0,0,11,0,0,0
2020-05-05,36,20,0,100,0,0,0,21,0,0,0
2020-05-06,16,11,0,0,0,0,0,28,0,0,0
2020-05-07,19,11,0,0,49,0,45,6,80,0,0
2020-05-08,23,33,53,0,0,0,0,23,0,0,0
2020-05-09,21,24,0,0,0,0,0,31,0,0,0
2020-05-10,22,12,0,0,0,0,0,6,0,0,0
2020-05-11,24,11,0,0,0,0,0,18,0,0,0
2020-05-12,16,11,0,0,0,0,0,6,0,0,31
2020-05-13,6,0,0,54,0,0,47,17,0,0,0
2020-05-14,13,11,0,0,100,0,0,0,0,0,61
2020-05-15,13,0,54,0,0,0,0,18,0,0,0
2020-05-16,24,59,57,0,0,0,0,0,0,0,0
2020-05-17,4,37,0,0,0,0,0,0,0,0,0
2020-05-18,3,23,0,0,0,0,0,30,0,0,0
2020-05-19,22,32,0,0,0,0,0,0,0,0,0
2020-05-20,10,11,0,53,0,0,0,17,0,0,0
2020-05-21,19,33,52,0,0,0,46,6,0,0,31
2020-05-22,23,11,0,0,0,0,0,6,0,0,32
2020-05-23,14,12,0,0,0,0,0,12,0,0,0
2020-05-24,11,25,0,0,0,0,0,0,0,0,0
2020-05-25,29,11,0,0,0,0,0,6,84,0,0
2020-05-26,6,0,0,0,0,0,0,23,0,0,0
2020-05-27,19,21,0,52,0,0,0,11,0,0,0
2020-05-28,9,31,0,51,49,0,0,11,0,0,0
2020-05-29,23,11,0,0,0,0,0,12,0,0,0
2020-05-30,3,0,53,0,0,0,0,12,0,0,63
2020-05-31,10,12,57,0,0,0,0,12,0,0,0
2020-06-01,19,21,0,0,0,0,0,0,0,0,0
2020-06-02,6,11,51,0,0,0,0,0,0,83,0
2020-06-03,6,0,0,0,0,0,0,16,0,0,0
2020-06-04,9,19,0,0,0,0,0,5,0,0,0
2020-06-05,12,10,0,0,0,0,0,10,0,0,0
2020-06-06,7,0,0,0,0,0,0,6,0,0,0
2020-06-07,15,0,0,0,0,0,0,0,0,0,0
2020-06-08,9,10,48,0,0,0,0,5,0,0,0
2020-06-09,15,20,0,49,0,0,0,16,0,0,28
2020-06-10,15,10,0,0,0,0,0,11,0,0,28
2020-06-11,24,10,0,0,0,0,0,22,0,0,0
2020-06-12,9,0,0,51,0,0,0,33,0,0,0
2020-06-13,17,11,0,56,0,0,0,0,0,0,0
2020-06-14,7,36,0,59,0,0,0,13,0,0,0
2020-06-15,6,0,0,0,0,0,0,6,0,0,30
