date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,61,85,31,100,0,55,30,41,19,40,31
2020-04-02,55,42,15,69,0,0,81,58,78,60,12
2020-04-03,88,100,26,69,41,56,90,100,39,40,25
2020-04-04,85,59,12,45,0,0,18,78,46,47,7
2020-04-05,100,50,18,59,0,0,53,49,46,47,15
2020-04-06,55,43,5,69,0,28,67,41,20,40,12
2020-04-07,40,44,21,19,63,29,91,25,100,61,32
2020-04-08,36,50,36,76,21,0,45,33,98,80,19
2020-04-09,42,35,41,57,21,0,37,66,59,100,12
2020-04-10,27,8,30,30,0,0,35,39,46,47,7
2020-04-11,54,42,49,68,74,0,80,30,23,0,7
2020-04-12,51,43,6,53,49,33,54,10,23,24,7
2020-04-13,42,50,24,52,0,0,35,29,23,0,15
2020-04-14,42,36,31,63,21,0,37,25,59,0,0
2020-04-15,46,29,36,82,62,0,30,17,39,20,13
2020-04-16,48,56,56,56,61,0,44,16,77,20,37
2020-04-17,42,28,41,88,21,0,15,17,0,0,12
2020-04-18,19,33,24,51,48,0,34,10,0,23,14
2020-04-19,19,8,12,52,24,0,44,10,23,24,29
2020-04-20,37,48,15,48,39,27,71,0,19,19,6
2020-04-21,32,14,10,49,40,27,43,16,38,39,12
2020-04-22,28,21,40,37,0,0,50,24,19,19,18
2020-04-23,25,14,25,36,39,0,78,24,0,19,6
2020-04-24,36,14,16,26,0,28,76,25,40,61,13
2020-04-25,8,17,12,15,48,0,26,39,23,0,7
2020-04-26,27,0,24,37,0,33,35,49,0,0,7
2020-04-27,45,28,36,19,0,0,44,0,39,79,6
2020-04-28,20,36,21,0,41,28,97,25,20,40,6
2020-04-29,33,21,31,13,41,0,60,0,59,0,31
2020-04-30,21,8,22,27,0,0,64,9,42,0,20
2020-05-01,31,25,18,30,24,66,44,0,0,0,7
2020-05-02,31,26,37,45,0,0,36,10,47,0,7
2020-05-03,24,26,12,15,25,0,27,0,0,48,15
2020-05-04,25,7,20,24,0,0,64,8,0,19,18
2020-05-05,28,0,29,42,19,0,63,47,37,19,0
2020-05-06,44,41,5,30,20,0,50,8,19,19,24
2020-05-07,16,14,0,44,0,0,67,25,19,0,12
2020-05-08,40,15,5,32,21,29,100,0,20,21,13
2020-05-09,8,26,31,46,25,34,27,10,0,0,8
2020-05-10,49,9,7,8,0,0,28,0,25,0,0
2020-05-11,29,42,20,31,0,0,88,8,0,59,0
2020-05-12,20,0,10,19,0,28,22,8,0,20,19
2020-05-13,19,0,21,31,41,0,44,25,0,20,0
2020-05-14,16,14,31,31,0,0,29,0,39,40,43
2020-05-15,36,14,0,32,83,0,30,25,40,0,13
2020-05-16,12,0,6,23,25,34,18,10,24,0,8
2020-05-17,16,9,38,8,50,0,45,0,47,0,23
2020-05-18,13,14,20,31,40,0,58,0,38,20,18
2020-05-19,25,14,15,18,60,0,43,8,76,58,36
2020-05-20,16,14,5,37,0,55,22,16,38,20,12
2020-05-21,16,14,15,44,21,0,52,25,20,20,25
2020-05-22,33,15,11,19,0,0,38,8,0,20,6
2020-05-23,28,0,6,61,0,0,18,0,0,24,23
2020-05-24,29,27,20,48,0,0,0,0,0,0,0
2020-05-25,16,7,20,6,0,0,51,8,19,20,18
2020-05-26,16,28,21,31,41,0,67,8,19,0,12
2020-05-27,26,7,5,13,0,0,15,8,0,20,6
2020-05-28,19,7,15,25,0,55,22,25,0,60,0
2020-05-29,10,7,10,38,0,0,38,0,0,0,13
2020-05-30,12,8,18,7,0,0,9,20,0,24,22
2020-05-31,4,9,13,31,25,0,37,10,0,0,15
2020-06-01,22,42,36,56,0,0,37,8,38,39,25
2020-06-02,19,0,10,25,0,0,7,25,19,79,0
2020-06-03,6,7,19,30,39,0,28,23,18,0,12
2020-06-04,24,13,15,18,0,26,28,0,0,19,18
2020-06-05,22,7,10,31,0,0,14,0,0,39,42
2020-06-06,15,0,18,0,0,0,9,19,0,0,7
2020-06-07,19,8,24,22,24,0,9,10,23,23,14
2020-06-08,12,27,15,30,39,53,21,8,0,0,6
2020-06-09,12,6,9,23,19,25,7,0,18,0,6
2020-06-10,3,14,0,24,40,54,22,8,0,39,18
2020-06-11,19,14,15,25,0,27,15,0,0,0,0
2020-06-12,0,15,26,39,0,0,0,0,0,0,6
