date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,71,69,0,0,70,0,15,100,0,0,15
2020-04-02,100,71,0,34,0,0,15,62,0,0,75
2020-04-03,55,25,0,18,76,0,0,0,0,0,63
2020-04-04,56,37,0,100,0,0,55,49,51,0,53
2020-04-05,92,44,20,38,0,0,17,0,0,0,68
2020-04-06,62,100,35,16,0,0,15,60,0,0,44
2020-04-07,61,65,19,35,0,0,0,21,0,0,0
2020-04-08,61,33,0,52,0,0,0,0,44,0,16
2020-04-09,57,35,0,0,0,88,17,23,0,49,0
2020-04-10,53,37,21,0,84,0,18,48,0,0,35
2020-04-11,43,47,0,20,86,0,0,74,0,0,36
2020-04-12,50,37,21,0,0,0,18,24,50,0,0
2020-04-13,54,69,0,18,0,87,0,0,0,0,0
2020-04-14,32,8,17,16,0,0,29,20,0,0,29
2020-04-15,54,71,0,17,0,0,31,20,0,44,15
2020-04-16,42,8,0,69,74,0,31,0,44,45,0
2020-04-17,43,58,0,36,76,0,16,0,0,47,0
2020-04-18,35,9,0,0,0,0,0,0,51,0,18
2020-04-19,52,25,0,0,0,0,0,0,0,46,31
2020-04-20,51,61,18,0,70,0,15,0,42,0,29
2020-04-21,41,16,0,17,0,0,0,21,44,0,46
2020-04-22,44,24,37,17,0,0,32,42,44,46,15
2020-04-23,41,39,18,0,0,0,15,20,0,44,15
2020-04-24,34,17,0,54,77,0,33,22,0,48,16
2020-04-25,16,9,21,19,0,0,18,24,0,0,52
2020-04-26,36,27,20,38,0,0,35,0,0,100,0
2020-04-27,31,16,36,0,0,0,15,0,0,0,0
2020-04-28,37,8,18,17,0,0,31,0,44,0,0
2020-04-29,24,15,53,16,0,0,30,0,0,0,15
2020-04-30,18,8,0,17,0,0,15,0,0,0,15
2020-05-01,27,26,20,18,0,0,17,22,0,0,16
2020-05-02,32,9,0,39,0,0,18,0,0,0,0
2020-05-03,35,26,20,19,0,0,0,0,0,0,0
2020-05-04,16,23,0,0,0,0,15,0,0,0,45
2020-05-05,24,43,0,46,0,0,0,0,0,0,13
