date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,91,32,55,53,19,28,22,62,25
2020-04-02,98,91,83,43,50,68,23,32,34,58,22
2020-04-03,87,83,79,41,75,81,19,36,43,65,25
2020-04-04,87,79,84,58,55,48,22,42,35,84,28
2020-04-05,89,75,82,48,59,54,27,36,47,58,24
2020-04-06,90,77,90,44,53,50,41,44,51,70,21
2020-04-07,79,70,83,44,49,60,31,43,63,29,22
2020-04-08,79,67,84,38,68,74,37,41,39,43,18
2020-04-09,78,63,85,51,61,58,31,41,57,68,17
2020-04-10,82,64,91,64,65,67,31,32,45,69,15
2020-04-11,82,67,87,66,54,80,69,31,45,53,15
2020-04-12,77,60,77,50,42,61,44,26,29,37,15
2020-04-13,73,56,85,49,41,58,38,31,32,68,15
2020-04-14,68,53,86,47,53,56,36,26,43,88,19
2020-04-15,67,55,89,38,36,44,30,27,39,63,17
2020-04-16,71,49,93,45,54,48,18,26,48,60,15
2020-04-17,68,49,89,50,58,63,17,26,33,96,15
2020-04-18,68,47,90,48,47,58,18,27,37,82,19
2020-04-19,72,50,100,68,43,55,26,29,31,70,19
2020-04-20,63,44,86,53,61,48,25,32,27,51,16
2020-04-21,64,46,88,52,50,85,19,27,32,35,18
2020-04-22,64,46,94,45,46,83,20,25,29,74,31
2020-04-23,63,42,84,50,52,73,21,24,28,68,37
2020-04-24,64,43,84,54,53,51,23,26,24,74,28
2020-04-25,63,40,89,43,39,71,27,29,30,60,33
2020-04-26,65,43,93,46,38,48,26,16,31,51,40
2020-04-27,61,38,77,49,51,44,35,29,31,61,25
2020-04-28,56,36,80,61,48,72,31,26,25,65,22
2020-04-29,53,35,74,49,48,50,29,20,29,72,21
2020-04-30,53,34,77,51,55,56,30,27,20,73,22
2020-05-01,64,35,87,65,54,68,77,23,21,55,20
2020-05-02,59,36,87,61,51,78,40,24,25,27,22
2020-05-03,61,36,83,47,49,54,37,30,32,52,23
2020-05-04,54,34,87,69,47,42,30,32,25,65,21
2020-05-05,59,34,97,46,65,71,27,35,28,100,46
2020-05-06,58,33,91,46,80,77,23,35,24,65,81
2020-05-07,54,32,90,51,66,43,21,33,23,64,44
2020-05-08,54,30,94,70,50,61,22,35,24,84,34
2020-05-09,56,31,90,59,66,68,22,33,24,60,32
2020-05-10,57,30,90,38,62,58,23,35,19,75,29
2020-05-11,53,29,92,69,78,46,30,37,25,57,25
2020-05-12,48,26,74,71,78,33,35,87,100,73,25
2020-05-13,44,23,71,84,79,59,24,57,60,58,23
2020-05-14,44,25,79,75,67,57,25,43,40,34,28
2020-05-15,47,25,80,68,90,79,29,46,29,59,27
2020-05-16,48,25,80,75,100,50,42,42,26,59,27
2020-05-17,52,29,86,76,70,74,100,48,26,52,22
2020-05-18,47,26,78,74,87,64,49,51,28,82,33
2020-05-19,46,25,83,82,88,54,24,38,25,58,39
2020-05-20,41,23,71,78,86,51,16,43,24,99,30
2020-05-21,43,23,69,66,89,89,15,40,30,40,26
2020-05-22,42,19,64,93,96,50,14,42,31,64,23
2020-05-23,42,21,74,84,84,67,15,41,28,78,26
2020-05-24,42,21,84,77,73,69,15,36,28,60,27
2020-05-25,43,21,80,79,69,56,15,37,33,72,26
2020-05-26,37,17,69,71,88,52,16,50,28,43,20
2020-05-27,36,16,69,72,76,86,19,40,28,47,19
2020-05-28,36,18,66,74,77,94,21,47,26,39,20
2020-05-29,36,18,72,85,81,52,21,41,25,55,19
2020-05-30,38,20,69,95,78,76,50,40,28,46,19
2020-05-31,40,19,72,100,83,44,36,48,19,82,18
2020-06-01,35,18,62,75,78,39,19,49,25,69,17
2020-06-02,36,18,61,75,81,60,11,50,26,49,20
2020-06-03,33,16,56,79,67,52,8,41,16,47,19
2020-06-04,33,15,59,77,76,68,9,42,29,32,19
2020-06-05,35,16,60,96,79,59,9,34,22,22,19
2020-06-06,38,17,65,88,78,45,9,41,18,42,26
2020-06-07,41,18,69,83,58,63,11,41,25,34,24
2020-06-08,37,17,70,82,76,63,12,41,26,46,23
2020-06-09,37,17,67,89,72,52,12,40,15,42,22
2020-06-10,37,16,73,89,73,36,16,39,21,48,22
2020-06-11,37,16,66,74,68,20,23,40,20,60,22
2020-06-12,37,18,73,99,68,50,24,38,19,43,22
2020-06-13,37,17,70,86,69,59,15,39,23,48,27
2020-06-14,34,15,58,78,48,56,15,39,19,26,21
2020-06-15,30,14,51,75,65,65,17,38,21,28,20
2020-06-16,31,12,51,59,72,52,11,32,14,44,23
2020-06-17,30,14,48,67,69,27,9,28,17,23,22
2020-06-18,27,10,52,68,63,44,8,38,15,42,17
2020-06-19,25,12,50,70,53,45,7,30,15,38,16
2020-06-20,29,12,48,64,48,39,7,34,10,23,23
2020-06-21,30,13,46,55,41,23,5,29,11,18,25
2020-06-22,28,14,54,70,61,46,7,26,10,27,26
2020-06-23,35,13,52,80,47,44,9,29,15,40,28
2020-06-24,29,11,55,60,61,25,11,24,16,40,22
2020-06-25,27,10,57,75,50,33,10,26,14,25,19
2020-06-26,27,10,55,62,78,58,12,45,13,45,19
2020-06-27,27,10,62,69,38,47,11,33,12,30,18
2020-06-28,29,12,69,66,49,49,15,31,14,30,20
2020-06-29,27,10,55,70,55,31,23,21,21,25,19
2020-06-30,24,9,51,52,57,41,16,30,13,51,27
2020-07-01,25,10,50,68,52,35,12,26,14,32,21
2020-07-02,25,10,52,72,47,57,10,37,15,36,27
