date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,80,13,55,100,42,100,55,22,99,34
2020-04-02,93,73,13,30,91,100,75,60,32,100,23
2020-04-03,92,71,41,36,84,68,72,60,0,89,35
2020-04-04,99,100,43,69,62,45,51,42,23,63,54
2020-04-05,98,100,46,51,54,38,54,73,12,51,39
2020-04-06,79,56,26,82,66,57,47,100,0,64,33
2020-04-07,81,62,20,65,56,42,51,64,54,81,17
2020-04-08,74,59,6,72,57,48,58,58,21,86,43
2020-04-09,78,61,27,87,61,69,66,49,100,96,29
2020-04-10,82,51,62,75,38,29,50,49,25,62,33
2020-04-11,71,49,30,68,47,19,42,34,49,59,19
2020-04-12,69,43,16,60,37,30,39,52,0,34,48
2020-04-13,65,52,34,51,45,26,33,51,22,44,47
2020-04-14,66,53,21,72,43,43,33,47,0,59,41
2020-04-15,69,51,34,46,33,34,38,44,11,46,46
2020-04-16,66,47,20,51,41,43,30,38,22,45,46
2020-04-17,65,47,21,64,43,36,33,32,0,35,54
2020-04-18,62,42,8,64,26,39,29,41,25,35,59
2020-04-19,68,46,17,25,27,63,36,47,13,46,35
2020-04-20,83,97,56,52,27,70,38,24,0,34,53
2020-04-21,79,88,21,73,29,26,30,34,0,34,36
2020-04-22,59,44,44,60,23,27,30,19,23,36,74
2020-04-23,73,81,35,36,26,35,32,28,34,20,35
2020-04-24,68,73,50,43,19,31,27,20,0,28,42
2020-04-25,49,30,17,39,16,65,26,14,14,19,22
2020-04-26,46,27,35,71,21,43,25,21,0,21,22
2020-04-27,44,25,100,34,19,67,26,12,12,31,39
2020-04-28,45,26,38,40,19,38,25,16,0,27,45
2020-04-29,44,27,22,61,19,9,22,26,0,29,57
2020-04-30,43,25,20,65,21,33,25,16,22,24,62
2020-05-01,43,23,24,54,12,30,39,17,0,21,41
2020-05-02,38,19,16,48,14,10,28,15,0,15,48
2020-05-03,40,21,8,25,8,63,31,13,14,21,36
2020-05-04,35,20,37,27,15,46,24,4,24,18,31
2020-05-05,33,17,20,45,15,25,20,12,33,19,46
2020-05-06,36,21,15,44,16,9,20,14,24,16,37
2020-05-07,33,18,8,48,17,30,22,15,13,14,41
2020-05-08,31,17,23,63,11,0,18,20,12,14,39
2020-05-09,30,19,33,68,15,21,13,20,0,21,35
2020-05-10,33,18,17,51,15,21,20,11,14,17,44
2020-05-11,30,15,23,45,11,28,15,14,12,13,32
2020-05-12,30,15,8,28,14,28,16,4,24,17,64
2020-05-13,32,15,15,28,13,19,16,12,12,17,32
2020-05-14,31,17,0,52,14,0,10,4,0,12,20
2020-05-15,29,15,0,35,14,0,15,12,13,15,33
2020-05-16,32,16,0,74,14,21,12,13,0,16,49
2020-05-17,32,14,26,39,13,0,9,7,0,14,37
2020-05-18,36,17,8,71,8,10,26,21,13,14,20
2020-05-19,32,16,24,24,13,20,22,19,25,21,60
2020-05-20,36,14,8,48,11,20,16,15,13,19,41
2020-05-21,38,15,26,33,17,33,17,12,28,10,22
2020-05-22,40,17,9,52,18,0,15,19,0,19,22
2020-05-23,33,13,18,47,20,0,13,7,0,16,23
2020-05-24,37,14,22,25,8,28,17,9,0,21,37
2020-05-25,38,16,29,50,11,12,19,5,0,10,40
2020-05-26,37,15,9,70,11,11,13,30,0,13,36
2020-05-27,31,14,8,79,19,0,7,7,0,11,48
2020-05-28,30,12,0,66,15,0,12,13,13,8,41
2020-05-29,25,13,16,90,13,0,10,13,13,5,61
2020-05-30,26,12,34,57,14,21,9,9,0,6,29
2020-05-31,27,12,0,63,11,11,12,9,27,19,36
2020-06-01,27,15,16,72,17,0,9,6,0,10,48
2020-06-02,27,13,0,74,14,18,6,11,11,15,24
2020-06-03,23,13,7,69,15,8,8,7,0,16,39
2020-06-04,23,13,0,49,19,33,9,17,11,10,33
2020-06-05,23,13,13,78,13,8,8,12,0,14,11
2020-06-06,24,13,23,63,15,58,8,12,12,13,13
2020-06-07,24,10,33,61,16,10,5,4,0,6,49
2020-06-08,23,13,0,57,16,16,7,9,0,14,22
2020-06-09,22,12,0,40,14,0,8,18,10,12,15
