date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,99,99,56,97,0,0,38,31,0,0,10
2020-04-02,74,42,0,0,53,0,0,53,0,0,0
2020-04-03,100,54,55,0,0,0,38,100,0,0,31
2020-04-04,71,89,51,29,0,0,35,69,0,48,19
2020-04-05,73,70,0,0,51,0,0,56,0,48,38
2020-04-06,73,88,0,0,0,0,69,78,0,0,37
2020-04-07,52,86,49,28,49,0,0,76,0,0,9
2020-04-08,62,92,47,27,0,0,0,60,0,0,0
2020-04-09,59,100,0,0,0,0,70,51,0,0,0
2020-04-10,65,72,53,31,53,0,0,48,0,100,10
2020-04-11,45,28,0,28,0,0,33,52,0,0,18
2020-04-12,53,29,49,0,0,0,0,53,51,0,18
2020-04-13,37,38,49,0,0,0,0,31,0,0,0
2020-04-14,39,10,0,0,0,0,0,49,0,0,18
2020-04-15,34,38,0,0,0,61,100,44,0,0,18
2020-04-16,46,20,0,30,0,0,35,43,0,0,19
2020-04-17,53,64,0,31,0,0,74,44,0,0,0
2020-04-18,53,19,0,28,0,61,0,44,51,0,0
2020-04-19,28,39,0,0,0,0,34,59,0,0,0
2020-04-20,20,29,98,28,0,0,0,27,0,0,0
2020-04-21,44,39,0,58,0,63,0,27,0,0,0
2020-04-22,32,0,0,29,0,0,0,41,0,0,18
2020-04-23,47,50,0,0,0,0,0,18,0,0,47
2020-04-24,34,74,0,0,54,0,37,29,0,0,20
2020-04-25,30,18,0,0,0,0,32,9,0,0,17
2020-04-26,29,9,0,0,95,0,32,34,0,0,17
2020-04-27,23,19,0,84,0,0,0,22,0,0,36
2020-04-28,28,37,0,55,48,0,33,22,0,0,9
2020-04-29,29,45,0,0,0,0,32,17,0,44,9
2020-04-30,33,18,46,0,0,0,0,12,0,0,8
2020-05-01,26,31,0,0,0,0,36,48,0,0,10
2020-05-02,30,54,0,27,0,58,0,42,0,0,9
2020-05-03,34,46,0,0,0,0,32,21,0,0,26
2020-05-04,17,46,48,0,0,0,0,22,0,0,18
2020-05-05,23,18,0,26,0,0,31,8,48,0,25
2020-05-06,23,18,0,0,0,0,0,21,0,0,8
2020-05-07,23,30,0,0,0,0,35,18,0,0,0
2020-05-08,33,11,0,0,0,0,38,36,59,53,0
2020-05-09,35,19,0,0,48,0,33,17,0,0,0
2020-05-10,20,9,0,0,47,0,0,13,0,0,0
2020-05-11,18,36,0,0,0,0,0,17,0,43,17
2020-05-12,22,9,0,27,0,0,0,17,0,0,9
2020-05-13,22,19,0,0,0,0,0,22,0,0,9
2020-05-14,9,10,0,0,0,0,0,24,0,0,19
2020-05-15,32,0,0,0,0,0,0,21,0,0,0
2020-05-16,23,19,0,0,0,0,0,9,0,0,18
2020-05-17,18,10,50,29,0,0,34,0,53,0,18
2020-05-18,28,28,0,0,0,61,33,26,0,0,18
2020-05-19,20,37,0,0,48,0,0,4,50,0,26
2020-05-20,17,18,0,0,0,0,0,9,49,0,17
2020-05-21,21,10,0,0,0,0,0,14,0,0,39
2020-05-22,19,11,0,0,0,0,0,5,0,0,21
2020-05-23,15,38,0,0,0,0,0,9,0,0,9
2020-05-24,18,11,0,0,0,0,39,16,0,0,11
2020-05-25,16,11,0,0,0,0,0,5,0,0,11
2020-05-26,19,19,0,29,0,0,0,9,0,0,9
2020-05-27,16,9,0,27,0,0,0,13,0,0,0
2020-05-28,19,0,0,30,0,0,0,14,0,0,10
2020-05-29,19,33,0,0,0,70,0,15,0,0,10
2020-05-30,12,18,0,82,48,0,32,4,0,0,35
2020-05-31,17,28,0,28,0,0,66,4,0,0,27
2020-06-01,15,19,0,0,0,0,0,13,51,0,18
2020-06-02,22,10,0,0,0,0,34,13,0,0,0
2020-06-03,30,21,54,0,0,0,0,0,0,0,20
2020-06-04,14,11,0,0,0,0,0,10,60,0,21
2020-06-05,21,11,0,100,0,0,0,16,0,0,11
2020-06-06,13,27,0,0,0,0,31,13,0,0,17
2020-06-07,12,9,0,0,0,0,0,9,0,0,9
2020-06-08,16,0,0,0,0,0,0,13,0,0,9
2020-06-09,12,0,0,0,0,0,0,13,0,0,18
2020-06-10,15,10,0,58,0,0,0,9,0,0,9
2020-06-11,17,0,0,31,0,0,37,5,0,0,10
2020-06-12,13,11,0,34,0,0,40,11,0,0,0
2020-06-13,7,19,0,0,0,0,0,18,0,0,0
2020-06-14,13,10,0,0,51,0,0,19,0,0,19
2020-06-15,17,20,51,0,0,0,0,5,0,0,9
2020-06-16,15,10,0,0,0,0,0,9,0,0,18
2020-06-17,23,44,0,0,0,0,38,10,0,0,10
2020-06-18,16,33,0,33,0,0,0,15,59,53,0
2020-06-19,19,12,0,0,0,0,0,0,0,57,0
2020-06-20,18,50,0,30,0,0,0,23,0,0,19
2020-06-21,24,20,0,0,0,0,0,5,0,0,0
2020-06-22,17,19,0,0,0,0,0,13,0,47,9
2020-06-23,9,30,0,0,0,0,0,9,0,0,28
2020-06-24,11,0,0,29,0,0,0,23,0,0,9
2020-06-25,20,33,0,32,0,0,76,15,0,0,31
2020-06-26,18,0,0,0,0,0,0,21,0,0,11
2020-06-27,10,10,0,0,0,62,0,4,0,0,0
2020-06-28,8,0,97,0,0,0,0,18,0,0,9
2020-06-29,17,20,0,58,51,0,0,27,0,0,9
