date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,58,0,43,0,0,0,46,90,0,0
2020-04-02,68,62,0,0,0,0,0,0,0,0,0
2020-04-03,99,0,0,0,0,0,31,0,0,0,0
2020-04-04,90,31,0,0,89,0,0,0,48,0,12
2020-04-05,64,94,46,46,0,0,31,0,0,0,12
2020-04-06,79,61,45,0,0,0,0,0,0,0,0
2020-04-07,43,47,46,0,0,0,0,25,0,0,12
2020-04-08,80,31,0,45,0,0,0,0,47,0,0
2020-04-09,56,63,0,0,0,0,0,0,0,0,25
2020-04-10,52,48,0,0,0,0,0,100,0,0,0
2020-04-11,34,31,0,0,0,0,0,24,0,0,24
2020-04-12,22,31,0,0,0,0,62,0,0,0,0
2020-04-13,36,33,0,0,0,0,0,0,0,0,0
2020-04-14,83,64,0,0,0,0,31,0,0,0,25
2020-04-15,35,0,0,0,0,0,0,0,0,0,0
2020-04-16,36,49,49,48,0,0,0,0,0,0,26
2020-04-17,49,49,49,0,0,0,0,0,0,0,0
2020-04-18,41,33,0,48,0,0,0,0,0,0,13
2020-04-19,27,67,0,0,0,0,66,0,0,0,13
2020-04-20,45,0,0,0,0,0,32,26,0,0,13
2020-04-21,32,17,50,0,0,0,0,0,51,0,13
2020-04-22,61,51,0,0,0,0,0,0,0,0,0
2020-04-23,23,17,0,0,97,0,34,27,0,0,13
2020-04-24,35,0,0,0,0,0,0,0,0,0,29
2020-04-25,16,20,0,0,0,100,0,0,0,0,0
2020-04-26,72,40,0,0,0,0,0,0,0,0,0
2020-04-27,44,60,0,0,0,0,0,0,0,100,0
2020-04-28,17,41,0,0,0,0,40,0,0,0,16
2020-04-29,27,20,58,0,0,0,39,0,0,0,15
2020-04-30,31,19,0,0,0,0,0,0,0,0,0
2020-05-01,15,38,56,0,0,0,37,0,0,0,0
2020-05-02,35,54,0,0,0,0,0,0,0,0,0
2020-05-03,10,19,0,0,0,0,0,0,0,0,0
2020-05-04,30,18,0,0,0,0,0,0,0,0,0
2020-05-05,24,0,0,52,100,0,0,0,0,0,28
2020-05-06,19,53,0,0,0,0,0,0,0,0,0
2020-05-07,20,18,0,0,0,0,36,0,0,0,14
2020-05-08,20,36,0,53,0,0,0,0,0,0,0
2020-05-09,24,18,0,0,0,0,35,0,55,0,0
2020-05-10,16,0,0,0,0,0,0,0,0,0,30
2020-05-11,31,57,0,56,0,0,37,0,0,0,0
2020-05-12,10,0,0,55,0,0,0,0,0,0,0
2020-05-13,16,0,0,0,0,0,0,0,0,0,0
2020-05-14,15,0,56,55,0,0,0,0,0,0,0
2020-05-15,27,19,0,0,0,0,0,0,0,0,15
2020-05-16,16,78,0,0,0,0,0,0,0,97,15
2020-05-17,22,41,0,60,0,0,40,0,0,0,16
2020-05-18,44,40,0,0,0,0,0,0,0,0,47
2020-05-19,38,100,0,0,0,0,0,0,0,0,0
2020-05-20,22,40,0,0,0,0,0,0,0,0,0
2020-05-21,22,20,0,59,0,0,0,0,0,0,0
2020-05-22,27,20,0,0,0,0,0,0,0,0,0
2020-05-23,26,19,0,0,0,0,0,0,0,0,0
2020-05-24,51,51,0,0,0,0,0,0,0,0,13
2020-05-25,28,17,0,0,0,0,100,0,0,0,13
2020-05-26,22,0,0,48,0,0,32,0,0,0,0
2020-05-27,31,33,0,0,0,0,64,0,0,0,0
2020-05-28,36,17,0,0,0,0,33,52,0,0,0
2020-05-29,23,34,51,50,0,0,0,0,0,0,0
2020-05-30,27,17,0,0,0,0,0,0,0,0,0
2020-05-31,46,0,0,49,0,0,33,0,0,0,0
2020-06-01,37,33,50,49,0,0,0,0,0,0,13
2020-06-02,36,50,0,0,0,0,0,0,0,0,13
2020-06-03,30,47,47,0,0,0,62,0,0,0,12
2020-06-04,21,15,0,0,0,0,30,24,0,0,0
2020-06-05,65,79,47,92,0,0,0,0,0,0,50
2020-06-06,31,0,0,48,0,0,0,0,0,0,13
2020-06-07,27,33,0,0,0,0,0,0,0,0,39
