date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,84,17,34,60,66,15,18,45,0,20
2020-04-02,88,83,15,33,37,65,16,89,34,10,10
2020-04-03,95,100,14,28,30,0,9,91,100,41,19
2020-04-04,81,75,10,39,25,0,18,100,38,22,45
2020-04-05,100,98,18,24,12,0,19,39,43,33,21
2020-04-06,81,69,17,21,19,22,22,73,35,30,54
2020-04-07,66,57,16,27,19,0,16,19,21,32,29
2020-04-08,65,62,13,14,12,0,14,39,37,43,22
2020-04-09,56,56,14,18,16,0,18,76,32,75,23
2020-04-10,76,67,15,16,16,0,28,19,5,11,25
2020-04-11,64,63,12,11,0,26,18,0,24,48,26
2020-04-12,57,41,15,16,12,0,13,20,54,22,23
2020-04-13,58,68,16,19,8,0,15,60,17,34,41
2020-04-14,50,48,8,33,0,46,16,38,47,32,34
2020-04-15,41,41,10,10,8,24,14,39,27,77,21
2020-04-16,49,47,16,39,8,0,15,0,26,53,28
2020-04-17,41,31,13,25,15,0,15,55,56,41,17
2020-04-18,61,52,13,18,12,71,14,78,32,22,14
2020-04-19,47,24,8,12,8,0,16,20,38,33,28
2020-04-20,43,33,9,24,7,22,15,18,39,30,24
2020-04-21,39,43,12,22,19,0,20,36,25,61,23
2020-04-22,45,38,8,32,23,0,13,37,36,41,20
2020-04-23,39,29,7,20,29,22,11,0,20,40,24
2020-04-24,38,36,5,17,19,0,17,0,31,42,21
2020-04-25,43,34,7,9,13,25,16,42,29,47,20
2020-04-26,47,38,11,20,0,0,19,0,0,11,24
2020-04-27,37,39,7,41,4,0,19,18,25,20,12
2020-04-28,38,35,8,39,11,0,35,36,54,50,14
2020-04-29,28,42,10,70,14,0,18,51,23,9,22
2020-04-30,28,26,6,34,7,20,20,66,18,37,19
2020-05-01,41,25,8,45,11,21,53,53,43,39,15
2020-05-02,29,22,10,72,4,0,29,20,23,57,12
2020-05-03,31,30,7,33,9,26,17,43,12,24,12
2020-05-04,30,22,7,35,4,24,22,0,17,34,13
2020-05-05,25,23,6,27,17,0,16,33,18,9,14
2020-05-06,22,25,9,33,15,0,15,53,24,30,28
2020-05-07,29,19,7,25,22,0,14,18,10,49,20
2020-05-08,26,29,5,28,16,0,15,19,16,32,7
2020-05-09,30,22,5,18,9,27,17,22,12,25,16
2020-05-10,25,27,8,21,8,0,25,0,21,32,21
2020-05-11,33,29,6,43,11,0,24,18,39,100,23
2020-05-12,29,18,7,58,15,22,22,0,20,20,18
2020-05-13,20,19,8,69,19,0,21,55,25,10,25
2020-05-14,30,30,10,55,20,46,18,19,48,11,17
2020-05-15,30,30,11,76,7,0,23,73,45,20,20
2020-05-16,33,25,6,92,4,0,25,62,0,0,18
2020-05-17,22,19,6,63,4,0,17,20,27,33,28
2020-05-18,24,19,5,75,18,0,18,18,24,39,30
2020-05-19,23,23,6,31,8,22,15,37,10,41,17
2020-05-20,29,24,8,31,4,0,14,19,0,63,16
