date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,91,69,19,46,37,0,7,100,36,37,0
2020-04-02,93,60,40,96,0,0,0,83,75,38,8
2020-04-03,98,74,24,39,0,0,0,68,0,0,10
2020-04-04,100,97,0,60,0,0,26,48,0,0,20
2020-04-05,92,62,20,32,0,0,7,35,0,0,40
2020-04-06,70,67,0,32,0,0,0,21,0,0,8
2020-04-07,64,92,21,66,0,0,51,11,0,0,8
2020-04-08,72,55,0,40,0,0,9,0,0,0,20
2020-04-09,89,56,0,0,0,0,9,22,95,49,0
2020-04-10,82,56,22,36,0,0,8,12,0,0,18
2020-04-11,85,67,24,58,0,0,17,42,0,0,19
2020-04-12,60,45,0,65,0,0,14,60,0,0,24
2020-04-13,65,45,0,33,0,0,0,42,0,0,0
2020-04-14,62,39,23,56,0,0,8,4,0,0,18
2020-04-15,68,100,0,0,0,0,8,13,0,0,0
2020-04-16,53,49,0,48,39,0,14,17,0,0,24
2020-04-17,60,65,0,0,0,0,8,16,44,45,0
2020-04-18,51,48,0,100,0,0,9,17,0,0,0
2020-04-19,51,21,19,0,0,0,13,16,36,0,22
2020-04-20,44,36,19,60,0,0,0,7,35,0,0
2020-04-21,32,43,59,32,38,0,14,10,0,0,16
2020-04-22,51,43,0,47,0,0,0,3,0,0,16
2020-04-23,38,26,0,0,0,0,13,23,0,0,0
2020-04-24,51,52,23,19,0,87,0,0,0,0,0
2020-04-25,49,34,0,100,0,0,9,13,0,0,20
2020-04-26,49,27,39,47,0,0,7,3,0,0,31
2020-04-27,35,27,0,31,0,0,7,10,0,0,0
2020-04-28,34,23,0,17,0,0,22,11,39,0,8
2020-04-29,55,32,47,19,0,0,8,4,0,45,0
2020-04-30,46,36,0,15,0,0,19,3,0,0,30
2020-05-01,42,7,24,0,0,0,42,21,0,0,19
2020-05-02,47,21,25,20,0,0,9,9,0,0,20
2020-05-03,43,11,0,16,0,0,14,10,37,0,16
2020-05-04,31,32,0,31,0,0,20,10,0,0,23
2020-05-05,35,10,35,57,0,0,25,15,0,0,28
2020-05-06,30,21,38,15,37,70,0,10,36,0,8
2020-05-07,37,17,0,16,0,0,14,0,38,0,8
2020-05-08,43,27,24,0,0,0,0,8,0,0,10
2020-05-09,36,35,25,40,0,0,18,0,0,0,10
2020-05-10,33,27,0,15,0,0,0,3,0,37,15
2020-05-11,26,21,19,16,0,0,7,7,0,0,0
2020-05-12,31,45,0,16,0,0,7,4,38,0,8
2020-05-13,24,16,20,0,0,0,28,7,0,0,0
2020-05-14,27,22,0,16,0,0,7,0,0,39,8
2020-05-15,23,20,0,20,0,0,9,0,0,0,0
2020-05-16,34,21,0,20,0,0,9,4,0,0,30
2020-05-17,33,5,39,32,0,0,14,7,37,0,0
2020-05-18,25,5,0,32,0,0,7,3,0,0,47
