date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,91,98,36,22,0,0,3,32,79,77,7
2020-04-02,87,89,51,54,0,48,2,39,16,80,15
2020-04-03,90,95,60,16,44,0,4,100,52,56,35
2020-04-04,100,100,74,54,49,0,4,72,0,31,21
2020-04-05,95,97,53,100,0,0,5,80,58,32,31
2020-04-06,79,82,57,39,0,0,5,62,16,27,18
2020-04-07,83,75,26,55,0,0,4,46,34,55,15
2020-04-08,77,87,27,24,44,100,7,65,0,28,12
2020-04-09,75,78,21,58,0,0,11,42,36,0,12
2020-04-10,70,75,28,26,0,0,11,44,0,0,16
2020-04-11,68,75,39,57,0,0,8,48,40,0,27
2020-04-12,69,74,33,30,0,0,7,7,22,35,24
2020-04-13,75,81,31,55,0,0,8,20,40,0,58
2020-04-14,67,68,45,39,0,0,7,34,50,0,38
2020-04-15,61,57,26,47,43,0,5,40,33,0,15
2020-04-16,61,64,19,55,0,0,5,34,100,0,11
2020-04-17,65,60,20,41,0,0,6,30,35,56,31
2020-04-18,61,60,22,36,0,0,7,58,38,0,17
2020-04-19,62,68,15,9,49,0,6,45,38,31,30
2020-04-20,54,55,18,36,0,45,6,31,31,100,14
2020-04-21,53,50,6,59,0,0,6,16,0,0,25
2020-04-22,49,50,38,54,0,0,5,39,16,27,15
2020-04-23,48,45,19,69,0,0,5,84,0,53,18
2020-04-24,45,48,13,33,0,0,4,48,70,0,31
2020-04-25,49,48,0,44,0,0,6,39,57,62,17
2020-04-26,54,46,7,69,0,0,8,25,18,30,25
2020-04-27,45,44,13,31,0,0,7,11,0,0,22
2020-04-28,42,45,13,38,0,47,7,44,16,26,33
2020-04-29,45,39,13,46,0,48,5,34,16,0,18
2020-04-30,41,41,32,31,0,0,5,28,33,54,7
2020-05-01,42,43,21,52,0,0,5,31,18,30,8
2020-05-02,44,39,22,35,0,0,6,25,0,0,25
2020-05-03,47,46,15,63,0,0,7,13,57,0,26
2020-05-04,37,39,20,40,0,50,5,29,17,56,16
2020-05-05,39,38,6,60,41,46,4,33,16,0,21
2020-05-06,39,38,13,16,0,0,5,52,34,28,27
2020-05-07,36,34,14,25,45,0,4,30,18,0,12
2020-05-08,35,33,7,76,0,53,4,37,54,59,4
2020-05-09,35,34,0,10,0,0,4,28,0,34,0
2020-05-10,37,32,0,28,0,59,5,14,20,0,23
2020-05-11,32,27,18,59,0,0,3,27,16,77,0
2020-05-12,34,29,6,47,0,0,3,28,33,27,15
2020-05-13,29,29,26,31,0,0,3,17,17,0,4
2020-05-14,28,25,13,40,0,0,3,12,68,0,15
2020-05-15,28,30,13,39,0,0,3,17,0,82,8
2020-05-16,29,28,7,36,0,0,4,26,38,0,21
2020-05-17,32,27,32,67,0,0,5,21,0,33,23
2020-05-18,31,26,7,31,0,0,6,6,34,82,23
2020-05-19,26,21,13,15,84,48,6,11,33,54,22
2020-05-20,28,26,13,32,0,0,5,6,0,27,11
2020-05-21,26,24,7,25,0,0,4,6,0,29,8
2020-05-22,28,24,28,43,0,0,4,6,0,0,29
2020-05-23,29,24,8,80,0,0,3,0,43,35,10
2020-05-24,30,29,25,41,0,0,4,0,0,0,10
2020-05-25,24,18,13,16,0,0,4,6,17,0,19
2020-05-26,26,19,27,16,0,0,4,12,35,56,12
2020-05-27,23,21,14,33,0,0,4,0,0,57,8
2020-05-28,23,21,7,24,0,0,5,24,17,57,4
2020-05-29,22,16,0,33,0,0,3,12,18,0,12
2020-05-30,24,20,24,39,0,0,4,0,0,0,9
2020-05-31,27,21,8,41,0,0,3,7,0,0,5
2020-06-01,20,19,7,17,0,0,3,6,0,60,4
2020-06-02,25,18,16,29,0,0,3,0,0,0,5
2020-06-03,22,16,13,54,42,0,3,6,16,0,7
2020-06-04,22,17,0,22,40,0,3,5,31,25,11
2020-06-05,21,18,13,0,0,0,3,11,33,27,19
2020-06-06,23,16,0,39,54,0,2,7,21,0,14
2020-06-07,31,18,8,19,0,60,3,0,21,67,5
2020-06-08,33,16,12,15,0,0,3,27,0,26,7
2020-06-09,25,12,13,23,0,48,4,23,0,0,19
2020-06-10,20,10,20,16,0,0,2,6,0,0,4
2020-06-11,23,15,20,8,0,0,3,0,0,0,24
2020-06-12,19,16,15,9,0,0,5,13,0,0,9
2020-06-13,20,16,0,29,53,0,4,7,0,0,23
2020-06-14,30,14,17,20,56,0,3,7,43,0,5
2020-06-15,16,12,34,8,45,0,3,0,53,0,8
2020-06-16,20,12,20,0,44,0,3,0,0,0,8
2020-06-17,21,13,7,17,0,0,3,6,18,0,4
2020-06-18,20,15,0,0,0,55,3,19,19,31,4
2020-06-19,18,15,15,18,0,0,3,13,19,31,0
2020-06-20,20,14,0,21,0,0,2,0,22,36,5
2020-06-21,18,17,0,21,0,0,4,15,22,0,15
2020-06-22,16,13,28,25,0,0,3,0,54,0,8
2020-06-23,16,10,22,35,0,0,4,0,37,0,12
2020-06-24,18,12,51,18,0,0,4,0,19,31,13
2020-06-25,20,11,30,9,0,0,2,13,38,0,17
2020-06-26,18,11,0,9,0,0,4,0,39,0,9
2020-06-27,19,11,44,21,0,0,3,8,0,0,0
2020-06-28,17,11,26,21,0,0,3,8,44,0,10
2020-06-29,17,11,15,0,0,0,3,13,38,62,9
2020-06-30,18,11,15,18,0,0,2,6,0,0,8
2020-07-01,17,9,21,26,0,54,3,13,19,0,8
2020-07-02,18,11,7,26,0,0,2,0,37,30,8
2020-07-03,16,11,37,9,0,0,3,0,38,0,9
2020-07-04,20,12,17,30,0,0,3,0,0,0,19
2020-07-05,18,10,35,21,0,0,4,0,22,0,20
2020-07-06,18,9,29,9,0,0,3,13,0,0,8
2020-07-07,18,8,22,9,0,0,3,13,0,0,8
2020-07-08,13,9,7,9,49,56,3,7,0,0,9
2020-07-09,16,9,15,0,0,0,4,13,39,0,0
2020-07-10,16,9,24,10,0,0,3,0,0,34,5
2020-07-11,19,6,9,10,0,0,2,0,22,36,10
2020-07-12,22,12,9,0,61,0,4,8,0,0,0
2020-07-13,16,8,22,36,0,0,2,6,19,0,4
2020-07-14,16,7,22,27,0,0,4,7,19,62,13
2020-07-15,16,7,15,53,0,0,3,6,19,0,21
2020-07-16,15,7,23,19,0,0,3,0,0,0,9
2020-07-17,20,11,55,9,0,0,3,7,0,0,14
2020-07-18,21,8,26,21,0,0,2,0,23,0,25
2020-07-19,19,9,18,22,0,0,3,0,0,0,5
2020-07-20,16,9,30,9,100,0,3,7,20,0,31
2020-07-21,19,7,30,27,0,0,3,7,0,0,22
2020-07-22,19,8,23,37,0,0,3,0,0,0,22
2020-07-23,17,10,30,18,0,0,2,0,0,0,18
2020-07-24,20,9,8,28,0,0,3,7,20,0,9
2020-07-25,19,11,54,22,0,0,3,0,0,0,5
2020-07-26,25,10,9,11,0,0,3,8,0,0,16
2020-07-27,19,8,23,0,0,0,2,7,40,0,9
2020-07-28,22,13,31,37,51,0,2,0,0,32,9
2020-07-29,19,9,39,9,0,0,4,7,0,65,14
2020-07-30,22,10,39,9,0,0,6,0,40,33,9
2020-07-31,23,11,41,30,54,0,3,0,0,0,5
2020-08-01,20,10,9,21,0,0,3,0,0,0,15
2020-08-02,20,9,27,11,0,0,5,0,0,0,5
2020-08-03,18,10,22,9,0,0,4,0,0,0,17
2020-08-04,17,6,30,27,0,0,3,0,0,0,13
2020-08-05,16,8,38,37,0,0,3,0,0,0,9
2020-08-06,18,7,31,9,52,0,5,0,0,0,9
2020-08-07,21,11,24,29,0,0,4,0,21,0,14
2020-08-08,19,13,36,22,0,0,3,0,0,0,5
2020-08-09,24,11,0,11,0,0,4,0,0,0,11
2020-08-10,20,12,57,10,0,0,2,0,42,0,5
2020-08-11,18,5,49,20,0,0,4,15,21,0,29
2020-08-12,23,10,58,20,0,0,3,7,43,0,48
2020-08-13,23,13,42,20,0,0,7,7,0,71,19
2020-08-14,31,12,0,21,0,0,8,0,0,0,5
2020-08-15,31,15,40,0,0,0,7,9,0,0,6
