date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,75,60,43,17,0,0,0,0,0,45,57
2020-04-02,73,66,26,50,0,0,0,100,0,44,0
2020-04-03,76,61,16,0,54,0,39,69,0,0,0
2020-04-04,69,100,30,57,59,0,0,38,0,100,0
2020-04-05,77,44,31,60,62,0,0,0,0,0,66
2020-04-06,59,50,26,0,0,0,0,0,0,0,55
2020-04-07,53,30,22,34,53,0,0,0,0,0,0
2020-04-08,62,8,16,17,53,0,19,0,0,0,0
2020-04-09,45,23,11,17,0,0,0,0,0,0,29
2020-04-10,68,41,6,0,58,0,0,0,0,49,0
2020-04-11,55,51,30,0,60,0,0,77,67,0,0
2020-04-12,27,28,26,0,0,0,0,42,0,0,0
2020-04-13,40,0,30,0,0,0,22,0,0,0,0
2020-04-14,69,24,34,18,0,0,0,71,0,0,30
2020-04-15,100,31,78,0,55,0,100,0,0,46,29
2020-04-16,62,30,76,35,0,0,39,34,0,0,86
2020-04-17,84,63,96,18,56,0,82,0,0,0,0
2020-04-18,59,25,54,0,59,0,65,0,0,0,32
2020-04-19,75,26,18,19,0,0,44,77,0,0,32
2020-04-20,60,16,84,0,55,0,20,0,0,0,0
2020-04-21,41,0,33,53,0,0,40,35,0,0,0
2020-04-22,31,15,16,68,0,0,0,0,0,0,0
2020-04-23,26,0,37,100,0,0,19,66,58,0,28
2020-04-24,17,15,21,0,0,0,38,0,0,0,28
2020-04-25,41,17,37,79,0,0,22,0,0,0,0
2020-04-26,43,25,65,19,58,0,21,37,0,0,0
2020-04-27,16,28,60,48,0,0,36,0,0,0,0
2020-04-28,24,14,29,31,0,0,18,31,54,0,26
2020-04-29,50,21,40,32,0,80,0,32,0,0,53
2020-04-30,36,0,15,31,0,0,18,0,0,0,0
2020-05-01,39,22,42,34,0,0,19,0,0,0,28
2020-05-02,20,8,18,19,0,0,0,0,0,0,32
2020-05-03,42,18,38,20,62,0,0,0,70,0,0
2020-05-04,26,44,26,50,51,0,0,0,58,0,55
2020-05-05,27,7,19,0,0,0,0,0,52,0,0
2020-05-06,21,0,36,33,50,0,18,0,0,0,0
2020-05-07,36,14,40,16,0,0,18,0,0,0,52
2020-05-08,26,15,32,0,0,0,58,0,0,0,0
2020-05-09,50,26,24,0,0,0,0,0,0,0,65
2020-05-10,16,9,45,20,0,0,0,40,0,0,0
2020-05-11,17,15,21,17,0,0,0,0,0,0,55
2020-05-12,26,22,37,17,0,0,0,0,0,45,28
2020-05-13,29,14,41,16,0,81,18,0,0,0,0
2020-05-14,25,7,15,0,0,0,37,33,0,0,0
2020-05-15,26,7,5,50,0,0,19,0,0,44,28
2020-05-16,20,17,37,20,0,0,45,0,0,0,0
2020-05-17,15,26,19,0,0,0,0,40,0,0,0
2020-05-18,21,22,15,16,0,0,0,0,0,43,27
2020-05-19,17,14,5,17,0,0,0,0,0,0,27
2020-05-20,22,8,0,17,54,0,0,0,0,0,0
2020-05-21,26,15,37,34,0,0,19,0,0,0,28
2020-05-22,18,0,22,17,0,0,20,0,0,0,0
2020-05-23,15,9,25,20,0,0,0,0,0,0,33
2020-05-24,21,0,33,21,64,0,0,0,0,0,0
2020-05-25,19,0,18,19,0,0,0,0,0,0,0
2020-05-26,4,0,21,17,0,0,0,0,0,44,28
2020-05-27,25,7,0,0,0,0,0,0,0,43,27
2020-05-28,0,0,10,0,0,0,0,0,0,44,0
2020-05-29,9,7,16,0,0,0,0,0,0,0,0
2020-05-30,10,9,25,0,0,0,0,0,0,0,0
2020-05-31,5,0,13,0,0,0,0,0,0,0,0
2020-06-01,12,7,5,0,0,0,35,0,0,0,0
2020-06-02,17,7,15,49,0,0,18,0,0,0,27
2020-06-03,8,7,24,15,0,0,0,0,0,40,0
2020-06-04,19,7,9,30,47,0,0,0,53,0,25
2020-06-05,0,0,5,16,0,0,0,0,0,0,0
2020-06-06,20,8,6,19,0,0,0,0,0,0,0
2020-06-07,11,0,20,0,0,0,0,0,0,56,0
2020-06-08,8,13,14,30,0,0,0,0,0,0,0
2020-06-09,8,0,14,15,0,0,0,0,0,0,24
2020-06-10,17,0,16,17,0,0,0,0,0,44,55
2020-06-11,8,0,26,0,0,0,0,0,0,43,0
2020-06-12,4,7,31,17,51,0,0,0,58,0,0
2020-06-13,19,8,0,0,58,0,0,0,0,0,62
2020-06-14,14,0,12,56,58,0,0,0,0,0,31
2020-06-15,4,15,21,0,0,83,0,0,0,0,0
2020-06-16,23,20,5,0,0,0,0,0,53,0,0
2020-06-17,29,0,15,16,0,0,0,0,0,0,27
2020-06-18,17,0,10,16,0,0,0,0,0,0,0
2020-06-19,8,0,5,0,0,0,37,0,0,43,0
2020-06-20,0,0,0,0,0,0,22,0,0,0,0
2020-06-21,0,17,6,0,0,0,0,0,0,0,0
2020-06-22,17,0,11,0,0,0,0,0,0,0,28
2020-06-23,12,0,5,16,98,0,0,0,0,0,26
2020-06-24,4,0,15,16,100,0,0,0,0,43,0
2020-06-25,8,0,15,0,50,0,0,0,0,0,27
2020-06-26,0,0,10,17,0,0,0,0,0,0,0
2020-06-27,0,8,6,0,0,0,0,0,0,0,0
2020-06-28,10,0,0,0,0,0,0,0,0,0,0
2020-06-29,13,15,5,35,0,0,0,0,0,46,29
2020-06-30,4,0,11,34,0,0,0,0,0,0,0
2020-07-01,0,0,5,0,0,0,19,0,0,0,0
2020-07-02,0,0,0,17,0,0,0,0,0,0,28
2020-07-03,9,8,22,18,54,0,0,0,0,0,0
2020-07-04,0,8,0,0,0,0,0,0,0,0,0
2020-07-05,10,9,19,40,0,0,0,0,0,0,0
2020-07-06,4,0,16,17,0,0,20,0,0,0,29
2020-07-07,0,7,5,17,0,0,0,0,0,0,0
2020-07-08,9,8,11,0,53,0,0,0,0,45,0
2020-07-09,17,0,5,17,0,0,0,0,0,0,0
2020-07-10,0,8,6,0,0,0,0,0,0,0,60
2020-07-11,0,0,6,19,0,0,22,0,0,0,0
2020-07-12,5,9,0,20,0,0,0,0,0,0,0
2020-07-13,9,0,33,17,54,0,0,0,0,46,0
2020-07-14,13,0,16,0,0,0,0,34,0,0,0
2020-07-15,0,7,0,17,0,0,19,0,0,45,56
2020-07-16,0,0,0,34,0,0,0,0,0,0,0
2020-07-17,14,0,11,0,0,0,20,0,0,0,29
2020-07-18,15,0,6,0,0,100,45,40,69,0,0
2020-07-19,15,9,6,0,61,0,23,0,69,0,0
2020-07-20,9,0,16,0,0,0,0,0,59,0,28
2020-07-21,13,0,21,17,52,0,38,0,0,0,0
2020-07-22,13,0,10,33,0,83,93,0,0,0,27
2020-07-23,0,0,5,0,0,0,39,0,0,0,0
2020-07-24,14,0,0,0,0,0,0,0,0,0,0
2020-07-25,5,0,7,0,0,0,0,0,73,0,0
2020-07-26,5,0,13,0,0,0,0,0,0,0,0
2020-07-27,4,0,0,17,0,0,0,0,0,0,0
2020-07-28,4,0,22,17,0,0,0,0,60,46,29
2020-07-29,0,16,6,36,56,0,41,0,0,0,0
2020-07-30,5,8,0,35,0,0,0,0,0,0,0
2020-07-31,5,0,0,36,56,0,0,0,0,0,60
2020-08-01,5,9,25,0,0,0,23,40,0,0,0
2020-08-02,17,9,7,0,0,0,0,0,0,0,0
2020-08-03,5,16,6,18,0,92,0,0,0,0,30
2020-08-04,0,0,5,17,0,0,0,0,0,0,0
2020-08-05,18,8,17,0,0,0,40,0,0,0,0
2020-08-06,0,0,6,0,0,0,21,0,0,0,31
2020-08-07,5,8,23,0,0,0,21,0,0,0,30
2020-08-08,15,9,31,0,61,0,45,0,0,52,33
2020-08-09,27,0,33,42,0,0,48,0,0,0,70
2020-08-10,5,0,17,0,0,0,41,0,0,0,30
2020-08-11,9,8,0,17,0,0,39,34,0,46,57
2020-08-12,9,8,0,0,0,0,20,0,0,0,87
2020-08-13,13,15,0,35,0,0,0,0,0,0,29
2020-08-14,0,0,6,36,0,0,41,0,0,0,30
2020-08-15,5,0,6,21,0,0,47,0,0,0,34
2020-08-16,11,9,7,0,0,0,0,0,0,0,0
2020-08-17,0,0,11,18,0,0,41,0,63,0,60
2020-08-18,13,0,38,0,0,0,0,68,0,0,28
2020-08-19,0,0,17,0,0,0,20,0,0,0,29
2020-08-20,4,0,16,0,0,0,19,0,0,0,56
2020-08-21,27,0,100,0,55,0,40,0,0,0,0
2020-08-22,20,9,19,0,0,0,0,0,0,0,33
2020-08-23,5,0,32,0,0,0,23,0,0,0,0
2020-08-24,13,8,16,17,54,0,0,0,0,0,29
2020-08-25,9,8,34,18,0,0,20,0,0,0,30
2020-08-26,33,0,52,18,0,0,0,36,0,0,0
2020-08-27,19,8,17,0,0,0,0,0,0,0,31
2020-08-28,10,8,23,0,58,0,21,37,0,0,0
2020-08-29,10,0,42,19,0,0,0,0,0,0,63
2020-08-30,5,0,43,20,0,0,22,0,0,0,32
2020-08-31,19,0,40,36,56,0,0,0,0,47,60
2020-09-01,17,15,26,0,0,0,0,0,0,44,28
2020-09-02,18,0,28,0,0,0,0,0,0,0,0
2020-09-03,15,8,36,0,58,0,0,0,0,0,62
