date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,90,76,71,57,24,0,43,47,22,52,37
2020-04-02,97,100,29,35,25,0,52,59,15,35,56
2020-04-03,82,92,14,23,24,36,47,91,44,35,75
2020-04-04,91,76,15,59,50,0,40,65,37,18,67
2020-04-05,94,92,100,69,24,36,30,70,22,17,38
2020-04-06,100,96,41,67,47,0,100,70,35,17,73
2020-04-07,87,52,28,100,0,35,91,59,70,50,45
2020-04-08,78,60,28,57,24,0,55,51,14,0,37
2020-04-09,78,63,28,56,24,0,42,64,100,51,9
2020-04-10,73,58,28,68,24,36,21,51,36,17,28
2020-04-11,76,73,0,34,48,0,13,71,29,51,37
2020-04-12,62,39,0,44,71,0,33,52,63,67,27
2020-04-13,78,67,55,22,24,35,46,63,21,67,45
2020-04-14,65,64,27,44,94,0,37,77,70,33,27
2020-04-15,73,54,14,22,47,0,38,82,49,50,27
2020-04-16,76,62,27,11,46,0,12,89,41,65,9
2020-04-17,60,51,27,33,46,0,16,100,28,33,9
2020-04-18,62,40,53,85,45,33,20,80,47,32,26
2020-04-19,67,66,41,44,23,0,12,45,21,100,27
2020-04-20,61,53,90,10,0,0,16,55,46,47,26
2020-04-21,53,40,52,21,0,0,8,86,53,48,52
2020-04-22,66,26,13,33,23,0,45,59,48,33,27
2020-04-23,64,41,64,52,44,0,27,40,52,16,25
2020-04-24,58,50,27,43,23,0,16,59,34,16,53
2020-04-25,40,20,0,22,0,0,29,52,49,0,27
2020-04-26,50,27,54,22,0,0,16,66,55,0,9
2020-04-27,50,47,39,52,45,33,8,60,66,16,86
2020-04-28,40,26,40,0,45,0,12,35,54,16,43
2020-04-29,39,43,40,11,0,34,16,55,7,16,27
2020-04-30,37,37,12,10,0,0,18,35,37,29,24
2020-05-01,36,37,0,32,0,0,24,19,33,32,60
2020-05-02,46,19,0,11,0,0,12,20,21,0,9
2020-05-03,39,26,0,43,0,0,8,28,20,0,17
2020-05-04,43,18,13,20,0,32,23,31,19,15,8
2020-05-05,47,29,25,20,21,0,15,21,26,15,25
2020-05-06,33,29,37,10,0,0,4,35,13,0,33
2020-05-07,30,23,13,21,22,0,39,24,27,32,17
2020-05-08,19,37,0,21,0,0,16,30,0,0,0
2020-05-09,35,21,13,32,23,0,32,41,13,16,0
2020-05-10,40,29,27,43,0,34,8,50,14,16,0
2020-05-11,32,33,13,11,23,0,16,22,14,64,61
2020-05-12,42,26,13,21,0,0,24,19,54,0,44
2020-05-13,37,41,0,32,23,0,16,42,21,0,18
2020-05-14,38,35,0,32,0,0,20,11,34,16,35
2020-05-15,41,21,13,53,0,0,24,19,34,16,35
2020-05-16,37,19,13,0,0,33,12,21,7,16,9
2020-05-17,33,27,14,55,23,0,4,22,14,16,18
2020-05-18,25,23,13,11,0,100,16,2,33,0,60
2020-05-19,26,28,26,31,0,0,20,17,47,16,94
2020-05-20,30,19,81,33,23,0,16,20,28,33,45
2020-05-21,28,32,0,11,23,0,8,13,7,16,18
2020-05-22,27,19,14,11,23,0,25,18,14,0,63
2020-05-23,26,17,14,11,23,0,8,4,21,0,63
2020-05-24,30,27,14,11,0,0,4,14,14,0,9
2020-05-25,25,29,27,43,0,0,8,7,41,16,26
2020-05-26,26,12,13,11,0,0,20,9,14,16,44
2020-05-27,29,17,27,11,0,0,8,9,21,0,18
2020-05-28,32,12,27,11,0,0,16,2,0,0,18
2020-05-29,25,17,27,11,23,0,12,7,7,49,18
2020-05-30,26,15,14,0,0,0,8,5,14,0,46
2020-05-31,28,27,27,22,0,0,21,7,14,17,36
2020-06-01,25,10,70,0,0,0,17,18,28,0,9
2020-06-02,34,17,14,34,48,0,4,16,0,17,27
2020-06-03,23,5,14,22,23,0,8,13,14,33,9
2020-06-04,20,17,27,11,0,0,4,11,21,16,36
2020-06-05,22,15,0,11,0,0,12,18,14,33,9
2020-06-06,25,15,28,11,0,0,8,11,14,17,18
2020-06-07,20,18,14,0,24,0,9,7,7,17,0
2020-06-08,20,5,28,0,24,35,4,14,7,0,37
2020-06-09,27,14,13,0,0,0,0,13,47,0,26
2020-06-10,17,0,14,0,0,0,4,14,14,34,37
2020-06-11,17,12,0,11,0,35,21,5,28,0,46
2020-06-12,23,7,14,34,0,0,8,14,7,17,18
2020-06-13,22,8,14,11,0,0,8,2,0,17,9
2020-06-14,22,12,14,56,0,0,0,11,7,0,27
2020-06-15,21,8,0,0,0,0,17,5,7,70,38
2020-06-16,23,10,29,35,25,0,13,14,15,17,9
2020-06-17,21,8,58,23,50,0,4,14,22,18,10
2020-06-18,20,8,14,34,0,0,4,9,36,0,0
2020-06-19,19,20,14,34,0,0,8,5,14,0,28
2020-06-20,16,5,44,12,25,0,9,5,0,0,29
2020-06-21,16,10,0,0,0,0,13,10,15,0,29
2020-06-22,22,13,29,12,25,0,9,9,22,0,29
2020-06-23,22,18,15,35,0,0,9,10,15,0,38
2020-06-24,17,18,29,24,25,0,9,5,7,36,38
2020-06-25,24,18,29,23,49,0,9,9,15,0,28
2020-06-26,20,8,29,24,25,0,13,14,7,0,29
2020-06-27,14,8,43,23,0,0,0,2,0,0,9
2020-06-28,18,12,0,0,0,0,0,7,7,0,18
2020-06-29,18,15,29,12,24,0,21,7,7,0,38
2020-06-30,19,15,57,35,0,36,13,2,15,0,38
2020-07-01,18,10,29,23,0,37,4,10,7,0,48
2020-07-02,21,15,57,23,0,0,9,5,15,17,47
2020-07-03,18,13,72,23,25,73,9,7,22,0,19
2020-07-04,17,3,57,0,0,0,4,5,0,17,9
2020-07-05,23,8,28,0,0,0,4,9,15,17,19
2020-07-06,21,12,27,22,0,0,4,4,14,0,36
2020-07-07,22,20,14,0,0,0,21,9,0,33,36
2020-07-08,31,16,0,59,0,0,9,17,15,35,0
2020-07-09,20,8,14,12,0,0,13,7,7,0,10
2020-07-10,27,11,44,12,51,0,9,10,8,18,20
2020-07-11,19,13,30,24,0,0,0,7,0,0,39
2020-07-12,16,24,0,24,0,0,4,7,7,0,10
2020-07-13,22,10,15,35,25,0,18,24,15,18,10
2020-07-14,26,8,29,24,100,0,13,2,15,18,58
2020-07-15,22,16,30,12,26,0,4,10,23,18,29
2020-07-16,35,16,75,36,0,0,9,20,8,0,30
2020-07-17,28,14,45,12,0,0,9,7,16,0,30
2020-07-18,23,23,42,11,0,0,0,5,0,0,9
2020-07-19,16,0,30,0,25,0,0,0,15,0,39
2020-07-20,16,5,30,48,0,0,4,10,0,36,39
2020-07-21,15,21,44,24,0,0,13,17,15,0,68
2020-07-22,22,16,59,24,0,0,4,19,8,0,10
