date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,15,62,0,0,0,0,13,0,0,0,0
2020-04-02,26,28,0,0,0,0,72,0,0,0,27
2020-04-03,30,0,0,0,0,0,0,0,0,0,0
2020-04-04,54,38,0,0,0,0,0,100,0,0,73
2020-04-05,16,34,0,0,0,0,15,0,0,0,0
2020-04-06,100,61,0,27,93,0,26,0,82,0,0
2020-04-07,40,28,21,100,0,0,24,0,0,0,27
2020-04-08,30,0,0,57,0,0,28,0,0,0,0
2020-04-09,48,0,0,0,0,0,15,0,0,0,0
2020-04-10,15,0,23,27,0,0,13,0,0,0,0
2020-04-11,80,68,25,0,0,0,0,0,0,0,0
2020-04-12,45,0,0,57,0,0,14,0,0,0,0
2020-04-13,31,99,0,0,0,0,0,0,88,49,0
2020-04-14,55,0,0,26,0,0,38,0,0,0,0
2020-04-15,0,0,0,28,0,0,14,0,0,0,0
2020-04-16,0,63,0,56,0,0,14,0,0,0,0
2020-04-17,30,0,0,0,0,86,14,0,0,0,0
2020-04-18,16,34,0,0,0,0,14,0,0,0,0
2020-04-19,15,31,0,27,0,0,0,0,0,0,59
2020-04-20,13,57,0,0,0,0,0,0,0,0,0
2020-04-21,14,0,0,0,0,0,39,0,0,0,29
2020-04-22,43,62,0,0,0,0,13,0,83,0,0
2020-04-23,14,29,0,25,0,0,12,0,0,0,0
2020-04-24,28,60,22,26,0,0,13,0,0,0,0
2020-04-25,46,33,0,29,0,0,0,0,87,0,0
2020-04-26,0,35,25,0,0,0,15,0,0,0,0
2020-04-27,13,0,0,0,0,0,0,0,0,43,27
2020-04-28,0,0,20,0,0,0,12,0,0,0,0
2020-04-29,13,0,20,25,0,0,12,0,0,0,0
2020-04-30,57,30,22,0,0,0,26,0,81,0,0
2020-05-01,0,0,0,25,0,0,25,0,0,0,27
2020-05-02,33,0,0,31,0,0,45,0,93,0,0
2020-05-03,17,71,0,31,0,0,15,0,0,0,0
2020-05-04,14,30,43,0,0,0,13,0,0,0,0
2020-05-05,13,0,0,0,0,0,0,0,0,0,0
2020-05-06,60,0,0,0,0,0,14,0,0,0,0
2020-05-07,0,0,0,0,0,0,26,0,0,0,29
2020-05-08,0,0,0,0,0,0,63,0,0,0,0
2020-05-09,17,0,0,31,0,0,15,0,0,0,0
2020-05-10,47,100,0,0,0,0,100,0,0,49,0
2020-05-11,25,27,0,0,0,0,35,0,0,0,0
2020-05-12,0,0,0,26,0,0,51,0,80,0,0
2020-05-13,14,29,0,26,0,0,0,0,0,0,0
2020-05-14,28,61,0,0,0,0,13,0,0,0,0
2020-05-15,0,0,0,0,0,0,28,0,0,49,0
2020-05-16,20,42,0,0,0,0,36,0,0,0,0
2020-05-17,19,0,0,70,0,0,0,0,0,0,0
2020-05-18,29,0,22,0,0,0,0,0,0,0,29
2020-05-19,30,0,0,0,0,0,28,0,0,0,31
2020-05-20,16,35,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,27,0,0,0,0
2020-05-22,13,29,0,0,0,0,0,0,0,0,0
2020-05-23,16,0,0,0,0,0,0,0,0,0,0
2020-05-24,17,0,0,0,0,0,0,0,0,0,0
2020-05-25,18,0,0,0,0,0,16,0,0,0,0
2020-05-26,31,0,0,0,0,0,0,0,0,0,31
2020-05-27,0,0,0,0,0,0,14,0,0,100,0
2020-05-28,0,0,0,0,0,0,0,0,0,46,0
2020-05-29,17,0,0,32,0,0,31,0,0,0,0
2020-05-30,0,0,0,36,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,13,28,20,0,0,0,24,0,0,0,0
2020-06-02,0,0,22,0,0,0,0,0,0,0,0
2020-06-03,13,57,0,0,0,0,0,0,0,0,27
2020-06-04,0,0,21,26,0,0,0,76,0,0,0
2020-06-05,0,0,0,0,0,0,13,0,0,0,0
2020-06-06,15,33,24,29,0,0,0,0,0,49,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,13,28,21,0,0,0,0,0,0,0,0
2020-06-10,0,0,21,0,0,0,25,0,0,0,0
2020-06-11,13,0,0,0,84,74,0,0,0,0,0
2020-06-12,14,0,0,0,0,0,13,0,0,0,0
2020-06-13,0,0,0,0,0,0,27,0,84,0,0
2020-06-14,17,0,0,0,0,100,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,14,0,0,0,0,78,25,0,0,0,0
2020-06-17,13,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,16,35,0,0,0,0,0,0,0,52,0
2020-06-21,0,0,0,31,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,27,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,15,0,23,0,0,0,0,0,0,0,0
2020-06-27,16,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,15,0,0,0,0
2020-06-29,15,0,0,0,0,0,13,0,0,0,30
2020-06-30,29,0,0,0,0,0,13,0,0,0,0
2020-07-01,15,31,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,12,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,80,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,30,0,0,0,0,0,0,0
2020-07-06,14,0,22,0,0,0,0,0,0,0,0
2020-07-07,0,0,26,0,0,0,15,0,0,53,0
2020-07-08,0,28,0,24,0,0,12,0,0,0,0
2020-07-09,0,0,0,0,0,0,13,0,0,0,0
2020-07-10,18,39,0,0,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,15,31,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,21,26,0,0,0,0,0,0,0
2020-07-15,30,0,0,28,0,0,0,0,0,0,30
