date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,56,98,0,0,42,0,31,0,0,0,17
2020-04-02,100,44,0,0,0,0,32,44,0,0,0
2020-04-03,59,76,65,0,0,0,34,0,0,0,19
2020-04-04,83,79,33,47,0,0,35,0,0,0,39
2020-04-05,59,29,31,0,0,0,33,89,0,0,18
2020-04-06,63,43,31,43,0,0,0,0,40,0,18
2020-04-07,76,74,63,0,0,0,0,0,0,0,0
2020-04-08,48,58,31,0,0,0,32,44,0,0,18
2020-04-09,63,100,0,42,0,0,0,0,40,0,0
2020-04-10,35,43,0,0,0,0,32,44,0,0,36
2020-04-11,70,69,0,0,0,0,30,42,0,0,0
2020-04-12,43,71,0,0,43,0,32,0,0,0,0
2020-04-13,46,73,0,0,0,0,0,0,0,0,0
2020-04-14,44,14,0,0,0,0,0,84,0,79,0
2020-04-15,45,43,0,0,0,0,95,0,0,0,18
2020-04-16,39,42,30,42,0,99,31,0,0,0,17
2020-04-17,45,57,0,43,0,0,0,43,0,82,18
2020-04-18,48,14,0,86,0,0,64,0,0,0,18
2020-04-19,45,29,30,0,0,0,32,0,0,0,0
2020-04-20,38,72,0,0,0,0,0,0,0,0,0
2020-04-21,31,28,0,41,0,0,31,0,0,0,0
2020-04-22,26,30,32,0,0,0,33,45,0,0,18
2020-04-23,42,30,0,0,0,0,0,0,0,0,0
2020-04-24,44,31,0,47,0,0,35,0,44,0,0
2020-04-25,40,0,0,0,0,0,0,100,0,0,0
2020-04-26,22,16,0,48,0,0,36,49,0,0,0
2020-04-27,33,32,0,0,0,0,35,48,0,0,0
2020-04-28,26,33,0,49,50,0,0,0,0,0,0
2020-04-29,23,0,0,49,0,0,0,0,0,0,41
2020-04-30,42,48,0,0,0,0,70,0,45,0,0
2020-05-01,23,0,0,0,0,0,36,0,0,0,0
2020-05-02,14,16,0,0,0,0,0,49,0,0,0
2020-05-03,22,32,0,47,0,0,0,48,0,0,0
2020-05-04,27,0,0,45,0,0,0,46,0,0,38
2020-05-05,19,0,0,0,0,0,0,42,0,0,0
2020-05-06,27,15,0,45,0,0,0,0,0,0,37
2020-05-07,37,0,0,0,0,0,36,49,0,0,20
2020-05-08,49,50,0,49,0,0,73,0,0,0,61
