date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,33,76,53,0,0,0,0,0,0,0,0
2020-04-02,58,79,0,0,0,0,0,0,0,0,81
2020-04-03,11,39,0,0,0,0,0,36,0,0,0
2020-04-04,65,0,0,0,0,0,21,41,0,0,45
2020-04-05,26,45,0,0,0,0,21,0,100,0,0
2020-04-06,19,0,45,0,0,0,0,0,0,0,33
2020-04-07,30,68,0,0,0,0,0,0,0,0,0
2020-04-08,20,34,0,0,0,0,16,32,0,59,0
2020-04-09,20,0,0,0,0,0,0,0,77,0,0
2020-04-10,42,0,100,0,0,0,17,0,0,0,0
2020-04-11,41,46,65,0,0,0,0,0,0,0,0
2020-04-12,0,86,0,0,0,0,21,40,0,0,44
2020-04-13,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,9,0,0,0,0,0,15,0,0,0,31
2020-04-15,19,0,0,0,0,0,15,0,0,0,32
2020-04-16,20,0,47,0,0,0,16,0,0,0,0
2020-04-17,53,0,0,0,0,0,0,34,0,0,37
2020-04-18,27,0,0,0,0,0,0,0,0,0,0
2020-04-19,43,48,0,0,0,0,23,0,0,0,49
2020-04-20,0,36,0,0,0,0,17,0,0,0,0
2020-04-21,10,0,0,0,0,0,0,0,0,0,0
2020-04-22,11,0,0,0,0,0,17,0,0,0,0
2020-04-23,10,34,48,0,0,0,0,0,0,0,34
2020-04-24,0,37,52,0,0,0,18,0,0,0,38
2020-04-25,55,0,0,0,0,0,0,44,0,0,48
2020-04-26,14,0,0,0,0,0,0,45,0,0,0
2020-04-27,0,0,0,0,0,0,18,0,0,0,38
2020-04-28,22,0,0,0,0,0,18,0,0,0,0
2020-04-29,11,0,0,0,68,0,0,0,0,0,0
2020-04-30,41,70,0,0,0,0,0,0,0,0,0
2020-05-01,15,0,0,0,0,0,0,0,0,89,0
2020-05-02,15,0,0,0,0,0,47,0,0,0,0
2020-05-03,30,0,0,67,0,0,0,0,0,0,52
2020-05-04,20,0,0,0,0,0,0,0,0,0,0
2020-05-05,49,67,0,0,0,0,0,0,0,0,0
2020-05-06,21,0,0,0,0,0,17,0,0,0,0
2020-05-07,15,0,0,0,0,0,0,0,0,0,0
2020-05-08,28,0,0,0,0,0,0,0,0,0,49
2020-05-09,30,0,73,0,0,0,0,0,0,0,0
2020-05-10,15,0,0,67,0,0,0,0,0,0,0
2020-05-11,43,0,0,0,0,0,0,0,0,0,0
2020-05-12,23,0,0,52,0,0,0,0,0,0,79
2020-05-13,11,0,0,0,0,0,0,0,0,0,0
2020-05-14,34,0,0,0,0,0,0,0,0,0,39
2020-05-15,12,0,0,0,0,0,0,0,89,0,0
2020-05-16,0,0,0,0,0,0,25,0,0,0,0
2020-05-17,47,53,0,0,0,0,0,0,0,0,0
2020-05-18,33,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,48,0,0,0,0,0,0,0
2020-05-20,35,0,0,0,0,0,0,0,0,0,0
2020-05-21,37,42,0,0,0,0,0,0,0,0,87
2020-05-22,13,0,0,0,0,0,0,85,0,0,0
2020-05-23,0,0,0,0,0,0,0,53,0,0,57
2020-05-24,52,0,0,0,0,0,28,0,0,0,0
2020-05-25,29,49,0,0,0,0,0,0,0,0,100
2020-05-26,43,0,0,0,0,0,0,0,0,0,0
2020-05-27,29,0,0,0,0,0,24,0,0,87,51
2020-05-28,59,100,0,0,0,0,24,47,0,0,0
2020-05-29,31,0,0,0,0,0,0,0,0,0,53
2020-05-30,35,0,0,0,0,0,0,0,0,0,0
2020-05-31,35,60,0,0,0,0,29,0,0,0,0
2020-06-01,0,0,0,0,0,0,24,0,0,0,0
2020-06-02,30,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,36,0,0,0,0,0,29,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,14,0,69,0,0,0,0,0,0,0,0
2020-06-10,15,0,0,69,0,0,0,0,0,0,0
2020-06-11,16,0,0,0,0,0,0,0,0,0,54
2020-06-12,48,0,0,0,0,0,0,0,0,0,0
2020-06-13,18,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,30,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,72,0,0,0,0,0,0,0,52
2020-06-17,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,15,0,0,0,0,0,0,49,0,0,0
2020-06-19,16,0,0,0,0,0,0,0,0,95,55
