date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,90,58,9,31,0,20,9,32,50,59
2020-04-02,98,87,58,46,31,56,14,59,31,0,35
2020-04-03,87,89,11,37,91,55,21,100,31,0,61
2020-04-04,89,97,69,20,33,0,24,45,100,0,69
2020-04-05,88,100,27,41,100,0,8,18,0,0,77
2020-04-06,73,73,39,65,0,0,100,34,16,98,38
2020-04-07,70,65,40,95,0,0,21,60,48,0,42
2020-04-08,66,77,35,73,30,0,15,8,15,49,26
2020-04-09,73,64,22,56,62,0,6,51,0,50,30
2020-04-10,76,74,50,69,0,0,14,54,50,0,72
2020-04-11,65,59,23,100,0,0,9,18,17,53,41
2020-04-12,71,56,39,20,0,0,7,9,0,0,45
2020-04-13,75,78,59,31,67,0,12,28,34,54,16
2020-04-14,71,61,33,57,62,0,11,34,32,0,33
2020-04-15,58,53,28,37,60,0,10,8,31,49,29
2020-04-16,56,50,22,28,30,0,10,25,62,98,29
2020-04-17,57,54,55,48,0,57,19,34,0,0,27
2020-04-18,63,55,38,29,32,0,10,18,0,0,31
2020-04-19,62,49,41,21,0,63,18,10,18,0,37
2020-04-20,57,59,38,39,32,58,13,26,49,52,21
2020-04-21,53,53,45,29,0,0,24,26,16,0,36
2020-04-22,58,51,91,78,32,0,12,18,49,0,31
2020-04-23,64,60,65,28,0,0,9,26,32,0,27
2020-04-24,58,51,50,10,0,0,12,36,0,0,100
2020-04-25,52,59,53,53,0,0,21,0,0,56,57
2020-04-26,60,44,44,10,69,0,7,9,18,0,49
2020-04-27,44,34,46,20,0,0,8,9,33,0,25
2020-04-28,41,32,41,29,0,0,5,9,33,0,46
2020-04-29,46,32,95,19,0,0,5,17,16,0,15
2020-04-30,43,39,52,18,58,0,5,0,15,0,25
2020-05-01,52,35,68,31,68,0,7,9,35,0,19
2020-05-02,52,38,100,21,0,0,4,0,52,0,33
2020-05-03,55,41,86,11,70,0,10,10,0,0,37
2020-05-04,50,44,70,38,0,0,9,0,0,51,27
2020-05-05,48,34,55,18,29,0,6,0,0,47,31
2020-05-06,47,31,65,0,62,0,31,9,0,50,50
2020-05-07,47,32,66,28,0,0,26,9,0,0,24
2020-05-08,35,27,56,10,32,58,5,9,32,0,24
2020-05-09,37,26,44,11,0,0,9,10,0,0,25
2020-05-10,33,38,33,21,0,0,10,0,0,0,17
2020-05-11,30,28,41,29,0,0,8,0,0,0,12
2020-05-12,28,23,33,19,31,0,9,9,16,0,36
2020-05-13,33,32,55,0,31,0,6,9,0,100,33
2020-05-14,36,22,45,19,32,58,8,0,0,51,24
2020-05-15,30,31,25,0,0,0,12,8,0,0,23
2020-05-16,31,25,74,9,0,0,24,16,15,0,3
2020-05-17,35,19,66,0,33,0,5,0,17,0,6
2020-05-18,32,34,43,28,0,0,6,0,16,50,26
2020-05-19,26,23,29,28,0,0,7,0,0,49,29
2020-05-20,33,26,28,37,30,0,5,0,31,0,23
2020-05-21,30,21,40,9,0,0,5,0,0,0,12
2020-05-22,24,18,33,0,31,0,5,8,16,0,15
2020-05-23,20,17,56,10,32,0,9,17,16,51,18
2020-05-24,28,21,45,31,0,0,7,0,0,0,30
2020-05-25,29,20,44,20,0,0,19,0,0,0,32
2020-05-26,22,13,44,17,0,0,8,0,15,0,14
2020-05-27,20,14,41,0,29,0,8,0,0,0,14
2020-05-28,24,23,61,9,0,0,7,8,15,0,9
2020-05-29,26,17,25,0,0,0,12,0,0,0,9
2020-05-30,32,17,38,0,0,0,6,0,0,52,15
2020-05-31,24,22,23,0,0,0,5,0,0,0,9
2020-06-01,22,12,49,19,0,0,18,0,0,0,15
2020-06-02,18,16,14,9,29,0,12,0,0,0,14
2020-06-03,16,15,29,16,0,0,3,0,0,0,13
2020-06-04,17,12,13,17,0,0,7,8,0,45,8
2020-06-05,16,15,36,17,56,0,9,0,14,0,27
2020-06-06,19,16,18,27,0,0,27,0,15,0,11
2020-06-07,13,15,26,39,32,0,6,0,0,0,25
2020-06-08,18,15,26,26,0,0,1,39,0,0,27
2020-06-09,17,11,25,25,0,0,1,67,14,0,16
2020-06-10,18,12,20,17,28,51,0,23,0,0,14
2020-06-11,16,9,10,17,0,0,2,16,15,46,22
2020-06-12,18,10,13,17,0,0,0,0,0,0,3
2020-06-13,14,9,17,9,0,0,1,0,0,95,20
2020-06-14,15,9,29,18,0,0,0,8,16,0,15
2020-06-15,13,11,20,0,28,51,2,0,0,0,13
2020-06-16,15,13,19,0,27,0,4,0,14,0,8
2020-06-17,13,8,18,16,26,0,2,0,0,0,12
2020-06-18,13,12,22,17,0,0,3,7,0,0,18
2020-06-19,13,7,25,8,0,0,2,0,0,0,5
2020-06-20,11,6,13,0,0,0,3,0,14,0,8
2020-06-21,14,13,24,0,0,0,4,0,0,0,14
2020-06-22,9,7,23,25,0,0,2,0,14,0,5
2020-06-23,9,5,19,8,0,0,1,0,0,0,10
2020-06-24,8,5,22,0,0,0,4,0,27,0,23
2020-06-25,11,11,6,8,25,0,1,0,26,0,7
2020-06-26,9,8,23,33,0,50,6,0,14,89,26
2020-06-27,7,4,10,17,28,0,1,0,0,46,8
2020-06-28,13,9,20,17,0,0,2,0,0,0,16
2020-06-29,12,9,10,58,0,0,4,0,28,0,18
2020-06-30,9,4,18,8,0,0,3,14,0,0,25
2020-07-01,12,9,29,8,50,0,3,0,13,81,14
2020-07-02,12,7,12,15,0,0,7,0,13,81,7
2020-07-03,14,6,32,8,0,0,4,0,0,0,13
2020-07-04,9,12,18,8,26,0,2,0,0,0,10
2020-07-05,11,4,13,17,0,0,4,0,14,0,16
2020-07-06,12,5,21,0,0,0,18,0,0,0,10
2020-07-07,11,7,26,7,24,0,8,0,25,0,7
2020-07-08,7,7,15,15,0,0,5,7,0,0,10
2020-07-09,9,2,28,16,0,0,1,0,27,42,10
2020-07-10,14,11,23,17,0,0,1,8,14,0,8
2020-07-11,13,5,22,0,0,0,2,7,14,43,23
2020-07-12,11,7,10,9,0,0,2,0,0,46,5
2020-07-13,11,11,42,23,25,0,3,14,13,0,44
2020-07-14,11,6,21,39,51,0,2,7,53,42,77
2020-07-15,14,8,37,15,24,0,2,0,12,78,35
2020-07-16,14,8,53,8,0,0,7,0,13,41,32
2020-07-17,13,10,16,17,0,0,3,0,28,0,18
2020-07-18,12,10,32,25,0,0,2,8,0,0,13
2020-07-19,13,8,20,0,28,0,1,0,14,0,16
2020-07-20,12,10,23,0,0,100,1,8,28,0,32
2020-07-21,17,9,35,16,54,0,2,0,0,0,47
2020-07-22,13,5,41,15,25,0,6,21,13,0,36
2020-07-23,18,9,36,0,0,0,6,15,14,44,18
2020-07-24,19,13,34,17,0,0,8,8,29,0,30
2020-07-25,15,14,29,19,0,0,9,9,0,0,18
2020-07-26,10,6,29,17,0,0,2,0,0,0,5
2020-07-27,12,6,22,8,0,0,10,7,14,0,8
2020-07-28,12,7,26,17,0,51,2,15,14,0,19
2020-07-29,9,4,13,0,0,0,2,8,0,0,13
2020-07-30,10,11,30,17,0,0,5,8,0,0,16
2020-07-31,10,6,21,9,30,0,1,0,0,0,6
2020-08-01,9,11,26,8,0,0,5,0,0,0,13
2020-08-02,12,10,18,0,0,57,1,0,0,0,24
2020-08-03,9,2,20,9,29,0,1,0,0,0,19
2020-08-04,9,5,32,25,28,0,3,0,28,0,13
2020-08-05,8,7,28,16,0,0,0,14,13,0,10
2020-08-06,9,6,19,16,0,0,2,0,0,0,13
2020-08-07,9,2,9,16,26,0,1,7,0,0,15
2020-08-08,8,2,13,0,0,0,2,8,14,0,10
2020-08-09,5,3,7,0,0,0,5,0,0,0,14
2020-08-10,7,2,12,8,26,0,4,7,0,0,20
2020-08-11,8,10,13,8,0,97,2,7,14,0,97
