date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,67,65,34,0,0,0,8,64,0,0,9
2020-04-02,85,100,0,37,96,0,8,65,0,0,27
2020-04-03,82,55,0,0,0,0,26,0,0,0,10
2020-04-04,100,92,0,20,52,0,26,35,0,0,20
2020-04-05,52,44,70,19,0,0,8,0,91,0,9
2020-04-06,88,91,34,18,0,0,65,0,45,48,37
2020-04-07,81,65,33,36,0,0,16,32,0,0,0
2020-04-08,52,42,34,0,0,0,32,32,0,0,9
2020-04-09,67,38,46,0,0,0,32,0,45,0,18
2020-04-10,72,41,12,20,0,0,43,70,0,0,10
2020-04-11,65,73,46,19,49,0,8,33,45,0,0
2020-04-12,56,47,100,60,0,0,44,0,0,0,0
2020-04-13,68,34,23,0,0,0,33,0,46,50,19
2020-04-14,60,44,12,19,50,0,25,34,0,0,9
2020-04-15,62,68,0,19,0,0,41,33,46,0,0
2020-04-16,47,25,12,58,0,0,17,34,0,0,10
2020-04-17,74,40,36,0,0,0,17,35,0,0,10
2020-04-18,62,86,36,20,0,0,9,35,0,0,10
2020-04-19,49,45,24,19,0,0,42,0,47,0,19
2020-04-20,46,58,12,37,0,0,33,66,90,0,19
2020-04-21,55,69,0,38,98,0,17,34,0,0,28
2020-04-22,55,30,24,19,50,0,8,0,0,0,29
2020-04-23,57,57,0,36,48,0,16,0,44,0,18
2020-04-24,48,29,0,19,0,0,0,33,0,0,18
2020-04-25,61,25,24,0,0,0,8,34,0,0,28
2020-04-26,49,30,12,0,0,0,8,34,0,0,19
2020-04-27,44,30,36,19,51,0,26,0,0,0,19
2020-04-28,50,25,0,38,50,0,0,34,0,0,38
2020-04-29,59,29,0,37,0,0,16,66,45,49,47
2020-04-30,51,24,34,18,0,0,24,33,44,0,37
2020-05-01,39,36,36,0,0,0,26,0,0,0,29
2020-05-02,40,20,12,0,0,0,25,34,0,50,9
2020-05-03,49,25,71,38,100,0,25,0,46,0,0
2020-05-04,30,50,12,19,0,0,59,0,0,0,10
2020-05-05,46,23,22,35,0,0,23,0,0,0,35
2020-05-06,50,62,23,0,0,0,57,33,0,0,55
2020-05-07,41,29,47,19,0,0,33,0,45,0,37
2020-05-08,53,46,36,0,51,0,95,0,0,0,49
2020-05-09,30,20,12,0,0,0,61,35,48,0,10
2020-05-10,51,31,25,0,0,0,26,35,48,0,20
2020-05-11,52,15,12,0,0,0,43,34,0,0,29
2020-05-12,71,30,84,39,0,0,34,0,0,0,29
2020-05-13,40,33,57,55,0,0,0,0,44,0,9
2020-05-14,42,24,0,19,0,0,50,67,45,49,37
2020-05-15,52,40,36,19,0,0,60,34,0,0,39
2020-05-16,53,25,71,0,0,0,42,34,0,0,10
2020-05-17,45,20,12,19,0,94,68,0,47,0,48
2020-05-18,42,20,12,19,0,0,8,0,46,0,48
2020-05-19,36,20,83,19,0,0,51,0,0,0,48
2020-05-20,36,19,11,18,0,0,16,0,0,0,37
2020-05-21,37,29,35,19,0,0,16,0,0,0,9
2020-05-22,29,5,0,57,0,0,25,34,0,0,47
2020-05-23,24,10,36,38,50,0,17,34,0,0,0
2020-05-24,45,31,50,20,0,0,18,0,0,0,40
2020-05-25,33,36,0,0,0,0,43,0,0,0,20
2020-05-26,35,36,61,39,0,0,17,70,0,0,10
2020-05-27,36,30,47,0,0,93,17,0,0,0,0
2020-05-28,40,20,12,57,0,93,17,34,0,50,38
2020-05-29,42,10,24,58,0,0,42,34,0,50,29
2020-05-30,33,25,12,0,0,0,100,34,46,50,19
2020-05-31,36,19,12,0,0,0,58,100,0,0,28
2020-06-01,16,5,23,0,0,0,16,33,0,0,9
2020-06-02,35,14,23,0,0,0,16,0,0,0,46
2020-06-03,32,18,11,53,0,0,8,0,42,0,9
2020-06-04,29,18,22,52,0,0,0,0,0,46,17
2020-06-05,21,24,23,18,0,0,16,0,0,0,9
2020-06-06,28,24,46,18,0,0,0,0,44,0,9
2020-06-07,35,0,23,0,49,0,16,33,45,0,28
2020-06-08,30,9,11,0,0,0,39,32,0,93,0
2020-06-09,25,23,22,36,0,0,8,0,0,0,18
2020-06-10,20,9,34,0,0,0,16,32,44,0,27
2020-06-11,35,5,11,0,0,0,8,0,89,0,18
2020-06-12,29,5,0,19,51,0,34,0,0,0,10
2020-06-13,25,15,24,39,0,0,17,0,0,0,10
2020-06-14,22,14,35,19,0,0,16,99,0,0,28
2020-06-15,30,10,35,19,0,0,8,0,0,0,9
2020-06-16,28,24,23,73,0,0,0,0,0,0,27
2020-06-17,21,15,24,19,0,0,8,34,0,0,9
2020-06-18,27,10,12,0,49,0,25,0,45,0,9
2020-06-19,16,5,12,40,52,0,18,0,48,0,10
2020-06-20,29,5,36,39,0,0,0,0,0,0,10
2020-06-21,26,10,24,0,0,0,25,68,0,0,9
2020-06-22,20,10,35,0,48,0,16,0,0,0,9
2020-06-23,21,10,24,19,50,0,17,0,0,0,10
2020-06-24,21,5,35,0,0,0,17,67,0,0,0
2020-06-25,25,5,12,75,0,0,33,0,91,0,9
2020-06-26,22,10,38,20,0,0,9,36,49,53,30
2020-06-27,20,5,24,0,0,0,17,35,0,0,19
2020-06-28,16,10,23,56,49,0,0,0,0,49,28
2020-06-29,22,15,24,19,50,0,8,0,0,0,10
