date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,59,24,0,0,0,0,0,0,0,0,0
2020-04-02,58,48,27,41,0,0,34,62,0,0,0
2020-04-03,100,50,0,0,0,0,0,0,0,100,0
2020-04-04,93,63,0,0,0,0,0,0,0,0,0
2020-04-05,83,62,35,0,0,0,88,80,0,0,29
2020-04-06,59,0,0,21,0,0,34,0,0,0,0
2020-04-07,20,0,29,22,0,0,36,0,0,0,0
2020-04-08,91,26,0,0,0,0,0,0,0,0,0
2020-04-09,47,50,0,0,0,0,0,0,0,0,0
2020-04-10,42,0,0,27,0,0,0,0,0,0,0
2020-04-11,99,33,38,29,0,0,0,86,0,0,0
2020-04-12,32,0,0,0,0,0,0,0,0,0,0
2020-04-13,56,30,0,0,0,0,42,0,0,0,0
2020-04-14,38,47,26,0,0,0,66,0,0,0,0
2020-04-15,44,23,0,0,0,0,0,0,0,0,22
2020-04-16,39,24,54,20,0,0,34,0,0,0,45
2020-04-17,66,74,55,21,0,0,0,0,0,0,0
2020-04-18,43,0,0,0,0,0,0,0,0,0,0
2020-04-19,33,31,0,0,0,0,0,0,0,0,29
2020-04-20,33,0,84,0,0,0,35,0,0,0,0
2020-04-21,34,25,29,0,0,0,72,0,0,0,0
2020-04-22,21,26,0,0,0,0,37,0,0,0,0
2020-04-23,27,0,29,0,0,0,0,0,0,0,0
2020-04-24,28,0,0,0,0,0,74,0,0,0,0
2020-04-25,45,67,0,0,0,0,0,0,0,0,0
2020-04-26,42,31,0,0,0,0,0,0,0,0,0
2020-04-27,61,0,28,0,0,0,35,0,0,0,24
2020-04-28,13,0,0,0,0,0,71,0,0,0,0
2020-04-29,34,0,0,0,0,0,0,0,0,0,0
2020-04-30,14,0,0,0,0,0,0,0,0,0,25
2020-05-01,37,0,0,0,0,0,0,0,0,0,0
2020-05-02,34,0,36,0,0,0,0,81,0,0,30
2020-05-03,9,0,0,0,0,0,48,0,0,0,0
2020-05-04,44,33,37,0,0,0,0,0,0,0,0
2020-05-05,32,24,27,20,75,0,0,0,0,0,23
2020-05-06,27,0,0,0,0,0,0,0,0,0,24
2020-05-07,27,100,0,0,0,0,35,0,0,0,0
2020-05-08,43,27,61,69,0,0,0,0,0,0,0
2020-05-09,19,0,0,0,0,0,0,0,0,0,0
2020-05-10,29,0,0,31,0,0,0,0,0,0,0
2020-05-11,19,0,0,0,0,0,0,0,0,0,0
2020-05-12,39,24,0,21,0,0,0,0,85,0,0
2020-05-13,46,0,0,0,0,0,0,0,0,0,23
2020-05-14,20,0,28,0,0,0,0,0,0,0,0
2020-05-15,14,0,30,0,0,0,37,0,0,0,0
2020-05-16,8,0,0,0,0,0,0,0,0,0,0
2020-05-17,33,30,0,0,0,0,0,0,0,0,0
2020-05-18,20,0,0,0,0,0,35,0,0,0,0
2020-05-19,0,0,0,0,0,0,35,0,0,0,0
2020-05-20,14,0,29,0,0,0,36,0,0,0,0
2020-05-21,27,26,0,0,0,0,0,0,0,0,0
2020-05-22,15,0,0,24,0,0,0,0,0,0,53
2020-05-23,11,0,0,34,0,0,0,0,0,0,0
2020-05-24,18,33,0,0,0,0,0,0,0,0,31
2020-05-25,14,0,0,22,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,48,0,0
2020-05-27,16,0,0,0,0,0,0,0,0,0,0
2020-05-28,15,28,0,24,0,0,0,0,0,0,26
2020-05-29,8,0,0,0,0,0,0,0,0,0,0
2020-05-30,41,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,36,0,0,0,0,0,0,0,0,34
2020-06-01,7,0,0,0,0,0,0,0,0,0,0
2020-06-02,38,0,32,0,0,0,0,0,0,0,0
2020-06-03,0,26,0,22,0,0,0,0,0,0,0
2020-06-04,7,0,0,71,0,0,0,0,0,0,0
2020-06-05,15,29,0,0,0,0,40,0,0,0,0
2020-06-06,18,0,0,0,0,0,48,0,0,0,0
2020-06-07,9,0,37,0,0,0,0,0,0,0,31
2020-06-08,20,0,56,0,0,0,0,0,0,0,24
2020-06-09,26,0,0,0,0,0,34,0,43,0,0
2020-06-10,21,27,0,0,0,0,0,0,0,0,0
2020-06-11,28,26,0,0,0,0,0,0,0,0,0
2020-06-12,8,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,48,0,0,0,0
2020-06-14,18,33,0,0,0,0,0,0,0,0,0
2020-06-15,0,26,29,0,0,0,0,0,92,0,0
2020-06-16,15,0,0,0,0,0,39,0,0,0,0
2020-06-17,24,0,0,0,0,0,0,0,0,0,28
2020-06-18,16,0,34,0,95,0,0,0,0,0,0
2020-06-19,8,0,0,0,0,0,0,0,0,0,0
2020-06-20,10,0,42,0,0,0,0,0,0,0,0
2020-06-21,10,0,0,0,0,0,0,0,0,0,0
2020-06-22,20,0,0,0,0,0,0,0,0,0,35
2020-06-23,36,45,0,0,0,0,0,0,0,0,0
2020-06-24,11,0,0,0,0,0,0,0,0,0,0
2020-06-25,8,0,0,0,0,0,0,0,0,0,0
2020-06-26,16,0,0,0,0,0,0,0,0,0,0
2020-06-27,40,74,0,0,0,0,0,0,0,0,0
2020-06-28,27,0,0,0,0,0,0,0,0,0,0
2020-06-29,22,27,0,23,0,0,38,0,0,0,0
2020-06-30,7,0,0,0,0,0,0,0,47,0,0
2020-07-01,29,0,0,0,0,0,0,0,0,0,0
2020-07-02,7,0,0,0,0,0,0,0,0,0,0
2020-07-03,16,0,0,0,0,0,0,0,0,0,56
2020-07-04,9,0,0,0,0,0,0,0,0,0,0
2020-07-05,9,32,36,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,8,0,63,0,0,0,0,0,0,0,26
2020-07-08,15,0,0,0,0,0,40,0,0,0,0
2020-07-09,16,29,0,0,0,0,0,0,0,0,0
2020-07-10,23,28,32,0,0,0,0,0,0,0,0
2020-07-11,48,0,80,0,0,0,0,0,0,0,0
2020-07-12,10,0,0,0,0,0,0,0,0,0,0
2020-07-13,16,0,0,0,0,0,0,0,0,0,0
2020-07-14,8,0,0,0,0,0,0,0,0,0,56
2020-07-15,16,0,0,25,0,0,0,0,0,0,28
2020-07-16,16,0,0,0,0,0,0,0,0,0,28
2020-07-17,17,32,0,27,100,0,0,0,0,0,30
2020-07-18,11,40,0,0,0,0,0,0,0,0,0
2020-07-19,21,0,43,0,0,0,0,0,0,0,0
2020-07-20,23,29,33,0,0,0,41,0,0,0,0
2020-07-21,7,0,0,0,0,0,0,0,0,0,0
2020-07-22,15,0,0,0,0,0,0,0,0,0,0
2020-07-23,23,0,0,0,0,0,40,0,0,0,27
2020-07-24,16,90,34,0,0,0,84,0,0,0,0
2020-07-25,20,0,0,0,0,0,0,0,0,0,36
2020-07-26,20,0,0,0,0,0,0,0,0,0,35
2020-07-27,23,0,0,0,0,0,41,0,0,0,0
2020-07-28,46,0,0,0,0,0,0,0,0,0,0
2020-07-29,15,0,0,0,0,0,0,0,0,0,0
2020-07-30,15,0,31,0,0,0,0,0,0,0,26
2020-07-31,16,0,0,0,0,0,0,0,0,0,0
2020-08-01,31,0,0,0,0,0,0,0,0,0,36
2020-08-02,10,0,41,0,0,0,0,0,0,0,0
2020-08-03,15,0,32,24,0,0,40,0,100,0,0
2020-08-04,14,0,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,16,0,100,0,93,0,0,0,52,0,28
2020-08-07,17,0,35,0,0,0,0,0,0,0,29
2020-08-08,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,31,0,0,0,0,0,0,34
2020-08-10,30,0,64,0,0,0,40,0,0,0,0
2020-08-11,16,0,0,0,0,0,0,0,0,0,27
2020-08-12,31,0,0,0,0,0,0,0,0,0,0
2020-08-13,23,0,32,0,0,0,0,0,0,0,0
2020-08-14,17,0,71,0,0,0,0,0,0,0,0
2020-08-15,30,0,0,0,0,0,0,0,0,0,35
2020-08-16,20,0,42,0,0,0,0,0,0,0,36
2020-08-17,8,29,0,0,0,0,0,0,0,0,55
2020-08-18,31,0,0,25,0,0,0,0,0,0,0
2020-08-19,47,0,0,0,92,100,0,0,0,0,0
2020-08-20,16,0,0,26,0,0,0,0,0,0,0
2020-08-21,24,0,100,0,0,0,0,0,0,0,0
2020-08-22,10,0,81,31,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,7,0,31,0,0,0,0,0,0,0,0
2020-08-25,22,0,31,0,0,0,0,0,0,0,0
2020-08-26,16,0,0,0,0,0,0,0,0,0,0
2020-08-27,46,0,32,0,0,0,0,0,0,0,0
2020-08-28,16,0,34,0,0,0,0,0,0,0,0
2020-08-29,27,0,76,0,0,0,0,0,0,0,0
2020-08-30,19,0,0,30,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,40,0,34,0,0,0,0,0,0,0,28
2020-09-02,22,0,0,0,0,0,0,0,0,0,26
2020-09-03,15,0,62,24,0,0,0,0,0,0,0
2020-09-04,24,0,34,0,0,0,0,0,0,0,0
2020-09-05,0,0,0,30,0,0,49,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,0,0,0,23,0,92,38,0,0,0,26
2020-09-08,0,0,0,0,0,0,0,0,0,0,0
2020-09-09,0,0,32,0,0,0,0,0,0,0,0
2020-09-10,7,0,0,0,0,0,0,0,0,0,0
2020-09-11,24,30,0,0,0,0,0,0,0,0,0
2020-09-12,20,0,0,0,0,0,0,0,0,0,35
2020-09-13,9,0,0,0,0,0,0,0,0,0,0
2020-09-14,7,0,30,0,0,0,0,0,0,0,25
2020-09-15,0,0,0,0,0,0,39,0,0,0,52
2020-09-16,0,0,32,0,0,0,0,0,0,0,0
2020-09-17,36,27,0,0,0,0,0,0,0,0,0
2020-09-18,8,30,67,0,0,0,0,0,0,0,0
2020-09-19,20,0,0,0,0,0,0,0,0,0,36
2020-09-20,0,0,40,0,0,0,0,0,0,0,34
2020-09-21,15,27,31,0,0,0,0,0,0,0,0
2020-09-22,7,28,62,0,0,0,0,0,0,0,26
2020-09-23,15,0,0,0,0,0,0,0,0,0,0
2020-09-24,23,0,64,0,0,0,0,73,0,0,0
2020-09-25,16,0,68,0,0,0,0,0,0,0,0
2020-09-26,20,0,0,0,0,0,51,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,29,0,0,0,0,0,0,0,0,0,0
2020-09-29,0,0,31,24,0,0,0,0,0,0,0
2020-09-30,30,0,0,0,0,0,39,0,0,0,0
2020-10-01,15,0,64,24,0,0,0,0,0,0,0
2020-10-02,40,0,0,0,0,0,0,0,0,0,0
2020-10-03,29,36,0,0,0,0,0,0,0,0,0
2020-10-04,18,34,0,57,0,0,0,0,0,0,32
2020-10-05,15,28,31,0,86,0,0,0,0,0,0
2020-10-06,0,0,0,23,0,0,0,0,0,0,0
2020-10-07,15,0,0,48,0,0,0,72,49,0,27
2020-10-08,15,28,63,24,0,0,0,0,0,0,27
2020-10-09,16,0,34,0,0,0,43,0,0,0,0
2020-10-10,10,0,0,0,0,0,0,0,0,0,0
2020-10-11,9,0,0,0,0,0,0,0,0,0,0
2020-10-12,16,0,0,0,0,0,0,0,0,0,0
2020-10-13,15,0,64,49,0,0,0,0,0,0,0
2020-10-14,38,28,96,97,0,0,0,0,50,0,0
2020-10-15,8,0,0,25,0,0,0,0,0,0,0
2020-10-16,0,0,0,27,0,0,0,0,0,0,0
2020-10-17,0,0,0,100,0,0,0,100,0,0,37
2020-10-18,19,35,78,0,0,0,0,0,0,0,66
2020-10-19,16,0,0,25,0,0,0,0,0,0,27
2020-10-20,0,0,68,52,96,0,0,0,0,0,0
2020-10-21,0,0,68,26,0,0,42,0,0,0,0
2020-10-22,8,0,0,0,0,0,0,0,0,0,0
2020-10-23,16,0,0,52,0,0,0,78,0,0,57
2020-10-24,10,36,0,0,0,0,0,92,0,0,0
2020-10-25,9,0,0,29,0,0,0,0,0,0,64
2020-10-26,14,0,0,0,0,0,0,0,0,0,0
2020-10-27,22,0,31,23,0,0,39,0,0,0,26
2020-10-28,23,0,0,24,0,0,79,0,0,0,0
2020-10-29,0,0,31,24,0,0,0,0,0,0,0
2020-10-30,8,0,33,0,0,0,41,0,0,0,0
2020-10-31,19,0,0,31,0,0,0,0,0,0,0
2020-11-01,19,0,0,0,0,0,49,0,0,0,0
2020-11-02,14,0,0,0,0,0,38,0,0,0,0
2020-11-03,15,0,31,48,0,0,39,71,0,0,0
2020-11-04,21,0,0,23,0,0,37,0,0,0,0
2020-11-05,14,0,30,0,0,0,74,68,0,0,0
2020-11-06,23,0,0,24,0,0,0,0,0,0,0
2020-11-07,36,0,38,0,0,0,0,0,0,0,0
2020-11-08,27,0,0,29,0,0,0,0,0,0,0
2020-11-09,22,0,30,0,0,0,0,69,0,0,51
2020-11-10,15,0,31,0,0,0,0,71,0,0,0
2020-11-11,7,0,0,24,0,0,0,0,0,0,0
2020-11-12,23,0,0,0,90,0,40,0,0,0,0
2020-11-13,8,0,0,25,0,0,0,0,0,0,83
2020-11-14,29,0,0,0,0,0,0,0,0,0,67
2020-11-15,18,0,0,30,0,0,0,0,0,0,33
2020-11-16,29,0,0,0,0,0,0,0,0,0,77
2020-11-17,8,0,0,0,0,0,0,0,0,0,80
2020-11-18,35,0,37,0,0,0,46,0,0,0,61
2020-11-19,7,0,92,47,0,0,39,0,0,0,26
2020-11-20,0,0,0,24,0,0,0,0,0,0,0
2020-11-21,0,0,40,0,0,0,100,0,0,0,33
2020-11-22,9,0,0,0,0,0,0,0,0,0,0
2020-11-23,15,0,31,0,0,0,0,71,0,0,26
2020-11-24,7,26,0,0,0,0,0,0,0,0,100
2020-11-25,0,0,0,0,0,0,0,0,0,0,0
2020-11-26,15,0,31,23,0,0,0,0,0,0,0
2020-11-27,8,0,32,0,0,96,0,0,0,0,0
2020-11-28,18,0,39,0,0,0,0,0,0,0,33
2020-11-29,9,0,0,29,0,0,48,0,0,0,64
2020-11-30,14,27,0,0,0,0,0,0,0,0,25
