date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,69,0,19,42,0,0,0,0,0,6
2020-04-02,100,80,24,0,0,0,15,24,0,0,6
2020-04-03,78,83,0,21,0,0,0,0,0,50,6
2020-04-04,78,66,54,22,49,0,17,26,0,0,13
2020-04-05,67,51,0,43,0,0,17,26,0,0,7
2020-04-06,80,58,47,38,0,0,29,23,0,0,6
2020-04-07,91,41,0,0,0,0,47,73,0,0,0
2020-04-08,61,47,49,20,0,0,30,24,0,0,0
2020-04-09,80,61,75,20,0,0,16,24,82,99,6
2020-04-10,68,41,0,0,0,0,16,0,82,0,12
2020-04-11,82,36,27,22,0,0,50,0,0,0,0
2020-04-12,59,67,82,0,0,0,0,26,0,0,0
2020-04-13,81,59,27,66,0,0,0,0,45,54,7
2020-04-14,75,50,52,0,0,0,65,0,0,0,32
2020-04-15,80,35,0,21,0,0,32,0,43,0,13
2020-04-16,85,70,0,42,47,0,0,100,0,0,6
2020-04-17,52,64,0,0,0,0,0,25,43,0,0
2020-04-18,55,47,29,0,0,0,71,28,0,0,0
2020-04-19,64,31,0,0,0,0,53,0,0,56,7
2020-04-20,65,23,0,45,0,0,17,0,0,0,0
2020-04-21,86,100,26,21,0,0,16,0,0,0,0
2020-04-22,50,22,27,0,0,0,67,0,0,0,20
2020-04-23,38,27,25,41,0,0,0,0,0,0,18
2020-04-24,51,14,26,0,0,0,65,0,0,52,26
2020-04-25,50,23,28,0,0,0,0,0,0,0,0
2020-04-26,47,8,28,23,0,0,70,0,0,0,0
2020-04-27,42,22,0,22,0,0,0,0,0,0,0
2020-04-28,50,31,28,0,0,0,35,27,0,0,0
2020-04-29,34,0,0,0,0,0,0,0,43,52,13
2020-04-30,34,29,0,21,48,0,0,0,0,52,13
2020-05-01,37,50,0,0,0,0,38,0,0,0,7
2020-05-02,53,82,0,0,0,0,19,0,0,0,0
2020-05-03,61,33,0,25,0,0,19,0,100,0,7
2020-05-04,33,30,27,22,0,0,17,0,45,0,7
2020-05-05,38,41,0,0,0,0,16,24,41,0,0
2020-05-06,49,0,25,0,0,0,63,0,0,0,6
2020-05-07,39,30,0,0,0,0,17,0,45,54,13
2020-05-08,41,29,80,22,0,0,0,0,0,53,0
2020-05-09,41,31,0,0,0,0,18,0,0,0,7
2020-05-10,49,50,91,25,0,0,0,0,0,0,7
2020-05-11,75,65,53,43,0,0,0,0,0,52,0
2020-05-12,47,22,27,22,48,0,17,0,0,0,0
2020-05-13,49,15,0,0,0,0,17,0,0,55,7
2020-05-14,35,15,0,0,0,0,17,0,0,0,13
2020-05-15,40,7,0,22,0,0,68,0,0,0,0
2020-05-16,36,16,30,0,0,0,37,0,0,0,7
2020-05-17,52,24,0,24,0,0,37,0,48,0,14
2020-05-18,59,52,27,0,49,0,50,0,44,0,20
2020-05-19,31,22,0,22,0,0,0,0,0,0,20
2020-05-20,26,22,0,0,0,0,17,0,45,0,7
2020-05-21,63,45,55,23,51,0,35,0,0,55,14
2020-05-22,38,38,28,23,0,0,17,0,0,0,14
2020-05-23,38,32,29,0,0,0,0,0,0,0,0
2020-05-24,55,16,0,24,0,0,0,0,0,0,15
2020-05-25,40,24,0,24,0,0,0,57,97,58,0
2020-05-26,49,24,0,47,0,0,18,56,0,57,7
2020-05-27,28,7,0,21,0,0,16,0,0,0,0
2020-05-28,32,7,0,21,0,0,0,0,0,0,0
2020-05-29,31,8,0,0,0,0,17,0,0,0,0
2020-05-30,26,56,0,24,53,0,18,0,0,0,0
2020-05-31,37,0,0,25,0,0,77,0,0,61,8
2020-06-01,17,7,0,22,0,0,17,0,0,0,7
2020-06-02,23,14,26,21,0,0,0,0,0,51,13
2020-06-03,15,7,0,42,0,0,0,25,0,0,0
2020-06-04,31,14,0,84,0,0,0,0,0,0,6
2020-06-05,26,0,0,0,50,0,34,0,0,54,0
2020-06-06,20,8,0,0,0,100,0,0,0,0,7
2020-06-07,28,17,0,78,0,0,20,0,0,0,0
2020-06-08,19,0,26,0,0,0,16,25,43,0,19
2020-06-09,18,7,0,41,0,0,0,0,0,0,0
2020-06-10,11,0,0,0,0,0,17,0,0,0,0
2020-06-11,33,7,27,44,0,0,0,0,0,0,0
2020-06-12,11,0,0,0,0,0,17,0,0,55,0
2020-06-13,22,16,0,24,0,0,0,0,0,0,0
2020-06-14,24,25,0,0,0,0,0,0,50,0,0
2020-06-15,26,7,27,44,0,0,34,26,0,0,7
2020-06-16,20,0,0,0,0,0,0,0,0,0,7
2020-06-17,14,31,0,23,0,0,0,0,0,56,0
2020-06-18,24,7,27,44,0,0,17,0,0,0,13
2020-06-19,17,15,0,0,0,0,0,0,45,0,0
2020-06-20,10,8,0,50,0,0,0,0,0,0,0
2020-06-21,31,9,32,26,0,0,0,31,0,0,8
2020-06-22,27,15,0,0,0,0,0,0,0,0,7
2020-06-23,12,16,29,0,0,0,36,0,0,57,14
2020-06-24,21,47,28,23,0,0,0,0,47,0,0
2020-06-25,14,23,0,0,0,0,18,0,0,0,0
2020-06-26,28,16,29,0,0,0,0,0,0,58,0
2020-06-27,24,9,0,27,0,0,0,0,0,0,0
2020-06-28,22,8,0,0,0,0,0,0,0,0,15
2020-06-29,10,8,30,0,0,0,0,0,0,0,7
2020-06-30,14,15,0,0,0,0,35,0,0,0,0
2020-07-01,19,8,30,0,0,0,19,0,0,0,15
2020-07-02,19,16,29,24,0,0,0,0,0,0,7
2020-07-03,2,8,0,0,0,0,19,0,0,0,8
2020-07-04,32,9,0,0,0,0,0,0,0,0,16
2020-07-05,13,9,0,0,0,0,0,0,0,0,0
2020-07-06,9,8,0,0,0,0,18,0,0,0,14
2020-07-07,19,16,0,0,0,0,19,0,0,0,7
2020-07-08,14,8,0,0,0,0,18,0,0,0,7
2020-07-09,29,25,0,25,0,0,0,0,0,0,15
2020-07-10,27,8,30,0,0,0,19,0,0,0,0
2020-07-11,41,0,0,0,0,0,0,0,0,0,0
2020-07-12,52,9,34,0,0,0,0,0,0,67,17
2020-07-13,31,16,0,24,0,0,18,0,0,0,7
2020-07-14,12,0,0,0,0,0,0,0,0,0,0
2020-07-15,19,8,0,24,55,0,0,0,0,0,22
2020-07-16,22,8,30,74,55,0,0,0,50,0,15
2020-07-17,42,8,0,0,0,0,0,0,0,0,15
2020-07-18,16,0,34,27,0,0,0,0,0,0,0
2020-07-19,35,27,0,0,0,0,0,0,0,0,8
2020-07-20,42,16,0,48,0,0,18,0,0,0,14
2020-07-21,33,32,0,24,0,0,0,0,0,57,7
2020-07-22,28,8,87,0,0,0,0,0,0,57,14
2020-07-23,54,24,29,0,0,0,0,0,48,0,14
2020-07-24,51,25,60,0,0,0,37,0,0,0,15
2020-07-25,56,9,0,27,0,0,41,0,0,0,0
2020-07-26,40,9,65,0,0,0,20,32,0,0,0
2020-07-27,34,16,0,24,0,0,0,0,49,59,15
2020-07-28,27,34,0,0,0,0,19,30,0,0,8
2020-07-29,28,25,0,51,0,0,19,30,0,0,0
2020-07-30,29,16,0,24,0,0,19,0,0,59,7
2020-07-31,43,36,100,54,61,0,0,0,55,0,16
2020-08-01,32,18,0,0,0,0,0,0,0,0,0
2020-08-02,33,17,0,0,0,0,20,0,0,0,0
2020-08-03,35,16,0,0,0,0,18,0,0,0,21
2020-08-04,21,0,0,24,0,0,18,0,0,0,14
2020-08-05,24,18,0,0,0,0,0,0,0,0,0
2020-08-06,15,0,0,26,0,0,20,0,0,0,8
2020-08-07,30,8,0,0,0,0,0,0,0,0,8
2020-08-08,3,0,33,0,0,0,0,32,0,0,16
2020-08-09,16,9,0,53,0,0,0,0,54,0,8
2020-08-10,26,16,0,0,0,0,0,58,0,0,0
2020-08-11,19,25,30,0,0,0,0,0,0,0,95
2020-08-12,17,16,30,48,0,0,0,29,0,0,14
2020-08-13,28,8,29,0,0,0,0,0,0,0,22
2020-08-14,23,0,0,71,0,0,0,0,0,0,21
2020-08-15,25,0,0,0,0,0,0,0,0,0,23
2020-08-16,33,9,63,26,0,0,0,0,52,0,8
2020-08-17,29,8,28,0,0,0,0,0,0,54,7
2020-08-18,29,15,28,0,0,0,69,0,0,55,7
2020-08-19,31,7,0,45,50,0,85,0,45,0,7
2020-08-20,36,8,0,72,0,0,0,0,0,0,7
2020-08-21,34,8,0,23,0,0,53,55,0,0,21
2020-08-22,10,0,30,0,0,0,19,0,0,0,0
2020-08-23,20,34,0,0,0,0,39,0,0,0,8
2020-08-24,29,15,0,67,0,0,17,0,0,0,13
2020-08-25,29,0,0,45,0,0,0,27,46,0,7
2020-08-26,25,23,0,23,0,0,53,0,0,0,7
2020-08-27,18,8,0,45,0,0,17,0,0,0,13
2020-08-28,24,0,0,0,0,0,0,0,0,0,21
2020-08-29,12,17,0,50,0,0,19,0,0,0,15
2020-08-30,12,17,0,25,0,0,19,0,50,0,7
2020-08-31,22,0,27,45,0,0,0,27,0,0,7
2020-09-01,9,7,0,45,0,0,0,0,0,0,13
2020-09-02,24,0,0,0,0,0,0,0,0,0,0
2020-09-03,18,23,28,0,0,0,0,27,0,0,7
2020-09-04,21,8,29,0,0,0,0,0,0,0,7
2020-09-05,20,17,0,50,0,0,0,0,0,0,15
2020-09-06,32,0,0,25,0,0,19,0,0,0,22
2020-09-07,15,0,27,22,50,0,0,0,0,0,13
2020-09-08,20,15,27,22,0,0,51,0,0,0,13
2020-09-09,26,7,0,22,50,0,0,53,0,0,13
2020-09-10,27,0,0,0,0,0,17,27,0,0,14
2020-09-11,9,23,0,23,0,0,0,0,0,56,21
2020-09-12,15,8,0,50,0,0,0,0,0,0,7
2020-09-13,20,17,31,0,0,0,0,0,0,62,15
2020-09-14,13,0,0,0,49,0,0,0,0,0,7
2020-09-15,6,0,0,65,0,0,0,0,44,0,6
2020-09-16,26,0,0,66,0,0,0,0,0,0,13
2020-09-17,18,7,0,0,0,0,0,0,0,54,0
2020-09-18,9,8,0,0,0,0,0,0,0,0,21
2020-09-19,29,8,30,0,0,0,0,0,0,0,22
2020-09-20,40,16,29,24,0,0,0,0,0,0,7
2020-09-21,32,43,0,0,0,0,0,0,0,0,13
2020-09-22,38,0,26,22,0,0,0,26,0,0,6
2020-09-23,30,36,0,0,0,0,16,0,43,0,26
2020-09-24,17,7,0,22,49,0,0,26,0,0,0
2020-09-25,21,15,0,0,0,0,0,0,0,0,0
2020-09-26,20,0,31,0,0,0,0,0,0,0,0
2020-09-27,24,16,90,25,0,0,0,0,0,60,0
2020-09-28,27,14,0,43,0,0,16,25,0,0,19
2020-09-29,24,7,0,22,0,0,0,0,0,0,13
2020-09-30,26,0,0,0,0,0,0,0,0,0,6
2020-10-01,13,0,0,64,0,0,0,0,0,0,6
2020-10-02,31,15,28,45,0,0,34,0,0,0,0
2020-10-03,39,16,30,73,0,0,37,0,0,0,7
2020-10-04,24,8,30,0,0,0,0,29,0,0,22
2020-10-05,33,7,0,0,0,0,16,0,0,0,13
2020-10-06,21,14,0,0,0,0,0,25,0,0,0
2020-10-07,21,14,0,21,0,0,16,0,0,0,0
2020-10-08,24,7,0,44,0,0,0,26,0,0,7
2020-10-09,36,23,0,69,0,0,0,0,0,0,28
2020-10-10,12,8,31,100,0,0,0,60,0,0,15
2020-10-11,19,8,0,24,0,0,37,0,0,0,15
2020-10-12,26,0,0,22,0,0,0,0,0,0,13
2020-10-13,19,7,27,0,48,0,33,0,0,0,6
2020-10-14,21,7,27,0,0,0,17,0,0,0,19
2020-10-15,17,15,0,0,0,0,17,26,0,0,7
2020-10-16,28,16,28,0,0,0,18,0,0,0,7
2020-10-17,22,8,0,49,0,0,0,0,0,0,15
2020-10-18,23,0,0,25,0,0,19,0,0,0,8
2020-10-19,26,15,0,0,0,0,0,0,0,0,13
2020-10-20,21,7,0,0,0,0,17,0,0,0,6
2020-10-21,19,14,0,0,0,0,16,0,0,0,13
2020-10-22,9,15,27,0,0,0,0,53,0,0,7
2020-10-23,29,0,55,45,0,0,0,0,0,0,7
2020-10-24,22,8,28,0,0,0,0,0,0,0,20
2020-10-25,36,16,30,0,54,0,0,0,0,0,0
2020-10-26,32,22,0,22,0,0,0,0,0,0,46
2020-10-27,21,21,0,42,0,0,32,0,0,0,6
2020-10-28,29,0,0,0,0,0,16,0,0,0,0
2020-10-29,20,15,0,22,50,0,34,27,0,0,27
2020-10-30,20,7,27,22,0,0,17,0,0,0,0
2020-10-31,25,0,57,23,52,0,0,0,0,0,7
2020-11-01,19,0,29,24,0,0,18,56,0,57,7
2020-11-02,23,0,0,0,0,0,0,0,0,0,13
2020-11-03,22,7,0,0,0,0,0,0,0,0,6
2020-11-04,16,6,22,18,0,0,27,21,0,0,0
2020-11-05,9,0,0,0,0,0,29,0,0,0,17
2020-11-06,26,14,0,0,0,0,0,0,0,0,0
2020-11-07,20,22,0,0,0,0,17,26,0,0,26
2020-11-08,25,15,0,46,51,0,35,0,0,0,14
2020-11-09,19,7,26,21,0,0,48,0,0,0,100
2020-11-10,6,0,0,0,0,0,16,0,0,0,12
2020-11-11,27,0,0,0,0,0,15,0,0,0,18
2020-11-12,15,0,0,0,0,0,49,0,0,0,32
2020-11-13,25,8,0,0,0,0,69,0,0,0,20
2020-11-14,4,0,0,22,0,0,100,0,0,0,7
2020-11-15,12,7,0,0,46,0,16,0,0,100,12
2020-11-16,16,20,0,0,0,0,30,23,0,0,35
2020-11-17,12,7,0,0,0,0,46,0,0,0,6
2020-11-18,18,7,0,0,0,0,31,0,0,0,30
2020-11-19,12,0,24,20,0,0,15,0,0,0,6
2020-11-20,10,0,0,0,0,0,15,0,41,0,12
2020-11-21,19,0,0,0,0,0,16,0,0,0,6
2020-11-22,4,0,0,44,0,0,34,26,0,0,26
2020-11-23,20,7,0,0,100,0,0,0,0,0,13
2020-11-24,6,0,0,0,0,0,60,23,40,0,18
2020-11-25,15,6,0,38,0,0,29,23,0,0,11
2020-11-26,17,0,23,19,0,0,29,0,0,0,0
2020-11-27,14,0,25,0,0,0,31,24,0,0,12
2020-11-28,18,7,0,0,50,0,17,0,0,0,0
2020-11-29,15,0,27,0,0,0,34,0,0,0,13
2020-11-30,4,0,0,20,45,0,15,0,0,0,6
