date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,52,0,18,0,0,23,37,60,77,0
2020-04-02,57,59,33,18,0,94,0,0,0,0,28
2020-04-03,68,28,0,0,0,0,0,40,0,0,30
2020-04-04,72,67,0,23,0,0,29,48,0,0,36
2020-04-05,76,100,21,0,0,0,0,0,0,0,0
2020-04-06,67,41,0,36,0,0,0,0,0,0,0
2020-04-07,65,35,0,19,0,0,0,40,0,0,0
2020-04-08,61,21,0,38,0,0,0,0,0,83,0
2020-04-09,54,35,0,19,0,0,0,0,0,0,30
2020-04-10,56,45,0,100,0,0,0,0,0,88,65
2020-04-11,45,28,0,25,0,0,64,0,0,0,0
2020-04-12,73,18,0,0,0,0,61,100,0,0,0
2020-04-13,67,39,0,21,0,0,0,0,0,0,0
2020-04-14,53,32,0,53,0,0,22,0,0,0,0
2020-04-15,44,26,16,54,0,0,0,73,59,0,0
2020-04-16,43,39,0,0,0,0,23,0,0,77,0
2020-04-17,55,43,0,0,0,0,0,0,0,0,0
2020-04-18,59,43,0,24,0,0,0,0,0,0,0
2020-04-19,40,41,0,22,0,0,0,0,0,0,0
2020-04-20,37,27,0,0,0,0,0,0,0,0,29
2020-04-21,28,28,17,19,0,0,0,39,0,0,30
2020-04-22,34,41,0,0,0,0,0,79,0,81,0
2020-04-23,28,7,18,0,0,0,0,0,0,0,0
2020-04-24,35,45,0,20,0,0,0,0,0,0,0
2020-04-25,28,29,24,0,0,0,100,0,0,0,0
2020-04-26,41,8,0,0,0,0,0,0,0,0,0
2020-04-27,34,14,0,0,0,0,24,0,0,0,0
2020-04-28,24,14,18,19,0,0,0,40,0,0,61
2020-04-29,41,14,0,19,0,0,0,0,0,0,0
2020-04-30,34,22,0,19,0,0,0,0,0,0,0
2020-05-01,22,0,0,0,0,0,34,0,0,0,0
2020-05-02,21,18,0,0,0,0,0,0,0,0,0
2020-05-03,37,27,23,0,0,0,0,52,0,0,0
2020-05-04,20,14,18,0,0,100,73,0,0,0,30
2020-05-05,19,20,0,0,0,0,0,0,0,0,58
2020-05-06,29,33,0,18,0,0,0,0,0,0,58
2020-05-07,23,7,18,0,0,0,25,0,67,0,0
2020-05-08,11,24,0,22,0,0,27,0,0,0,0
2020-05-09,24,11,0,0,100,0,37,0,0,0,0
2020-05-10,29,10,0,0,0,0,0,0,0,0,0
2020-05-11,27,13,17,0,0,0,0,0,0,0,0
2020-05-12,14,7,0,0,0,0,0,39,0,79,0
2020-05-13,12,33,0,19,0,0,46,0,0,0,0
2020-05-14,6,7,0,0,0,0,0,0,0,0,0
2020-05-15,9,0,0,0,0,0,0,0,0,0,0
2020-05-16,11,0,0,0,0,0,0,0,0,0,0
2020-05-17,22,25,0,23,0,0,0,0,0,0,0
2020-05-18,20,21,0,19,0,0,0,0,0,0,0
2020-05-19,20,7,0,0,0,0,0,0,0,0,0
2020-05-20,22,0,0,0,0,0,0,0,65,0,31
2020-05-21,11,0,0,20,0,0,0,42,0,0,0
2020-05-22,16,8,0,22,0,0,0,0,0,0,0
2020-05-23,25,11,0,0,0,0,0,0,0,0,0
2020-05-24,10,9,0,0,0,0,30,0,0,100,0
2020-05-25,6,0,0,0,0,0,0,0,0,0,0
2020-05-26,15,7,0,0,0,0,0,0,0,0,0
2020-05-27,15,22,0,0,0,0,0,0,0,0,32
2020-05-28,13,7,0,0,0,0,0,0,0,0,0
2020-05-29,15,8,0,21,0,0,27,0,0,0,0
2020-05-30,11,10,0,26,0,0,0,0,0,0,0
2020-05-31,13,0,0,0,0,0,0,0,0,0,0
2020-06-01,10,0,17,0,0,0,24,0,0,0,0
2020-06-02,2,7,0,0,0,0,25,0,0,0,0
2020-06-03,12,7,0,0,0,0,24,0,0,0,0
2020-06-04,8,7,0,0,0,0,0,0,0,0,0
2020-06-05,24,23,0,21,0,0,0,0,0,0,0
2020-06-06,9,10,0,0,0,0,35,0,0,0,0
2020-06-07,11,0,0,25,0,0,0,0,0,0,0
2020-06-08,15,0,0,0,0,0,0,0,0,0,0
2020-06-09,8,0,0,0,0,0,0,0,0,0,0
2020-06-10,16,7,0,19,0,0,25,0,0,0,0
2020-06-11,9,0,0,0,0,0,0,0,0,0,0
2020-06-12,12,16,0,0,0,0,0,0,0,0,0
2020-06-13,20,31,0,0,0,0,0,0,0,0,44
2020-06-14,15,0,0,24,0,0,0,0,0,0,0
2020-06-15,23,14,0,0,0,0,0,0,0,0,0
2020-06-16,13,8,19,20,0,0,0,0,0,0,0
2020-06-17,14,8,20,0,0,0,27,0,0,0,0
2020-06-18,23,8,0,0,0,0,27,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,9,21,0,0,0,0,36,0,0,0,44
2020-06-21,8,0,0,0,93,0,0,0,0,0,0
2020-06-22,11,0,0,0,0,0,0,0,0,0,33
2020-06-23,26,16,0,0,0,0,0,0,0,0,35
2020-06-24,9,0,0,0,0,0,0,0,0,0,0
2020-06-25,14,0,0,0,0,0,0,0,0,0,35
2020-06-26,10,0,44,0,0,0,30,0,0,0,0
2020-06-27,12,0,26,0,0,0,0,0,0,0,0
2020-06-28,14,9,0,0,0,0,33,0,0,0,0
2020-06-29,8,7,0,0,0,0,26,0,0,0,0
2020-06-30,15,0,18,0,0,0,0,0,0,0,0
2020-07-01,13,0,0,0,0,0,0,0,0,0,0
2020-07-02,18,8,0,21,0,0,0,0,0,0,0
2020-07-03,12,8,0,23,79,0,0,0,0,0,0
2020-07-04,13,0,0,0,0,0,0,0,0,0,0
2020-07-05,14,20,0,0,0,0,0,0,0,0,0
2020-07-06,16,0,23,0,0,0,32,0,0,0,0
2020-07-07,17,0,0,0,0,0,0,0,0,0,0
2020-07-08,4,0,19,0,0,0,0,0,0,0,0
2020-07-09,10,17,0,0,0,0,0,47,0,0,0
2020-07-10,12,0,0,23,0,0,0,0,0,0,35
2020-07-11,6,0,0,29,0,0,0,0,0,0,45
2020-07-12,35,0,25,0,0,0,35,0,0,0,0
2020-07-13,19,16,0,0,0,0,0,0,0,0,0
2020-07-14,14,0,0,0,77,0,0,0,0,0,0
2020-07-15,17,0,43,23,0,0,0,0,0,0,0
2020-07-16,15,0,0,0,0,0,29,0,0,0,36
2020-07-17,5,18,0,0,0,0,0,0,0,0,0
2020-07-18,10,12,30,32,0,0,0,0,0,0,0
2020-07-19,9,0,0,0,0,0,38,0,0,0,47
2020-07-20,16,0,0,0,0,0,28,0,0,0,0
2020-07-21,14,16,20,0,0,0,0,0,0,0,34
2020-07-22,9,8,19,42,0,0,0,0,0,0,0
2020-07-23,21,0,0,0,0,0,0,0,0,0,0
2020-07-24,29,17,0,0,0,0,0,0,0,0,0
2020-07-25,18,11,27,0,0,0,37,0,0,0,0
2020-07-26,16,11,0,0,0,0,0,0,100,0,0
2020-07-27,9,0,20,0,0,0,0,0,0,0,0
2020-07-28,19,8,20,0,0,0,0,47,0,0,35
2020-07-29,23,16,0,22,0,0,0,0,0,0,0
2020-07-30,14,16,20,0,0,0,55,0,0,0,0
2020-07-31,14,0,20,0,0,0,28,0,0,0,0
2020-08-01,24,0,0,0,0,0,0,0,0,0,45
2020-08-02,28,21,27,0,0,0,0,0,0,0,0
2020-08-03,21,0,20,22,0,0,0,0,0,0,34
2020-08-04,20,0,39,21,0,0,0,0,0,0,33
2020-08-05,19,8,0,44,0,0,0,0,0,0,0
2020-08-06,15,0,0,24,0,0,0,0,0,0,0
2020-08-07,29,9,23,0,0,0,0,0,0,0,39
2020-08-08,26,11,0,0,0,0,0,0,0,0,0
2020-08-09,21,10,0,0,0,0,0,0,0,0,0
2020-08-10,20,0,0,0,0,0,0,0,0,0,0
2020-08-11,26,0,0,0,0,0,0,46,0,0,35
2020-08-12,26,8,0,0,0,0,29,94,0,0,0
2020-08-13,12,0,63,46,0,0,0,0,0,0,0
2020-08-14,21,0,22,0,0,0,62,0,0,0,0
2020-08-15,23,11,28,0,0,0,0,0,0,0,0
2020-08-16,21,11,0,0,0,0,0,0,0,0,46
2020-08-17,21,0,100,22,0,0,0,0,0,0,0
2020-08-18,30,0,20,22,0,0,0,0,0,0,70
2020-08-19,9,0,0,0,0,0,0,0,0,0,0
2020-08-20,7,0,21,0,0,0,0,0,0,0,0
2020-08-21,20,9,0,24,0,0,30,0,0,0,37
2020-08-22,14,0,25,28,0,0,35,0,0,0,0
2020-08-23,8,0,24,78,0,0,0,0,0,0,0
2020-08-24,15,0,19,0,0,0,0,0,0,0,0
2020-08-25,20,8,76,0,0,0,26,0,0,0,0
2020-08-26,13,15,38,21,0,0,0,0,0,0,0
2020-08-27,7,0,0,22,0,0,0,0,0,0,0
2020-08-28,17,0,87,0,0,0,0,0,0,0,0
2020-08-29,28,0,24,0,0,0,0,0,0,0,0
2020-08-30,11,0,0,26,0,0,0,0,0,0,41
2020-08-31,15,0,0,0,0,0,0,0,0,0,0
2020-09-01,14,0,21,22,0,0,0,0,0,0,0
2020-09-02,16,8,0,0,0,0,0,0,0,0,68
2020-09-03,14,8,0,44,0,0,56,0,0,0,0
2020-09-04,19,0,21,0,0,0,0,0,0,0,0
2020-09-05,12,10,26,27,0,0,0,0,0,0,44
2020-09-06,11,0,0,26,0,0,0,0,0,0,0
2020-09-07,11,8,38,0,72,0,0,0,0,0,33
2020-09-08,13,0,37,0,0,0,0,0,0,0,32
2020-09-09,7,8,0,22,0,0,0,0,0,0,34
2020-09-10,9,0,0,0,0,0,0,0,0,0,33
2020-09-11,12,8,42,0,0,0,0,0,0,0,0
2020-09-12,16,11,0,0,0,0,0,0,0,0,0
2020-09-13,22,0,24,0,0,0,0,0,0,0,0
2020-09-14,12,14,18,20,0,0,0,0,0,0,31
2020-09-15,9,0,0,0,0,0,0,0,0,0,0
2020-09-16,14,16,0,0,0,0,0,0,0,0,70
2020-09-17,2,0,19,0,0,0,0,0,0,0,0
2020-09-18,14,8,0,0,0,0,28,0,0,0,0
2020-09-19,24,0,52,0,0,0,0,0,0,0,0
