date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,68,12,0,0,0,0,0,0,0,0,39
2020-04-02,91,24,0,0,0,0,0,68,0,0,0
2020-04-03,84,48,0,0,0,0,0,0,0,0,0
2020-04-04,58,29,0,0,0,0,21,0,0,0,94
2020-04-05,55,0,89,0,0,0,89,0,0,0,0
2020-04-06,91,100,36,0,0,0,18,0,0,0,0
2020-04-07,100,49,0,0,0,0,0,0,0,0,0
2020-04-08,58,62,0,36,0,0,0,72,0,81,0
2020-04-09,56,25,0,0,0,0,36,73,0,0,0
2020-04-10,86,0,0,0,0,0,0,79,0,0,0
2020-04-11,67,32,0,92,0,0,0,0,0,0,0
2020-04-12,56,32,0,0,0,0,0,0,0,0,0
2020-04-13,66,28,0,40,0,0,0,0,0,0,0
2020-04-14,52,35,0,0,0,0,17,0,0,0,0
2020-04-15,88,75,0,0,0,0,36,73,0,0,0
2020-04-16,67,38,0,36,0,0,18,0,0,0,0
2020-04-17,64,65,0,37,0,0,0,0,0,0,42
2020-04-18,61,29,0,0,0,0,0,0,0,0,0
2020-04-19,40,29,0,0,0,0,0,82,87,0,0
2020-04-20,66,57,0,65,0,0,16,0,0,74,0
2020-04-21,50,34,0,0,0,0,0,0,0,0,37
2020-04-22,58,35,34,34,0,0,34,0,0,77,0
2020-04-23,32,0,0,0,0,0,0,65,68,0,0
2020-04-24,54,12,0,0,0,0,17,0,0,0,0
2020-04-25,26,63,45,0,0,0,0,0,0,0,51
2020-04-26,61,31,0,0,0,0,66,0,94,0,100
2020-04-27,41,23,0,33,0,0,0,0,0,0,0
2020-04-28,29,11,0,0,0,0,49,0,0,0,0
2020-04-29,55,11,0,32,0,0,16,0,0,0,0
2020-04-30,42,22,0,0,0,0,16,0,0,0,0
2020-05-01,39,14,0,0,0,0,20,0,0,0,44
2020-05-02,52,0,0,80,0,0,79,0,0,0,0
2020-05-03,34,29,42,0,0,0,0,0,0,0,47
2020-05-04,41,33,0,63,0,0,0,63,0,0,0
2020-05-05,33,11,0,0,0,0,31,0,0,0,0
2020-05-06,42,0,0,0,0,0,0,0,0,0,0
2020-05-07,39,12,0,34,0,0,0,0,0,77,0
2020-05-08,38,25,0,72,0,0,54,0,0,82,41
2020-05-09,36,0,40,40,0,0,0,0,0,90,0
2020-05-10,56,14,0,0,0,0,0,0,0,0,0
2020-05-11,33,33,0,0,0,0,16,0,0,0,0
2020-05-12,40,0,0,0,0,0,16,0,0,0,0
2020-05-13,19,0,0,0,0,0,16,0,0,0,0
2020-05-14,23,0,0,0,81,0,0,0,0,0,0
2020-05-15,22,24,0,0,0,0,0,0,0,78,0
