date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,59,46,0,0,0,0,41,0,0,0
2020-04-02,64,63,49,27,0,0,38,0,0,0,20
2020-04-03,94,38,0,54,0,0,0,43,0,0,0
2020-04-04,89,26,0,0,0,0,39,0,0,0,21
2020-04-05,88,39,50,0,0,0,0,0,81,0,0
2020-04-06,70,36,47,0,0,0,0,0,0,0,39
2020-04-07,66,51,100,0,0,0,0,89,0,0,0
2020-04-08,85,53,51,28,0,0,39,0,0,0,0
2020-04-09,68,67,0,0,0,0,0,0,0,0,0
2020-04-10,83,92,59,0,0,0,0,0,0,86,0
2020-04-11,41,61,0,0,0,0,0,0,0,0,0
2020-04-12,47,61,0,0,0,0,0,0,0,0,0
2020-04-13,43,42,0,0,0,0,0,0,0,0,23
2020-04-14,87,67,0,0,0,0,81,0,0,0,0
2020-04-15,73,67,0,0,0,0,0,0,0,0,0
2020-04-16,58,100,0,0,0,0,0,0,89,0,0
2020-04-17,76,64,0,0,0,0,0,0,0,0,0
2020-04-18,54,16,0,0,0,0,47,0,0,0,0
2020-04-19,72,32,0,0,0,0,0,0,0,0,0
2020-04-20,48,0,0,0,0,0,0,0,0,0,0
2020-04-21,34,12,49,27,0,0,37,0,0,71,0
2020-04-22,29,12,47,0,0,0,0,0,0,0,19
2020-04-23,41,53,0,0,0,0,40,0,0,0,43
2020-04-24,51,61,59,0,0,0,91,52,0,0,0
2020-04-25,29,34,0,36,0,0,51,0,0,0,0
2020-04-26,53,31,0,100,0,0,47,0,0,0,25
2020-04-27,20,15,0,32,0,0,0,0,0,84,0
2020-04-28,54,29,0,0,0,0,0,50,0,0,23
2020-04-29,39,14,0,31,0,0,0,0,0,0,0
2020-04-30,36,15,0,32,0,0,0,0,0,0,0
2020-05-01,36,71,0,38,0,0,0,0,0,0,0
2020-05-02,25,0,0,0,0,0,0,0,0,0,0
2020-05-03,22,0,0,0,0,0,96,0,0,0,0
2020-05-04,24,14,0,0,0,0,42,48,0,0,0
2020-05-05,23,0,0,28,0,0,0,0,0,0,0
2020-05-06,30,38,49,0,0,0,0,0,0,0,20
2020-05-07,34,14,0,30,0,0,0,0,0,0,0
2020-05-08,42,0,0,0,0,0,46,0,96,0,0
2020-05-09,43,36,0,38,0,0,54,0,0,0,29
2020-05-10,42,36,0,0,0,0,0,0,0,0,0
2020-05-11,19,14,0,0,0,0,83,0,0,0,0
2020-05-12,20,0,0,0,0,0,0,0,0,0,0
2020-05-13,20,0,0,31,0,0,0,0,0,0,0
2020-05-14,24,14,0,0,0,0,0,0,0,0,0
2020-05-15,35,30,58,0,0,0,0,0,0,0,0
2020-05-16,12,0,0,0,0,0,0,0,0,0,27
2020-05-17,24,0,0,0,0,0,53,0,0,0,0
2020-05-18,35,15,0,0,0,0,0,0,0,0,0
2020-05-19,10,0,0,0,0,0,0,0,0,0,23
2020-05-20,34,14,0,0,0,0,43,0,0,0,0
2020-05-21,14,14,0,29,0,0,0,0,0,0,22
2020-05-22,15,15,0,0,0,0,0,0,0,0,0
2020-05-23,18,0,67,37,0,0,0,0,0,0,0
2020-05-24,11,0,0,0,0,0,0,0,0,0,0
2020-05-25,10,61,59,0,0,0,0,0,0,0,24
2020-05-26,14,0,0,60,77,0,0,0,0,0,0
2020-05-27,15,14,0,0,0,0,0,0,0,0,0
2020-05-28,15,0,0,0,0,0,0,0,0,0,23
2020-05-29,21,0,0,0,0,0,0,0,0,0,0
2020-05-30,40,33,0,0,0,0,0,0,0,0,0
2020-05-31,23,17,0,36,0,0,0,0,0,0,27
2020-06-01,19,28,0,0,0,100,0,0,0,0,0
2020-06-02,19,14,55,30,0,0,43,0,0,0,0
2020-06-03,28,14,0,0,0,0,0,0,0,0,22
