date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,39,40,0,0,0,0,0,0,0,0,0
2020-04-02,79,100,42,0,0,0,0,0,100,0,93
2020-04-03,100,94,91,0,0,0,17,0,0,0,100
2020-04-04,79,69,58,0,0,0,45,0,0,0,64
2020-04-05,89,93,53,0,0,0,0,0,0,0,0
2020-04-06,42,59,0,0,0,0,0,0,0,0,0
2020-04-07,87,76,85,0,0,0,0,0,50,0,47
2020-04-08,47,55,0,0,0,0,0,0,0,0,0
2020-04-09,24,42,0,0,0,0,0,0,0,0,0
2020-04-10,37,64,0,0,0,0,0,0,0,0,60
2020-04-11,62,15,0,0,0,0,0,100,0,0,58
2020-04-12,61,76,0,0,0,0,39,0,0,0,56
2020-04-13,18,77,52,0,0,0,40,0,0,0,0
2020-04-14,74,77,0,0,0,0,50,0,0,0,0
2020-04-15,0,17,0,0,0,0,43,0,0,0,0
2020-04-16,18,0,54,0,0,0,0,0,0,0,0
2020-04-17,68,30,0,0,0,0,19,0,60,0,0
2020-04-18,44,0,52,0,0,0,100,0,0,0,57
2020-04-19,17,30,0,0,0,0,20,0,0,0,57
2020-04-20,17,43,0,0,0,0,19,0,0,0,0
2020-04-21,8,0,91,0,0,0,0,0,0,0,0
2020-04-22,31,27,46,52,0,0,35,0,54,0,0
2020-04-23,8,14,0,0,0,0,0,0,0,0,51
2020-04-24,18,0,0,62,0,0,21,0,0,0,0
2020-04-25,17,0,0,0,0,0,19,0,0,0,0
2020-04-26,0,17,0,0,0,0,22,0,0,0,0
2020-04-27,16,14,0,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,73,0,56,0,0
2020-04-29,24,0,0,0,0,0,18,0,0,0,0
2020-04-30,46,13,45,0,0,0,0,0,0,0,0
2020-05-01,17,29,0,0,0,0,38,0,0,0,54
2020-05-02,9,15,0,0,0,0,20,0,0,0,57
