date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,89,27,58,59,26,50,80,45,58,16
2020-04-02,86,86,34,47,37,38,46,71,40,8,19
2020-04-03,86,85,36,62,65,26,97,74,52,0,27
2020-04-04,96,100,36,51,63,0,90,71,17,0,29
2020-04-05,93,90,33,62,36,0,100,88,31,20,21
2020-04-06,93,81,39,50,37,0,85,100,39,19,15
2020-04-07,84,98,36,46,100,43,81,80,85,28,16
2020-04-08,72,86,35,36,58,58,68,30,68,38,21
2020-04-09,81,96,34,36,46,15,96,61,46,19,9
2020-04-10,77,55,39,50,43,15,85,42,59,49,20
2020-04-11,100,88,29,55,42,16,54,80,32,53,15
2020-04-12,93,84,42,43,43,82,42,23,52,21,10
2020-04-13,68,72,41,37,55,59,54,93,93,19,14
2020-04-14,60,76,36,33,34,0,49,83,100,39,14
2020-04-15,82,67,48,32,55,15,58,82,29,96,9
2020-04-16,73,92,57,43,38,0,36,10,70,68,11
2020-04-17,76,70,54,35,64,0,27,62,93,39,11
2020-04-18,85,66,55,42,41,47,42,55,37,31,8
2020-04-19,75,83,55,35,42,32,41,68,51,11,18
2020-04-20,65,57,66,45,29,29,53,61,29,9,15
2020-04-21,71,69,49,21,62,28,68,50,39,46,6
2020-04-22,60,61,38,30,50,44,48,20,52,57,18
2020-04-23,51,62,44,30,31,14,71,0,21,71,24
2020-04-24,50,47,34,44,32,47,32,44,37,31,21
2020-04-25,52,59,37,34,24,67,55,23,7,33,19
2020-04-26,56,41,44,23,15,17,44,73,20,0,9
2020-04-27,39,45,29,50,13,16,36,43,55,71,18
2020-04-28,42,49,35,18,27,0,52,0,31,31,10
2020-04-29,48,32,28,29,49,31,34,11,18,20,19
2020-04-30,36,42,27,20,24,28,30,39,49,37,13
2020-05-01,45,53,32,44,53,100,52,23,39,54,22
2020-05-02,49,46,37,34,68,34,61,71,40,88,17
2020-05-03,42,40,30,15,59,17,25,35,27,66,21
2020-05-04,51,39,28,25,70,43,55,50,6,65,13
2020-05-05,38,29,30,55,72,42,47,58,44,100,12
2020-05-06,41,13,27,36,59,43,28,20,6,19,18
2020-05-07,32,36,35,38,47,16,24,11,32,53,15
2020-05-08,38,28,27,25,49,0,33,32,18,50,14
2020-05-09,30,29,28,54,28,32,39,34,38,21,12
2020-05-10,42,36,26,48,25,17,81,24,20,23,9
2020-05-11,32,25,20,49,46,32,31,22,25,10,12
2020-05-12,32,39,24,53,39,0,46,0,12,20,11
2020-05-13,33,20,33,31,35,30,29,0,77,29,12
2020-05-14,34,24,21,31,100,0,34,0,24,49,11
2020-05-15,29,30,26,47,26,30,39,11,12,60,16
2020-05-16,29,27,25,28,10,0,18,36,27,34,12
2020-05-17,29,26,25,29,46,18,30,0,14,58,15
2020-05-18,24,38,19,43,40,15,18,43,30,40,10
2020-05-19,25,20,19,42,22,15,21,11,36,59,23
2020-05-20,31,23,21,21,36,16,23,22,37,31,15
2020-05-21,25,27,21,33,46,32,26,23,25,53,22
2020-05-22,32,22,21,27,39,17,11,47,26,33,17
2020-05-23,30,27,23,25,38,19,32,13,7,37,16
2020-05-24,40,27,18,33,26,45,17,32,0,59,16
2020-05-25,39,23,44,34,23,0,27,27,8,26,14
2020-05-26,28,26,34,39,41,18,26,12,35,46,9
2020-05-27,27,15,31,33,32,16,20,45,50,42,13
2020-05-28,26,16,27,48,45,16,22,33,12,20,15
2020-05-29,26,17,22,41,18,0,13,22,6,41,8
2020-05-30,31,30,19,35,25,0,20,12,20,23,11
2020-05-31,20,20,23,41,25,17,37,0,14,0,16
2020-06-01,23,10,21,34,27,15,34,22,18,20,10
2020-06-02,21,16,19,23,36,46,23,32,24,30,10
2020-06-03,21,7,18,25,29,29,12,10,11,28,16
2020-06-04,28,15,29,21,25,0,15,0,40,66,19
2020-06-05,18,17,20,43,30,0,23,31,23,29,9
2020-06-06,31,11,16,32,14,33,20,12,13,11,7
2020-06-07,13,11,22,27,24,0,38,0,13,22,23
2020-06-08,24,11,24,31,33,0,39,23,32,54,19
2020-06-09,20,13,18,32,52,14,15,19,11,54,14
2020-06-10,15,4,16,37,30,0,25,10,46,67,14
2020-06-11,16,14,16,40,43,30,13,0,12,49,12
2020-06-12,23,21,22,18,32,16,8,11,50,41,8
2020-06-13,26,12,21,37,42,36,10,0,7,0,9
2020-06-14,23,26,16,37,21,0,12,13,0,0,6
2020-06-15,20,16,18,29,18,46,8,11,30,80,14
2020-06-16,15,16,19,48,30,15,9,21,23,48,15
2020-06-17,17,10,14,35,69,30,21,0,18,20,11
2020-06-18,19,24,12,29,44,15,13,21,12,30,14
2020-06-19,12,19,15,26,14,16,7,33,31,31,12
2020-06-20,18,24,12,34,10,0,8,0,7,24,9
2020-06-21,22,19,16,21,31,0,2,0,21,59,9
2020-06-22,14,10,16,20,40,15,18,43,6,10,19
2020-06-23,11,10,14,25,45,15,8,11,49,40,16
2020-06-24,12,14,11,36,35,31,10,21,48,20,19
2020-06-25,16,20,17,32,36,0,10,22,24,20,13
2020-06-26,14,15,11,31,23,32,12,23,38,11,15
2020-06-27,15,7,15,29,5,0,0,13,7,24,11
2020-06-28,19,21,13,41,25,53,13,12,14,34,15
2020-06-29,16,6,16,48,18,16,12,0,18,30,18
2020-06-30,21,16,13,31,22,61,18,11,36,20,13
2020-07-01,12,8,17,44,22,0,14,31,18,39,8
2020-07-02,15,12,12,48,30,45,8,0,24,0,22
2020-07-03,19,16,15,53,27,31,3,11,31,10,8
2020-07-04,22,16,11,41,20,0,8,37,7,12,7
2020-07-05,13,24,26,37,5,18,12,38,14,0,9
2020-07-06,16,18,10,45,18,15,23,11,12,10,8
2020-07-07,12,12,12,33,22,30,31,21,30,50,5
2020-07-08,17,12,16,36,27,0,20,22,24,0,6
2020-07-09,11,6,12,18,36,47,12,11,25,20,13
2020-07-10,18,23,18,38,23,16,19,46,26,21,7
2020-07-11,11,7,23,45,21,0,12,0,0,12,8
2020-07-12,23,24,17,45,16,18,6,0,7,60,9
2020-07-13,17,16,21,52,27,47,8,22,18,10,16
2020-07-14,18,14,15,30,27,16,15,11,18,41,18
2020-07-15,13,10,19,33,18,16,8,0,0,31,20
2020-07-16,15,6,15,49,37,0,2,11,13,10,20
2020-07-17,15,11,10,28,20,69,9,0,34,23,11
2020-07-18,13,10,16,38,11,19,16,26,7,12,10
2020-07-19,21,17,14,35,27,56,6,0,22,0,4
2020-07-20,13,15,26,36,47,16,14,46,19,21,22
2020-07-21,19,19,12,50,19,0,3,23,6,0,26
2020-07-22,20,21,21,60,54,0,12,33,6,10,29
2020-07-23,19,8,16,100,18,32,10,0,13,31,21
2020-07-24,17,2,22,78,40,17,9,24,20,23,20
2020-07-25,16,12,23,65,21,37,12,26,7,24,12
2020-07-26,20,5,34,83,48,55,18,51,22,12,17
2020-07-27,21,22,23,98,38,65,7,11,13,32,14
2020-07-28,15,9,32,84,9,0,10,11,39,21,20
2020-07-29,13,4,21,63,10,33,4,35,26,43,19
2020-07-30,21,28,14,60,15,35,4,62,28,35,13
2020-07-31,20,6,22,65,25,0,9,15,8,0,20
2020-08-01,16,15,27,93,11,0,10,0,15,25,8
