date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,64,50,29,0,0,0,24,0,0,0,18
2020-04-02,73,22,26,0,0,0,0,0,0,0,0
2020-04-03,59,54,0,0,0,0,0,0,0,0,0
2020-04-04,59,0,0,0,0,0,0,0,0,0,19
2020-04-05,36,25,0,0,0,0,0,0,0,0,0
2020-04-06,26,72,0,0,0,0,0,0,0,0,0
2020-04-07,28,51,29,0,0,0,24,80,0,0,0
2020-04-08,66,52,0,26,0,0,0,0,0,0,0
2020-04-09,17,0,28,24,0,0,23,76,0,0,50
2020-04-10,59,27,0,0,0,0,26,0,0,0,19
2020-04-11,74,77,0,0,0,0,0,0,0,75,0
2020-04-12,32,29,0,0,95,0,0,0,0,0,0
2020-04-13,9,0,0,0,0,0,25,0,0,0,0
2020-04-14,37,25,0,26,0,0,0,0,0,0,0
2020-04-15,87,0,0,0,0,0,0,0,0,0,0
2020-04-16,100,0,0,0,0,0,26,87,0,80,0
2020-04-17,73,100,0,0,0,0,0,0,94,0,23
2020-04-18,46,31,36,0,0,0,30,0,0,0,0
2020-04-19,21,0,100,0,0,0,55,0,0,0,40
2020-04-20,56,31,0,0,0,0,29,0,0,0,64
2020-04-21,0,60,69,0,0,0,0,0,0,0,0
2020-04-22,59,0,31,0,0,0,26,86,0,0,19
2020-04-23,62,29,33,0,0,0,0,0,0,83,100
2020-04-24,48,65,38,0,0,93,0,0,0,0,0
2020-04-25,12,0,0,0,0,0,0,0,0,0,0
2020-04-26,47,0,75,0,0,0,0,0,0,0,0
2020-04-27,71,0,0,0,0,0,31,0,92,0,23
2020-04-28,23,0,0,0,0,0,0,0,0,0,0
2020-04-29,67,0,0,31,0,0,0,0,0,0,21
2020-04-30,64,0,0,0,0,0,28,93,0,0,21
2020-05-01,69,63,0,0,0,0,0,0,0,0,22
2020-05-02,13,0,40,0,0,0,100,0,98,0,0
2020-05-03,31,28,0,0,0,0,0,0,0,0,0
2020-05-04,55,30,35,0,0,0,0,0,0,0,63
2020-05-05,34,32,37,0,0,0,0,0,0,0,22
2020-05-06,11,0,0,0,0,0,30,0,0,0,66
2020-05-07,74,34,39,34,0,0,65,0,0,99,0
2020-05-08,11,31,36,32,0,0,0,0,88,0,0
2020-05-09,35,0,0,0,0,0,31,0,0,0,22
2020-05-10,32,30,0,0,0,0,57,0,0,0,0
2020-05-11,37,34,39,34,0,0,0,0,0,0,0
2020-05-12,11,31,0,0,100,0,0,0,0,0,0
2020-05-13,23,0,36,0,0,0,90,0,0,0,22
2020-05-14,24,0,0,0,0,0,0,0,0,0,45
2020-05-15,70,32,75,66,0,0,0,0,0,0,23
2020-05-16,68,0,36,0,0,0,30,0,0,0,44
2020-05-17,53,0,0,0,0,0,28,0,0,0,20
2020-05-18,34,0,0,0,0,0,30,0,0,0,0
2020-05-19,22,60,0,0,0,0,0,0,0,0,0
2020-05-20,42,0,0,0,0,0,0,0,0,0,0
2020-05-21,46,63,0,0,0,0,0,0,89,92,0
2020-05-22,25,34,0,0,0,0,0,0,0,0,0
2020-05-23,34,31,0,32,0,0,0,0,0,0,22
2020-05-24,24,0,0,100,0,0,0,0,0,0,0
2020-05-25,0,0,37,33,0,0,0,0,0,0,23
2020-05-26,45,0,0,63,0,0,0,0,87,0,0
2020-05-27,50,0,0,0,0,0,53,0,0,0,39
2020-05-28,11,0,35,0,0,0,58,0,0,0,0
2020-05-29,42,0,0,0,0,0,0,0,0,0,20
2020-05-30,23,31,36,0,0,0,30,0,0,0,0
2020-05-31,20,0,0,28,0,0,52,0,0,0,0
2020-06-01,0,0,31,0,87,0,0,0,0,0,0
2020-06-02,11,0,0,30,0,0,0,0,0,0,41
2020-06-03,0,0,29,0,0,0,24,0,0,0,0
2020-06-04,11,0,0,0,0,0,0,96,0,0,0
2020-06-05,11,0,0,32,0,0,0,0,0,0,0
2020-06-06,0,0,0,59,0,0,0,0,0,0,20
2020-06-07,22,0,0,0,0,0,0,0,0,0,0
2020-06-08,11,0,0,32,0,0,0,0,0,0,0
2020-06-09,11,0,0,0,0,0,29,0,0,0,0
2020-06-10,21,28,0,0,0,0,0,0,0,0,0
2020-06-11,11,30,0,30,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,33,0,0,0,0
2020-06-13,11,0,35,31,0,0,0,0,0,0,21
2020-06-14,0,0,30,0,0,0,0,0,0,0,0
2020-06-15,11,0,0,0,0,0,0,0,0,0,0
2020-06-16,11,30,0,0,0,0,0,0,0,0,21
2020-06-17,0,0,0,0,0,0,27,0,0,0,19
2020-06-18,10,28,0,28,0,0,0,0,0,0,0
2020-06-19,13,35,40,0,0,0,0,0,0,0,0
2020-06-20,11,31,0,0,0,0,0,0,0,0,0
2020-06-21,10,0,0,29,0,0,27,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,10,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,11,0,0,0,0,0,29,0,0,0,0
2020-06-26,13,0,0,36,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,11,90,0,0,0,0,29,0,85,0,21
2020-06-29,0,0,0,0,0,0,0,0,0,0,22
2020-06-30,0,0,0,0,0,0,28,0,0,0,0
2020-07-01,11,0,36,0,0,0,0,0,0,0,0
2020-07-02,0,28,0,29,0,0,0,0,0,0,0
2020-07-03,0,40,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,30,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,21,0,0,0,0,0,27,0,0,0,0
2020-07-09,10,0,0,0,0,0,0,0,0,0,0
2020-07-10,12,0,0,0,0,0,0,0,0,100,0
2020-07-11,23,32,0,0,0,0,31,0,0,0,22
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,21,0,0,0,0,0,0,0,0,0,0
2020-07-14,9,0,30,0,0,0,0,0,0,0,18
2020-07-15,34,0,0,0,0,89,0,0,0,0,22
2020-07-16,0,0,33,0,0,0,0,0,0,0,0
2020-07-17,12,0,38,0,0,0,0,0,0,0,0
2020-07-18,0,32,0,32,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,26,0,0,0,19
2020-07-20,22,30,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,21,0,0,0,0,0,0,0,0,0,20
2020-07-23,11,0,35,31,0,0,0,96,0,0,0
2020-07-24,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,90,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,11,0,35,0,0,0,0,0,0,0,0
2020-07-28,12,0,0,0,0,0,0,0,0,0,24
2020-07-29,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,51,35,0,0,0,0,0,0,100,0,25
2020-07-31,0,0,0,0,0,0,0,0,0,0,25
2020-08-01,0,0,0,0,0,0,0,0,0,0,41
2020-08-02,23,0,0,33,0,0,0,0,0,94,23
2020-08-03,0,0,36,32,0,0,0,0,0,0,22
2020-08-04,10,29,33,0,0,0,0,0,0,0,20
2020-08-05,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,10,27,31,27,0,0,0,0,0,0,0
2020-08-07,21,0,0,29,0,0,0,0,0,0,0
2020-08-08,19,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,24,0,0,0,34
2020-08-10,0,0,0,25,0,0,0,0,0,0,17
2020-08-11,26,0,0,0,0,0,23,0,0,0,67
2020-08-12,26,24,28,0,0,0,0,0,0,0,34
2020-08-13,10,26,0,0,0,0,0,0,0,0,55
2020-08-14,25,34,0,35,0,0,0,0,0,0,0
2020-08-15,0,31,0,0,0,0,0,0,0,0,0
2020-08-16,22,30,0,30,0,0,0,0,0,0,21
2020-08-17,11,0,0,0,0,0,0,0,0,0,21
2020-08-18,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,10,0,0,28,0,0,0,0,0,0,19
2020-08-20,0,0,0,0,0,94,0,0,0,0,23
2020-08-21,13,0,0,0,0,0,36,0,0,0,26
2020-08-22,12,34,39,0,0,0,0,0,0,0,0
2020-08-23,10,0,0,0,0,0,27,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0,64
2020-08-25,23,0,0,0,0,0,0,0,0,0,0
2020-08-26,11,0,0,31,0,0,0,0,0,0,21
2020-08-27,0,0,40,0,0,0,0,0,0,0,0
2020-08-28,16,0,0,45,0,0,0,0,0,0,0
2020-08-29,0,42,0,0,0,0,0,0,0,0,29
2020-08-30,0,0,0,0,0,0,0,0,0,0,27
2020-08-31,0,0,0,34,0,0,0,0,0,0,0
2020-09-01,0,0,40,0,0,0,0,0,0,0,48
2020-09-02,26,0,0,0,0,0,0,0,0,0,0
2020-09-03,0,0,0,0,0,0,0,0,0,0,0
2020-09-04,0,0,0,0,0,0,35,0,0,0,0
2020-09-05,12,0,0,35,0,0,33,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,38,0,41,0,0,100,0,0,0,0,49
2020-09-08,0,0,0,35,0,0,0,0,0,0,24
2020-09-09,11,31,0,0,0,0,0,0,0,0,0
2020-09-10,0,0,0,0,0,0,0,0,0,0,0
2020-09-11,0,0,0,0,0,0,0,0,0,0,0
2020-09-12,12,0,0,0,0,0,0,0,0,0,23
2020-09-13,0,0,0,0,0,0,0,0,0,0,22
2020-09-14,0,0,0,0,0,0,0,100,0,0,0
2020-09-15,0,0,33,29,0,0,0,0,0,0,0
2020-09-16,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,12,0,0,34,0,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,0,0,0,0,26
2020-09-19,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,10,0,32,29,0,0,0,0,0,0,0
2020-09-21,21,0,0,0,0,0,0,0,0,0,20
2020-09-22,11,0,0,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,30,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,14,0,0,0,0,0,0,0,0,0,26
2020-09-26,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0,21
2020-09-28,0,0,0,0,0,0,0,0,0,0,0
2020-09-29,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0,0,0,0,0,21
2020-10-01,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0,0,0,0,23
2020-10-03,0,0,0,0,0,0,0,0,0,0,41
2020-10-04,19,0,0,0,0,0,0,0,0,0,0
2020-10-05,10,0,0,0,0,0,0,0,0,0,19
2020-10-06,0,0,0,28,0,0,0,0,0,0,0
2020-10-07,10,0,0,28,0,0,0,0,0,0,19
2020-10-08,0,0,0,0,0,0,28,0,0,0,40
2020-10-09,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,10,0,0,0,0,0,0,0,0,0,19
2020-10-11,9,0,0,0,0,0,0,0,0,0,17
2020-10-12,0,0,0,0,0,0,0,0,0,0,19
2020-10-13,10,27,0,27,86,0,0,0,0,0,19
2020-10-14,0,0,0,27,0,0,0,0,76,0,0
2020-10-15,10,0,0,0,0,0,0,0,0,0,0
2020-10-16,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,10,0,0,0,0,0,0,0,0,0,0
2020-10-18,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,11,0,0,0,0,0,0,100,0,0,0
2020-10-21,20,0,0,0,0,0,0,0,0,0,0
2020-10-22,10,0,0,0,0,0,0,0,0,0,20
2020-10-23,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,11,0,0,0,96,0,0,0,0,87,0
2020-10-26,0,0,30,0,0,0,0,0,0,0,0
2020-10-27,0,23,0,0,0,0,22,0,0,0,0
2020-10-28,0,0,0,23,0,0,0,0,0,0,0
2020-10-29,19,0,0,0,0,0,0,0,0,0,0
2020-10-30,10,0,0,0,0,0,0,0,0,0,20
2020-10-31,27,0,0,0,0,0,24,0,0,0,17
2020-11-01,0,0,0,0,0,0,22,0,0,0,16
2020-11-02,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,9,0,0,0,0,0,0,0,0,0,0
