date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,48,15,17,0,0,0,19,0,0,0,14
2020-04-02,70,57,0,0,0,0,0,0,0,0,13
2020-04-03,90,30,0,23,0,0,0,49,0,0,14
2020-04-04,100,100,0,0,92,0,0,0,0,0,31
2020-04-05,61,37,21,0,0,0,0,0,0,95,18
2020-04-06,50,61,0,0,0,0,20,0,0,0,29
2020-04-07,100,30,0,23,84,0,19,0,0,0,29
2020-04-08,35,0,37,0,0,0,0,0,0,0,0
2020-04-09,68,93,0,0,0,0,0,0,0,0,0
2020-04-10,54,33,38,0,0,0,63,0,0,0,0
2020-04-11,55,50,0,50,0,0,0,0,0,0,0
2020-04-12,67,71,0,0,0,0,0,0,0,0,33
2020-04-13,60,32,0,0,0,0,40,0,0,0,0
2020-04-14,88,32,0,0,0,0,0,0,0,0,0
2020-04-15,42,15,18,23,0,0,0,0,0,0,0
2020-04-16,25,15,0,0,0,0,0,0,0,78,0
2020-04-17,44,49,19,24,0,0,0,0,0,0,0
2020-04-18,18,0,38,0,0,0,0,0,0,0,0
2020-04-19,28,17,0,0,0,0,0,0,0,0,16
2020-04-20,39,14,0,0,0,0,18,0,0,0,0
2020-04-21,8,0,0,22,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0,0,77,0
2020-04-23,8,0,0,0,0,0,0,0,0,0,14
2020-04-24,42,16,18,0,0,0,0,0,0,0,15
2020-04-25,18,16,0,0,0,0,0,54,0,0,0
2020-04-26,44,16,18,0,0,0,0,0,0,0,30
2020-04-27,50,30,0,0,0,0,0,0,0,0,29
2020-04-28,25,15,17,0,0,0,0,0,0,0,0
2020-04-29,16,0,0,0,0,0,0,0,0,0,14
2020-04-30,8,14,0,0,0,0,0,0,80,0,0
2020-05-01,47,35,20,52,0,0,0,0,0,0,0
2020-05-02,28,17,20,52,0,0,0,57,0,0,33
2020-05-03,27,83,19,100,0,0,43,0,0,0,0
2020-05-04,16,30,0,68,0,0,19,49,0,0,0
2020-05-05,31,14,0,0,0,0,0,46,0,0,26
2020-05-06,33,15,0,45,0,0,0,0,0,0,14
2020-05-07,8,0,35,23,0,0,0,100,0,0,0
2020-05-08,9,17,0,0,0,0,22,0,0,0,0
2020-05-09,18,0,0,25,0,0,0,0,0,0,0
2020-05-10,0,50,0,0,0,0,0,0,0,0,16
2020-05-11,24,15,17,0,0,0,0,0,0,0,14
2020-05-12,44,0,0,0,0,0,21,0,0,0,31
2020-05-13,16,0,0,0,0,0,0,0,83,0,28
2020-05-14,17,15,0,0,0,0,0,0,0,0,0
2020-05-15,16,15,0,0,0,0,0,0,0,0,0
2020-05-16,30,0,21,0,0,0,0,0,0,0,0
2020-05-17,9,0,19,0,0,0,0,0,0,0,0
2020-05-18,8,15,17,22,0,0,0,0,0,0,41
2020-05-19,8,0,0,0,0,0,0,0,0,0,0
2020-05-20,16,0,34,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,20,0,0,0,0
2020-05-22,9,0,0,0,92,0,0,0,0,0,0
2020-05-23,0,19,42,0,0,0,0,0,0,0,17
2020-05-24,0,19,0,0,0,0,0,0,0,0,0
2020-05-25,17,0,0,23,0,0,0,0,0,0,0
2020-05-26,0,31,0,0,0,0,0,0,86,79,0
2020-05-27,17,31,0,0,0,0,0,0,0,0,0
2020-05-28,9,16,0,24,0,0,0,0,0,0,0
2020-05-29,17,0,0,24,0,0,0,0,0,0,15
2020-05-30,9,0,19,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,18,16,0,0,91,0,0,0,0,0,0
2020-06-02,25,16,0,0,0,0,0,0,0,0,15
2020-06-03,9,0,0,24,0,85,0,0,0,0,15
2020-06-04,0,14,16,21,0,0,0,0,0,0,0
2020-06-05,0,0,17,0,83,0,0,0,0,0,14
2020-06-06,40,0,21,0,0,0,0,0,0,0,0
2020-06-07,0,0,22,0,0,0,0,0,0,0,0
2020-06-08,9,0,0,0,0,0,0,0,0,0,0
2020-06-09,24,14,0,22,0,0,0,0,0,0,14
2020-06-10,28,0,20,52,0,0,0,0,0,0,0
2020-06-11,0,0,18,24,89,0,0,0,0,0,15
2020-06-12,0,0,38,0,91,0,42,0,0,0,31
2020-06-13,11,0,68,0,0,0,0,0,0,0,0
2020-06-14,0,18,41,0,0,0,0,0,0,0,0
2020-06-15,9,0,0,0,0,0,21,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,18,0,19,25,0,0,0,0,0,0,16
2020-06-18,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,23,0,0,0,0,0,0,0,0
2020-06-21,11,19,0,0,0,0,0,0,0,0,0
2020-06-22,9,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,18,0,0,0,0,0,0,0,0
2020-06-24,10,0,0,0,0,0,0,0,0,0,33
2020-06-25,10,0,0,0,0,0,0,0,0,0,17
2020-06-26,0,0,21,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,25,0,0,0,0
2020-06-28,10,0,0,0,0,0,0,0,0,0,18
2020-06-29,0,19,0,0,0,0,0,0,0,0,0
2020-06-30,20,0,21,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0,17
2020-07-02,10,0,0,0,0,0,0,0,0,0,0
2020-07-03,22,20,0,0,0,0,0,0,0,0,0
2020-07-04,11,0,45,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,20,0,21,0,0,0,0,0,0,0,17
2020-07-07,9,17,0,0,0,0,0,0,0,0,0
2020-07-08,37,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,21,0,0,0,0,0,0,0,17
2020-07-10,0,0,0,29,0,0,0,0,0,0,0
2020-07-11,12,0,24,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
