date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,61,80,24,0,0,73,62,0,0,53
2020-04-02,56,31,55,0,0,0,45,64,0,0,36
2020-04-03,73,27,0,0,0,0,64,0,0,0,19
2020-04-04,75,36,32,0,87,0,0,0,0,0,0
2020-04-05,93,100,31,29,0,0,34,0,0,0,83
2020-04-06,46,31,27,49,0,0,44,0,0,0,35
2020-04-07,47,43,54,0,74,0,0,0,0,40,18
2020-04-08,48,19,28,25,0,0,61,32,0,0,18
2020-04-09,52,38,55,50,0,0,61,0,0,0,37
2020-04-10,26,19,56,0,0,72,77,32,41,0,0
2020-04-11,47,14,61,28,83,78,66,0,0,0,20
2020-04-12,50,51,0,59,0,0,18,0,0,0,42
2020-04-13,35,45,57,52,0,0,62,33,0,0,19
2020-04-14,34,6,27,25,0,0,75,0,0,0,54
2020-04-15,31,26,0,52,0,0,62,0,42,0,0
2020-04-16,37,20,29,27,0,0,64,0,0,0,19
2020-04-17,40,13,0,0,0,0,16,0,0,0,19
2020-04-18,34,14,0,28,0,0,34,36,46,0,21
2020-04-19,56,37,65,30,88,0,18,0,48,0,43
2020-04-20,61,45,0,0,0,0,31,0,41,0,0
2020-04-21,31,7,0,78,0,0,16,0,42,0,0
2020-04-22,59,20,0,0,0,0,32,0,0,0,19
2020-04-23,48,26,28,26,77,0,31,0,41,0,37
2020-04-24,49,52,0,0,0,0,47,100,0,0,19
2020-04-25,31,15,33,60,0,0,36,0,0,0,0
2020-04-26,25,30,0,0,0,0,54,0,0,0,43
2020-04-27,14,20,0,82,0,0,49,35,0,0,20
2020-04-28,19,14,0,82,0,0,16,0,0,0,39
2020-04-29,14,26,0,0,79,0,32,0,0,0,0
2020-04-30,33,18,0,24,0,0,100,0,0,0,0
2020-05-01,30,22,0,29,0,0,35,37,0,0,0
2020-05-02,30,37,0,0,0,0,35,0,0,0,43
2020-05-03,33,35,0,0,83,0,50,0,0,0,40
