date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,73,94,48,28,9,0,36,45,24,0,44
2020-04-02,65,91,77,42,9,0,24,53,24,22,33
2020-04-03,74,78,50,51,26,0,49,65,51,46,29
2020-04-04,71,100,60,26,21,0,15,72,0,0,21
2020-04-05,67,91,89,46,11,0,31,52,32,58,44
2020-04-06,67,74,100,8,10,59,55,59,84,76,26
2020-04-07,58,80,54,39,19,0,27,71,0,0,38
2020-04-08,65,77,45,16,0,0,70,88,0,0,33
2020-04-09,60,79,48,18,21,0,45,69,61,0,14
2020-04-10,58,64,64,9,11,0,95,53,0,88,15
2020-04-11,67,68,0,29,0,0,16,48,100,60,38
2020-04-12,59,55,94,10,12,0,100,39,0,31,39
2020-04-13,60,65,81,25,20,61,100,79,58,0,60
2020-04-14,58,72,99,32,10,0,54,100,0,50,25
2020-04-15,55,59,44,24,19,0,68,98,0,100,38
2020-04-16,51,56,43,39,9,0,53,89,54,25,19
2020-04-17,52,58,98,47,19,0,81,63,55,0,13
2020-04-18,51,46,48,43,0,0,30,52,0,27,7
2020-04-19,46,51,38,9,11,0,93,46,32,0,36
2020-04-20,47,38,28,7,8,0,46,44,24,21,16
2020-04-21,47,40,18,19,16,47,55,40,45,0,36
2020-04-22,42,44,36,26,16,48,67,49,23,41,26
2020-04-23,50,39,61,32,16,0,33,39,0,0,20
2020-04-24,62,49,46,7,16,99,23,38,0,21,48
2020-04-25,52,43,22,41,0,0,56,32,0,0,32
2020-04-26,56,45,48,26,0,0,30,26,61,28,14
2020-04-27,44,36,19,20,8,50,58,26,0,21,27
2020-04-28,46,27,9,40,8,49,34,35,47,0,21
2020-04-29,46,34,37,26,0,0,45,37,92,0,26
2020-04-30,46,25,9,40,0,0,23,31,47,21,21
2020-05-01,39,23,21,23,0,0,27,34,54,0,12
2020-05-02,48,24,34,8,0,0,56,25,29,52,39
2020-05-03,38,30,13,45,0,0,77,24,0,0,36
2020-05-04,37,27,39,21,0,0,48,29,0,22,11
2020-05-05,39,35,18,6,8,48,33,24,23,0,52
2020-05-06,39,26,36,33,8,0,56,23,23,0,16
2020-05-07,44,27,46,20,8,0,34,23,23,0,21
