date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,27,0,0,0,0,0,0,0,0,0,0
2020-04-02,74,85,0,0,0,0,0,0,83,0,0
2020-04-03,53,0,0,46,0,0,0,53,0,98,0
2020-04-04,67,57,0,0,0,0,53,0,0,0,0
2020-04-05,67,0,0,0,0,0,0,0,0,0,0
2020-04-06,50,0,0,0,0,0,0,0,0,0,0
2020-04-07,51,0,0,0,81,0,0,0,0,0,0
2020-04-08,76,43,0,0,0,0,0,100,0,0,0
2020-04-09,53,0,0,0,0,0,0,0,0,0,0
2020-04-10,55,47,0,94,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,65,0,78,0,0,0,0,0,0,0,68
2020-04-13,53,0,0,0,0,0,0,0,0,0,0
2020-04-14,24,0,0,0,0,0,0,0,0,0,0
2020-04-15,52,0,0,0,0,0,0,0,0,0,0
2020-04-16,24,0,0,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,41,0,0,0,0,0,0,0,0,0
2020-04-21,23,0,0,0,0,0,0,0,0,0,49
2020-04-22,0,0,0,43,0,0,0,0,0,0,52
2020-04-23,26,45,0,0,0,0,0,0,0,0,0
2020-04-24,25,44,0,0,0,0,0,0,0,0,0
2020-04-25,0,0,83,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0,69
2020-04-27,51,0,0,0,0,0,0,0,0,0,53
2020-04-28,52,0,0,0,0,0,0,0,0,0,0
2020-04-29,25,0,58,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,55,0,0,0,0,0,0,0,0,0,0
2020-05-02,34,59,0,0,0,0,0,0,0,0,0
2020-05-03,36,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0,0,0,53
