date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,99,49,0,0,0,0,0,0,0,0,43
2020-04-02,87,44,0,0,0,0,15,62,0,0,0
2020-04-03,78,61,23,0,0,0,16,0,0,70,15
2020-04-04,79,43,0,0,0,0,17,0,0,0,16
2020-04-05,100,51,26,0,0,0,17,0,0,0,32
2020-04-06,85,100,70,50,0,0,16,32,0,0,15
2020-04-07,95,85,0,26,0,0,0,100,0,0,0
2020-04-08,78,26,49,0,0,0,16,34,0,0,30
2020-04-09,81,29,24,0,0,0,16,0,0,71,0
2020-04-10,58,36,0,21,0,0,26,0,0,0,0
2020-04-11,55,24,0,23,0,0,44,31,0,0,14
2020-04-12,80,77,24,0,0,0,16,0,0,0,0
2020-04-13,43,45,0,24,0,0,46,0,79,0,14
2020-04-14,54,39,23,0,0,0,15,0,0,69,14
2020-04-15,47,36,0,0,0,0,47,64,0,0,0
2020-04-16,69,54,0,25,0,0,16,0,0,0,0
2020-04-17,48,41,25,26,0,0,16,0,0,0,15
2020-04-18,65,32,0,0,0,0,35,0,0,0,0
2020-04-19,58,40,0,56,0,0,35,0,0,79,16
2020-04-20,44,15,0,0,0,0,16,34,0,0,31
2020-04-21,45,54,50,27,0,0,0,0,0,0,32
2020-04-22,56,24,0,0,0,0,17,0,0,0,0
2020-04-23,42,46,0,0,0,0,17,0,0,0,31
2020-04-24,53,32,52,28,0,0,0,36,0,0,16
2020-04-25,46,28,0,0,0,0,20,0,0,0,0
2020-04-26,48,36,0,0,0,0,0,0,0,0,0
2020-04-27,51,24,0,0,0,0,21,0,0,0,20
2020-04-28,48,24,0,0,0,0,22,0,0,0,0
2020-04-29,56,52,31,0,0,0,41,0,0,0,0
2020-04-30,48,28,0,0,0,0,0,0,0,0,19
2020-05-01,55,15,0,0,0,0,43,44,0,0,0
2020-05-02,52,29,0,100,0,0,84,43,0,0,0
2020-05-03,41,19,32,0,0,0,0,0,0,0,0
2020-05-04,45,13,0,30,0,0,19,0,0,0,53
2020-05-05,47,20,26,0,0,93,18,0,0,0,0
2020-05-06,47,13,0,29,0,0,0,0,0,82,17
2020-05-07,34,17,0,59,0,0,37,0,0,0,17
2020-05-08,59,9,0,0,0,0,0,0,0,0,18
2020-05-09,57,37,0,32,0,0,61,0,0,0,19
2020-05-10,52,32,30,0,0,0,20,0,0,0,19
2020-05-11,52,17,0,0,0,0,55,0,0,0,0
